Old.Name,Seq.Name,Plate.Well
XXX_100_16_5,POP25_01,A1
GWR_100_157_6,POP25_02,B1
GWR_100_220_5,POP25_03,C1
GWR_100_199_3,POP25_04,D1
XXX_100_84_4,POP25_05,E1
IFG_100_99_4,POP25_06,F1
GWR_100_231_4,POP25_07,G1
GWR_100_343_2,POP25_08,H1
GWR_100_19_3,POP25_09,A2
GWR_100_42_2,POP25_10,B2
IFG_100_15_4,POP25_11,C2
GWR_100_333_5,POP25_12,D2
GWR_100_499_3,POP25_13,E2
GWR_100_62_6,POP25_14,F2
GWR_100_420_5,POP25_15,G2
GWR_100_95_2,POP25_16,H2
IFG_100_77_2,POP25_17,A3
GWR_100_312_4,POP25_18,B3
GWR_100_356_3,POP25_19,C3
GWR_100_483_4,POP25_20,D3
XXX_100_80_2,POP25_21,E3
IFG_100_38_2,POP25_22,F3
XXX_100_71_2,POP25_23,G3
GWR_100_240_3,POP25_24,H3
XXX_100_88_4,POP25_25,A4
GWR_100_261_4,POP25_26,B4
GWR_100_4_4,POP25_27,C4
GWR_100_116_3,POP25_28,D4
GWR_100_130_2,POP25_29,E4
XXX_100_37_6,POP25_30,F4
XXX_100_18_3,POP25_31,G4
GWR_100_48_2,POP25_32,H4
GWR_100_195_5,POP25_33,A5
GWR_100_113_3,POP25_34,B5
GWR_100_69_2,POP25_35,C5
GWR_100_13_5,POP25_36,D5
XXX_100_123_2,POP25_37,E5
XXX_100_120_3,POP25_38,F5
XXX_100_12_2,POP25_39,G5
GWR_100_162_6,POP25_40,H5
GWR_100_70_2,POP25_41,A6
GWR_100_345_5,POP25_42,B6
GWR_100_160_5,POP25_43,C6
IFG_100_95_4,POP25_44,D6
IFG_100_25_3,POP25_45,E6
IFG_100_7_4,POP25_46,F6
XXX_100_30_2,POP25_47,G6
GWR_100_5_4,POP25_48,H6
GWR_100_369_4,POP25_49,A7
GWR_100_33_2,POP25_50,B7
GWR_100_164_6,POP25_51,C7
IFG_100_50_3,POP25_52,D7
IFG_100_12_4,POP25_53,E7
XXX_100_118_5,POP25_54,F7
GWR_100_300_6,POP25_55,G7
GWR_100_126_3,POP25_56,H7
GWR_100_464_2,POP25_57,A8
XXX_100_52_2,POP25_58,B8
IFG_100_64_4,POP25_59,C8
GWR_100_196_5,POP25_60,D8
IFG_100_40_2,POP25_61,E8
XXX_100_58_2,POP25_62,F8
IFG_100_23_4,POP25_63,G8
GWR_100_370_4,POP25_64,H8
GWR_100_437_3,POP25_65,A9
XXX_100_86_5,POP25_66,B9
GWR_100_277_4,POP25_67,C9
GWR_100_445_4,POP25_68,D9
XXX_100_36_4,POP25_69,E9
GWR_100_441_5,POP25_70,F9
IFG_100_100_3,POP25_71,G9
GWR_100_488_4,POP25_72,H9
GWR_100_200_2,POP25_73,A10
GWR_100_134_2,POP25_74,B10
IFG_100_79_2,POP25_75,C10
IFG_100_29_2,POP25_76,D10
GWR_100_450_5,POP25_77,E10
IFG_100_66_4,POP25_78,F10
GWR_100_304_3,POP25_79,G10
GWR_100_227_4,POP25_80,H10
GWR_100_443_6,POP25_81,A11
IFG_100_102_3,POP25_82,B11
GWR_100_301_5,POP25_83,C11
GWR_100_50_5,POP25_84,D11
GWR_100_338_2,POP25_85,E11
IFG_100_59_3,POP25_86,F11
IFG_100_20_3,POP25_87,G11
GWR_100_44_3,POP25_88,H11
GWR_100_238_4,POP25_89,A12
GWR_100_413_4,POP25_90,B12
XXX_100_31_6,POP25_91,C12
XXX_100_26_5,POP25_92,D12
IFG_100_2_4,POP25_93,E12
GWR_100_224_5,POP25_94,F12
GWR_100_14_3,POP25_95,G12
GWR_100_244_4,POP25_96,H12
IFG_100_75_3,POP26_01,A1
GWR_100_107_5,POP26_02,B1
GWR_100_276_3,POP26_03,C1
GWR_100_214_3,POP26_04,D1
GWR_100_340_6,POP26_05,E1
GWR_100_294_6,POP26_06,F1
GWR_100_335_5,POP26_07,G1
GWR_100_295_5,POP26_08,H1
XXX_100_73_6,POP26_09,A2
XXX_100_62_6,POP26_10,B2
IFG_100_16_3,POP26_11,C2
GWR_100_302_5,POP26_12,D2
XXX_100_101_4,POP26_13,E2
GWR_100_394_4,POP26_14,F2
GWR_100_319_4,POP26_15,G2
IFG_100_24_4,POP26_16,H2
IFG_100_32_2,POP26_17,A3
IFG_100_14_2,POP26_18,B3
GWR_100_241_6,POP26_19,C3
GWR_100_215_4,POP26_20,D3
IFG_100_57_4,POP26_21,E3
XXX_100_28_4,POP26_22,F3
XXX_100_51_5,POP26_23,G3
GWR_100_389_6,POP26_24,H3
GWR_100_447_2,POP26_25,A4
IFG_100_19_2,POP26_26,B4
GWR_100_497_3,POP26_27,C4
GWR_100_492_2,POP26_28,D4
XXX_100_5_3,POP26_29,E4
XXX_100_64_6,POP26_30,F4
XXX_100_63_3,POP26_31,G4
IFG_100_74_4,POP26_32,H4
GWR_100_350_2,POP26_33,A5
XXX_100_43_4,POP26_34,B5
GWR_100_210_3,POP26_35,C5
XXX_100_7_2,POP26_36,D5
GWR_100_360_2,POP26_37,E5
GWR_100_501_5,POP26_38,F5
GWR_100_477_5,POP26_39,G5
GWR_100_266_6,POP26_40,H5
GWR_100_198_4,POP26_41,A6
XXX_100_70_3,POP26_42,B6
GWR_100_386_6,POP26_43,C6
GWR_100_341_3,POP26_44,D6
XXX_100_19_4,POP26_45,E6
XXX_100_110_2,POP26_46,F6
GWR_100_143_5,POP26_47,G6
GWR_100_423_6,POP26_48,H6
XXX_100_32_2,POP26_49,A7
GWR_100_236_6,POP26_50,B7
GWR_100_178_4,POP26_51,C7
XXX_100_35_4,POP26_52,D7
GWR_100_90_4,POP26_53,E7
GWR_100_151_3,POP26_54,F7
GWR_100_342_2,POP26_55,G7
GWR_100_76_3,POP26_56,H7
GWR_100_487_3,POP26_57,A8
XXX_100_39_3,POP26_58,B8
XXX_100_42_4,POP26_59,C8
XXX_100_59_2,POP26_60,D8
IFG_100_84_3,POP26_61,E8
GWR_100_457_3,POP26_62,F8
GWR_100_415_4,POP26_63,G8
GWR_100_141_4,POP26_64,H8
XXX_100_72_2,POP26_65,A9
GWR_100_193_2,POP26_66,B9
GWR_100_326_4,POP26_67,C9
GWR_100_504_6,POP26_68,D9
IFG_100_33_2,POP26_69,E9
GWR_100_257_2,POP26_70,F9
XXX_100_60_3,POP26_71,G9
XXX_100_74_2,POP26_72,H9
IFG_100_4_2,POP26_73,A10
GWR_100_58_4,POP26_74,B10
XXX_100_44_3,POP26_75,C10
GWR_100_316_3,POP26_76,D10
IFG_100_61_4,POP26_77,E10
IFG_100_86_3,POP26_78,F10
GWR_100_156_2,POP26_79,G10
GWR_100_123_4,POP26_80,H10
GWR_100_110_2,POP26_81,A11
XXX_100_127_3,POP26_82,B11
GWR_100_254_2,POP26_83,C11
GWR_100_352_4,POP26_84,D11
GWR_100_83_4,POP26_85,E11
