Number	Old.Name	Bulk	Seq.Name	Comments
1	GWR_100_119	1	POP28_04	
2	XXX_100_64	1	POP26_30	
3	GWR_100_241	1	POP26_19	
4	GWR_100_336	1	POP29_65	"mixed with POP25_65, can be kept"
5	GWR_100_180	1	POP27_37	
6	XXX_100_37	1	POP25_30	
7	GWR_100_276	1	POP26_03	
8	XXX_100_128	1	POP27_07	
9	XXX_100_30	1	POP25_47	
10	GWR_100_39	1	POP27_08	
11	GWR_100_156	1	POP26_79	
12	GWR_100_273	1	POP30_65	
13	GWR_100_24	1	POP27_89	
14	GWR_100_133	1	POP27_63	
15	GWR_100_222	1	POP29_81	
16	GWR_100_28	1	POP28_13	
17	GWR_100_194	1	POP31_52	
18	GWR_100_437	1	POP25_65	"mixed with POP29_65, can be kept"
19	GWR_100_46	1	POP31_49	
20	GWR_100_315	1	POP30_38	
21	GWR_100_377	1	POP28_10	
22	GWR_100_438	1	POP27_74	
23	GWR_100_53	1	POP31_32	
24	GWR_100_447	1	POP26_25	
25	XXX_100_11	1	POP27_84	
26	GWR_100_334	1	POP26_91	
27	GWR_100_195	1	POP25_33	
28	GWR_100_426	1	POP30_56	
29	GWR_100_40	1	POP27_26	
30	GWR_100_107	1	POP26_02	
31	IFG_100_462	1	POP30_11	
32	GWR_100_431	2	POP28_22	
33	GWR_100_122	2	POP30_21	
34	GWR_100_227	2	POP25_80	
35	XXX_100_167	2	POP28_64	
36	GWR_100_147	2	POP28_80	
37	GWR_100_360	2	POP26_37	
38	XXX_100_51	2	POP26_23	
39	XXX_100_54	2	POP31_68	
40	GWR_100_200	2	POP25_73	
41	XXX_100_163	2	POP28_44	
42	XXX_100_139	2	POP29_62	
43	GWR_100_212	2	POP29_07	
44	GWR_100_352	2	POP26_84	"mixed with POP30_84, can be kept"
45	GWR_100_3	2	POP28_84	
46	XXX_100_233	2	POP28_50	
47	GWR_100_2	2	POP29_87	
48	XXX_100_68	2	POP28_49	
49	GWR_100_110	2	POP26_81	
50	XXX_100_117	2	POP27_70	
51	XXX_100_161	2	POP30_84	"mixed with POP26_84, can be kept"
52	XXX_100_118	2	POP25_54	
53	GWR_100_370	2	POP25_64	
54	GWR_100_89	2	POP28_23	
55	XXX_100_59	2	POP26_60	
56	GWR_100_248	2	POP30_10	
57	XXX_100_124	2	POP28_53	
58	GWR_100_301	2	POP25_83	
59	XXX_100_66	2	POP27_81	
60	GWR_100_415	2	POP26_63	
61	GWR_100_14	2	POP25_95	
62	XXX_100_60	2	POP26_71	
