File	Type	#Aligned	All	%Mapped
POP25_02	s	1475622	1871221	78.8587772369
POP25_03	s	1161583	1475928	78.7018743462
POP25_04	s	1821051	2307179	78.9297666111
POP25_05	s	402545	513902	78.3310825799
POP25_07	s	364728	475839	76.6494549627
POP25_08	s	683759	881949	77.528179067
POP25_09	s	529424	688112	76.9386378962
POP25_10	s	1681521	2197381	76.5238709172
POP25_12	s	753508	957426	78.701434889
POP25_13	s	324846	413321	78.5941193407
POP25_14	s	842936	1164500	72.38608845
POP25_15	s	669622	873790	76.6342027261
POP25_16	s	712422	919631	77.4682454158
POP25_18	s	1145780	1486762	77.0654617215
POP25_19	s	1258953	1619585	77.7330612472
POP25_20	s	455079	577897	78.7474238489
POP25_21	s	468154	602327	77.7242262094
POP25_23	s	826399	1059637	77.9888773231
POP25_24	s	352347	450306	78.2461259677
POP25_26	s	777488	988872	78.6237248097
POP25_27	s	632542	799188	79.1480853066
POP25_28	s	495527	631097	78.5183577168
POP25_29	s	794354	1009386	78.6967522831
POP25_30	s	373856	476846	78.401832038
POP25_32	s	283019	363234	77.9164395404
POP25_33	s	437983	561634	77.9837046902
POP25_34	s	777127	996952	77.9502924915
POP25_35	s	916709	1180762	77.6370682661
POP25_36	s	873893	1150432	75.9621603015
POP25_38	s	553247	710259	77.8936979327
POP25_40	s	336302	433972	77.4939397012
POP25_41	s	572653	736106	77.7949099722
POP25_42	s	677826	852224	79.5361313457
POP25_43	s	613393	780413	78.5985113011
POP25_47	s	651157	839376	77.5763185986
POP25_48	s	238145	303694	78.4161030511
POP25_49	s	293842	376300	78.0871644964
POP25_50	s	902716	1153338	78.2698567116
POP25_51	s	918961	1167277	78.7269002987
POP25_54	s	307881	392879	78.3653491278
POP25_55	s	931494	1188244	78.3924850452
POP25_56	s	232782	298489	77.9867934832
POP25_57	s	355015	457038	77.6773484918
POP25_60	s	370968	464881	79.7984860642
POP25_62	s	739313	945958	78.1549497969
POP25_64	s	301508	385184	78.2763562349
POP25_65	s	281932	363937	77.4672539478
POP25_67	s	866182	1116418	77.5858146322
POP25_68	s	512319	650477	78.7605095953
POP25_69	s	1323599	1691318	78.2584351376
POP25_70	s	411504	530308	77.5971699465
POP25_72	s	408015	523521	77.9367016796
POP25_73	s	214197	275741	77.6805045314
POP25_74	s	602707	765956	78.686895853
POP25_77	s	529672	682756	77.5785199984
POP25_79	s	808094	1035279	78.0556738811
POP25_80	s	71232	91817	77.5804045003
POP25_81	s	324906	414829	78.3228752088
POP25_83	s	735080	940413	78.1656570039
POP25_84	s	597559	753972	79.254799913
POP25_85	s	1039765	1297224	80.1530807324
POP25_88	s	348694	446868	78.0306488717
POP25_89	s	414546	533682	77.6765939267
POP25_90	s	1205683	1547340	77.9197202942
POP25_91	s	710541	907683	78.2807433873
POP25_92	s	239198	304097	78.6584543748
POP25_94	s	459349	592287	77.5551379652
POP25_95	s	684745	880533	77.7648310739
POP25_96	s	601638	766431	78.498651542
POP26_02	s	846296	1081383	78.2605237922
POP26_03	s	472461	599443	78.8166681403
POP26_04	s	1210698	1536643	78.7885019487
POP26_05	s	952011	1206629	78.8984020772
POP26_06	s	188122	260540	72.2046518769
POP26_07	s	874571	1119643	78.1115944993
POP26_08	s	864297	1098197	78.7014533822
POP26_09	s	948030	1204852	78.684352933
POP26_10	s	948507	1205227	78.6994483197
POP26_12	s	239932	329295	72.8623270927
POP26_13	s	796273	1001756	79.4877195644
POP26_14	s	822019	1053116	78.0558836823
POP26_15	s	739283	941620	78.5118200548
POP26_19	s	129299	187980	68.7833812108
POP26_20	s	229432	303623	75.5647628803
POP26_22	s	214717	297338	72.2131042786
POP26_23	s	854695	1080912	79.0716543067
POP26_24	s	119595	177039	67.5529120702
POP26_25	s	744623	948652	78.4927454957
POP26_27	s	292172	378180	77.2573906605
POP26_28	s	739158	941131	78.5393319315
POP26_29	s	581069	743529	78.1501461275
POP26_30	s	320902	434061	73.9301618897
POP26_31	s	589405	753515	78.2207388041
POP26_33	s	685707	863545	79.4060529561
POP26_35	s	500207	634628	78.8189301449
POP26_37	s	538951	685348	78.6390271804
POP26_38	s	584225	743107	78.6192298014
POP26_39	s	637513	810567	78.6502534646
POP26_40	s	641708	813335	78.8983629132
POP26_41	s	898254	1149472	78.1449221904
POP26_42	s	814069	1037328	78.4774921722
POP26_43	s	489277	624996	78.2848210229
POP26_44	s	756122	966735	78.2139883215
POP26_46	s	732312	924516	79.210311125
POP26_47	s	724453	923363	78.4580928627
POP26_48	s	554167	707287	78.3510795476
POP26_49	s	714583	888011	80.4700617447
POP26_50	s	589405	743164	79.3102195478
POP26_51	s	877497	1112005	78.9112459027
POP26_52	s	1095415	1401141	78.1802116989
POP26_53	s	649899	819447	79.3094611366
POP26_54	s	1282286	1641643	78.1099179298
POP26_55	s	712261	905756	78.6371826408
POP26_56	s	1307530	1675445	78.0407593207
POP26_57	s	184387	290331	63.5092360099
