Old.Name	Blup_Transfo_Density_stomata_low_year1	Blup_Transfo_Mean_NND_low_year1	Blup_Transfo_Ratio_test_low_year1	Blup_Transfo_Density_stomata_up_year1	Blup_Transfo_Mean_NND_up_year1	Blup_Transfo_Ratio_test_up_year1	Blup_Transfo_Area_2_cavities_filled_field_year1	Blup_Transfo_Perimeter_2_excl_cavities_field_year1	Blup_Transfo_Squared_Perimeter2_Area2_ratio_field_year1	Blup_Transfo_Circularity_field_year1	Blup_Transfo_Horiz_size_center_field_year1	Blup_Transfo_Horiz_size_25perc_field_year1	Blup_Transfo_Horiz_size_50perc_field_year1	Blup_Transfo_Horiz_size_75perc_field_year1	Blup_Transfo_Vert_size_center_field_year1	Blup_Transfo_Vert_size_25perc_field_year1	Blup_Transfo_Vert_size_50perc_field_year1	Blup_Transfo_Vert_size_75perc_field_year1	Blup_Transfo_Vert_size_center_Horiz_size_center_ratio_field_year1	Blup_Transfo_Horiz_size_25perc_Horiz_size_75perc_field_year1	Blup_Transfo_Vert_size25perc_Vert_size_75perc_ratio_field_year1	Blup_Transfo_Num_Indents_field_year1	Blup_Transfo_Indent_width_mean_field_year1	Blup_Transfo_Indent_depth_mean_field_year1	Blup_Transfo_Area_2_cavities_filled_field_year2	Blup_Transfo_Perimeter_2_excl_cavities_field_year2	Blup_Transfo_Squared_Perimeter2_Area2_ratio_field_year2	Blup_Transfo_Circularity_field_year2	Blup_Transfo_Horiz_size_center_field_year2	Blup_Transfo_Horiz_size_25perc_field_year2	Blup_Transfo_Horiz_size_50perc_field_year2	Blup_Transfo_Horiz_size_75perc_field_year2	Blup_Transfo_Vert_size_center_field_year2	Blup_Transfo_Vert_size_25perc_field_year2	Blup_Transfo_Vert_size_50perc_field_year2	Blup_Transfo_Vert_size_75perc_field_year2	Blup_Transfo_Vert_size_center_Horiz_size_center_ratio_field_year2	Blup_Transfo_Horiz_size_25perc_Horiz_size_75perc_field_year2	Blup_Transfo_Vert_size25perc_Vert_size_75perc_ratio_field_year2	Blup_Transfo_Num_Indents_field_year2	Blup_Transfo_Indent_width_mean_field_year2	Blup_Transfo_Indent_depth_mean_field_year2	Blup_Transfo_Area_2_cavities_filled_field_y1_y2	Blup_Transfo_Perimeter_2_excl_cavities_field_y1_y2	Blup_Transfo_Squared_Perimeter2_Area2_ratio_field_y1_y2	Blup_Transfo_Circularity_field_y1_y2	Blup_Transfo_Horiz_size_center_field_y1_y2	Blup_Transfo_Horiz_size_25perc_field_y1_y2	Blup_Transfo_Horiz_size_50perc_field_y1_y2	Blup_Transfo_Horiz_size_75perc_field_y1_y2	Blup_Transfo_Vert_size_center_field_y1_y2	Blup_Transfo_Vert_size_25perc_field_y1_y2	Blup_Transfo_Vert_size_50perc_field_y1_y2	Blup_Transfo_Vert_size_75perc_field_y1_y2	Blup_Transfo_Vert_size_center_Horiz_size_center_ratio_field_y1_y2	Blup_Transfo_Horiz_size_25perc_Horiz_size_75perc_field_y1_y2	Blup_Transfo_Vert_size25perc_Vert_size_75perc_ratio_field_y1_y2	Blup_Transfo_Num_Indents_field_y1_y2	Blup_Transfo_Indent_width_mean_field_y1_y2	Blup_Transfo_Indent_depth_mean_field_y1_y2	Blup_Transfo_PC1_year1	Blup_Transfo_PC1_year2	Blup_Transfo_PC1_y1_y2	Blup_Transfo_PC2_year1	Blup_Transfo_PC2_year2	Blup_Transfo_PC2_y1_y2	Blup_Transfo_PC3_year1	Blup_Transfo_PC3_year2	Blup_Transfo_PC3_y1_y2	Blup_Transfo_PC4_year1	Blup_Transfo_PC4_year2	Blup_Transfo_PC4_y1_y2	Blup_Transfo_PC1_PC2_year1	Blup_Transfo_PC1_PC2_year2	Blup_Transfo_PC1_PC2_y1_y2	Blup_Transfo_PC1_PC3_year1	Blup_Transfo_PC1_PC3_year2	Blup_Transfo_PC1_PC3_y1_y2	Blup_Transfo_PC2_PC3_year1	Blup_Transfo_PC2_PC3_year2	Blup_Transfo_PC2_PC3_y1_y2	Blup_Transfo_PC1_PC4_year1	Blup_Transfo_PC1_PC4_year2	Blup_Transfo_PC1_PC4_y1_y2	Blup_Transfo_PC2_PC4_year1	Blup_Transfo_PC2_PC4_year2	Blup_Transfo_PC2_PC4_y1_y2	Blup_Transfo_PC3_PC4_year1	Blup_Transfo_PC3_PC4_year2	Blup_Transfo_PC3_PC4_y1_y2
GWR_100_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.73226935	128.3563366	3.309228512	-0.265565352	31.22760765	0.123710027	23.59538605	31.1845409	28.70403432	17.28183533	26.21555248	12.86284474	-0.023112193	-0.046364556	0.002982252	12.27638228	0.36483049	0.326706435	22.8778926	111.0325675	2.92190316	-0.324906465	31.23459205	0.122144546	23.4885348	31.19583842	29.13670687	15.02917463	26.713407	11.17335697	-0.020999123	-0.045412048	0.001000992	12.29810653	0.325595863	0.325777859	NA	0.025970435	0.022350707	NA	0.036818138	0.028901269	NA	-0.004321137	-0.005390005	NA	-0.003715746	-0.002728282	NA	-0.009887614	-0.007955909	NA	0.016950822	0.014966118	NA	0.025754306	0.024101012	NA	0.013606205	0.010932988	NA	0.013275296	0.011267077	NA	-0.001935499	-0.001894283
GWR_100_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.547500988	-7.65379181	-0.025388364	-2.030982344	-0.946502148	-0.021719097	-0.149865214	-0.942170306	3.083579402	-0.931882178	3.238941582	-1.600262003	-0.001318009	-0.056995915	0.001357878	1.878445449	0.040692246	-0.011649894	-0.20961532	-4.157707209	0.073461629	-1.881699818	-0.687965437	-0.018734674	-0.204115702	-0.723421547	3.791969987	-0.624661358	4.017436858	-1.213035504	0.00046958	-0.055816126	0.000444865	2.066266585	0.035681947	-0.005541503	NA	0.055946673	0.046271595	NA	0.010399724	0.007809343	NA	0.007194253	0.009109885	NA	-0.007647486	-0.005261763	NA	0.02142936	0.016672123	NA	0.019886799	0.016996492	NA	-0.001163114	-0.001161882	NA	0.028619151	0.021931782	NA	0.005417155	0.004527028	NA	0.010283246	0.010096507
GWR_100_102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.27348057	135.2648329	4.090443563	-0.081566342	30.92932386	0.113032225	17.51203175	30.45458678	28.32415024	16.56020562	23.97208589	16.71366457	-0.026310324	-0.055674611	-4.53429E-06	21.68464271	0.331455513	0.245593254	22.42351729	116.8853684	3.585961397	-0.156512883	30.93884938	0.111804927	17.4170733	30.47101468	28.76230727	14.40831276	24.50797466	14.48458513	-0.02417929	-0.054606533	1.31695E-06	21.5237847	0.295859101	0.246502707	NA	0.035940142	0.030831567	NA	0.013861406	0.010805405	NA	0.000928121	0.001110236	NA	-0.001212922	-0.000925624	NA	0.009311653	0.007600407	NA	0.017107425	0.015102411	NA	0.007091315	0.006561122	NA	0.016750729	0.013426744	NA	0.004806461	0.004091763	NA	0.001250701	0.001241034
GWR_100_103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-17.01073102	-87.09553206	-2.306047297	-1.600860957	-25.04214344	-0.129855912	-18.71613338	-25.12312648	-17.29931076	-12.04577254	-15.42260308	-11.11714669	0.06447576	0.062657214	-0.00059829	-8.068584538	-0.419185709	-0.225223643	-16.45718895	-67.86069623	-1.764909882	-1.497855968	-24.5043958	-0.122341369	-18.72138767	-24.67241513	-16.19019061	-9.728223867	-14.21448501	-9.005792128	0.06576645	0.062009391	-0.000193253	-7.615840312	-0.362615543	-0.212661194	NA	-0.0146517	-0.011860671	NA	0.001803817	0.001278869	NA	-0.004482597	-0.005724154	NA	-0.006947907	-0.004784021	NA	-0.009286744	-0.007162405	NA	-0.002399468	-0.001861462	NA	0.005583449	0.005096878	NA	-0.00317881	-0.002314798	NA	0.002459008	0.002062685	NA	-0.000709165	-0.00068757
GWR_100_104	5.43515E-06	-9.66068092	0.003371441	0.079219657	-0.039021181	0.000769931	4.984423254	0.662113206	-0.321119134	-0.628118393	4.460386749	0.081420657	4.423776914	4.136046435	9.141610883	0.38600432	9.8728638	0.383797611	0.014838991	0.026928871	2.24024E-05	3.412558389	0.018534607	0.002819312	23.98335041	103.7352861	0.424563064	2.480683087	30.18491513	0.211258093	22.90250726	31.0428097	28.33244906	18.66525346	27.50393975	21.5989653	-0.019275933	0.036306796	-0.002517364	19.01551673	0.073770268	0.132680343	18.47320062	59.04752478	-0.014611279	1.14740966	23.00562544	0.182331834	18.37256669	23.45892961	22.97964202	10.91432612	22.65099604	12.3796715	-0.008884571	0.034939621	-0.00079481	13.58969333	0.073363829	0.092090817	0.01541614	0.03295907	0.030859261	-0.021201479	0.014968351	-0.006937683	0.012252093	-0.002041334	0.004084927	0.000399547	0.002571701	0.001828362	0.024033695	0.007005313	0.01949855	0.003128828	0.018434965	0.013126031	-0.023229601	0.010879795	-0.006531937	0.006624727	0.013339711	0.012450354	-0.012056703	0.003861518	-0.003609132	0.006126964	-0.00318661	0.000902866
GWR_100_105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.037402365	41.3108827	1.103736262	-1.647307878	15.58418988	0.080397737	9.884736434	17.52036705	9.118186563	2.744381298	9.133505195	1.207906872	-0.040106602	-0.033363477	0.001183876	2.643601602	0.235729918	0.14719152	8.262832012	35.10623783	0.983615495	-1.539305581	15.65117536	0.079104232	9.804004736	17.56200875	9.707936195	2.386623911	9.776296865	1.086390969	-0.038026067	-0.032544656	0.000388104	2.811044038	0.204602885	0.148499829	NA	-0.003564411	-0.002731151	NA	0.003850909	0.002834083	NA	-0.007933448	-0.010108048	NA	-0.002618268	-0.001827319	NA	-0.005057596	-0.003880747	NA	0.006477551	0.005649999	NA	0.010504138	0.009661782	NA	-0.000258095	-8.76942E-05	NA	0.001801674	0.00151508	NA	-0.006019461	-0.005897222
GWR_100_107	-4.15285E-07	-3.399650012	-0.016912921	0.067128906	-0.043425188	-0.011571767	-6.848577941	-1.185631385	-0.831720149	-3.76453971	-10.33971278	-0.07552903	-6.681016795	-13.40207069	-3.504163591	-0.512507292	-3.460979436	-0.450929516	0.03708245	-0.004988421	-0.000873101	-7.756051425	0.103421001	-0.077227576	7.397704903	32.96553259	0.690931221	-5.073525607	11.20786941	-0.005503474	11.72591392	8.365555472	16.96575555	3.44499813	16.71544392	1.5627881	0.003714025	-0.083272298	0.002779547	0.646456446	0.59055096	0.142106634	3.798815743	25.45236515	-0.067253568	-5.150561658	5.791486926	-0.029511191	7.111758732	2.749229268	11.40908673	2.873208176	11.04105669	1.692839439	0.015880981	-0.064071639	0.000312348	-1.911173971	0.452801755	0.072425224	-0.017066161	0.059148637	0.028611997	-0.04467538	-0.014499163	-0.037737274	0.016051971	-0.014165324	-0.006435379	-0.015045144	-0.012413764	-0.018320274	0.02234733	0.038481526	0.036323663	-0.017905512	0.042093929	0.019043433	-0.043981623	0.003523035	-0.01866837	0.002029878	0.033475934	0.022650289	-0.015924606	-0.001443811	-0.008277497	0.022986666	-0.005072341	0.006736884
GWR_100_108	2.25709E-05	-22.62067729	0.007691385	0.116978296	-0.069579283	-0.011199864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-26.35478186	-123.8945978	-1.627168507	-1.105881292	-37.61772698	-0.225988511	-30.02948134	-37.84324117	-29.55283674	-20.44697698	-25.7890894	-18.89365227	0.029956312	-0.030448322	-0.001937904	-18.16210732	-0.242240295	-0.152910717	-25.73694938	-102.6716058	-1.274195079	-1.093953053	-37.02424235	-0.216478491	-30.03149742	-37.34679226	-28.27909528	-17.43121409	-24.40958251	-16.13329764	0.031771281	-0.029693392	-0.00064578	-17.54967577	-0.215297988	-0.142971144	NA	0.027265354	0.023452246	NA	-0.0553768	-0.043772274	NA	0.003301167	0.004048818	NA	-0.012099211	-0.008766469	NA	0.051612433	0.041874856	NA	0.010612233	0.009449554	NA	-0.035338008	-0.033314892	NA	0.018390401	0.014727082	NA	-0.015104616	-0.012778118	NA	0.008650538	0.008522699
GWR_100_11	5.83611E-06	-5.935249491	0.023037671	0.060999718	-0.021750301	0.009598135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-38.0352373	-172.5673362	-1.609154055	-7.146050059	-57.88068867	-0.306127276	-42.94970548	-61.53268599	-36.7588404	-23.48515147	-35.25362981	-25.70655629	0.206421001	0.157810054	0.00588886	-26.18680004	-0.370315677	-0.337587926	-37.30504079	-143.906606	-1.258882208	-6.621839608	-57.11458187	-0.294079136	-42.92646287	-60.86973938	-35.38106408	-20.04514013	-33.71366734	-21.99155137	0.207244721	0.156228029	0.001973831	-25.41863655	-0.329411842	-0.323463559	NA	-0.136879623	-0.116179802	NA	0.022531198	0.017639452	NA	0.000442213	0.000508529	NA	-0.020435983	-0.014771026	NA	-0.082716462	-0.066965901	NA	-0.068599968	-0.05948994	NA	0.012854788	0.011977761	NA	-0.052193376	-0.04124919	NA	0.013858109	0.011760872	NA	0.01042989	0.010273636
GWR_100_110	8.49537E-06	-12.55338148	0.011094024	0.038257426	-0.026106053	-0.008552786	-7.474417735	-1.175441305	-0.507607957	0.678138564	-8.717110512	-0.061712212	-8.385700042	-6.11929324	-11.43209144	-0.442334139	-9.693101818	-0.473666517	-0.022963966	-0.040857771	0.000121246	-4.119759858	-0.025237221	-0.098012925	-27.00015887	-132.2685521	-2.763602713	0.654014713	-37.62081095	-0.216084821	-28.09651195	-36.45467317	-32.87860516	-20.24026309	-30.68291434	-20.07372632	0.006450904	-0.014968323	-0.000509653	-16.12710309	-0.703555388	-0.306008351	-16.71554012	-60.51129131	-1.786628076	0.98152585	-21.96393166	-0.146261381	-17.53817328	-19.56217283	-22.45818256	-9.407884283	-20.60243028	-9.405579588	-0.019263528	-0.037741547	-7.41421E-05	-9.744855833	-0.397408808	-0.212441136	0.026868398	0.033916684	0.039890465	0.034053142	-0.015599272	0.016925008	0.013867172	-0.002278117	0.004686791	-0.000307113	-0.009251106	-0.005066473	-0.009425271	0.028313864	0.008895266	0.008788261	0.019241197	0.017127145	0.019633008	-0.006618828	0.008227053	0.012199665	0.019743534	0.020243011	0.019154618	-0.002640679	0.008325215	0.007841189	0.002378763	0.00560048
