Old.Name	Blup_Transfo_AUC_bud_burst_y1	Blup_Transfo_bud_burst_y1	Blup_Transfo_AUC_bud_burst_y2	Blup_Transfo_bud_burst_y2	Blup_Transfo_AUC_color_y1	Blup_Transfo_AUC_drop_y1	Blup_Transfo_color_y1	Blup_Transfo_drop_y1	Blup_Transfo_AUC_color_y2	Blup_Transfo_AUC_drop_y2	Blup_Transfo_color_y2	Blup_Transfo_drop_y2	Blup_Transfo_AUC_color_y3	Blup_Transfo_AUC_drop_y3	Blup_Transfo_color_y3	Blup_Transfo_drop_y3	Blup_Transfo_height_y2	Blup_Transfo_dbh_y2	Blup_Transfo_dbase_y2	Blup_Transfo_vol_y2	Blup_Transfo_weight_y2	Blup_Transfo_AUC_dbase	Blup_Transfo_AUC_dbh	Blup_Transfo_AUC_height	Blup_Transfo_AUC_vol	Blup_Transfo_cop1	Blup_Transfo_cop2	Blup_Transfo_growth_duration_y1	Blup_Transfo_growth_duration_y2	Blup_Transfo_AUC_bud_burst_y1_y2	Blup_Transfo_bud_burst_y1_y2	Blup_Transfo_AUC_color_y1_y2_y3	Blup_Transfo_AUC_drop_y1_y2_y3	Blup_Transfo_color_y1_y2_y3	Blup_Transfo_drop_y1_y2_y3	Blup_Transfo_growth_duration_y1_y2	Blup_Transfo_time_serie_color_y1	Blup_Transfo_time_serie_color_y2	Blup_Transfo_time_serie_color_y3	Blup_Transfo_time_serie_dbase	Blup_Transfo_time_serie_dbh	Blup_Transfo_time_serie_drop_y1	Blup_Transfo_time_serie_drop_y2	Blup_Transfo_time_serie_drop_y3	Blup_Transfo_time_serie_height	Blup_Transfo_time_serie_bud_burst_y1	Blup_Transfo_time_serie_bud_burst_y2	Blup_Transfo_time_serie_vol	Blup_Transfo_time_serie_color_y1_y2_y3	Blup_Transfo_time_serie_drop_y1_y2_y3	Blup_Transfo_time_serie_bud_burst_y1_y2	Blup_Transfo_bud_burst_y1_v2	Blup_Transfo_bud_burst_y2_v2	Blup_Transfo_color_y1_v2	Blup_Transfo_drop_y1_v2	Blup_Transfo_color_y2_v2	Blup_Transfo_drop_y2_v2	Blup_Transfo_color_y3_v2	Blup_Transfo_drop_y3_v2	Blup_Transfo_growth_duration_y1_v2	Blup_Transfo_growth_duration_y2_v2	Blup_Transfo_bud_burst_y1_y2_v2	Blup_Transfo_color_y1_y2_y3_v2	Blup_Transfo_drop_y1_y2_y3_v2	Blup_Transfo_growth_duration_y1_y2_v2	Blup_Transfo_time_serie_dbh_v2	Blup_Transfo_time_serie_bud_burst_y2_v2	Blup_Transfo_time_serie_bud_burst_y1_y2_v2
GWR_100_1	NA	NA	3541.377691	-4.983294552	NA	NA	NA	NA	-27.5493114	-2.650700558	2995.450015	479.3379662	-5653.957164	-18.8749501	-122.6714187	1730.497369	4.317166517	1.091768733	1.609661678	0.738853541	0.649376163	0.087479708	0.028343428	28.54479244	0.310401164	0.130537306	0.634273573	NA	4655.295113	3681.755555	-4.55602999	-2359.902525	-8.515207506	1565.790259	1126.58889	4707.511007	NA	-0.749341786	-0.817803419	0.189203559	0.128554752	NA	-0.51722741	-0.116092989	0.192571389	NA	0.755556458	0.557012788	-0.781011192	-0.238605283	0.875948153	NA	-4.983294552	NA	NA	2623.516832	1085.71904	718.4869897	5386.582514	NA	4223.968666	-4.556019124	1775.761896	3247.299058	4301.444983	0.07736586	0.755556458	0.875948153
GWR_100_10	NA	NA	-2086.379933	1.062383446	NA	NA	NA	NA	16.5186862	1.521537564	461.0774499	420.6216927	2466.784632	4.904206083	-1661.056238	20.83364939	-0.137737229	-0.545180007	-0.093485785	0.107277621	0.082411872	-0.00571979	-0.094649185	-8.22975006	-0.017302132	-0.235934678	0.001396303	NA	-348.0822008	-1431.804272	0.756192078	1097.075727	3.900814954	-664.6745256	190.2978327	-73.74886952	NA	0.501879464	0.802356871	0.011020658	-0.08842273	NA	0.372680534	0.064107998	0.016712531	NA	-0.286561332	0.034130064	0.749488964	0.165319869	-0.179412753	NA	1.062383446	NA	NA	-2144.771354	-1100.767838	-1316.820978	-236.1163286	NA	-2411.921812	0.756184884	-1935.64012	-1003.831573	-1999.292189	-0.03755927	-0.286561332	-0.179412753
GWR_100_102	NA	NA	426.4635454	-1.490158293	NA	NA	NA	NA	-22.2687193	-1.452287351	2995.450015	479.3379662	-1798.005818	-5.805886755	809.9491092	1730.497369	4.706818523	1.122051072	1.475861154	0.764461035	0.753176307	0.145279216	0.08095772	23.1709545	0.409048944	0.524568717	1.586775016	NA	2960.660504	835.0988521	-1.471050843	-694.6383501	-2.039274868	2084.830969	1126.58889	3093.809986	NA	-0.625524193	-0.418242618	0.224653188	0.169171298	NA	-0.299145187	0.005445649	0.194283289	NA	0.22652876	0.627733926	-0.457820473	-0.080495446	0.343533726	NA	-1.490158293	NA	NA	2623.516832	1085.71904	-13.51326132	2656.304343	NA	2647.666035	-1.471050214	1374.64138	1750.430237	2801.167773	0.124237861	0.22652876	0.343533726
GWR_100_103	NA	NA	213.5638181	1.062383446	NA	NA	NA	NA	32.29956227	1.950784661	-3774.859245	-1546.504447	12191.93898	34.98387601	-2683.03482	-7715.664237	-3.476956258	NA	-1.313990412	-0.880696904	-0.83209379	-0.197250055	NA	-26.11059265	-0.57560744	-0.229277468	-0.646013846	NA	-3823.92493	596.0951927	0.756192078	5092.584273	17.33919135	-3540.868426	-5189.503654	-3321.499207	NA	0.950197641	2.620929748	-0.307150442	NA	NA	0.367340714	0.138066123	-0.238853443	NA	0.074270331	-0.839982026	2.196716764	0.222795756	0.184710182	NA	1.062383446	NA	NA	-2144.771354	-2918.920242	-3240.300921	-4482.125166	NA	-2411.921812	0.756184884	-3024.874877	-4408.816568	-1999.292189	-0.168415137	0.074270331	0.184710182
GWR_100_104	-5780.204674	0.014184402	6107.061884	-2.718406258	-11524.90279	-28.26385688	2026.841521	-10.72425548	5.300041983	0.86518431	3817.062968	404.9472094	-3597.572178	3.475807792	1911.31166	1721.039965	3.160628849	0.63864159	0.93250707	0.483178575	0.452891917	0.084910904	0.066452236	21.56757204	0.25064537	0.036981508	0.276867958	956.4794957	4252.23526	353.4622668	-1.593687818	-5160.715851	-8.903004728	3336.429895	1075.84349	2966.125892	-3.859825778	-0.020044351	-0.737156483	0.132697784	0.082305411	-0.161414755	0.115237804	0.029705052	0.095451171	-1.348150883	1.244796053	0.393804922	-1.662844649	-0.010219988	0.00081798	0.014194088	-2.718406258	2230.459171	3013.350653	1283.417083	1621.171075	-458.2356219	-1994.019008	949.0117131	2080.59202	-1.593678388	1479.886324	1258.77258	1849.552922	0.074598306	1.244796053	0.00081798
GWR_100_105	NA	NA	5191.692531	-3.043872826	NA	NA	NA	NA	-10.80917236	0.638257138	2723.250219	420.6216927	-7841.774198	-7.835418829	2993.607075	3074.171482	2.549846044	0.405612208	0.665106122	0.454449589	0.464123166	0.161329644	0.122486295	35.13913428	0.478951813	-0.014839113	0.328499583	NA	3554.885277	4985.395821	-2.704236337	-3142.347803	-2.090236735	3249.240404	1871.023886	3573.097358	NA	-0.305093254	-1.586748674	0.181175486	0.13185743	NA	0.094225747	0.010150993	0.177639747	NA	0.91621088	0.523448609	-1.214605908	0.039676515	1.034330365	NA	-3.043872826	NA	NA	-251.543406	-67.2317842	858.2946071	746.8164604	NA	895.4137177	-2.704228073	331.3416406	121.8748097	1091.383135	0.149560598	0.91621088	1.034330365
GWR_100_107	870.4886043	0.001000967	-3210.526713	-0.138231784	-20997.40226	-14.08690357	7332.389833	1904.241947	-19.47330164	0.120691792	3791.606851	489.3520033	-21659.73141	-15.93656609	9424.722729	8215.331488	1.796966251	-0.076155693	0.154270357	0.286536315	0.204836081	0.076005193	0.005731629	26.68100522	0.259164665	-0.513169606	-0.814937344	6945.030343	2939.4153	-1216.639729	-0.319984893	-13094.23934	-9.946361226	7994.985568	4344.926686	5067.525235	-10.36524745	-0.792512447	-4.122439747	0.076781414	0.0090836	-0.121914834	-0.040074619	-0.043920445	0.191017312	0.115090731	-0.540887696	0.30548838	-4.731353606	-0.065107095	-0.169451297	0.001013654	-0.138231784	6854.615262	6479.593852	6127.523373	2076.814209	3386.12833	7737.210498	5934.575616	4752.001816	-0.319980674	6069.932865	5878.105395	5792.914401	0.019822387	-0.540887696	-0.169451297
GWR_100_108	NA	NA	-23286.03982	13.6467655	NA	NA	NA	NA	7.469351972	0.861030051	1336.592667	479.3379662	2972.917035	8.570082929	809.9491092	-1683.41464	-1.385987654	-0.049712211	-0.403675038	-0.094595382	-0.07535686	-0.008202882	0.008249418	-0.285072295	0.014593588	-0.045505791	0.224144554	NA	-5351.853863	-20835.27583	11.89719213	1375.578986	5.526381113	1208.491877	-706.9734971	-4821.709293	NA	0.179290163	0.455796633	-0.026926835	-0.008667976	NA	0.146803222	0.017033798	-2.35E-05	NA	-4.894459353	-0.056702918	0.404021446	0.060322382	-4.810237931	NA	13.6467655	NA	NA	1825.64438	311.5462061	-1464.914792	-2252.295718	NA	-4577.885739	11.8971484	153.3295131	-1356.532962	-4075.894056	0.008877693	-4.894459353	-4.810237931
GWR_100_11	NA	NA	-6593.920374	7.824871733	NA	NA	NA	NA	24.97868366	1.337691081	-3428.4884	-1015.145493	9222.499195	-20.96600024	-4922.224239	592.5266992	-5.817115181	-1.899976673	-1.561059757	-0.930856811	-0.687664733	-0.199211939	-0.084481795	-36.82708439	-0.580284173	-0.009123673	-0.668196322	NA	-6437.300492	-5580.687268	6.755560217	4078.359467	-7.694022198	-4498.98346	-308.7013288	-5855.316374	NA	0.736469332	1.579561384	-0.29095654	-0.379783448	NA	0.296384075	-0.127443393	-0.271559502	NA	-1.529843196	-0.845107011	1.373593605	-0.006715943	-1.424082173	NA	7.824871733	NA	NA	-981.5217757	311.5462061	881.5176824	2656.304343	NA	-4207.643068	6.755533546	-59.58884736	1334.5959	-3723.50827	-0.132316211	-1.529843196	-1.424082173
GWR_100_110	-5885.037114	0.022590887	425.5941598	-0.971838129	27643.70658	105.5665823	-3976.167272	-5636.645672	29.75752116	2.346596635	-5916.855921	404.9472094	27046.25043	-26.11673928	-5174.525289	-3185.288429	-4.987543635	-1.814037683	-1.678905007	-0.77505186	-0.794265578	-0.15851357	-0.173817906	-51.57080665	-0.441586167	-0.359811676	-1.211620451	-5211.188368	-4380.452987	-2562.085447	-0.71824236	16200.56316	27.88930082	-5768.113647	-3076.303085	-4984.973013	8.661888119	0.722861208	6.486866153	-0.165807838	-0.224073213	0.575902958	0.433776603	-0.233235707	-0.061742414	-1.387170659	0.229062874	-0.457899872	5.874152826	0.128849243	-0.525742229	0.02259866	-0.971838129	-13484.82392	-20204.37847	-3374.761435	-3041.683194	-7007.967018	2428.18077	-12557.68669	-2355.391843	-0.71823457	-9194.201636	-7568.143739	-7892.176408	-0.136040734	0.229062874	-0.525742229
