Genotype,BLUP_tree_height,BLUP_mvd,BLUP_cmvd,BLUP_cvf,BLUP_vgi
GWR_100_104,62.87075,27.6268,0.013259327,-0.033408416,1.446725
GWR_100_105,41.87381,26.34009,0.036413561,-0.030020398,1.393627
GWR_100_107,51.22292,23.36011,-0.036770118,0.050917811,1.564368
GWR_100_108,34.52694,19.7236,-0.041894626,-0.047467403,1.389935
GWR_100_11,49.5763,26.71794,0.026809002,0.029859127,1.574484
GWR_100_111,74.81622,28.58018,0.011888202,0.007590245,1.531727
GWR_100_116,95.55336,30.16031,0.015141612,-0.030337813,1.432396
GWR_100_117,104.91469,31.17042,0.017208535,0.006861523,1.489309
GWR_100_119,81.8076,28.8339,0.007646712,0.004756021,1.445016
GWR_100_121,35.2883,22.01204,-0.008638511,0.053144995,1.48077
GWR_100_123,49.10218,23.67374,-0.026551423,0.044947775,1.397744
GWR_100_124,44.70014,25.13646,0.010010227,0.003903974,1.620149
GWR_100_125,59.056,26.94941,0.008882409,0.042425057,1.533066
GWR_100_126,64.26991,25.77534,-0.014294142,0.055683797,1.48629
GWR_100_13,98.39731,29.98208,0.010183687,-0.017472355,1.519568
GWR_100_130,59.056,25.86975,-0.005358849,0.032435065,1.479287
GWR_100_132,47.40204,22.06625,-0.041838808,-0.006834373,1.381668
GWR_100_133,103.01873,28.54315,-0.016564671,0.018594475,1.452502
GWR_100_135,67.11386,26.58911,-0.00373186,0.02890505,1.453224
GWR_100_139,40.92582,24.19477,0.014182757,-0.042422886,1.416895
GWR_100_144,59.293,26.26569,0.001176304,0.002842486,1.469815
GWR_100_149,73.27575,29.83262,0.031428484,0.029835307,1.45465
GWR_100_150,48.62819,27.61744,0.042552291,-0.055076661,1.426679
GWR_100_151,64.38841,30.47559,0.05107953,-0.05153906,1.40843
GWR_100_152,37.72638,25.40948,0.037919358,-0.039105653,1.361683
GWR_100_154,37.13389,22.95408,-0.002418462,0.023685925,1.418871
GWR_100_156,103.84821,29.19498,-0.007634557,-0.014568395,1.460081
GWR_100_157,73.03876,30.86375,0.04651218,-0.054220963,1.453335
GWR_100_158,59.293,26.31485,-0.000841868,0.066877652,1.4236
GWR_100_159,109.53611,30.06033,-0.001010127,0.008934174,1.544473
GWR_100_160,53.96059,26.4191,0.014727721,-0.009917729,1.527155
GWR_100_167,92.06798,23.73743,-0.083373614,-0.002941919,1.430667
GWR_100_169,60.24098,25.39295,-0.0058373,0.00399926,1.439411
GWR_100_170,59.293,29.74585,0.048508589,-0.029419679,1.501025
GWR_100_172,63.55892,27.43742,0.008285684,0.038071344,1.562987
GWR_100_173,60.47798,26.65929,0.001874102,0.06130033,1.517754
GWR_100_175,65.45489,27.30018,0.011974851,-0.024310297,1.494298
GWR_100_178,56.23139,27.10133,0.01811894,-0.025439159,1.33793
GWR_100_179,86.54752,30.62532,0.026929012,0.017753843,1.573575
GWR_100_182,62.13695,25.39947,-0.022116379,0.027279141,1.389922
GWR_100_183,80.03013,28.39165,0.005056405,0.005180836,1.438328
GWR_100_19,46.02123,25.66399,0.013919126,-0.035170466,1.502621
GWR_100_193,74.22373,29.24524,0.021079984,-0.004902161,1.591692
GWR_100_195,80.14863,30.52066,0.035108931,-0.011388473,1.505399
GWR_100_198,88.79898,28.27006,-0.008184869,0.002669941,1.482446
GWR_100_20,61.30746,26.70412,0.001810287,-0.029635197,1.431875
GWR_100_21,64.11319,24.41677,-0.033565517,-0.02284667,1.456144
GWR_100_210,74.46073,27.64816,0.00232157,-0.00040533,1.493501
GWR_100_212,31.96518,20.97715,-0.018918895,0.089233824,1.54874
GWR_100_213,114.63152,27.49607,-0.04017153,0.050434553,1.461405
GWR_100_217,91.16894,27.59936,-0.019907316,0.012526214,1.426827
GWR_100_22,64.9809,28.19286,0.019491458,-0.008051705,1.382702
GWR_100_221,46.13973,24.98793,0.012338641,0.010294652,1.492835
GWR_100_224,78.48966,28.20334,0.001180721,-0.000224416,1.484485
GWR_100_233,54.31609,27.98397,0.035229776,-0.041250515,1.453957
GWR_100_236,72.80176,24.46477,-0.051697088,-0.005972577,1.437503
GWR_100_240,52.30162,22.20561,-0.060129706,0.095555207,1.545259
