Sample,Group
GWR_100_246,1
GWR_100_24,1
XXX_100_11,1
XXX_100_33,1
GWR_100_133,1
GWR_100_119,1
IFG_100_462,1
GWR_100_324,1
GWR_100_214,1
XXX_100_31,1
XXX_100_5,1
GWR_100_180,1
XXX_100_64,1
GWR_100_13,1
GWR_100_1,1
GWR_100_48,1
GWR_100_271,1
GWR_100_413,1
GWR_100_187,1
XXX_100_2,1
XXX_100_37,1
GWR_100_65,1
GWR_100_95,1
GWR_100_74,1
GWR_100_84,1
XXX_100_101,1
XXX_100_128,1
GWR_100_70,1
GWR_100_158,1
GWR_100_179,1
GWR_100_215,1
GWR_100_319,1
XXX_100_108,1
GWR_100_50,1
GWR_100_46,1
GWR_100_53,1
GWR_100_438,1
GWR_100_102,1
GWR_100_277,1
GWR_100_156,1
GWR_100_431,2
XXX_100_167,2
XXX_100_54,2
XXX_100_175,2
GWR_100_227,2
GWR_100_122,2
GWR_100_415,2
GWR_100_442,2
GWR_100_212,2
GWR_100_147,2
XXX_100_67,2
XXX_100_233,2
GWR_100_476,2
GWR_100_400,2
GWR_100_11,2
XXX_100_61,2
XXX_100_29,2
XXX_100_163,2
XXX_100_51,2
GWR_100_129,2
XXX_100_57,2
GWR_100_252,2
GWR_100_134,2
GWR_100_110,2
GWR_100_162,2
GWR_100_151,2
XXX_100_105,2
XXX_100_93,2
XXX_100_118,2
XXX_100_13,2
XXX_100_249,2
GWR_100_19,2
GWR_100_200,2
GWR_100_360,2
GWR_100_152,2
GWR_100_89,2
GWR_100_352,2
GWR_100_58,2
XXX_100_133,2
XXX_100_130,2
