"","Sample","Group","Seq.Name"
"1","GWR_100_119",1,"POP28_04POP29_53"
"2","GWR_100_324",1,"POP29_77"
"3","XXX_100_64",1,"POP26_30"
"4","GWR_100_241",1,"POP26_19"
"5","GWR_100_336",1,"POP29_65"
"6","GWR_100_180",1,"POP27_37POP29_23"
"7","XXX_100_37",1,"POP25_30POP29_21"
"8","GWR_100_276",1,"POP26_03POP29_66"
"9","XXX_100_128",1,"POP27_07"
"10","XXX_100_30",1,"POP25_47"
"11","GWR_100_39",1,"POP27_08"
"12","GWR_100_156",1,"POP26_79"
"13","GWR_100_185",1,"POP30_54POP31_79"
"14","GWR_100_273",1,"POP30_65"
"15","GWR_100_24",1,"POP27_89"
"16","GWR_100_133",1,"POP27_63"
"17","XXX_100_110",1,"POP26_46"
"18","GWR_100_222",1,"POP29_81"
"19","GWR_100_28",1,"POP28_13"
"20","GWR_100_194",1,"POP31_52"
"21","GWR_100_285",1,"POP30_27"
"22","GWR_100_437",1,"POP25_65"
"23","GWR_100_46",1,"POP31_49POP31_57"
"24","GWR_100_315",1,"POP30_38"
"25","GWR_100_377",1,"POP28_10"
"26","GWR_100_438",1,"POP27_74"
"27","GWR_100_53",1,"POP31_32POP31_55"
"28","GWR_100_447",1,"POP26_25POP29_05POP29_75"
"29","XXX_100_11",1,"POP27_84"
"30","GWR_100_334",1,"POP26_91POP28_40"
"31","GWR_100_195",1,"POP25_33"
"32","GWR_100_426",1,"POP30_56"
"33","GWR_100_40",1,"POP27_26"
"34","XXX_100_50",1,"POP27_51"
"35","GWR_100_444",1,"POP30_15"
"36","GWR_100_107",1,"POP26_02"
"37","GWR_100_304",1,"POP25_79"
"38","GWR_100_296",1,NA
"39","IFG_100_462",1,"POP30_11"
"40","XXX_100_234",1,"POP31_23"
"41","GWR_100_431",2,"POP28_22"
"42","GWR_100_122",2,"POP30_21"
"43","GWR_100_227",2,"POP25_80POP29_28POP29_78"
"44","XXX_100_167",2,"POP28_64"
"45","GWR_100_147",2,"POP28_80POP29_57"
"46","GWR_100_360",2,"POP26_37"
"47","XXX_100_51",2,"POP26_23"
"48","XXX_100_54",2,"POP31_68POP31_80"
"49","GWR_100_200",2,"POP25_73"
"50","XXX_100_163",2,"POP28_44"
"51","XXX_100_139",2,"POP29_62POP30_22"
"52","GWR_100_212",2,"POP29_07POP30_61"
"53","XXX_100_13",2,NA
"54","GWR_100_352",2,"POP26_84POP28_60POP29_93"
"55","GWR_100_3",2,"POP28_84POP31_72"
"56","GWR_100_483",2,"POP25_20"
"57","XXX_100_233",2,"POP28_50POP30_75"
"58","GWR_100_2",2,"POP29_87"
"59","GWR_100_450",2,"POP25_77"
"60","XXX_100_68",2,"POP28_49"
"61","GWR_100_110",2,"POP26_81"
"62","GWR_100_497",2,"POP26_27"
"63","XXX_100_117",2,"POP27_70"
"64","XXX_100_67",2,"POP28_09"
"65","XXX_100_118",2,"POP25_54"
"66","GWR_100_370",2,"POP25_64"
"67","GWR_100_89",2,"POP28_23"
"68","GWR_100_461",2,"POP29_79"
"69","XXX_100_59",2,"POP26_60"
"70","GWR_100_248",2,"POP30_10POP31_24"
"71","XXX_100_124",2,"POP28_53POP29_48"
"72","GWR_100_301",2,"POP25_83"
"73","XXX_100_66",2,"POP27_81"
"74","GWR_100_415",2,"POP26_63"
"75","GWR_100_125",2,"POP30_41"
"76","GWR_100_14",2,"POP25_95"
"77","XXX_100_61",2,"POP29_84"
"78","XXX_100_60",2,"POP26_71"
"79","XXX_100_161",2,"POP30_84"
"80","GWR_100_19",2,"POP25_09"
