Sample,Group
GWR_100_328,1
GWR_100_117,1
GWR_100_157,1
GWR_100_179,1
GWR_100_99,1
GWR_100_195,1
GWR_100_151,1
GWR_100_116,1
GWR_100_159,1
GWR_100_13,1
XXX_100_64,1
GWR_100_327,1
GWR_100_260,1
XXX_100_35,1
GWR_100_149,1
GWR_100_170,1
XXX_100_89,1
GWR_100_254,1
GWR_100_276,1
XXX_100_232,1
IFG_100_462,1
GWR_100_426,1
GWR_100_193,1
GWR_100_156,1
GWR_100_433,1
XXX_100_247,1
GWR_100_53,1
GWR_100_119,1
GWR_100_95,1
XXX_100_74,1
GWR_100_332,1
GWR_100_52,1
GWR_100_111,1
GWR_100_133,1
GWR_100_255,1
GWR_100_62,1
GWR_100_271,1
GWR_100_183,1
GWR_100_198,1
GWR_100_308,1
GWR_100_108,2
GWR_100_292,2
XXX_100_110,2
GWR_100_212,2
GWR_100_444,2
XXX_100_56,2
GWR_100_96,2
GWR_100_447,2
XXX_100_71,2
GWR_100_349,2
GWR_100_121,2
GWR_100_132,2
GWR_100_345,2
GWR_100_240,2
GWR_100_315,2
XXX_100_66,2
GWR_100_467,2
GWR_100_273,2
GWR_100_428,2
XXX_100_165,2
GWR_100_338,2
XXX_100_61,2
GWR_100_154,2
GWR_100_350,2
GWR_100_86,2
GWR_100_107,2
GWR_100_473,2
GWR_100_335,2
GWR_100_385,2
GWR_100_123,2
GWR_100_167,2
XXX_100_158,2
GWR_100_30,2
XXX_100_170,2
GWR_100_304,2
GWR_100_414,2
GWR_100_372,2
GWR_100_263,2
GWR_100_244,2
GWR_100_401,2
