V1,data.n
Blup_Transfo_AUC_bud_burst_y1_y2,424
Blup_Transfo_bud_burst_y1_y2,424
Blup_Transfo_time_serie_bud_burst_y1_y2,424
Blup_Transfo_bud_burst_y1_y2_v2,424
Blup_Transfo_time_serie_bud_burst_y1_y2_v2,424
Blup_Transfo_AUC_bud_burst_y2,422
Blup_Transfo_bud_burst_y2,422
Blup_Transfo_time_serie_bud_burst_y2,422
Blup_Transfo_bud_burst_y2_v2,422
Blup_Transfo_time_serie_bud_burst_y2_v2,422
Blup_Transfo_AUC_color_y1_y2_y3,418
Blup_Transfo_AUC_drop_y1_y2_y3,418
Blup_Transfo_color_y1_y2_y3,418
Blup_Transfo_drop_y1_y2_y3,418
Blup_Transfo_time_serie_color_y1_y2_y3,418
Blup_Transfo_time_serie_drop_y1_y2_y3,418
Blup_Transfo_color_y1_y2_y3_v2,418
Blup_Transfo_drop_y1_y2_y3_v2,418
Blup_Transfo_AUC_color_y2,417
Blup_Transfo_AUC_drop_y2,417
Blup_Transfo_color_y2,417
Blup_Transfo_drop_y2,417
Blup_Transfo_dbase_y2,417
Blup_Transfo_time_serie_color_y2,417
Blup_Transfo_time_serie_dbase,417
Blup_Transfo_time_serie_drop_y2,417
Blup_Transfo_color_y2_v2,417
Blup_Transfo_drop_y2_v2,417
Blup_Transfo_cop1,416
Blup_Transfo_cop2,416
Blup_Transfo_growth_duration_y1_y2,416
Blup_Transfo_growth_duration_y1_y2_v2,416
Blup_Transfo_height_y2,415
Blup_Transfo_growth_duration_y2,415
Blup_Transfo_time_serie_height,415
Blup_Transfo_growth_duration_y2_v2,415
Blup_Transfo_vol_y2,414
Blup_Transfo_time_serie_vol,414
Blup_Transfo_time_serie_dbh_v2,414
Blup_Transfo_AUC_height,412
Blup_Transfo_weight_y2,410
Blup_Transfo_AUC_dbase,410
Blup_Transfo_AUC_vol,406
Blup_Transfo_AUC_color_y3,405
Blup_Transfo_AUC_drop_y3,405
Blup_Transfo_color_y3,405
Blup_Transfo_drop_y3,405
Blup_Transfo_time_serie_color_y3,405
Blup_Transfo_time_serie_drop_y3,405
Blup_Transfo_color_y3_v2,405
Blup_Transfo_drop_y3_v2,405
Blup_Transfo_AUC_dbh,366
Blup_Transfo_dbh_y2,362
Blup_Transfo_time_serie_dbh,362
