Old.Name,Blup_Transfo_AUC_bud_burst_y1_y2,Blup_Transfo_bud_burst_y1_y2,Blup_Transfo_time_serie_bud_burst_y1_y2,Blup_Transfo_bud_burst_y1_y2_v2,Blup_Transfo_time_serie_bud_burst_y1_y2_v2,Blup_Transfo_AUC_bud_burst_y2,Blup_Transfo_bud_burst_y2,Blup_Transfo_time_serie_bud_burst_y2,Blup_Transfo_bud_burst_y2_v2,Blup_Transfo_time_serie_bud_burst_y2_v2,Blup_Transfo_AUC_color_y1_y2_y3,Blup_Transfo_AUC_drop_y1_y2_y3,Blup_Transfo_color_y1_y2_y3,Blup_Transfo_drop_y1_y2_y3,Blup_Transfo_time_serie_color_y1_y2_y3,Blup_Transfo_time_serie_drop_y1_y2_y3,Blup_Transfo_color_y1_y2_y3_v2,Blup_Transfo_drop_y1_y2_y3_v2,Blup_Transfo_AUC_color_y2,Blup_Transfo_AUC_drop_y2,Blup_Transfo_color_y2,Blup_Transfo_drop_y2,Blup_Transfo_dbase_y2,Blup_Transfo_time_serie_color_y2,Blup_Transfo_time_serie_dbase,Blup_Transfo_time_serie_drop_y2,Blup_Transfo_color_y2_v2,Blup_Transfo_drop_y2_v2,Blup_Transfo_cop1,Blup_Transfo_cop2,Blup_Transfo_growth_duration_y1_y2,Blup_Transfo_growth_duration_y1_y2_v2,Blup_Transfo_height_y2,Blup_Transfo_growth_duration_y2,Blup_Transfo_time_serie_height,Blup_Transfo_growth_duration_y2_v2,Blup_Transfo_vol_y2,Blup_Transfo_time_serie_vol,Blup_Transfo_time_serie_dbh_v2,Blup_Transfo_AUC_height
GWR_100_220,6890.644678,-0.323874437,1.875372327,-0.323867386,1.875372327,-778.5378055,-0.098554064,0.05977401,-0.098554064,0.05977401,-5034.875231,-4.087431364,3832.383969,1844.92822,-1.825678681,-0.078097116,2602.788242,1719.189413,-40.27980558,-1.28618761,3817.062968,404.9472094,3.191191437,-1.072493892,0.380333861,-0.265525512,4090.583239,2395.343909,0.0096858240000000009,0.590993949,4611.428858,5245.368484,6.970182659,3019.851691,0.365734673,3195.47695,1.057060244,1.071583744,0.286893988,109.8363338
GWR_100_199,-2378.787363,-1.43734605,-0.588929455,-1.437336913,-0.588929455,3837.7477,-2.42731157,0.821573895,-2.42731157,0.821573895,-2369.294717,-8.219434619,2937.131407,1907.027641,-0.957230511,-0.087257205,2009.75231,1224.219722,-16.1002523,-1.060660907,3817.062968,404.9472094,1.588302232,-0.515314723,0.110321736,-0.165157831,2687.000161,1621.171075,0.044317438,0.728226734,785.7248485,1398.387417,4.768407504,4126.738534,0.117099664,3109.290221,0.682829333,0.32800137,0.110073064,43.29028727
GWR_100_343,635.7473066,-2.312580471,-0.020244428,-2.312569694,-0.020244428,11202.97692,-4.1738797,2.197045909,-4.1738797,2.197045909,6810.557089,18.11654427,-1530.812686,-2205.186498,1.933073554,0.083086348,-1581.756868,-2892.849289,-16.93403,-1.445202595,-1159.509076,404.9472094,-1.012878919,-0.329588334,-0.103197779,-0.269803191,2687.000161,72.825408,0.150014167,-0.226205067,-932.4030028,-212.4972531,-4.134810061,871.8279973,-0.219564522,3857.53514,-0.404959645,-0.439123459,-0.129600201,-93.19509946
GWR_100_19,-15084.07642,2.006760037,-2.793600385,2.006759729,-2.793600385,-14164.93049,3.803998184,-2.226470348,3.803998184,-2.226470348,-2511.66959,-20.86491281,-379.834766,96.19112919,-0.702092366,-0.260465668,1199.39049,3029.925823,-3.982187079,-1.281196388,-1221.889084,-1064.73933,-1.09221428,-0.077417106,-0.108702943,-0.288929076,125.7511078,1184.629452,-0.335858946,-0.583264288,-3354.495282,-1389.394558,-4.673683894,-2825.899848,-0.304505579,-1608.047135,-0.745440078,-0.551533657,-0.112317261,-70.64723159
GWR_100_333,5527.440053,-3.048708413,1.043407196,-3.048696257,1.043407196,9902.74053,-5.629353141,1.98543483,-5.629353141,1.98543483,9748.560608,22.1818203,-6076.652857,-4025.232414,3.534355487,0.263209181,-5381.37,-5401.205576,26.14448447,1.696545234,-5501.608189,-4078.503167,-1.133401267,0.660952412,-0.10012869,0.344567239,-3732.704862,-4403.574918,-0.157977164,-0.559431156,-1995.106886,-3733.325712,-3.060526225,-2008.593447,-0.069778792,-711.4700415,-0.393899093,-0.287483954,-0.06061032,-36.83172382
GWR_100_95,-1967.864207,0.866297829,-0.262462125,0.86630265,-0.262462125,-7143.150326,2.230203443,-1.14640914,2.230203443,-1.14640914,-11366.16089,-34.3366851,4867.074098,1844.92822,-4.118924629,-0.385321405,5787.256458,6019.484552,-50.84098977,-2.951105238,3817.062968,404.9472094,1.591316179,-1.320129079,0.280447503,-0.566583993,4888.45569,2395.343909,0.155729505,1.009304797,2394.465526,3298.465641,3.203689272,1940.408323,0.221978148,2821.077363,0.639977985,0.713356597,0.169887523,39.78076735
GWR_100_312,-3504.782702,-1.869363259,-0.736366313,-1.869353312,-0.736366313,4155.814681,-3.300595635,1.054346082,-3.300595635,1.054346082,-359.7505037,-4.629400433,-2724.723583,-1683.564641,0.227593774,-0.227438905,2355.913848,591.6900336,-26.38351059,-1.643817733,-1159.509076,404.9472094,-1.492582353,-0.515314723,-0.188086088,-0.328283,2687.000161,1621.171075,0.069807945,-0.452492102,-1685.905046,1399.091467,-5.700808322,478.1856462,-0.368156854,3475.930231,-0.74533426,-0.728172931,-0.119782113,-109.0185912
GWR_100_356,5112.922817,-0.730043102,1.043407196,-0.73003529,1.043407196,3402.153631,-0.971838129,0.652285032,-0.971838129,0.652285032,12432.39345,27.6654305,-3640.697181,-183.4000245,3.80566492,0.228815402,-4316.810466,-4548.603049,43.37589025,0.68909269,-1159.509076,404.9472094,1.045772893,1.094313988,0.128133835,0.16571041,-5538.974295,-1289.066316,0.268558856,0.982550825,-486.6128094,-3291.584029,4.02507331,-582.9620713,0.118929519,-4052.522172,0.538483131,0.399445096,0.098357797,41.00691722
GWR_100_483,-20150.01584,4.096174871,-4.706630295,4.096173641,-4.706630295,-15171.29184,8.634286585,-3.347164362,8.634286585,-3.347164362,-2259.354166,-11.11605985,332.1033426,-208.8816466,-0.955497634,-0.092374474,1540.782068,950.7579893,6.967597381,1.236855268,-948.0180992,-1089.536249,-1.100288994,0.165682039,-0.134583803,0.137202277,-120.16599479999999,-1289.066316,-0.42557089,-0.022183379,-5517.823409,-4335.71412,-1.556812907,-4564.552968,-0.09367503,-3691.978972,-0.136936263,-0.28037366,-0.091899462,-66.9608433
XXX_100_71,-11670.08339,1.899938819,-2.379234168,1.899941703,-2.379234168,-10934.66346,4.267866261,-1.950531241,4.267866261,-1.950531241,1934.55872,2.815297643,-1432.572581,-620.7505992,0.42685876,0.031132064,1111.899424,928.1209249,-25.27180699,-0.275401274,499.3482717,404.9472094,-0.887416724,-0.57722352,-0.038847427,-0.035024951,4090.583239,846.9982416,0.100965801,-0.009298629,-2969.851494,-1776.26281,-1.921651347,-1599.514141,0.036564462,1322.370501,-0.249522762,-0.071938568,-0.038208688,-22.3540902
