V1,data.n
Blup_Transfo_PC1_y1_y2,424
Blup_Transfo_PC2_y1_y2,424
Blup_Transfo_PC3_y1_y2,424
Blup_Transfo_PC4_y1_y2,424
Blup_Transfo_PC1_PC2_y1_y2,424
Blup_Transfo_PC1_PC3_y1_y2,424
Blup_Transfo_PC2_PC3_y1_y2,424
Blup_Transfo_PC1_PC4_y1_y2,424
Blup_Transfo_PC2_PC4_y1_y2,424
Blup_Transfo_PC3_PC4_y1_y2,424
Blup_Transfo_PC1_year2,421
Blup_Transfo_PC2_year2,421
Blup_Transfo_PC3_year2,421
Blup_Transfo_PC4_year2,421
Blup_Transfo_PC1_PC2_year2,421
Blup_Transfo_PC1_PC3_year2,421
Blup_Transfo_PC2_PC3_year2,421
Blup_Transfo_PC1_PC4_year2,421
Blup_Transfo_PC2_PC4_year2,421
Blup_Transfo_PC3_PC4_year2,421
Blup_Transfo_Area_2_cavities_filled_field_year2,420
Blup_Transfo_Perimeter_2_excl_cavities_field_year2,420
Blup_Transfo_Squared_Perimeter2_Area2_ratio_field_year2,420
Blup_Transfo_Circularity_field_year2,420
Blup_Transfo_Horiz_size_center_field_year2,420
Blup_Transfo_Horiz_size_25perc_field_year2,420
Blup_Transfo_Horiz_size_50perc_field_year2,420
Blup_Transfo_Horiz_size_75perc_field_year2,420
Blup_Transfo_Vert_size_center_field_year2,420
Blup_Transfo_Vert_size_25perc_field_year2,420
Blup_Transfo_Vert_size_50perc_field_year2,420
Blup_Transfo_Vert_size_75perc_field_year2,420
Blup_Transfo_Vert_size_center_Horiz_size_center_ratio_field_year2,420
Blup_Transfo_Horiz_size_25perc_Horiz_size_75perc_field_year2,420
Blup_Transfo_Vert_size25perc_Vert_size_75perc_ratio_field_year2,420
Blup_Transfo_Num_Indents_field_year2,420
Blup_Transfo_Indent_width_mean_field_year2,420
Blup_Transfo_Indent_depth_mean_field_year2,420
Blup_Transfo_Area_2_cavities_filled_field_y1_y2,420
Blup_Transfo_Perimeter_2_excl_cavities_field_y1_y2,420
Blup_Transfo_Squared_Perimeter2_Area2_ratio_field_y1_y2,420
Blup_Transfo_Circularity_field_y1_y2,420
Blup_Transfo_Horiz_size_center_field_y1_y2,420
Blup_Transfo_Horiz_size_25perc_field_y1_y2,420
Blup_Transfo_Horiz_size_50perc_field_y1_y2,420
Blup_Transfo_Horiz_size_75perc_field_y1_y2,420
Blup_Transfo_Vert_size_center_field_y1_y2,420
Blup_Transfo_Vert_size_25perc_field_y1_y2,420
Blup_Transfo_Vert_size_50perc_field_y1_y2,420
Blup_Transfo_Vert_size_75perc_field_y1_y2,420
Blup_Transfo_Vert_size_center_Horiz_size_center_ratio_field_y1_y2,420
Blup_Transfo_Horiz_size_25perc_Horiz_size_75perc_field_y1_y2,420
Blup_Transfo_Vert_size25perc_Vert_size_75perc_ratio_field_y1_y2,420
Blup_Transfo_Num_Indents_field_y1_y2,420
Blup_Transfo_Indent_width_mean_field_y1_y2,420
Blup_Transfo_Indent_depth_mean_field_y1_y2,420
