Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,CHR,BP
Chr01_1_126237,0.456088027584818,0.388885054781435,0.512943338804184,0.150365724046635,Chr01_1_126237,0.9816385527769902,0.9457123853000027,0.7195505424416373,1,1
Chr01_126238_809425,0.456088027584818,0.388885054781435,0.512943338804184,0.150365724046635,Chr01_126238_809425,0.9816385527769902,0.9457123853000027,0.7195505424416373,1,126238
Chr01_809426_814269,0.490171409404702,0.646922850192604,0.800198266731964,0.261397605607411,Chr01_809426_814269,0.9816385527769902,0.992765781155924,0.7195505424416373,1,809426
Chr01_814270_1367747,0.50656462258651,0.316094583999881,0.904241035702407,0.165888593660369,Chr01_814270_1367747,0.9816385527769902,0.992765781155924,0.7195505424416373,1,814270
Chr01_1367748_1367899,0.465494238256393,0.38770762388645,0.59128770531968,0.161977884112868,Chr01_1367748_1367899,0.9816385527769902,0.952630191903929,0.7195505424416373,1,1367748
Chr01_1367900_2042574,0.442295196023455,0.381862157781505,0.566189508392812,0.155134142674841,Chr01_1367900_2042574,0.9816385527769902,0.9506665600879758,0.7195505424416373,1,1367900
Chr01_2042575_2043251,0.370576611758991,0.42165263632233,0.6510947551542,0.138633586596715,Chr01_2042575_2043251,0.9816385527769902,0.9784601102575348,0.7195505424416373,1,2042575
Chr01_2043252_2231677,0.299353299494598,0.344450204062321,0.300457791575585,0.112225235201312,Chr01_2043252_2231677,0.9816385527769902,0.935274010013442,0.7195505424416373,1,2043252
Chr01_2231678_2231705,0.294852889913975,0.328319966450461,0.457174359738885,0.108448698247924,Chr01_2231678_2231705,0.9816385527769902,0.9457123853000027,0.7195505424416373,1,2231678
Chr01_2231706_3033846,0.354531600312429,0.265477045062562,0.523700025674309,0.116901401053548,Chr01_2231706_3033846,0.9816385527769902,0.9498455017679535,0.7195505424416373,1,2231706
Chr01_3033847_3052413,0.411022413983526,0.164965712605842,0.71304401539305,0.108581224994912,Chr01_3033847_3052413,0.9816385527769902,0.992765781155924,0.7195505424416373,1,3033847
Chr01_3052414_4229970,0.47012883664239,0.192104353152659,0.740267301355402,0.129377406613735,Chr01_3052414_4229970,0.9816385527769902,0.992765781155924,0.7195505424416373,1,3052414
Chr01_4229971_4235626,0.126998049642022,0.127557715370115,0.863492296391268,0.0350858566913307,Chr01_4229971_4235626,0.9816385527769902,0.992765781155924,0.47976775698215285,1,4229971
Chr01_4235627_5264100,0.178365053459045,0.0479778826994885,0.948322243608248,0.0327879032274466,Chr01_4235627_5264100,0.8641040096367816,0.9944788049965534,0.47976775698215285,1,4235627
Chr01_5264101_5264149,0.241418678727371,0.0101266917159746,0.965212073299651,0.0299163164136248,Chr01_5264101_5264149,0.6537136410228663,0.9944788049965534,0.47976775698215285,1,5264101
Chr01_5264150_5885231,0.331863943256473,0.00350473015767287,0.212042095276235,0.0358669629933935,Chr01_5264150_5885231,0.42758019874630226,0.935274010013442,0.47976775698215285,1,5264150
Chr01_5885232_5886075,0.00118663161184788,0.00381733708112333,0.154762954267905,"NA",Chr01_5885232_5886075,0.42758019874630226,0.8980641263683421,NA,1,5885232
Chr01_5886076_6253003,0.00204536969071925,0.00379064048027707,0.362718107741787,"NA",Chr01_5886076_6253003,0.42758019874630226,0.9403877182637599,NA,1,5886076
Chr01_6253004_6253851,0.00323500386098832,0.00402113039573325,0.519765789472247,"NA",Chr01_6253004_6253851,0.42758019874630226,0.9474587819522675,NA,1,6253004
Chr01_6253852_6811196,0.00126163443211627,0.0019296359464046,0.366525202625269,"NA",Chr01_6253852_6811196,0.39918062328396436,0.9403877182637599,NA,1,6253852
Chr01_6811197_6811650,0.0013108227917302,0.00208558319375112,0.286151251193325,"NA",Chr01_6811197_6811650,0.39918062328396436,0.935274010013442,NA,1,6811197
Chr01_6811651_7107385,0.00197691882638307,0.0050539622517871,0.46009324117626,"NA",Chr01_6811651_7107385,0.4836641874960255,0.9457123853000027,NA,1,6811651
Chr01_7107386_7117068,0.00425595189765976,0.00846484946071203,0.352742966506802,"NA",Chr01_7107386_7117068,0.6537136410228663,0.9403877182637599,NA,1,7107386
Chr01_7117069_8021093,0.0804463013378632,0.000835955290598368,0.381803567490312,0.562595365429163,Chr01_7117069_8021093,0.39918062328396436,0.9457123853000027,0.7745146959047221,1,7117069
Chr01_8021094_8021338,0.000986493133464016,0.00168466091416841,0.207408615512548,"NA",Chr01_8021094_8021338,0.39918062328396436,0.935274010013442,NA,1,8021094
Chr01_8021339_8546533,0.000653055379716607,0.00102754685143697,0.388013798631567,"NA",Chr01_8021339_8546533,0.39918062328396436,0.9457123853000027,NA,1,8021339
Chr01_8546534_8548055,0.00870647942876669,0.00961812257245984,0.720209220420666,"NA",Chr01_8546534_8548055,0.6537136410228663,0.992765781155924,NA,1,8546534
Chr01_8548056_9439189,0.0107083852399591,0.0108012374056216,0.991479205889585,"NA",Chr01_8548056_9439189,0.6537136410228663,0.9976217191870401,NA,1,8548056
Chr01_9439190_9439923,0.126281365343967,0.118812448925003,0.774471190723219,"NA",Chr01_9439190_9439923,0.9816385527769902,0.992765781155924,NA,1,9439190
Chr01_9439924_10127710,0.0993551099451169,0.093288476201233,0.900579853362482,"NA",Chr01_9439924_10127710,0.9816385527769902,0.992765781155924,NA,1,9439924
Chr01_10127711_10127775,0.157709794614528,0.126982812937991,0.845855654983298,"NA",Chr01_10127711_10127775,0.9816385527769902,0.992765781155924,NA,1,10127711
Chr01_10127776_10700451,0.0650073485677657,0.13631753910244,0.847276317736312,"NA",Chr01_10127776_10700451,0.9816385527769902,0.992765781155924,NA,1,10127776
Chr01_10700452_10700489,0.26222110147051,0.374389904705512,0.912614255959088,"NA",Chr01_10700452_10700489,0.9816385527769902,0.992765781155924,NA,1,10700452
Chr01_10700490_11189458,0.193654993656267,0.475416720080455,0.643477666942141,0.310455732087951,Chr01_10700490_11189458,0.9816385527769902,0.9774732178787761,0.7195505424416373,1,10700490
Chr01_11189459_11289027,0.333891587007225,0.374137137835059,0.60038880132042,"NA",Chr01_11189459_11289027,0.9816385527769902,0.9603175259837049,NA,1,11189459
Chr01_11289028_11965532,0.0397924684176561,0.384807252816151,0.580219922349011,0.0555700646735028,Chr01_11289028_11965532,0.9816385527769902,0.9506665600879758,0.5835754043399403,1,11289028
Chr01_11965533_11966198,0.781817512451711,0.821412921618914,0.300526160343902,"NA",Chr01_11965533_11966198,0.9839901801399069,0.935274010013442,NA,1,11965533
Chr01_11966199_12330339,0.843775495265696,0.702060981136004,0.177497987070569,"NA",Chr01_11966199_12330339,0.9839901801399069,0.926079099304643,NA,1,11966199
Chr01_12330340_12330527,0.995972536155656,0.933434729064198,0.277995018030586,"NA",Chr01_12330340_12330527,0.9972810074101917,0.935274010013442,NA,1,12330340
Chr01_12330528_13051606,0.752185325007977,0.663203449011679,0.469564877656728,"NA",Chr01_12330528_13051606,0.9816385527769902,0.9457123853000027,NA,1,12330528
Chr01_13051607_13052006,0.703953015693028,0.690190563236412,0.322148791457862,"NA",Chr01_13051607_13052006,0.9816385527769902,0.9398454211060754,NA,1,13051607
Chr01_13052007_13382483,0.935768043445631,0.956894262264148,0.337564299227167,"NA",Chr01_13052007_13382483,0.9972810074101917,0.9403877182637599,NA,1,13052007
Chr01_13382484_13382509,0.973214633203406,0.940872273687396,0.507477012694898,"NA",Chr01_13382484_13382509,0.9972810074101917,0.9457123853000027,NA,1,13382484
Chr01_13382510_13576339,0.868604884269719,0.928963142729158,0.647484426573081,"NA",Chr01_13382510_13576339,0.9972810074101917,0.9784601102575348,NA,1,13382510
Chr01_13576340_13576350,0.776438935277981,0.880794255489311,0.524052690630595,"NA",Chr01_13576340_13576350,0.9933493708356999,0.9498455017679535,NA,1,13576340
Chr01_13576351_14061355,0.948175002968823,0.900530032650189,0.576311052121037,"NA",Chr01_13576351_14061355,0.9940106588768524,0.9506665600879758,NA,1,13576351
Chr01_14061356_14061634,0.753308032859768,0.984922226768513,0.721364059690888,"NA",Chr01_14061356_14061634,0.9972810074101917,0.992765781155924,NA,1,14061356
Chr01_14061635_14604721,0.650428969545465,0.898218500678729,0.783609582396451,"NA",Chr01_14061635_14604721,0.9933493708356999,0.992765781155924,NA,1,14061635
Chr01_14604722_14607157,0.848116171600848,0.664436348102878,0.501907345373972,"NA",Chr01_14604722_14607157,0.9816385527769902,0.9457123853000027,NA,1,14604722
Chr01_14607158_15449572,0.880836633908382,0.761550261639378,0.565543665390391,"NA",Chr01_14607158_15449572,0.9839901801399069,0.9506665600879758,NA,1,14607158
Chr01_15449573_15456448,0.778171750721782,0.88421856567215,0.277211137052695,"NA",Chr01_15449573_15456448,0.9933493708356999,0.935274010013442,NA,1,15449573
Chr01_15456449_16406535,0.172242072105222,0.692688776013592,0.136673177272322,0.186461775034995,Chr01_15456449_16406535,0.9816385527769902,0.8832289838982789,0.7195505424416373,1,15456449
Chr01_16406536_16454790,0.12376042418126,0.38502686875371,0.118867324072638,0.167641889855065,Chr01_16406536_16454790,0.9816385527769902,0.8503224660087744,0.7195505424416373,1,16406536
Chr01_16454791_19216253,0.145146671926952,0.482033744521503,0.166906199575324,0.169936038979312,Chr01_16454791_19216253,0.9816385527769902,0.9106108937238264,0.7195505424416373,1,16454791
Chr01_19216254_19216663,0.784587586606692,0.683010946764786,0.159866566962244,"NA",Chr01_19216254_19216663,0.9816385527769902,0.8980641263683421,NA,1,19216254
Chr01_19216664_20661429,0.65019931885979,0.633282583878345,0.314514843329496,"NA",Chr01_19216664_20661429,0.9816385527769902,0.935274010013442,NA,1,19216664
Chr01_20661430_20662913,0.508112813697818,0.498040133845435,0.318599088050556,"NA",Chr01_20661430_20662913,0.9816385527769902,0.935274010013442,NA,1,20661430
Chr01_20662914_21251875,0.510334130084079,0.545157113666305,0.381507815611649,"NA",Chr01_20662914_21251875,0.9816385527769902,0.9457123853000027,NA,1,20662914
Chr01_21251876_21488109,0.369549623528459,0.411017111067917,0.346226278145541,"NA",Chr01_21251876_21488109,0.9816385527769902,0.9403877182637599,NA,1,21251876
Chr01_21488110_22523058,0.320652792365815,0.320311493720147,0.399896908238424,"NA",Chr01_21488110_22523058,0.9816385527769902,0.9457123853000027,NA,1,21488110
Chr01_22523059_22523376,0.978893482566051,0.834381117885875,0.105743704607664,"NA",Chr01_22523059_22523376,0.984108973485407,0.8031486135677337,NA,1,22523059
Chr01_22523377_25610270,0.880501160621991,0.999538902196429,0.795954085073921,"NA",Chr01_22523377_25610270,0.999774379456542,0.992765781155924,NA,1,22523377
Chr01_25610271_25623774,0.92310556915805,0.978225550748118,0.433143275102165,"NA",Chr01_25610271_25623774,0.9972810074101917,0.9457123853000027,NA,1,25610271
Chr01_25623775_25991881,0.684276739768062,0.891508097573926,0.743759664643849,"NA",Chr01_25623775_25991881,0.9933493708356999,0.992765781155924,NA,1,25623775
Chr01_25991882_26001088,0.679740862946455,0.862709663473317,0.755950939240857,"NA",Chr01_25991882_26001088,0.9933493708356999,0.992765781155924,NA,1,25991882
Chr01_26001089_26286066,0.704932530706795,0.961366879561674,0.858087721124756,"NA",Chr01_26001089_26286066,0.9972810074101917,0.992765781155924,NA,1,26001089
Chr01_26286067_26293474,0.891503296500561,0.829238999259887,0.976223121314935,"NA",Chr01_26286067_26293474,0.9841048369529783,0.9944788049965534,NA,1,26286067
Chr01_26293475_26583692,0.741903475654455,0.984588686350938,0.909482019744252,"NA",Chr01_26293475_26583692,0.9972810074101917,0.992765781155924,NA,1,26293475
Chr01_26583693_26647317,0.862274694043768,0.578951100551486,0.78289707389838,"NA",Chr01_26583693_26647317,0.9816385527769902,0.992765781155924,NA,1,26583693
Chr01_26647318_27308826,0.0799534127225762,0.96210053660021,0.790227455752273,0.0574335651509119,Chr01_26647318_27308826,0.9972810074101917,0.992765781155924,0.5877368167109984,1,26647318
Chr01_27308827_27314420,0.0639217268592791,0.803127238908636,0.515174758808713,0.0560764639349454,Chr01_27308827_27314420,0.9839901801399069,0.9457123853000027,0.5835754043399403,1,27308827
Chr01_27314421_27701084,0.0965943108820766,0.691838948630977,0.213912478186626,0.0727193762347561,Chr01_27314421_27701084,0.9816385527769902,0.935274010013442,0.6340061946818483,1,27314421
Chr01_27701085_27712150,0.0955326531972817,0.757574700356723,0.267476606292778,0.0722295733383963,Chr01_27701085_27712150,0.9839901801399069,0.935274010013442,0.6340061946818483,1,27701085
Chr01_27712151_27987745,0.109696646853496,0.471000888818438,0.267701344579542,0.0667110245440504,Chr01_27712151_27987745,0.9816385527769902,0.935274010013442,0.6340061946818483,1,27712151
Chr01_27987746_27996902,0.115539946111746,0.392589377059641,0.453299115837333,0.0591034599747698,Chr01_27987746_27996902,0.9816385527769902,0.9457123853000027,0.594910236467355,1,27987746
Chr01_27996903_28327995,0.100740882042634,0.583115818613281,0.478847351494485,0.0608522327412743,Chr01_27996903_28327995,0.9816385527769902,0.9457123853000027,0.6026334016635874,1,27996903
Chr01_28327996_28328780,0.601521848847074,0.600811042821983,0.193970509184136,"NA",Chr01_28327996_28328780,0.9816385527769902,0.9294304915109386,NA,1,28327996
Chr01_28328781_28712697,0.593366441405924,0.626451634106897,0.21633203747295,"NA",Chr01_28328781_28712697,0.9816385527769902,0.935274010013442,NA,1,28328781
Chr01_28712698_28712702,0.5420219146377,0.456945610241872,0.135464778474267,"NA",Chr01_28712698_28712702,0.9816385527769902,0.8832289838982789,NA,1,28712698
Chr01_28712703_29260469,0.715241907029873,0.569098917772393,0.085713039363078,"NA",Chr01_28712703_29260469,0.9816385527769902,0.7817836760055089,NA,1,28712703
Chr01_29260470_29264772,0.638648869965232,0.496129207778138,0.0719728806028125,"NA",Chr01_29260470_29264772,0.9816385527769902,0.7457901943285697,NA,1,29260470
Chr01_29264773_29827856,0.0320213881215902,0.627710128249074,0.0301430688431714,0.0356554788192247,Chr01_29264773_29827856,0.9816385527769902,0.6137641889981921,0.47976775698215285,1,29264773
Chr01_29827857_29864780,0.0320833641313421,0.678222020934212,0.0691204058985767,0.0357805615873781,Chr01_29827857_29864780,0.9816385527769902,0.7269036092850318,0.47976775698215285,1,29827857
Chr01_29864781_30461232,0.384520101936214,0.599059700394699,0.379510632261903,"NA",Chr01_29864781_30461232,0.9816385527769902,0.9457123853000027,NA,1,29864781
Chr01_30461233_30463952,0.526600787680889,0.764012281956254,0.544310955319954,"NA",Chr01_30461233_30463952,0.9839901801399069,0.9498788292181645,NA,1,30461233
Chr01_30463953_31287140,0.246357135522174,0.725407542322684,0.448542328168274,0.1631167680328,Chr01_30463953_31287140,0.9839901801399069,0.9457123853000027,0.7195505424416373,1,30463953
Chr01_31287141_31299042,0.324869897761459,0.361162253019109,0.238229447464506,0.181636919927018,Chr01_31287141_31299042,0.9816385527769902,0.935274010013442,0.7195505424416373,1,31287141
Chr01_31299043_32249075,0.459793762620241,0.123529204504548,0.396524409574805,0.204408315929441,Chr01_31299043_32249075,0.9816385527769902,0.9457123853000027,0.7195505424416373,1,31299043
Chr01_32249076_32254238,0.507898509436798,0.218622641674737,0.663944926893482,0.229329652950928,Chr01_32249076_32254238,0.9816385527769902,0.983584048044988,0.7195505424416373,1,32249076
Chr01_32254239_32925441,0.51631230797024,0.280669859269451,0.993085854821428,0.235069911286991,Chr01_32254239_32925441,0.9816385527769902,0.9976217191870401,0.7195505424416373,1,32254239
