Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.282650719746948,0.546651342363563,0.290265788832841,0.9964462619839682,0.9111835130427779,1,1
Chr01_126238_809425,0.290682971937074,0.56107568012939,0.284849948569044,0.9964462619839682,0.9111835130427779,1,126238
Chr01_809426_814269,0.297815662334329,0.634712298978779,0.319979267525088,0.9964462619839682,0.9276272637598337,1,809426
Chr01_814270_1367747,0.338872742605772,0.639756041283558,0.419893262690973,0.9964462619839682,0.9468178711328595,1,814270
Chr01_1367748_1367899,0.141875820798725,0.860075971738225,0.831595150644375,0.9964462619839682,0.970698339479434,1,1367748
Chr01_1367900_2042574,0.147372760880258,0.884652451555112,0.781422159681908,0.9964462619839682,0.9676475578474073,1,1367900
Chr01_2042575_2043251,0.171676285312694,0.650731381106465,0.860657809731805,0.9964462619839682,0.9785283007930674,1,2042575
Chr01_2043252_2231677,0.194057446392581,0.624153333554957,0.64062334165702,0.9964462619839682,0.9478657624946188,1,2043252
Chr01_2231678_2231705,0.242843363095087,0.348944282416927,0.868458661064017,0.9964462619839682,0.9795867869507288,1,2231678
Chr01_2231706_3033846,0.227822486330847,0.319099334723636,0.836750170583481,0.9964462619839682,0.9743535843674633,1,2231706
Chr01_3033847_3052413,0.230054174986255,0.119922693157647,0.503595939025556,0.8585640302631826,0.947384436436962,1,3033847
Chr01_3052414_4229970,0.368785512554794,0.270793556656381,0.0928087093631103,0.9927683663431701,0.8169640836302786,1,3052414
Chr01_4229971_4235626,0.286036700120685,0.278418801998952,0.0647321979750619,0.9964462619839682,0.7918847796659366,1,4229971
Chr01_4235627_5264100,0.327232647678797,0.66853796458776,0.0766312794460248,0.9964462619839682,0.8021295881143683,1,4235627
Chr01_5264101_5264149,0.273641718508717,0.581024735916811,0.0508592400347302,0.9964462619839682,0.7760769096119411,1,5264101
Chr01_5264150_5885231,0.276523041956023,0.427180691732114,0.033105907702059,0.9964462619839682,0.7760769096119411,1,5264150
Chr01_5885232_5886075,0.26422629005606,0.534004624248052,0.0356707266325862,0.9964462619839682,0.7760769096119411,1,5885232
Chr01_5886076_6253003,0.167237422478867,0.693595351887885,0.108111489763639,0.9964462619839682,0.8292609700229538,1,5886076
Chr01_6253004_6253851,0.183035337890379,0.604351451141818,0.237169542409105,0.9964462619839682,0.893818109361239,1,6253004
Chr01_6253852_6811196,0.323758607211843,0.604819426456606,0.222367751438146,0.9964462619839682,0.893818109361239,1,6253852
Chr01_6811197_6811650,0.497455823417298,0.348591587122834,0.0928083427296516,0.9964462619839682,0.8169640836302786,1,6811197
Chr01_6811651_7107385,0.412525657147882,0.574934545334953,0.0901918125156107,0.9964462619839682,0.8169640836302786,1,6811651
Chr01_7107386_7117068,0.859323492780663,0.776499922653986,0.0067877069297507,0.9964462619839682,0.4486137952210977,1,7107386
Chr01_7117069_8021093,0.654913986298204,0.959739935772985,0.0123599221293689,0.9985672822368834,0.6179806529543708,1,7117069
Chr01_8021094_8021338,0.742270330500979,0.829201783442106,0.0660420050280378,0.9964462619839682,0.7918847796659366,1,8021094
Chr01_8021339_8546533,0.227367954206283,0.956685686374695,0.112739213569635,0.9985672822368834,0.8481864270903008,1,8021339
Chr01_8546534_8548055,0.135502123726252,0.554050935890637,0.134925796187092,0.9964462619839682,0.8823592761940806,1,8546534
Chr01_8548056_9439189,0.0930660200110321,0.493675773600162,0.282317241478857,0.9964462619839682,0.9111835130427779,1,8548056
Chr01_9439190_9439923,0.345268546640915,0.618101347982301,0.0563215306058843,0.9964462619839682,0.7760769096119411,1,9439190
Chr01_9439924_10127710,0.223264954991853,0.621524863993267,0.0975606122715286,0.9964462619839682,0.8169640836302786,1,9439924
Chr01_10127711_10127775,0.205340383960647,0.541920904565934,0.154994616633912,0.9964462619839682,0.893818109361239,1,10127711
Chr01_10127776_10700451,0.273364247796065,0.263130751268647,0.0779072553800866,0.9919407324843447,0.8067170637744451,1,10127776
Chr01_10700452_10700489,0.162318581912296,0.112212497827669,0.125308574987719,0.8576240905400416,0.8739475161745265,1,10700452
Chr01_10700490_11189458,0.218272330392922,0.142953462469144,0.482981498742949,0.8939232750505562,0.947384436436962,1,10700490
Chr01_11189459_11289027,0.170822712733884,0.311501736066138,0.805278961015343,0.9964462619839682,0.9676475578474073,1,11189459
Chr01_11289028_11965532,0.138860483321716,0.229398066514182,0.957704569520761,0.9919407324843447,0.9896903390664764,1,11289028
Chr01_11965533_11966198,0.130341550986658,0.0979632580399403,0.819106485416188,0.8307423764038984,0.9676475578474073,1,11965533
Chr01_11966199_12330339,0.209515927561928,0.0274089131630424,0.962799440378919,0.7116065194450265,0.9896903390664764,1,11966199
Chr01_12330340_12330527,0.477664022333457,0.00967571865863315,0.977912572177078,0.666875669093209,0.9909966923229078,1,12330340
Chr01_12330528_13051606,0.522044325264843,0.01315746387619,0.87047953691992,0.666875669093209,0.9795867869507288,1,12330528
Chr01_13051607_13052006,0.363088469364573,0.0263487619140438,0.956558639604782,0.7116065194450265,0.9896903390664764,1,13051607
