Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.245801403261247,0.535205328889552,0.59540456129534,0.9069924485766069,0.9692885666704577,1,1
Chr01_126238_809425,0.264525732830614,0.567457580736191,0.584561481061789,0.9129788977871918,0.9692885666704577,1,126238
Chr01_809426_814269,0.407552042183242,0.514269820175901,0.457515449283929,0.9069924485766069,0.9692885666704577,1,809426
Chr01_814270_1367747,0.33472042448002,0.750927208486092,0.419571055291344,0.9425968081988856,0.9692885666704577,1,814270
Chr01_1367748_1367899,0.151104280890891,0.696532902004602,0.812098651351411,0.9425968081988856,0.9941014836917196,1,1367748
Chr01_1367900_2042574,0.13936337521759,0.716053736534397,0.776853573774386,0.9425968081988856,0.9935059648668443,1,1367900
Chr01_2042575_2043251,0.137394169140519,0.555935810358442,0.903852944382789,0.9104867098217341,0.9941014836917196,1,2042575
Chr01_2043252_2231677,0.161634001889044,0.723341887903457,0.600673384030515,0.9425968081988856,0.9692885666704577,1,2043252
Chr01_2231678_2231705,0.0806689859895071,0.445503716213854,0.94598918303232,0.8956577843714851,0.9941014836917196,1,2231678
Chr01_2231706_3033846,0.073745141786445,0.410733730633651,0.913528336473664,0.8889235408545993,0.9941014836917196,1,2231706
Chr01_3033847_3052413,0.02426464930011,0.321113266112178,0.744721105272054,0.8858006970627258,0.9882009071193244,1,3033847
Chr01_3052414_4229970,0.226522072848519,0.537009177546414,0.0885022967858727,0.9069924485766069,0.6302858983672662,1,3052414
Chr01_4229971_4235626,0.196517136393377,0.594601920476227,0.0693830656195175,0.9149800578947025,0.6102388795443401,1,4229971
Chr01_4235627_5264100,0.346171334166908,0.6846004498451,0.057558954648643,0.9425968081988856,0.6024921013765566,1,4235627
Chr01_5264101_5264149,0.322223279462748,0.545197972994584,0.0415667918834478,0.9069924485766069,0.5902280153694864,1,5264101
Chr01_5264150_5885231,0.239994443192294,0.380781334460247,0.0365783370307093,0.8889235408545993,0.586137222803408,1,5264150
Chr01_5885232_5886075,0.243780592113188,0.501476182996342,0.067496127082269,0.9069924485766069,0.6102388795443401,1,5885232
Chr01_5886076_6253003,0.134741620605456,0.592674254298652,0.180111185214664,0.9149800578947025,0.7902848430584811,1,5886076
Chr01_6253004_6253851,0.171371779756497,0.513610267465452,0.255679163239127,0.9069924485766069,0.834640793895862,1,6253004
Chr01_6253852_6811196,0.276159307242234,0.565774229439205,0.275572616005446,0.9129788977871918,0.8534279074715746,1,6253852
Chr01_6811197_6811650,0.444950652547169,0.424392293595612,0.140357714726505,0.8889235408545993,0.7406451666688068,1,6811197
Chr01_6811651_7107385,0.337626067680287,0.546859346447813,0.132883970318272,0.9069924485766069,0.7406451666688068,1,6811651
Chr01_7107386_7117068,0.576861297710668,0.640372293349793,0.0217490052058409,0.940501446423979,0.5315835725701968,1,7107386
Chr01_7117069_8021093,0.606181967973264,0.521743415131916,0.016320904236419,0.9069924485766069,0.51147980236855,1,7117069
Chr01_8021094_8021338,0.826158101896294,0.522144488534748,0.088525608789664,0.9069924485766069,0.6302858983672662,1,8021094
Chr01_8021339_8546533,0.414586833655444,0.504902800956746,0.154781162575854,0.9069924485766069,0.756620606906332,1,8021339
Chr01_8546534_8548055,0.22535880656766,0.994809161938767,0.164767149402657,0.9968795243985772,0.7816628617611648,1,8546534
Chr01_8548056_9439189,0.070609166058146,0.624133087914028,0.364683136152942,0.9338900809911117,0.9325819777024501,1,8548056
Chr01_9439190_9439923,0.276092859456135,0.944538146047625,0.137571139896955,0.9834754046822726,0.7406451666688068,1,9439190
Chr01_9439924_10127710,0.134100548667548,0.92725741957174,0.199431323275003,0.9766588174160366,0.8060086714055367,1,9439924
Chr01_10127711_10127775,0.141340869385629,0.964178226532945,0.187658404318144,0.9865556885693536,0.7926543506470696,1,10127711
Chr01_10127776_10700451,0.180146955785127,0.705344393458523,0.144591164417171,0.9425968081988856,0.7406451666688068,1,10127776
Chr01_10700452_10700489,0.108255977985799,0.337635319510678,0.273576825800629,0.8858006970627258,0.8534279074715746,1,10700452
Chr01_10700490_11189458,0.0890085010316696,0.490721487911713,0.550698653688745,0.9069924485766069,0.9692885666704577,1,10700490
Chr01_11189459_11289027,0.0489748988068402,0.835036894633003,0.969063222801497,0.9572263191548904,0.9941014836917196,1,11189459
Chr01_11289028_11965532,0.0377652148529051,0.81427300758467,0.686584321468278,0.9572263191548904,0.9692885666704577,1,11289028
Chr01_11965533_11966198,0.0371777828287545,0.579853384032722,0.921013492832775,0.9149800578947025,0.9941014836917196,1,11965533
Chr01_11966199_12330339,0.174108463852374,0.196746346271194,0.924187968953482,0.8858006970627258,0.9941014836917196,1,11966199
Chr01_12330340_12330527,0.4966018937352,0.103240128696085,0.99062283291842,0.8858006970627258,0.9960073154151156,1,12330340
Chr01_12330528_13051606,0.480622632500149,0.0972611240539385,0.809950424244756,0.8858006970627258,0.9941014836917196,1,12330528
Chr01_13051607_13052006,0.253603129886275,0.140386677428886,0.870668247426402,0.8858006970627258,0.9941014836917196,1,13051607
Chr01_13052007_13382483,0.234515049101678,0.149100304535081,0.801005378778511,0.8858006970627258,0.9941014836917196,1,13052007
Chr01_13382484_13382509,0.212780902676651,0.10443105862221,0.871185893129675,0.8858006970627258,0.9941014836917196,1,13382484
Chr01_13382510_13576339,0.0958268920905525,0.0596710415819723,0.866116090952439,0.8858006970627258,0.9941014836917196,1,13382510
Chr01_13576340_13576350,0.122340502945214,0.0780004363275262,0.972016081652637,0.8858006970627258,0.9941014836917196,1,13576340
Chr01_13576351_14061355,0.13676308494918,0.0886557172434135,0.837879288546775,0.8858006970627258,0.9941014836917196,1,13576351
Chr01_14061356_14061634,0.12191506853946,0.0996069908150887,0.739206629375732,0.8858006970627258,0.9882009071193244,1,14061356
