Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.337363151940785,0.753568622807435,0.554984029251512,0.9784139387839764,0.9978196442992873,1,1
Chr01_126238_809425,0.360325123466702,0.734914563905551,0.554478083052544,0.9784139387839764,0.9978196442992873,1,126238
Chr01_809426_814269,0.432371573120072,0.72867939811769,0.396291918289476,0.9784139387839764,0.9562003390362691,1,809426
Chr01_814270_1367747,0.38631748355881,0.550399173174058,0.328028719625716,0.9624183377024358,0.917999576197741,1,814270
Chr01_1367748_1367899,0.339139131706178,0.250231650745451,0.533493226372971,0.8879931421408018,0.9961491778748421,1,1367748
Chr01_1367900_2042574,0.337830595002872,0.24043583585088,0.516013727267483,0.8879931421408018,0.9898984434413413,1,1367900
Chr01_2042575_2043251,0.314282961174108,0.165877931380909,0.729234831761804,0.8206506838637562,0.9978196442992873,1,2042575
Chr01_2043252_2231677,0.308116144432402,0.567243384499615,0.779759024543522,0.9633652242228051,0.9978196442992873,1,2043252
Chr01_2231678_2231705,0.325552681875659,0.730501902422841,0.842480761459872,0.9784139387839764,0.9978196442992873,1,2231678
Chr01_2231706_3033846,0.326714714399591,0.775759723440865,0.806920655878374,0.9784139387839764,0.9978196442992873,1,2231706
Chr01_3033847_3052413,0.300512146538388,0.687653534960778,0.755664325128599,0.9784139387839764,0.9978196442992873,1,3033847
Chr01_3052414_4229970,0.362024568634113,0.529023911040472,0.190534659360743,0.9617021349069955,0.7649335988114253,1,3052414
Chr01_4229971_4235626,0.276744070867243,0.525649252741636,0.163535188022313,0.9590067624260498,0.751920432220167,1,4229971
Chr01_4235627_5264100,0.304274758534397,0.612272205963317,0.118609337836194,0.975224862769909,0.7035182614265884,1,4235627
Chr01_5264101_5264149,0.318322464554702,0.685543252105695,0.0919822605036829,0.9784139387839764,0.6840672585370179,1,5264101
Chr01_5264150_5885231,0.306181042425391,0.821927169907249,0.0840214167944715,0.9784139387839764,0.6627929805293791,1,5264150
Chr01_5885232_5886075,0.470970166107849,0.880456940919583,0.106820304128524,0.9816435030365469,0.702935819448655,1,5885232
Chr01_5886076_6253003,0.462493238294554,0.99982831426495,0.203182864680894,0.999903262213929,0.7686819835691265,1,5886076
Chr01_6253004_6253851,0.475254065591076,0.999134221033248,0.20017015980517,0.999903262213929,0.7666091226580979,1,6253004
Chr01_6253852_6811196,0.487072365554516,0.964289721507511,0.184584745465179,0.9887715328597781,0.7649335988114253,1,6253852
Chr01_6811197_6811650,0.50278082600168,0.6698945111691,0.0714113128419479,0.9779359456515591,0.6592262243234265,1,6811197
Chr01_6811651_7107385,0.481970872597268,0.781593763164936,0.0499717154132608,0.9784139387839764,0.6592262243234265,1,6811651
Chr01_7107386_7117068,0.499534987226015,0.839649686087307,0.00295657315127856,0.9784139387839764,0.443485972691784,1,7107386
Chr01_7117069_8021093,0.519836327690825,0.347354636968105,0.00246116993072391,0.9195521768274123,0.44301058753030376,1,7117069
Chr01_8021094_8021338,0.586867981744949,0.285620716771293,0.0274798897698298,0.9161981871683811,0.6592262243234265,1,8021094
Chr01_8021339_8546533,0.492431906807918,0.304133086999449,0.0438938075921818,0.9161981871683811,0.6592262243234265,1,8021339
Chr01_8546534_8548055,0.472012061092677,0.67128770423283,0.0497402042284287,0.9779359456515591,0.6592262243234265,1,8546534
Chr01_8548056_9439189,0.457785416116341,0.903560739490204,0.199214796030473,0.9825676554414112,0.7662107539633578,1,8548056
Chr01_9439190_9439923,0.465461779366694,0.583597516815689,0.0995547054494314,0.9728396323606511,0.702935819448655,1,9439190
