Marker,Intercept,Nigra,Nig_P_adj,CHR,BP
Chr01_1_126237,0.23876001724226,0.134718786982619,0.8221903759439858,1,1
Chr01_126238_809425,0.23876001724226,0.134718786982619,0.8221903759439858,1,126238
Chr01_809426_814269,0.459301983387875,0.0491769137842942,0.7581240947560296,1,809426
Chr01_814270_1367747,0.483002243270309,0.0478335565864544,0.7581240947560296,1,814270
Chr01_1367748_1367899,0.496115977388524,0.0371451723250674,0.7405818732310313,1,1367748
Chr01_1367900_2042574,0.506835392711118,0.01363672806983,0.5571038561636051,1,1367900
Chr01_2042575_2043251,0.613874269766501,0.0189046670630305,0.6030588793106729,1,2042575
Chr01_2043252_2231677,0.426912063301052,0.0731207849065104,0.7581240947560296,1,2043252
Chr01_2231678_2231705,0.47685274551251,0.0343564767281096,0.714764091930454,1,2231678
Chr01_2231706_3033846,0.471364017335009,0.032762372917914,0.714764091930454,1,2231706
Chr01_3033847_3052413,0.244114676793989,0.0407089104482292,0.7581240947560296,1,3033847
Chr01_3052414_4229970,0.256301836579471,0.011116140861599,0.5571038561636051,1,3052414
Chr01_4229971_4235626,0.327872315128725,0.0278102149694686,0.714764091930454,1,4229971
Chr01_4235627_5264100,0.409120726990478,0.0133326890614302,0.5571038561636051,1,4235627
Chr01_5264101_5264149,0.263647776529331,0.0116995573466458,0.5571038561636051,1,5264101
Chr01_5264150_5885231,0.150927665326789,0.0333754135708708,0.714764091930454,1,5264150
Chr01_5885232_5886075,0.193511892634964,0.0487130238228844,0.7581240947560296,1,5885232
Chr01_5886076_6253003,0.140089859505722,0.152636615918427,0.8221903759439858,1,5886076
Chr01_6253004_6253851,0.143564178673273,0.258345409349486,0.8541720468293048,1,6253004
Chr01_6253852_6811196,0.155209699384892,0.209727350873321,0.8362878116073674,1,6253852
Chr01_6811197_6811650,0.227267804790738,0.102731631956381,0.8221903759439858,1,6811197
Chr01_6811651_7107385,0.226225913001498,0.111003475781861,0.8221903759439858,1,6811651
Chr01_7107386_7117068,0.440921969984487,0.0681442715833012,0.7581240947560296,1,7107386
Chr01_7117069_8021093,0.403875337367199,0.048378118189102,0.7581240947560296,1,7117069
Chr01_8021094_8021338,0.650436800233828,0.103054051293042,0.8221903759439858,1,8021094
Chr01_8021339_8546533,0.310805713549178,0.160532630766222,0.8260807732235526,1,8021339
Chr01_8546534_8548055,0.223492397649709,0.291221785949628,0.8575361512424431,1,8546534
Chr01_8548056_9439189,0.227575199759149,0.340337003479641,0.8593976303434634,1,8548056
Chr01_9439190_9439923,0.29485366583938,0.11190809872824,0.8221903759439858,1,9439190
Chr01_9439924_10127710,0.207173560204031,0.299917678132583,0.8593976303434634,1,9439924
Chr01_10127711_10127775,0.249586634614314,0.414909149442537,0.870309526827033,1,10127711
Chr01_10127776_10700451,0.157525062674849,0.248933920163283,0.8541720468293048,1,10127776
Chr01_10700452_10700489,0.149461561417226,0.377297446185497,0.8593976303434634,1,10700452
Chr01_10700490_11189458,0.153869225499053,0.627733142199245,0.9172249687876439,1,10700490
Chr01_11189459_11289027,0.182167836351494,0.847793216332251,0.9681838997970933,1,11189459
Chr01_11289028_11965532,0.186013521582274,0.935411820133179,0.982644469667895,1,11289028
Chr01_11965533_11966198,0.303052512020175,0.77656713858091,0.9440237752329729,1,11965533
Chr01_11966199_12330339,0.147293717784494,0.908974765275111,0.9752972787709384,1,11966199
Chr01_12330340_12330527,0.248123115720094,0.983517652611412,0.9929061162085289,1,12330340
Chr01_12330528_13051606,0.203091810338691,0.925567778186596,0.9779379999355484,1,12330528
Chr01_13051607_13052006,0.17903123622895,0.798435965701512,0.951560671452487,1,13051607
Chr01_13052007_13382483,0.156921099655032,0.899013409211837,0.9752972787709384,1,13052007
Chr01_13382484_13382509,0.162488986707639,0.903823332263223,0.9752972787709384,1,13382484
Chr01_13382510_13576339,0.155925490861039,0.838462535146516,0.9648208095192816,1,13382510
Chr01_13576340_13576350,0.179956176280487,0.857135377724545,0.9685241074579611,1,13576340
Chr01_13576351_14061355,0.174451871612816,0.861317382174295,0.9685241074579611,1,13576351
Chr01_14061356_14061634,0.0972193470928389,0.906376731807322,0.9752972787709384,1,14061356
Chr01_14061635_14604721,0.0813718927997813,0.907266455440292,0.9752972787709384,1,14061635
Chr01_14604722_14607157,0.217797283797998,0.616869449036195,0.9172249687876439,1,14604722
Chr01_14607158_15449572,0.258263026689645,0.282262607194555,0.8541720468293048,1,14607158
Chr01_15449573_15456448,0.0432186046734122,0.282736720999761,0.8541720468293048,1,15449573
Chr01_15456449_16406535,0.0520656138689673,0.366484814495119,0.8593976303434634,1,15456449
Chr01_16406536_16454790,0.0429649579544178,0.418893790133298,0.870309526827033,1,16406536
Chr01_16454791_19216253,0.124537156495622,0.440347785356309,0.8776867480132549,1,16454791
Chr01_19216254_19216663,0.107011290259699,0.498510380371024,0.8884067672533892,1,19216254
Chr01_19216664_20661429,0.077785232420767,0.666101233897277,0.9387926883127502,1,19216664
Chr01_20661430_20662913,0.0670939810344909,0.611486052573309,0.9172249687876439,1,20661430
Chr01_20662914_21251875,0.0819260635418559,0.674989891986096,0.9402866655655219,1,20662914
Chr01_21251876_21488109,0.225998693789256,0.549986319624651,0.9082007198064987,1,21251876
Chr01_21488110_22523058,0.199260974218314,0.352104398255566,0.8593976303434634,1,21488110
Chr01_22523059_22523376,0.0695037083618147,0.117281733273028,0.8221903759439858,1,22523059
Chr01_22523377_25610270,0.0428378096636105,0.406463157936283,0.8682706297879975,1,22523377
Chr01_25610271_25623774,0.0402488099282703,0.472539638513741,0.8836608937080426,1,25610271
Chr01_25623775_25991881,0.0968480309804382,0.275975684161397,0.8541720468293048,1,25623775
Chr01_25991882_26001088,0.0738677353181978,0.294749681951418,0.8593976303434634,1,25991882
Chr01_26001089_26286066,0.076156556258854,0.304152243962071,0.8593976303434634,1,26001089
Chr01_26286067_26293474,0.0825889798487661,0.317564579670815,0.8593976303434634,1,26286067
Chr01_26293475_26583692,0.0812248185504958,0.411171461878075,0.8686337505901055,1,26293475
Chr01_26583693_26647317,0.332317004953844,0.223129974681084,0.8473626419436404,1,26583693
Chr01_26647318_27308826,0.340469294936354,0.198746547173629,0.8260807732235526,1,26647318
Chr01_27308827_27314420,0.182605134753046,0.264612950610213,0.8541720468293048,1,27308827
Chr01_27314421_27701084,0.049905437866126,0.357958158327182,0.8593976303434634,1,27314421
Chr01_27701085_27712150,0.0775814983494056,0.439992414360052,0.8776867480132549,1,27701085
Chr01_27712151_27987745,0.142113740546335,0.527572888280512,0.9082007198064987,1,27712151
Chr01_27987746_27996902,0.126445708446348,0.505889628338433,0.8923805624780898,1,27987746
Chr01_27996903_28327995,0.0875644185141363,0.643393610692416,0.9217480320847936,1,27996903
Chr01_28327996_28328780,0.218101876779332,0.72368226139199,0.9424863916997825,1,28327996
Chr01_28328781_28712697,0.191949475365658,0.787550812365546,0.9468418686354617,1,28328781
Chr01_28712698_28712702,0.187019833676779,0.834136532119025,0.9648208095192816,1,28712698
Chr01_28712703_29260469,0.139922436079064,0.725375081071962,0.9424863916997825,1,28712703
Chr01_29260470_29264772,0.123968920532184,0.674112400403437,0.9402866655655219,1,29260470
Chr01_29264773_29827856,0.125067218723696,0.713057230413505,0.9424863916997825,1,29264773
Chr01_29827857_29864780,0.0546095068619832,0.658959100674153,0.9342575694002435,1,29827857
Chr01_29864781_30461232,0.0607490121750579,0.425623249607532,0.8719583200871,1,29864781
Chr01_30461233_30463952,0.116487822122105,0.717428709824489,0.9424863916997825,1,30461233
Chr01_30463953_31287140,0.277826298526244,0.904386768238774,0.9752972787709384,1,30463953
Chr01_31287141_31299042,0.36033478431376,0.475467826863743,0.8836608937080426,1,31287141
Chr01_31299043_32249075,0.183067773553387,0.565188044709468,0.9082007198064987,1,31299043
Chr01_32249076_32254238,0.169924655311858,0.211262227720697,0.837064713919673,1,32249076
Chr01_32254239_32925441,0.214117925393826,0.215100068637461,0.837064713919673,1,32254239
