Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.322432416872573,0.254009052739625,0.0966894328889776,0.9259685226591352,0.7256159374803174,1,1
Chr01_126238_809425,0.298567703882139,0.233697970467907,0.0974947171063199,0.9259685226591352,0.7256159374803174,1,126238
Chr01_809426_814269,0.468073029396907,0.272941366469886,0.079473814481744,0.9259685226591352,0.6894890391524277,1,809426
Chr01_814270_1367747,0.594972793554704,0.235130369258423,0.107026754178506,0.9259685226591352,0.7435538660857277,1,814270
Chr01_1367748_1367899,0.782297513602057,0.413302508054104,0.18321890250548,0.968655005099251,0.8092328192909779,1,1367748
Chr01_1367900_2042574,0.508292594979488,0.457978753790791,0.237566534402867,0.9771722028454551,0.8370784423904749,1,1367900
Chr01_2042575_2043251,0.315777977203287,0.535546148199691,0.415034706114209,0.9771722028454551,0.9273281252621421,1,2042575
Chr01_2043252_2231677,0.262632536756794,0.171940110031685,0.791066151948024,0.9259685226591352,0.9896311390861926,1,2043252
Chr01_2231678_2231705,0.301725360118839,0.219022392784634,0.682876398610474,0.9259685226591352,0.9727958163637372,1,2231678
Chr01_2231706_3033846,0.348856313277703,0.280419471371905,0.767338042605057,0.9259685226591352,0.9896311390861926,1,2231706
Chr01_3033847_3052413,0.11790573128334,0.106873303083411,0.991881372313295,0.9259685226591352,0.999604137391638,1,3033847
Chr01_3052414_4229970,0.196461017382932,0.223648631325802,0.796606873790349,0.9259685226591352,0.9896311390861926,1,3052414
Chr01_4229971_4235626,0.276353361820688,0.17167512395632,0.639603297925633,0.9259685226591352,0.9609756091741121,1,4229971
Chr01_4235627_5264100,0.517303897994231,0.45856933030427,0.811708710880129,0.9771722028454551,0.9896311390861926,1,4235627
Chr01_5264101_5264149,0.0912749212686044,0.776169968385397,0.447436290210985,0.9771722028454551,0.944212969318768,1,5264101
Chr01_5264150_5885231,0.0717537824396703,0.696923216682174,0.209251264270654,0.9771722028454551,0.8370784423904749,1,5264150
Chr01_5885232_5886075,0.064160415743118,0.743289668015134,0.503340272008021,0.9771722028454551,0.9603017898305287,1,5885232
Chr01_5886076_6253003,0.299119221845102,0.699208694121746,0.258991926304303,0.9771722028454551,0.8370784423904749,1,5886076
Chr01_6253004_6253851,0.250203206684431,0.658520434120416,0.389294632396392,0.9771722028454551,0.9055331666611728,1,6253004
Chr01_6253852_6811196,0.388846648434169,0.77687361210308,0.458014601781233,0.9771722028454551,0.944212969318768,1,6253852
Chr01_6811197_6811650,0.395963629149913,0.909251763756252,0.534296792820001,0.9916324996461446,0.9609756091741121,1,6811197
Chr01_6811651_7107385,0.293667082343206,0.7945231929678,0.524868811042318,0.9771722028454551,0.9609756091741121,1,6811651
