Marker,Intercept,Nigra,Nig_P_adj,CHR,BP
Chr01_1_126237,0.0978012513452095,0.180480440244172,0.9370644807077098,1,1
Chr01_126238_809425,0.0978012513452095,0.180480440244172,0.9370644807077098,1,126238
Chr01_809426_814269,0.0893464331439353,0.193400640771652,0.9370644807077098,1,809426
Chr01_814270_1367747,0.0991241359474837,0.215860378894524,0.9370644807077098,1,814270
Chr01_1367748_1367899,0.0869093841496654,0.395827806697667,0.9370644807077098,1,1367748
Chr01_1367900_2042574,0.0881643791665586,0.276195851953679,0.9370644807077098,1,1367900
Chr01_2042575_2043251,0.152089283504964,0.333173054981974,0.9370644807077098,1,2042575
Chr01_2043252_2231677,0.0518553306942625,0.997127969430266,0.9984549131927735,1,2043252
Chr01_2231678_2231705,0.109341471936609,0.697857592134141,0.9370644807077098,1,2231678
Chr01_2231706_3033846,0.101905578331577,0.678173265349742,0.9370644807077098,1,2231706
Chr01_3033847_3052413,0.0356295455527129,0.991067235110298,0.9979998193677001,1,3033847
Chr01_3052414_4229970,0.027931231658083,0.582207123693048,0.9370644807077098,1,3052414
Chr01_4229971_4235626,0.0191904492264533,0.515444515588221,0.9370644807077098,1,4229971
Chr01_4235627_5264100,0.0434924261374762,0.443284353359408,0.9370644807077098,1,4235627
Chr01_5264101_5264149,0.0128052659805231,0.473261222945475,0.9370644807077098,1,5264101
Chr01_5264150_5885231,0.0181340804877305,0.276228501811086,0.9370644807077098,1,5264150
Chr01_5885232_5886075,0.0209645790871994,0.236631461771419,0.9370644807077098,1,5885232
Chr01_5886076_6253003,0.0471573480340377,0.301008925094214,0.9370644807077098,1,5886076
Chr01_6253004_6253851,0.123446413822217,0.455411250106538,0.9370644807077098,1,6253004
Chr01_6253852_6811196,0.128637020197733,0.326219885287498,0.9370644807077098,1,6253852
Chr01_6811197_6811650,0.115003069471973,0.263577753112577,0.9370644807077098,1,6811197
Chr01_6811651_7107385,0.0461515800189232,0.421195705062785,0.9370644807077098,1,6811651
Chr01_7107386_7117068,0.261743551760798,0.181670997291632,0.9370644807077098,1,7107386
Chr01_7117069_8021093,0.225650491883067,0.20885206938978,0.9370644807077098,1,7117069
Chr01_8021094_8021338,0.333700631312576,0.248805225699038,0.9370644807077098,1,8021094
Chr01_8021339_8546533,0.0718156397774983,0.40340230064089,0.9370644807077098,1,8021339
Chr01_8546534_8548055,0.0516501148781555,0.693353630658562,0.9370644807077098,1,8546534
Chr01_8548056_9439189,0.0572526691552125,0.767052228387468,0.9375082791402387,1,8548056
Chr01_9439190_9439923,0.282126249274277,0.409864837851841,0.9370644807077098,1,9439190
Chr01_9439924_10127710,0.204726569703073,0.759043473758839,0.9370644807077098,1,9439924
Chr01_10127711_10127775,0.318301793576651,0.978396964075799,0.993976533567452,1,10127711
Chr01_10127776_10700451,0.0506335466546149,0.633241820771043,0.9370644807077098,1,10127776
Chr01_10700452_10700489,0.0390468557985087,0.85187037017741,0.9647809991240015,1,10700452
Chr01_10700490_11189458,0.0172412705323085,0.79431436557693,0.9415615084799334,1,10700490
Chr01_11189459_11289027,0.0310034561707833,0.53531299012533,0.9370644807077098,1,11189459
