Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.0596832055686312,0.792639998244445,0.830806334460077,0.144661728412812,0.733234456773654,0.973837264707171,0.9533643877867354,0.41709790136507324,0.8712086825106319,1,1
Chr01_126238_809425,0.0835234573725594,0.821977817580207,0.861050167933672,0.197599726523994,0.762189935976723,0.973837264707171,0.9604193405730256,0.5018916891738012,0.8771153793927049,1,126238
Chr01_809426_814269,0.0704139983484627,0.773002107823177,0.600074179270602,0.135979863648396,0.502139910462467,0.973837264707171,0.9259527285687059,0.41079231535739213,0.775726437982023,1,809426
Chr01_814270_1367747,0.0579089978926681,0.934969122834093,0.663376268706277,0.122233336773729,0.53551521194992,0.9831877309646342,0.947107428089423,0.3975753830004466,0.775726437982023,1,814270
Chr01_1367748_1367899,0.026907604379787,0.425053512487663,0.536932702700638,0.0744208709585364,0.448813405903684,0.8851556134270654,0.9103194595692694,0.375905305019666,0.761303977603714,1,1367748
Chr01_1367900_2042574,0.0264617890366284,0.465097342049943,0.557578431355538,0.0749833779146094,0.459970989928602,0.8851556134270654,0.9184148884506267,0.375905305019666,0.7648515866271937,1,1367900
Chr01_2042575_2043251,0.0251016532280016,0.372684189665479,0.511584808698491,0.0724595180934821,0.438280286455226,0.8851556134270654,0.9096954279438474,0.375905305019666,0.761303977603714,1,2042575
Chr01_2043252_2231677,0.0392995324171241,0.946433049433246,0.392318908802106,0.103211428976766,0.396095245324131,0.9831877309646342,0.8911578396434796,0.3848840957521814,0.761303977603714,1,2043252
Chr01_2231678_2231705,0.0423027613520116,0.703210950019794,0.537219188271729,0.124488119170658,0.487511087002868,0.9716287644733029,0.9103194595692694,0.3979442938156242,0.775726437982023,1,2231678
Chr01_2231706_3033846,0.0417529330466868,0.674289602684022,0.546097814961644,0.125278759164178,0.493268255550183,0.9667153275930176,0.912021885745541,0.3979442938156242,0.775726437982023,1,2231706
Chr01_3033847_3052413,0.0152810639531609,0.556195316997206,0.502029537640143,0.0708248515589136,0.432752079086005,0.9390202400042661,0.9066997849664916,0.375905305019666,0.761303977603714,1,3033847
Chr01_3052414_4229970,0.0126553065948809,0.848559970985194,0.57766517339189,0.0380457627994917,0.407702396707352,0.973837264707171,0.9212287831322467,0.375905305019666,0.761303977603714,1,3052414
Chr01_4229971_4235626,0.0131867974407041,0.837144503721704,0.172544770314783,0.03849519230744,0.125394837095097,0.973837264707171,0.7479439176031423,0.375905305019666,0.6598156904289627,1,4229971
Chr01_4235627_5264100,0.0128398278716559,0.914581686402201,0.144541368268161,0.0271598564076752,0.103685844880001,0.9786024044503552,0.7479439176031423,0.3305086751581883,0.6598156904289627,1,4235627
Chr01_5264101_5264149,0.0284784355056377,0.86534099321627,0.180216047558287,0.0592828949130136,0.128319464675648,0.973837264707171,0.7480519560285791,0.375905305019666,0.6649329339047941,1,5264101
Chr01_5264150_5885231,0.0318922507882077,0.612896097397673,0.192171423042362,0.0696337613947074,0.13439690032605,0.9390202400042661,0.7580768698813387,0.375905305019666,0.6653566909720372,1,5264150
Chr01_5885232_5886075,0.0637903486377021,0.623372058080363,0.108911493586304,0.123438572016269,"NA",0.943185149092021,0.7351186011753708,0.3975753830004466,NA,1,5885232
Chr01_5886076_6253003,0.0589028936352436,0.652620068160784,0.2870226536682,0.127681191303478,"NA",0.954247001140698,0.8340575593995948,0.39838699526672827,NA,1,5886076
Chr01_6253004_6253851,0.0650454020322392,0.578884378621598,0.427320048318008,0.139821552959546,"NA",0.9390202400042661,0.8911578396434796,0.4162146256928501,NA,1,6253004
Chr01_6253852_6811196,0.0653583990567278,0.635354489690988,0.45572595775102,0.128388829091302,"NA",0.9485990287944518,0.8956410149270045,0.39838699526672827,NA,1,6253852
Chr01_6811197_6811650,0.0749873301108043,0.438808404029106,0.222473186205692,0.128459818538047,"NA",0.8851556134270654,0.7856170302744958,0.39838699526672827,NA,1,6811197
Chr01_6811651_7107385,0.0600212704120835,0.58043424999025,0.173047434258786,0.109101044725093,"NA",0.9390202400042661,0.7479439176031423,0.38636406918792826,NA,1,6811651
Chr01_7107386_7117068,0.0545955220589987,0.745475766363752,0.0324656964789208,0.0871203128903971,"NA",0.973837264707171,0.7351186011753708,0.375905305019666,NA,1,7107386
Chr01_7117069_8021093,0.0271925750642754,0.694602223562846,0.0197482730733814,0.0422085003498447,"NA",0.9699778307542709,0.7351186011753708,0.375905305019666,NA,1,7117069
Chr01_8021094_8021338,0.0856838422331564,0.69684178306219,0.126562090188024,0.107514391163605,"NA",0.9699778307542709,0.7479439176031423,0.38636406918792826,NA,1,8021094
Chr01_8021339_8546533,0.0121394930190032,0.587036892386337,0.203697215994717,0.0212978433688356,"NA",0.9390202400042661,0.7651239114546976,0.2788081313738479,NA,1,8021339
Chr01_8546534_8548055,0.0293029715509382,0.851314880491085,0.262334274080237,0.0594494442125452,"NA",0.973837264707171,0.8070677192671407,0.375905305019666,NA,1,8546534
Chr01_8548056_9439189,0.0217853523542707,0.579817252594685,0.430003346593695,0.0569070496424961,"NA",0.9390202400042661,0.8911578396434796,0.375905305019666,NA,1,8548056
Chr01_9439190_9439923,0.0255093437526989,0.674334589388698,0.161236022320101,0.0492200816552749,"NA",0.9667153275930176,0.7479439176031423,0.375905305019666,NA,1,9439190
Chr01_9439924_10127710,0.0218387520880033,0.77487341539038,0.257058704258517,0.0454914504511242,"NA",0.973837264707171,0.8011246996794559,0.375905305019666,NA,1,9439924
Chr01_10127711_10127775,0.0192949586145246,0.628052729789284,0.250125993592332,0.0418789549501051,"NA",0.9435487968597198,0.7982066138263939,0.375905305019666,NA,1,10127711
Chr01_10127776_10700451,0.0116884945288536,0.41447534082372,0.158665354403416,0.0254485742266748,"NA",0.8851556134270654,0.7479439176031423,0.3186604077079279,NA,1,10127776
Chr01_10700452_10700489,0.0525514012990344,0.311234835765003,0.299715545097918,0.111280617775606,"NA",0.8851556134270654,0.8340575593995948,0.3883245449298541,NA,1,10700452
Chr01_10700490_11189458,0.0623219151518161,0.437765170608183,0.475066736361693,0.126518153536522,"NA",0.8851556134270654,0.9026001480004167,0.39838699526672827,NA,1,10700490
Chr01_11189459_11289027,0.0402921404132638,0.797622753189786,0.826525993113128,0.0658197002174363,"NA",0.973837264707171,0.9533643877867354,0.375905305019666,NA,1,11189459
Chr01_11289028_11965532,0.0257478763173983,0.775407485438299,0.817863908723276,0.0562648058106343,"NA",0.973837264707171,0.9526685367883954,0.375905305019666,NA,1,11289028
Chr01_11965533_11966198,0.0261475367286345,0.522409771339716,0.880352241513186,0.0578041403381172,"NA",0.9244750186269489,0.9610160142341235,0.375905305019666,NA,1,11965533
Chr01_11966199_12330339,0.0358201096770355,0.229269950466398,0.993163983394708,0.06479804274277,"NA",0.8851556134270654,0.997136934080583,0.375905305019666,NA,1,11966199
Chr01_12330340_12330527,0.0460426349435765,0.105110202510769,0.92424731729355,0.0649509526619493,"NA",0.8851556134270654,0.9740067217934538,0.375905305019666,NA,1,12330340
