Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.100666873257961,0.86106550373963,0.691974724259565,0.221489769482153,0.621459699243483,0.982843168648218,0.958831095971549,0.6386924436339209,0.8492388977207229,1,1
Chr01_126238_809425,0.142258294260887,0.829104580508906,0.721249272330362,0.301729417073799,0.649325447080185,0.9737648647961791,0.9599517021257634,0.6396453202172412,0.8510932413706379,1,126238
Chr01_809426_814269,0.12437015551442,0.901150662439252,0.532772984392532,0.232424670385739,0.470527052456603,0.9954128734108404,0.9255259539677245,0.6386924436339209,0.8393960696612468,1,809426
Chr01_814270_1367747,0.107789785281043,0.690263002604783,0.62271577391997,0.215618978833295,0.537945165904657,0.9634701312580471,0.9451752593881037,0.6386924436339209,0.8393960696612468,1,814270
Chr01_1367748_1367899,0.0515697135528827,0.285131261577555,0.483353972169199,0.143818911901366,0.453363334701493,0.9094438345387262,0.9255259539677245,0.6386924436339209,0.8393960696612468,1,1367748
Chr01_1367900_2042574,0.0508966163655405,0.282874177851836,0.490049281841633,0.144823844530791,0.458892263231765,0.9094438345387262,0.9255259539677245,0.6386924436339209,0.8393960696612468,1,1367900
Chr01_2042575_2043251,0.0477637762708012,0.186776878771142,0.459422634925226,0.138816394264307,0.443857569183687,0.9094438345387262,0.9255259539677245,0.6386924436339209,0.8393960696612468,1,2042575
Chr01_2043252_2231677,0.0692286952226554,0.746734324873864,0.340588092717573,0.173879065345483,0.385149676811721,0.9634701312580471,0.8659244929046572,0.6386924436339209,0.8154123556125089,1,2043252
Chr01_2231678_2231705,0.0681082893966282,0.869826146520036,0.480677430000749,0.201642861653983,0.476400922222293,0.9851527879552718,0.9255259539677245,0.6386924436339209,0.8393960696612468,1,2231678
Chr01_2231706_3033846,0.0678687151937618,0.829782674823629,0.492996496422655,0.205131781742406,0.485378422331058,0.9737648647961791,0.9255259539677245,0.6386924436339209,0.8393960696612468,1,2231706
Chr01_3033847_3052413,0.0291335040345655,0.685665571003302,0.465988307566785,0.12190116786142,0.427797929945695,0.9634701312580471,0.9255259539677245,0.6386924436339209,0.8393960696612468,1,3033847
Chr01_3052414_4229970,0.0283485938961379,0.885690630730463,0.551835397819793,0.0695366813018992,0.400486992348324,0.9906156531863365,0.9258144391994088,0.6386924436339209,0.8223395412897476,1,3052414
Chr01_4229971_4235626,0.0287992534183261,0.906183336185497,0.159444141120933,0.072396031565067,0.118081841472567,0.9954128734108404,0.7923152987840321,0.6386924436339209,0.7965866035483874,1,4229971
Chr01_4235627_5264100,0.0292010032870382,0.742684749883927,0.161260434643479,0.062594134104409,0.116755778150932,0.9634701312580471,0.7923152987840321,0.6386924436339209,0.7965866035483874,1,4235627
