Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.399705802364845,0.684109321067208,0.907912782345335,0.690350301889341,0.913724670239056,0.9428586813611054,0.9877365556830792,0.9339809085418475,0.9521653545801062,1,1
Chr01_126238_809425,0.380285998269929,0.683361418717453,0.90615895075515,0.682716872149042,0.914384207274122,0.9428586813611054,0.9877365556830792,0.9339809085418475,0.9521653545801062,1,126238
Chr01_809426_814269,0.521491892580412,0.770405791314255,0.715640606107056,0.757155978805695,0.905298273656054,0.96601663676514,0.9473379906118279,0.9462654122696057,0.9521653545801062,1,809426
Chr01_814270_1367747,0.48975559193758,0.99954065598034,0.515841194264351,0.715516474625119,0.708361752915339,0.999740832701322,0.8977160715041876,0.9395231520913416,0.8894769738311926,1,814270
Chr01_1367748_1367899,0.478380558933473,0.52842419193744,0.495795722170737,0.693700372146303,0.695044402754141,0.9363388660248105,0.8960084710569064,0.9339809085418475,0.8855154886700727,1,1367748
Chr01_1367900_2042574,0.490696535188936,0.666501037148905,0.448594788944782,0.711252011889228,0.66377420941528,0.9428586813611054,0.8939913272756131,0.9367709424882517,0.8855154886700727,1,1367900
Chr01_2042575_2043251,0.495547353151011,0.662257969782012,0.483170983414776,0.689035119767419,0.699176334188713,0.9428586813611054,0.8960084710569064,0.9339809085418475,0.8855154886700727,1,2042575
Chr01_2043252_2231677,0.557524714905999,0.780747117878344,0.573733447517671,0.793449281405495,0.726883122883034,0.9688910754083059,0.9116876678331164,0.9462654122696057,0.8938260241254175,1,2043252
Chr01_2231678_2231705,0.587223785178131,0.682654558465872,0.486363694153557,0.85438060558473,0.657930281672141,0.9428586813611054,0.8960084710569064,0.9497208338022903,0.8839063358634841,1,2231678
Chr01_2231706_3033846,0.585341447233559,0.678504921367113,0.483128709100583,0.853956236523899,0.655616031160566,0.9428586813611054,0.8960084710569064,0.9497208338022903,0.8839063358634841,1,2231706
Chr01_3033847_3052413,0.471603214746057,0.513698783880304,0.438585949302804,0.797890506337919,0.627623499774489,0.9342303998801296,0.8929350299758991,0.9462654122696057,0.8778912089378792,1,3033847
Chr01_3052414_4229970,0.411322727242082,0.556778273004946,0.413511416604789,0.692734598922933,0.641535883454604,0.9363388660248105,0.8875892257895662,0.9339809085418475,0.8778912089378792,1,3052414
Chr01_4229971_4235626,0.401062040735907,0.683939380675733,0.707351870014786,0.663202197036523,0.558145129322789,0.9428586813611054,0.9473379906118279,0.9339809085418475,0.8227633754554244,1,4229971
Chr01_4235627_5264100,0.373752895965194,0.919379841089642,0.595650913152677,0.551076279230759,0.480824040740795,0.978416768018623,0.9251803699452065,0.9221760488098072,0.795150538258672,1,4235627
Chr01_5264101_5264149,0.422600780514705,0.756548216773093,0.743867643963619,0.669091776173904,0.600551601908027,0.96601663676514,0.9508924891344488,0.9339809085418475,0.8655942149416183,1,5264101
Chr01_5264150_5885231,0.487417380799538,0.823642284546184,0.798318605732942,0.758263876457811,0.639851394445338,0.978416768018623,0.960976021651029,0.9462654122696057,0.8778912089378792,1,5264150
