Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.401913131425325,0.242344467800832,0.140436393688548,0.7880882705303998,0.7232098776581375,1,1
Chr01_126238_809425,0.358443702255177,0.270606837657592,0.134626009800959,0.7880882705303998,0.7072093471498828,1,126238
Chr01_809426_814269,0.281257030520906,0.284132871842509,0.0974264686899697,0.8068301938436905,0.6813752238800329,1,809426
Chr01_814270_1367747,0.272105796660474,0.45261853506437,0.149241570170686,0.8575526415813669,0.7295412795653331,1,814270
Chr01_1367748_1367899,0.275668073200268,0.779515307042618,0.194920861897665,0.9395159457847824,0.763043861818908,1,1367748
Chr01_1367900_2042574,0.349317690978906,0.668320623357826,0.161295333781877,0.9060204679204961,0.7464752022638159,1,1367900
Chr01_2042575_2043251,0.526192699648544,0.857144819238566,0.220361602520056,0.9618706927472997,0.7797582635240816,1,2042575
Chr01_2043252_2231677,0.451814923556916,0.270914024415749,0.375625379630533,0.7880882705303998,0.9027460584250496,1,2043252
Chr01_2231678_2231705,0.589002992942423,0.0746277776496292,0.13727502184854,0.7023598191671067,0.7107303550545379,1,2231678
Chr01_2231706_3033846,0.531108881778392,0.101863397708246,0.170145935632649,0.7023598191671067,0.759066285791315,1,2231706
Chr01_3033847_3052413,0.690325814393234,0.0258195079253207,0.154084946951985,0.7023598191671067,0.736692231603231,1,3033847
Chr01_3052414_4229970,0.323781353652716,0.136115844989494,0.0373387590113574,0.7023598191671067,0.6813752238800329,1,3052414
Chr01_4229971_4235626,0.360052470995289,0.163635416515637,0.0289403361931416,0.7398164605847813,0.6813752238800329,1,4229971
Chr01_4235627_5264100,0.5412016922346,0.599391519707477,0.141321598769703,0.8866874735370932,0.723897338378851,1,4235627
Chr01_5264101_5264149,0.769100674079495,0.704508587413309,0.079174478731839,0.9163746031169785,0.6813752238800329,1,5264101
Chr01_5264150_5885231,0.760717086145885,0.610207908816585,0.0705349862686606,0.8890018399249189,0.6813752238800329,1,5264150
Chr01_5885232_5886075,0.618464714057456,0.965755781195211,0.122557869157405,0.9867892092494495,0.6955325684273675,1,5885232
Chr01_5886076_6253003,0.838356032803756,0.815309229230055,0.409717895579261,0.9463953824398593,0.9439194579971971,1,5886076
Chr01_6253004_6253851,0.716394899120815,0.981805822355883,0.826164887056324,0.9894662186583747,0.9955530397648984,1,6253004
Chr01_6253852_6811196,0.954830164107287,0.798773603948911,0.977218942920909,0.9441341549185992,0.9955530397648984,1,6253852
Chr01_6811197_6811650,0.97447708908683,0.969369254361349,0.701446051130884,0.9867892092494495,0.9781099102213066,1,6811197
Chr01_6811651_7107385,0.616635037880639,0.79952823758348,0.694245796920337,0.9441341549185992,0.9781099102213066,1,6811651
