Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.899510306319458,0.789141696097181,0.867536488835816,0.9647764039308732,0.9805606088602005,1,1
Chr01_126238_809425,0.980884957565586,0.67949432951886,0.838236172586888,0.9647764039308732,0.9762368101581229,1,126238
Chr01_809426_814269,0.610481759530741,0.590628815481899,0.804122284722196,0.9647764039308732,0.9730148078633307,1,809426
Chr01_814270_1367747,0.688221795135172,0.797498088437813,0.664002451129082,0.965141333553415,0.9554767341197805,1,814270
Chr01_1367748_1367899,0.440895688630441,0.84960178487216,0.710843230794088,0.9728692578016641,0.9662776785416433,1,1367748
Chr01_1367900_2042574,0.710634868060123,0.966536995570155,0.689980610941977,0.9893290327289032,0.9643705781380609,1,1367900
Chr01_2042575_2043251,0.709623164735503,0.949295626356102,0.579722811702513,0.9879849981318891,0.9294129333411711,1,2042575
Chr01_2043252_2231677,0.873474533167548,0.716061189824295,0.706203091188351,0.9647764039308732,0.9662776785416433,1,2043252
Chr01_2231678_2231705,0.917614160867092,0.617818739880141,0.910509942733038,0.9647764039308732,0.9896400393362478,1,2231678
Chr01_2231706_3033846,0.953745518968062,0.668890892034557,0.865874824864004,0.9647764039308732,0.9800674138963594,1,2231706
Chr01_3033847_3052413,0.66802880168627,0.688162631987931,0.568643827183532,0.9647764039308732,0.9249751462483283,1,3033847
Chr01_3052414_4229970,0.923116609096174,0.99308845331015,0.346718523490085,0.9945407384525708,0.8462394832273819,1,3052414
Chr01_4229971_4235626,0.928147392692624,0.64930761320953,0.109146455668983,0.9647764039308732,0.7906064461481401,1,4229971
Chr01_4235627_5264100,0.413480100584857,0.921720516749573,0.250757027013794,0.983886518768116,0.8178607241785794,1,4235627
Chr01_5264101_5264149,0.122179822576208,0.545583564627361,0.336396658986127,0.9647764039308732,0.8462394832273819,1,5264101
Chr01_5264150_5885231,0.365997628662451,0.13436461714488,0.839988483997474,0.9237028865551666,0.9762368101581229,1,5264150
Chr01_5885232_5886075,0.569326860737517,0.0684866363602291,0.553575789950453,0.9032931169880367,0.9249751462483283,1,5885232
Chr01_5886076_6253003,0.951109574228457,0.126605828586533,0.709983881390616,0.9237028865551666,0.9662776785416433,1,5886076
Chr01_6253004_6253851,0.810969479345788,0.301875411938265,0.968769036503845,0.9496609992289735,0.9937313299918982,1,6253004
Chr01_6253852_6811196,0.818242694374735,0.415472668755094,0.795936068384304,0.9636557056164775,0.9730148078633307,1,6253852
Chr01_6811197_6811650,0.9847452485827,0.648037488632509,0.465500535657763,0.9647764039308732,0.8878671984564276,1,6811197
Chr01_6811651_7107385,0.852699191307726,0.232760241363632,0.841913838489121,0.9496609992289735,0.9762368101581229,1,6811651
Chr01_7107386_7117068,0.92458661255161,0.165775602901364,0.861533651841303,0.9496609992289735,0.9800674138963594,1,7107386
Chr01_7117069_8021093,0.761420433305259,0.282890285706075,0.665317280735774,0.9496609992289735,0.9554767341197805,1,7117069
Chr01_8021094_8021338,0.876730277098946,0.107223776361669,0.728997339204191,0.9032931169880367,0.9705212204550039,1,8021094
Chr01_8021339_8546533,0.842956709825343,0.311770287688998,0.364983845701638,0.9496609992289735,0.8489841628277233,1,8021339
Chr01_8546534_8548055,0.952281713843076,0.192026524180402,0.452559547772328,0.9496609992289735,0.8845878872905322,1,8546534
Chr01_8548056_9439189,0.735972680193526,0.348019435368653,0.469300529626774,0.9496609992289735,0.8878671984564276,1,8548056
Chr01_9439190_9439923,0.553736876325659,0.582126123360379,0.442633548779979,0.9647764039308732,0.8746442693557518,1,9439190
Chr01_9439924_10127710,0.649752456540464,0.502314756799884,0.49194393412893,0.9647764039308732,0.8956489896701177,1,9439924
Chr01_10127711_10127775,0.792450650586787,0.455522601361603,0.254237652937085,0.9647764039308732,0.8178607241785794,1,10127711
Chr01_10127776_10700451,0.694893880248461,0.938930192301301,0.217198492921609,0.9874902327805714,0.8178607241785794,1,10127776
Chr01_10700452_10700489,0.837850250728063,0.783554479694187,0.232711771217382,0.9647764039308732,0.8178607241785794,1,10700452
Chr01_10700490_11189458,0.982461853224194,0.645396702691616,0.0726319811585853,0.9647764039308732,0.7906064461481401,1,10700490
Chr01_11189459_11289027,0.692446196803,0.566092292318038,0.0776343373500145,0.9647764039308732,0.7906064461481401,1,11189459
Chr01_11289028_11965532,0.576729055200788,0.394663626188507,0.202121707998352,0.9636557056164775,0.8110133533433874,1,11289028
Chr01_11965533_11966198,0.831633512290525,0.604277400917358,0.274335289619351,0.9647764039308732,0.8294874828616662,1,11965533
Chr01_11966199_12330339,0.740754260740936,0.328496469519463,0.332669784994344,0.9496609992289735,0.8462394832273819,1,11966199
Chr01_12330340_12330527,0.694136851535905,0.358275128689193,0.116971795279003,0.9545984449291495,0.7906064461481401,1,12330340
Chr01_12330528_13051606,0.763501753581847,0.408049248290532,0.12770180043946,0.9636557056164775,0.7906064461481401,1,12330528
Chr01_13051607_13052006,0.898031282039206,0.271503445832064,0.388103671520854,0.9496609992289735,0.8543817903376657,1,13051607
Chr01_13052007_13382483,0.891758073217627,0.211769964694127,0.187156085804247,0.9496609992289735,0.7985135737916953,1,13052007
Chr01_13382484_13382509,0.898079361295125,0.315664863456165,0.255144362518203,0.9496609992289735,0.8178607241785794,1,13382484
Chr01_13382510_13576339,0.519808788940723,0.231688793876874,0.288085721615209,0.9496609992289735,0.8302778908345235,1,13382510
Chr01_13576340_13576350,0.533106398133609,0.283888838734626,0.205251893274097,0.9496609992289735,0.8119787087004131,1,13576340
Chr01_13576351_14061355,0.298276754376509,0.266856884495139,0.264242277969496,0.9496609992289735,0.8181475980609062,1,13576351
Chr01_14061356_14061634,0.545495031785743,0.230180381972131,0.666240344834276,0.9496609992289735,0.9554767341197805,1,14061356
Chr01_14061635_14604721,0.456762320896458,0.0944672829268893,0.763063229666035,0.9032931169880367,0.9730148078633307,1,14061635
Chr01_14604722_14607157,0.731926042036133,0.0857726447656363,0.576121151837194,0.9032931169880367,0.9277670053833074,1,14604722
Chr01_14607158_15449572,0.897580075813492,0.0463433731385011,0.634853613744777,0.9032931169880367,0.946675393027104,1,14607158
Chr01_15449573_15456448,0.691920552382088,0.0746494833869003,0.88393370680406,0.9032931169880367,0.9852177773753585,1,15449573
Chr01_15456449_16406535,0.75693679097761,0.0726512719582295,0.752708020135272,0.9032931169880367,0.9730148078633307,1,15456449
Chr01_16406536_16454790,0.889164295058455,0.055775439706173,0.84299218074806,0.9032931169880367,0.9762368101581229,1,16406536
Chr01_16454791_19216253,0.883487153889226,0.0213867705320076,0.813492602781294,0.9032931169880367,0.9730148078633307,1,16454791
Chr01_19216254_19216663,0.657572682661421,0.0183284074151096,0.88166124590781,0.9032931169880367,0.9838236150744161,1,19216254
