Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.199939655247201,0.692628675494713,0.525959844095246,0.9792109918581355,0.9847974082601503,1,1
Chr01_126238_809425,0.191423789493712,0.680351943736621,0.526138556224284,0.9792109918581355,0.9847974082601503,1,126238
Chr01_809426_814269,0.140167852292088,0.821530372333577,0.546464249313815,0.9936927146429678,0.9847974082601503,1,809426
Chr01_814270_1367747,0.146521043539997,0.649096174217505,0.482655599008542,0.9792109918581355,0.9847974082601503,1,814270
Chr01_1367748_1367899,0.141342586066129,0.960978663290688,0.700701970877366,0.9958404711032325,0.9847974082601503,1,1367748
Chr01_1367900_2042574,0.150965783459917,0.914728688505805,0.628757351464761,0.9942356288711358,0.9847974082601503,1,1367900
Chr01_2042575_2043251,0.314832145340647,0.982236923619473,0.623935853263424,0.9958404711032325,0.9847974082601503,1,2042575
Chr01_2043252_2231677,0.118863532012107,0.682524426777999,0.695431462270419,0.9792109918581355,0.9847974082601503,1,2043252
Chr01_2231678_2231705,0.17818491765465,0.558923803717735,0.861519496269508,0.9792109918581355,0.9920903147882516,1,2231678
Chr01_2231706_3033846,0.160004402926357,0.499305281328867,0.810187565739867,0.9792109918581355,0.9920903147882516,1,2231706
Chr01_3033847_3052413,0.175367686538189,0.492426167446751,0.874490601892152,0.9792109918581355,0.9920903147882516,1,3033847
Chr01_3052414_4229970,0.151441700849221,0.515133258999733,0.322965329334911,0.9792109918581355,0.9847974082601503,1,3052414
Chr01_4229971_4235626,0.102095984798468,0.424171995123839,0.248102674397968,0.9792109918581355,0.9847974082601503,1,4229971
Chr01_4235627_5264100,0.11378777204313,0.153058711176449,0.320295616334747,0.9792109918581355,0.9847974082601503,1,4235627
Chr01_5264101_5264149,0.028061753240089,0.0399864168493253,0.315726359727854,0.9792109918581355,0.9847974082601503,1,5264101
Chr01_5264150_5885231,0.0532483806127018,0.0181685379401833,0.0801148269489977,0.9792109918581355,0.9847974082601503,1,5264150
Chr01_5885232_5886075,0.0578773076678111,0.0231725164357635,0.16735793884378,0.9792109918581355,0.9847974082601503,1,5885232
Chr01_5886076_6253003,0.103131218242287,0.0264118023643958,0.350715168106412,0.9792109918581355,0.9847974082601503,1,5886076
Chr01_6253004_6253851,0.157705611895883,0.00544702708838232,0.8263128556732,0.9792109918581355,0.9920903147882516,1,6253004
Chr01_6253852_6811196,0.175453691550411,0.00762103950581232,0.93260352196029,0.9792109918581355,0.9923757448675379,1,6253852
Chr01_6811197_6811650,0.15526217806325,0.00280248407860895,0.577091804796534,0.9792109918581355,0.9847974082601503,1,6811197
Chr01_6811651_7107385,0.080063205408989,0.0630731287016817,0.763097302252283,0.9792109918581355,0.9847974082601503,1,6811651
Chr01_7107386_7117068,0.119048426601598,0.0413746745248442,0.199270859589823,0.9792109918581355,0.9847974082601503,1,7107386
Chr01_7117069_8021093,0.135454358729256,0.056155648054614,0.457470166664926,0.9792109918581355,0.9847974082601503,1,7117069
Chr01_8021094_8021338,0.166664962356364,0.276267135124383,0.571816281538353,0.9792109918581355,0.9847974082601503,1,8021094
Chr01_8021339_8546533,0.107559077419779,0.227171178873745,0.5114715093443,0.9792109918581355,0.9847974082601503,1,8021339
Chr01_8546534_8548055,0.222980895382107,0.284370687200917,0.627184759190284,0.9792109918581355,0.9847974082601503,1,8546534
Chr01_8548056_9439189,0.210760344087478,0.355999280748342,0.617421344475355,0.9792109918581355,0.9847974082601503,1,8548056
Chr01_9439190_9439923,0.699460394902285,0.67824731312008,0.168190142372531,0.9792109918581355,0.9847974082601503,1,9439190
Chr01_9439924_10127710,0.418533845534567,0.641821715120856,0.353848825463487,0.9792109918581355,0.9847974082601503,1,9439924
Chr01_10127711_10127775,0.486478846204727,0.656039780456821,0.726827151187365,0.9792109918581355,0.9847974082601503,1,10127711
Chr01_10127776_10700451,0.0738894431069787,0.945658990325045,0.456191841017202,0.9958404711032325,0.9847974082601503,1,10127776
Chr01_10700452_10700489,0.0867451952035402,0.329569274503511,0.794383823218731,0.9792109918581355,0.989639872910269,1,10700452
Chr01_10700490_11189458,0.0495564824116535,0.250700943728456,0.719165348964195,0.9792109918581355,0.9847974082601503,1,10700490
Chr01_11189459_11289027,0.0793316683899132,0.384852663358049,0.480792958355062,0.9792109918581355,0.9847974082601503,1,11189459
Chr01_11289028_11965532,0.0976550698707058,0.482512152076778,0.321899067007551,0.9792109918581355,0.9847974082601503,1,11289028
Chr01_11965533_11966198,0.154403306970359,0.173447275814236,0.221033345605493,0.9792109918581355,0.9847974082601503,1,11965533
Chr01_11966199_12330339,0.135827630795122,0.097210017655665,0.163803340780184,0.9792109918581355,0.9847974082601503,1,11966199
Chr01_12330340_12330527,0.157139365784833,0.0837933414378046,0.213492611719988,0.9792109918581355,0.9847974082601503,1,12330340
Chr01_12330528_13051606,0.164252942803775,0.0883757623446316,0.351801691877339,0.9792109918581355,0.9847974082601503,1,12330528
Chr01_13051607_13052006,0.176487914136635,0.108443369053417,0.273993049588098,0.9792109918581355,0.9847974082601503,1,13051607
Chr01_13052007_13382483,0.246868809493312,0.0583036864106137,0.465578582147069,0.9792109918581355,0.9847974082601503,1,13052007
Chr01_13382484_13382509,0.335530613412222,0.0446066866406006,0.381120900679243,0.9792109918581355,0.9847974082601503,1,13382484
