Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,CHR,BP
Chr01_1_126237,0.353353756499063,0.282498468170161,0.908011054710621,0.141822736744986,Chr01_1_126237,0.8035176219340558,0.9947101862090216,0.6596906087986469,1,1
Chr01_126238_809425,0.353353756499063,0.282498468170161,0.908011054710621,0.141822736744986,Chr01_126238_809425,0.8035176219340558,0.9947101862090216,0.6596906087986469,1,126238
Chr01_809426_814269,0.178320232405329,0.314770814123281,0.295693226076123,0.0703766684650383,Chr01_809426_814269,0.8035176219340558,0.9647792902654949,0.5083679345592179,1,809426
Chr01_814270_1367747,0.362605296186185,0.0856923155390062,0.196532503697463,0.0989851557738834,Chr01_814270_1367747,0.7063244777603637,0.924068460409793,0.5706139668643058,1,814270
Chr01_1367748_1367899,0.346174289637302,0.0750230581644181,0.0381272276828372,0.0854920471730489,Chr01_1367748_1367899,0.6998298196980027,0.6641333775093398,0.5517234221527533,1,1367748
Chr01_1367900_2042574,0.227926107272943,0.121671674630232,0.0242376805015515,0.0757584242245918,Chr01_1367900_2042574,0.7714487688445651,0.5540851562862493,0.5318507512720838,1,1367900
Chr01_2042575_2043251,0.19442583536222,0.199204915631699,0.0478859010367786,0.0778785643118079,Chr01_2042575_2043251,0.8035176219340558,0.6865655442070153,0.5372745897466298,1,2042575
Chr01_2043252_2231677,0.189688403196189,0.166475881514727,0.0333664654279162,0.0762261663060967,Chr01_2043252_2231677,0.8035176219340558,0.6489824227024036,0.5318507512720838,1,2043252
Chr01_2231678_2231705,0.162139292802083,0.189359853801086,0.0382877316073073,0.0686870737287411,Chr01_2231678_2231705,0.8035176219340558,0.6641333775093398,0.5020698008267503,1,2231678
Chr01_2231706_3033846,0.191401099145244,0.1541746054845,0.0461035748358391,0.0725653636005837,Chr01_2231706_3033846,0.8035176219340558,0.6865655442070153,0.5180829447762604,1,2231706
Chr01_3033847_3052413,0.234298424896792,0.0501401658008075,0.11650352908101,0.0546702432963739,Chr01_3033847_3052413,0.6571691885704839,0.923971588380262,0.49212024055547066,1,3033847
Chr01_3052414_4229970,0.24323737278623,0.0688155790105085,0.113024727980695,0.0658328838005792,Chr01_3052414_4229970,0.696262266705515,0.9234898603874417,0.49212024055547066,1,3052414
