Marker,Intercept,Dosage,Dos_P_adj,CHR,BP
Chr01_1_126237,0.222650772786415,0.206425289851273,0.5375291023477593,1,1
Chr01_126238_809425,0.233626080985903,0.215365226064882,0.5560559791618706,1,126238
Chr01_809426_814269,0.233626080985903,0.215365226064882,0.5560559791618706,1,809426
Chr01_814270_1367747,0.233626080985903,0.215365226064882,0.5560559791618706,1,814270
Chr01_1367748_1367899,0.222650772786415,0.206425289851273,0.5375291023477593,1,1367748
Chr01_1367900_2042574,0.222650772786415,0.206425289851273,0.5375291023477593,1,1367900
Chr01_2042575_2043251,0.222650772786415,0.206425289851273,0.5375291023477593,1,2042575
Chr01_2043252_2231677,0.222650772786415,0.206425289851273,0.5375291023477593,1,2043252
Chr01_2231678_2231705,0.222650772786415,0.206425289851273,0.5375291023477593,1,2231678
Chr01_2231706_3033846,0.222650772786415,0.206425289851273,0.5375291023477593,1,2231706
Chr01_3033847_3052413,0.373476392194242,0.359398744738274,0.7226293499657888,1,3033847
Chr01_3052414_4229970,0.332343015314394,0.315898249119767,0.6969617558432453,1,3052414
Chr01_4229971_4235626,0.325401035375053,0.312286684008682,0.6911138721160662,1,4229971
Chr01_4235627_5264100,0.325401035375053,0.312286684008682,0.6911138721160662,1,4235627
Chr01_5264101_5264149,0.469201442095199,0.461465525778164,0.7955178458715021,1,5264101
Chr01_5264150_5885231,0.469201442095199,0.461465525778164,0.7955178458715021,1,5264150
Chr01_5885232_5886075,0.291576574245751,0.285652186037476,0.63679536106891,1,5885232
Chr01_5886076_6253003,0.291576574245751,0.285652186037476,0.63679536106891,1,5886076
Chr01_6253004_6253851,0.291576574245751,0.285652186037476,0.63679536106891,1,6253004
Chr01_6253852_6811196,0.291576574245751,0.285652186037476,0.63679536106891,1,6253852
Chr01_6811197_6811650,0.291576574245751,0.285652186037476,0.63679536106891,1,6811197
Chr01_6811651_7107385,0.291576574245751,0.285652186037476,0.63679536106891,1,6811651
Chr01_7107386_7117068,0.291576574245751,0.285652186037476,0.63679536106891,1,7107386
Chr01_7117069_8021093,0.380416611082342,0.373229304707377,0.7312029065897361,1,7117069
Chr01_8021094_8021338,0.352571526058794,0.346923292974064,0.7100059489913031,1,8021094
Chr01_8021339_8546533,0.439765126437449,0.427161437951877,0.7537172862703003,1,8021339
Chr01_8546534_8548055,0.429177603302691,0.418825155615324,0.7451887468327978,1,8546534
Chr01_8548056_9439189,0.429177603302691,0.418825155615324,0.7451887468327978,1,8548056
Chr01_9439190_9439923,0.429177603302691,0.418825155615324,0.7451887468327978,1,9439190
Chr01_9439924_10127710,0.429177603302691,0.418825155615324,0.7451887468327978,1,9439924
Chr01_10127711_10127775,0.429177603302691,0.418825155615324,0.7451887468327978,1,10127711
Chr01_10127776_10700451,0.429177603302691,0.418825155615324,0.7451887468327978,1,10127776
Chr01_10700452_10700489,0.197483392433408,0.19061892775366,0.5216338322360636,1,10700452
