Marker,Intercept,Deltoides,Del_P_adj,CHR,BP
Chr01_1_126237,0.499480317584346,0.176133251445267,0.7491534294805356,1,1
Chr01_126238_809425,0.499480317584346,0.176133251445267,0.7491534294805356,1,126238
Chr01_809426_814269,0.499480317584346,0.176133251445267,0.7491534294805356,1,809426
Chr01_814270_1367747,0.499480317584346,0.176133251445267,0.7491534294805356,1,814270
Chr01_1367748_1367899,0.499480317584346,0.176133251445267,0.7491534294805356,1,1367748
Chr01_1367900_2042574,0.499480317584346,0.176133251445267,0.7491534294805356,1,1367900
Chr01_2042575_2043251,0.499480317584346,0.176133251445267,0.7491534294805356,1,2042575
Chr01_2043252_2231677,0.499480317584346,0.176133251445267,0.7491534294805356,1,2043252
Chr01_2231678_2231705,0.499480317584346,0.176133251445267,0.7491534294805356,1,2231678
Chr01_2231706_3033846,0.499480317584346,0.176133251445267,0.7491534294805356,1,2231706
Chr01_3033847_3052413,0.499480317584346,0.176133251445267,0.7491534294805356,1,3033847
Chr01_3052414_4229970,0.499480317584346,0.176133251445267,0.7491534294805356,1,3052414
Chr01_4229971_4235626,0.499480317584346,0.176133251445267,0.7491534294805356,1,4229971
Chr01_4235627_5264100,0.679056591924543,0.158369114246682,0.7491534294805356,1,4235627
Chr01_5264101_5264149,0.411520517721996,0.0620313306348694,0.5546611966184382,1,5264101
Chr01_5264150_5885231,0.354047888120177,0.0559316613022875,0.5546611966184382,1,5264150
Chr01_5885232_5886075,0.346176465276113,0.108492509736234,0.6180198322474758,1,5885232
Chr01_5886076_6253003,0.326603919530754,0.123833169767469,0.6810824337210795,1,5886076
Chr01_6253004_6253851,0.33954591129794,0.129078327642108,0.6901003327011026,1,6253004
Chr01_6253852_6811196,0.240349944431981,0.162117733474771,0.7491534294805356,1,6253852
Chr01_6811197_6811650,0.269254701828256,0.197863757671187,0.7728800656788815,1,6811197
Chr01_6811651_7107385,0.310064669247065,0.231363356035852,0.8136059692589845,1,6811651
Chr01_7107386_7117068,0.438883646564165,0.297089626523883,0.8307653837388507,1,7107386
Chr01_7117069_8021093,0.758964645608087,0.284397220082264,0.8193066450651808,1,7117069
Chr01_8021094_8021338,0.978555668409462,0.307553162048286,0.8307653837388507,1,8021094
Chr01_8021339_8546533,0.978555668409462,0.307553162048286,0.8307653837388507,1,8021339
Chr01_8546534_8548055,0.583110769916162,0.208375823496731,0.7747163558246749,1,8546534
Chr01_8548056_9439189,0.609343551330656,0.197179103684389,0.7728800656788815,1,8548056
Chr01_9439190_9439923,0.395640858649791,0.516702055685816,0.854432365379724,1,9439190
Chr01_9439924_10127710,0.272352923670877,0.67404170737864,0.8803237505376392,1,9439924
Chr01_10127711_10127775,0.272352923670877,0.67404170737864,0.8803237505376392,1,10127711
Chr01_10127776_10700451,0.400282034494024,0.599404653701357,0.8797060343425439,1,10127776
Chr01_10700452_10700489,0.416316267429857,0.936829961354981,0.9645129336083424,1,10700452
Chr01_10700490_11189458,0.290030185384371,0.957356888826834,0.9746617630366291,1,10700490
Chr01_11189459_11289027,0.326974298250318,0.934951997652713,0.9645129336083424,1,11189459
