Marker,Intercept,Deltoides,Del_P_adj,CHR,BP
Chr01_1_126237,0.103645889901152,0.825036559574793,0.9701142689663562,1,1
Chr01_126238_809425,0.103645889901152,0.825036559574793,0.9701142689663562,1,126238
Chr01_809426_814269,0.103645889901152,0.825036559574793,0.9701142689663562,1,809426
Chr01_814270_1367747,0.103645889901152,0.825036559574793,0.9701142689663562,1,814270
Chr01_1367748_1367899,0.103645889901152,0.825036559574793,0.9701142689663562,1,1367748
Chr01_1367900_2042574,0.103645889901152,0.825036559574793,0.9701142689663562,1,1367900
Chr01_2042575_2043251,0.103645889901152,0.825036559574793,0.9701142689663562,1,2042575
Chr01_2043252_2231677,0.103645889901152,0.825036559574793,0.9701142689663562,1,2043252
Chr01_2231678_2231705,0.103645889901152,0.825036559574793,0.9701142689663562,1,2231678
Chr01_2231706_3033846,0.103645889901152,0.825036559574793,0.9701142689663562,1,2231706
Chr01_3033847_3052413,0.103645889901152,0.825036559574793,0.9701142689663562,1,3033847
Chr01_3052414_4229970,0.103645889901152,0.825036559574793,0.9701142689663562,1,3052414
Chr01_4229971_4235626,0.103645889901152,0.825036559574793,0.9701142689663562,1,4229971
Chr01_4235627_5264100,0.121979130201944,0.76025058137988,0.9701142689663562,1,4235627
Chr01_5264101_5264149,0.0447283978667457,0.658547534290756,0.9415821833194236,1,5264101
Chr01_5264150_5885231,0.0551241658288783,0.664946946879532,0.9415821833194236,1,5264150
Chr01_5885232_5886075,0.0541287805069075,0.751351944273908,0.9701142689663562,1,5885232
Chr01_5886076_6253003,0.0536474612628399,0.900352484977735,0.9759503983479829,1,5886076
Chr01_6253004_6253851,0.0535826227358097,0.912356608679952,0.9759503983479829,1,6253004
Chr01_6253852_6811196,0.0684685718284026,0.750096793380874,0.9701142689663562,1,6253852
Chr01_6811197_6811650,0.0700700523781337,0.904955653651488,0.9759503983479829,1,6811197
Chr01_6811651_7107385,0.071073529126414,0.90346677319802,0.9759503983479829,1,6811651
Chr01_7107386_7117068,0.0557541003460413,0.7441519401981,0.9701142689663562,1,7107386
Chr01_7117069_8021093,0.184928440200274,0.951722907043496,0.9862822143209448,1,7117069
Chr01_8021094_8021338,0.146149130677322,0.871466402710816,0.9750187766127731,1,8021094
Chr01_8021339_8546533,0.146149130677322,0.871466402710816,0.9750187766127731,1,8021339
Chr01_8546534_8548055,0.049488625435302,0.73492763559833,0.9701142689663562,1,8546534
Chr01_8548056_9439189,0.0162564674990034,0.670199040463102,0.9415821833194236,1,8548056
Chr01_9439190_9439923,0.0546526036263781,0.926331800742775,0.9759503983479829,1,9439190
Chr01_9439924_10127710,0.0557226680964772,0.955257847430174,0.9862822143209448,1,9439924
Chr01_10127711_10127775,0.0557226680964772,0.955257847430174,0.9862822143209448,1,10127711
Chr01_10127776_10700451,0.0598272925972715,0.988563029619032,0.9965094077252004,1,10127776
Chr01_10700452_10700489,0.063066909774824,0.960253777137923,0.9874884436648416,1,10700452
Chr01_10700490_11189458,0.055896791487002,0.875848041596311,0.9759503983479829,1,10700490
Chr01_11189459_11289027,0.059536820756628,0.934719945557789,0.9805055086072816,1,11189459
Chr01_11289028_11965532,0.0275562320281867,0.724454951502816,0.96701468170671,1,11289028
Chr01_11965533_11966198,0.0284652368629774,0.556589801196692,0.9415821833194236,1,11965533
Chr01_11966199_12330339,0.0960415811514106,0.510800904970916,0.9415821833194236,1,11966199
Chr01_12330340_12330527,0.197125748187108,0.323715510732219,0.9415821833194236,1,12330340
Chr01_12330528_13051606,0.165745616799846,0.196347774546302,0.9415821833194236,1,12330528
Chr01_13051607_13052006,0.0478005258244711,0.224893894065484,0.9415821833194236,1,13051607
Chr01_13052007_13382483,0.0597614790187477,0.28154034794866,0.9415821833194236,1,13052007
Chr01_13382484_13382509,0.0625672170856994,0.198548266819915,0.9415821833194236,1,13382484
Chr01_13382510_13576339,0.0433860106821254,0.152702618099023,0.9415821833194236,1,13382510
Chr01_13576340_13576350,0.053085591784942,0.18287614031572,0.9415821833194236,1,13576340
Chr01_13576351_14061355,0.0732538376950542,0.271322592246678,0.9415821833194236,1,13576351
Chr01_14061356_14061634,0.0997765544227081,0.31398128550872,0.9415821833194236,1,14061356
Chr01_14061635_14604721,0.125416823267317,0.425255788821583,0.9415821833194236,1,14061635
Chr01_14604722_14607157,0.0812716050143986,0.695089495306005,0.9612726112830156,1,14604722
Chr01_14607158_15449572,0.0700682992654574,0.813929704514835,0.9701142689663562,1,14607158
Chr01_15449573_15456448,0.0486118014392501,0.920455064848728,0.9759503983479829,1,15449573
Chr01_15456449_16406535,0.0420699591909296,0.985866544546948,0.9965094077252004,1,15456449
Chr01_16406536_16454790,0.0536831079646349,0.84142152341037,0.9701142689663562,1,16406536
Chr01_16454791_19216253,0.0257235680499141,0.672305705317204,0.9415821833194236,1,16454791
Chr01_19216254_19216663,0.0257235680499141,0.672305705317204,0.9415821833194236,1,19216254
Chr01_19216664_20661429,0.0281989236092744,0.85965133313215,0.9734127527526976,1,19216664
Chr01_20661430_20662913,0.0452978001968762,0.677378275408429,0.943750389120909,1,20661430
Chr01_20662914_21251875,0.0753093243122344,0.519872728606092,0.9415821833194236,1,20662914
Chr01_21251876_21488109,0.0875723222207515,0.75449221238082,0.9701142689663562,1,21251876
Chr01_21488110_22523058,0.073847253646212,0.926999908148711,0.9759503983479829,1,21488110
Chr01_22523059_22523376,0.0547892205567391,0.93339781448451,0.9805055086072816,1,22523059
Chr01_22523377_25610270,0.13902181689756,0.882388864012448,0.9759503983479829,1,22523377
Chr01_25610271_25623774,0.0541068932727356,0.717584556283217,0.96701468170671,1,25610271
Chr01_25623775_25991881,0.0584430770986269,0.707620906588616,0.96701468170671,1,25623775
Chr01_25991882_26001088,0.0651013945009881,0.62413212484152,0.9415821833194236,1,25991882
Chr01_26001089_26286066,0.0621659667401025,0.618893886120679,0.9415821833194236,1,26001089
Chr01_26286067_26293474,0.0621659667401025,0.618893886120679,0.9415821833194236,1,26286067
Chr01_26293475_26583692,0.0478356173292177,0.750392181211631,0.9701142689663562,1,26293475
Chr01_26583693_26647317,0.042199738673572,0.672471019608668,0.9415821833194236,1,26583693
Chr01_26647318_27308826,0.0263278421065245,0.527788607161005,0.9415821833194236,1,26647318
Chr01_27308827_27314420,0.0561115924931588,0.564959306565516,0.9415821833194236,1,27308827
Chr01_27314421_27701084,0.0808920803371608,0.516124671713095,0.9415821833194236,1,27314421
Chr01_27701085_27712150,0.0769601306515833,0.506245396420855,0.9415821833194236,1,27701085
Chr01_27712151_27987745,0.0572739610371944,0.416370312744256,0.9415821833194236,1,27712151
Chr01_27987746_27996902,0.0385701299379386,0.377052924481105,0.9415821833194236,1,27987746
Chr01_27996903_28327995,0.0595253783030983,0.314335320561172,0.9415821833194236,1,27996903
Chr01_28327996_28328780,0.0893775626456056,0.298069870123867,0.9415821833194236,1,28327996
Chr01_28328781_28712697,0.0689479810082139,0.24033774723438,0.9415821833194236,1,28328781
Chr01_28712698_28712702,0.0561094294868143,0.132372710358533,0.9415821833194236,1,28712698
Chr01_28712703_29260469,0.0536137227101769,0.178509769622084,0.9415821833194236,1,28712703
Chr01_29260470_29264772,0.0619335725374162,0.227954225598809,0.9415821833194236,1,29260470
