Marker,Intercept,Dosage,Dos_P_adj,CHR,BP
Chr01_1_126237,0.123761928082232,0.286523460942885,0.6688778005692778,1,1
Chr01_126238_809425,0.0932599313409351,0.234159851524262,0.6326509975989253,1,126238
Chr01_809426_814269,0.0932599313409351,0.234159851524262,0.6326509975989253,1,809426
Chr01_814270_1367747,0.0932599313409351,0.234159851524262,0.6326509975989253,1,814270
Chr01_1367748_1367899,0.123761928082232,0.286523460942885,0.6688778005692778,1,1367748
Chr01_1367900_2042574,0.123761928082232,0.286523460942885,0.6688778005692778,1,1367900
Chr01_2042575_2043251,0.123761928082232,0.286523460942885,0.6688778005692778,1,2042575
Chr01_2043252_2231677,0.123761928082232,0.286523460942885,0.6688778005692778,1,2043252
Chr01_2231678_2231705,0.123761928082232,0.286523460942885,0.6688778005692778,1,2231678
Chr01_2231706_3033846,0.123761928082232,0.286523460942885,0.6688778005692778,1,2231706
Chr01_3033847_3052413,0.0844754154238588,0.199474666945658,0.605713772718709,1,3033847
Chr01_3052414_4229970,0.104891530951811,0.2493470546458,0.6326509975989253,1,3052414
Chr01_4229971_4235626,0.0973763260493021,0.218367129623461,0.6326509975989253,1,4229971
Chr01_4235627_5264100,0.0973763260493021,0.218367129623461,0.6326509975989253,1,4235627
Chr01_5264101_5264149,0.0672926207152134,0.143863556840723,0.5205783982079321,1,5264101
Chr01_5264150_5885231,0.0672926207152134,0.143863556840723,0.5205783982079321,1,5264150
Chr01_5885232_5886075,0.0789958548214947,0.147261364057671,0.5205783982079321,1,5885232
Chr01_5886076_6253003,0.0789958548214947,0.147261364057671,0.5205783982079321,1,5886076
Chr01_6253004_6253851,0.0789958548214947,0.147261364057671,0.5205783982079321,1,6253004
Chr01_6253852_6811196,0.0789958548214947,0.147261364057671,0.5205783982079321,1,6253852
Chr01_6811197_6811650,0.0789958548214947,0.147261364057671,0.5205783982079321,1,6811197
Chr01_6811651_7107385,0.0789958548214947,0.147261364057671,0.5205783982079321,1,6811651
Chr01_7107386_7117068,0.0789958548214947,0.147261364057671,0.5205783982079321,1,7107386
Chr01_7117069_8021093,0.097709979026922,0.18928636581831,0.5872290529365519,1,7117069
Chr01_8021094_8021338,0.237137066523127,0.387502702559258,0.7927762291968131,1,8021094
Chr01_8021339_8546533,0.244654652254448,0.418730838207075,0.7953772173290383,1,8021339
Chr01_8546534_8548055,0.228266695132033,0.374951450395726,0.7914868697307922,1,8546534
Chr01_8548056_9439189,0.228266695132033,0.374951450395726,0.7914868697307922,1,8548056
Chr01_9439190_9439923,0.228266695132033,0.374951450395726,0.7914868697307922,1,9439190
Chr01_9439924_10127710,0.228266695132033,0.374951450395726,0.7914868697307922,1,9439924
Chr01_10127711_10127775,0.228266695132033,0.374951450395726,0.7914868697307922,1,10127711
Chr01_10127776_10700451,0.228266695132033,0.374951450395726,0.7914868697307922,1,10127776
Chr01_10700452_10700489,0.350720537106225,0.513655458414567,0.8767447461096913,1,10700452
Chr01_10700490_11189458,0.350720537106225,0.513655458414567,0.8767447461096913,1,10700490
Chr01_11189459_11289027,0.811985044577468,0.943010240831904,0.9672871028491279,1,11189459
Chr01_11289028_11965532,0.760804525735173,0.94474760101322,0.9672871028491279,1,11289028
Chr01_11965533_11966198,0.760804525735173,0.94474760101322,0.9672871028491279,1,11965533
Chr01_11966199_12330339,0.760804525735173,0.94474760101322,0.9672871028491279,1,11966199
Chr01_12330340_12330527,0.760804525735173,0.94474760101322,0.9672871028491279,1,12330340
Chr01_12330528_13051606,0.760804525735173,0.94474760101322,0.9672871028491279,1,12330528
Chr01_13051607_13052006,0.811985044577468,0.943010240831904,0.9672871028491279,1,13051607
Chr01_13052007_13382483,0.811985044577468,0.943010240831904,0.9672871028491279,1,13052007
Chr01_13382484_13382509,0.811985044577468,0.943010240831904,0.9672871028491279,1,13382484
Chr01_13382510_13576339,0.811985044577468,0.943010240831904,0.9672871028491279,1,13382510
Chr01_13576340_13576350,0.811985044577468,0.943010240831904,0.9672871028491279,1,13576340
Chr01_13576351_14061355,0.811985044577468,0.943010240831904,0.9672871028491279,1,13576351
Chr01_14061356_14061634,0.811985044577468,0.943010240831904,0.9672871028491279,1,14061356
Chr01_14061635_14604721,0.811985044577468,0.943010240831904,0.9672871028491279,1,14061635
Chr01_14604722_14607157,0.811985044577468,0.943010240831904,0.9672871028491279,1,14604722
Chr01_14607158_15449572,0.811985044577468,0.943010240831904,0.9672871028491279,1,14607158
Chr01_15449573_15456448,0.811985044577468,0.943010240831904,0.9672871028491279,1,15449573
Chr01_15456449_16406535,0.961566959950743,0.774632477616255,0.9315974796595488,1,15456449
Chr01_16406536_16454790,0.961566959950743,0.774632477616255,0.9315974796595488,1,16406536
Chr01_16454791_19216253,0.378447893834732,0.217113187384979,0.6326509975989253,1,16454791
Chr01_19216254_19216663,0.0663570591885896,"NA",NA,1,19216254
Chr01_19216664_20661429,0.735453428554189,0.863485198823913,0.9672871028491279,1,19216664
Chr01_20661430_20662913,0.735453428554189,0.863485198823913,0.9672871028491279,1,20661430
Chr01_20662914_21251875,0.735453428554189,0.863485198823913,0.9672871028491279,1,20662914
Chr01_21251876_21488109,0.735453428554189,0.863485198823913,0.9672871028491279,1,21251876
Chr01_21488110_22523058,0.735453428554189,0.863485198823913,0.9672871028491279,1,21488110
Chr01_22523059_22523376,0.735453428554189,0.863485198823913,0.9672871028491279,1,22523059
Chr01_22523377_25610270,0.735453428554189,0.863485198823913,0.9672871028491279,1,22523377
Chr01_25610271_25623774,0.0663570591885896,"NA",NA,1,25610271
Chr01_25623775_25991881,0.0663570591885896,"NA",NA,1,25623775
Chr01_25991882_26001088,0.0663570591885896,"NA",NA,1,25991882
Chr01_26001089_26286066,0.0663570591885896,"NA",NA,1,26001089
Chr01_26286067_26293474,0.0663570591885896,"NA",NA,1,26286067
Chr01_26293475_26583692,0.0663570591885896,"NA",NA,1,26293475
Chr01_26583693_26647317,0.0663570591885896,"NA",NA,1,26583693
Chr01_26647318_27308826,0.141613499491094,0.190444228490432,0.5872290529365519,1,26647318
Chr01_27308827_27314420,0.141613499491094,0.190444228490432,0.5872290529365519,1,27308827
Chr01_27314421_27701084,0.141613499491094,0.190444228490432,0.5872290529365519,1,27314421
Chr01_27701085_27712150,0.141613499491094,0.190444228490432,0.5872290529365519,1,27701085
Chr01_27712151_27987745,0.141613499491094,0.190444228490432,0.5872290529365519,1,27712151
Chr01_27987746_27996902,0.141613499491094,0.190444228490432,0.5872290529365519,1,27987746
Chr01_27996903_28327995,0.141613499491094,0.190444228490432,0.5872290529365519,1,27996903
Chr01_28327996_28328780,0.141613499491094,0.190444228490432,0.5872290529365519,1,28327996
Chr01_28328781_28712697,0.141613499491094,0.190444228490432,0.5872290529365519,1,28328781
Chr01_28712698_28712702,0.141613499491094,0.190444228490432,0.5872290529365519,1,28712698
Chr01_28712703_29260469,0.141613499491094,0.190444228490432,0.5872290529365519,1,28712703
Chr01_29260470_29264772,0.141613499491094,0.190444228490432,0.5872290529365519,1,29260470
Chr01_29264773_29827856,0.697509983499504,0.875872020770557,0.9672871028491279,1,29264773
Chr01_29827857_29864780,0.697509983499504,0.875872020770557,0.9672871028491279,1,29827857
Chr01_29864781_30461232,0.697509983499504,0.875872020770557,0.9672871028491279,1,29864781
Chr01_30461233_30463952,0.141613499491094,0.190444228490432,0.5872290529365519,1,30461233
Chr01_30463953_31287140,0.949228948787923,0.863777602412096,0.9672871028491279,1,30463953
Chr01_31287141_31299042,0.949228948787923,0.863777602412096,0.9672871028491279,1,31287141
Chr01_31299043_32249075,0.444737623932067,0.628815370960645,0.8788031331162531,1,31299043
Chr01_32249076_32254238,0.444737623932067,0.628815370960645,0.8788031331162531,1,32249076
Chr01_32254239_32925441,0.444737623932067,0.628815370960645,0.8788031331162531,1,32254239
Chr01_32925442_32925676,0.444737623932067,0.628815370960645,0.8788031331162531,1,32925442
Chr01_32925677_33648211,0.444737623932067,0.628815370960645,0.8788031331162531,1,32925677
Chr01_33648212_33648861,0.444737623932067,0.628815370960645,0.8788031331162531,1,33648212
Chr01_33648862_33944256,0.444737623932067,0.628815370960645,0.8788031331162531,1,33648862
Chr01_33944257_33944395,0.444737623932067,0.628815370960645,0.8788031331162531,1,33944257
Chr01_33944396_34707623,0.346645332792011,0.532791935572842,0.8767447461096913,1,33944396
Chr01_34707624_34711948,0.346645332792011,0.532791935572842,0.8767447461096913,1,34707624
Chr01_34711949_35098398,0.609004282076338,0.878777105255468,0.9672871028491279,1,34711949
Chr01_35098399_35197978,0.609004282076338,0.878777105255468,0.9672871028491279,1,35098399
Chr01_35197979_35842906,0.609004282076338,0.878777105255468,0.9672871028491279,1,35197979
Chr01_35842907_35842941,0.609004282076338,0.878777105255468,0.9672871028491279,1,35842907
Chr01_35842942_36467175,0.609004282076338,0.878777105255468,0.9672871028491279,1,35842942
Chr01_36467176_36477457,0.965704518829582,0.711071265840885,0.9240313098512193,1,36467176
Chr01_36477458_36677915,0.965704518829582,0.711071265840885,0.9240313098512193,1,36477458
Chr01_36677916_36678639,0.965704518829582,0.711071265840885,0.9240313098512193,1,36677916
Chr01_36678640_37008510,0.965704518829582,0.711071265840885,0.9240313098512193,1,36678640
Chr01_37008511_37008685,0.965704518829582,0.711071265840885,0.9240313098512193,1,37008511
Chr01_37008686_37399402,0.965704518829582,0.711071265840885,0.9240313098512193,1,37008686
Chr01_37399403_37399747,0.965704518829582,0.711071265840885,0.9240313098512193,1,37399403
Chr01_37399748_38492440,0.965704518829582,0.711071265840885,0.9240313098512193,1,37399748
Chr01_38492441_38553272,0.965704518829582,0.711071265840885,0.9240313098512193,1,38492441
Chr01_38553273_41248221,0.609004282076338,0.878777105255468,0.9672871028491279,1,38553273
Chr01_41248222_41249634,0.609004282076338,0.878777105255468,0.9672871028491279,1,41248222
Chr01_41249635_41946984,0.203068420783928,0.386119404233285,0.7927762291968131,1,41249635
Chr01_41946985_41946999,0.203068420783928,0.386119404233285,0.7927762291968131,1,41946985
Chr01_41947000_42826924,0.120513233677863,0.259168751351222,0.6333696222861416,1,41947000
Chr01_42826925_42828044,0.120513233677863,0.259168751351222,0.6333696222861416,1,42826925
Chr01_42828045_44953517,0.120513233677863,0.259168751351222,0.6333696222861416,1,42828045
Chr01_44953518_50495391,0.0667616779504261,0.162883864125666,0.5334749505141582,1,44953518
Chr02_1_4524,0.0595543835896918,0.114283631243355,0.5205783982079321,2,1
Chr02_4525_349303,0.0595543835896918,0.114283631243355,0.5205783982079321,2,4525
Chr02_349304_361275,0.0595543835896918,0.114283631243355,0.5205783982079321,2,349304
Chr02_361276_876244,0.0595543835896918,0.114283631243355,0.5205783982079321,2,361276
Chr02_876245_880558,0.0595543835896918,0.114283631243355,0.5205783982079321,2,876245
Chr02_880559_1380844,0.207873721773611,0.363895362327892,0.7914868697307922,2,880559
Chr02_1380845_1380870,0.207873721773611,0.363895362327892,0.7914868697307922,2,1380845
Chr02_1380871_1588241,0.207873721773611,0.363895362327892,0.7914868697307922,2,1380871
Chr02_1588242_1591077,0.0595543835896918,0.114283631243355,0.5205783982079321,2,1588242
Chr02_1591078_2117143,0.0595543835896918,0.114283631243355,0.5205783982079321,2,1591078
Chr02_2117144_2118662,0.0558984638958324,0.0906881654610123,0.5205783982079321,2,2117144
Chr02_2118663_2439301,0.0558984638958324,0.0906881654610123,0.5205783982079321,2,2118663
Chr02_2439302_2439318,0.0558984638958324,0.0906881654610123,0.5205783982079321,2,2439302
Chr02_2439319_3802076,0.0558984638958324,0.0906881654610123,0.5205783982079321,2,2439319
Chr02_3802077_3811171,0.0558984638958324,0.0906881654610123,0.5205783982079321,2,3802077
Chr02_3811172_4203782,0.0558984638958324,0.0906881654610123,0.5205783982079321,2,3811172
Chr02_4203783_4204963,0.0558984638958324,0.0906881654610123,0.5205783982079321,2,4203783
Chr02_4204964_5059530,0.0558984638958324,0.0906881654610123,0.5205783982079321,2,4204964
Chr02_5059531_5059566,0.0558984638958324,0.0906881654610123,0.5205783982079321,2,5059531
Chr02_5059567_5396611,0.0558984638958324,0.0906881654610123,0.5205783982079321,2,5059567
Chr02_5396612_5398283,0.0558984638958324,0.0906881654610123,0.5205783982079321,2,5396612
Chr02_5398284_5923170,0.0558984638958324,0.0906881654610123,0.5205783982079321,2,5398284
Chr02_5923171_5954021,0.0558984638958324,0.0906881654610123,0.5205783982079321,2,5923171
Chr02_5954022_6493859,0.0558984638958324,0.0906881654610123,0.5205783982079321,2,5954022
Chr02_6493860_6498865,0.310241689680864,0.394264320612776,0.7953772173290383,2,6493860
Chr02_6498866_6748647,0.310241689680864,0.394264320612776,0.7953772173290383,2,6498866
Chr02_6748648_6759682,0.310241689680864,0.394264320612776,0.7953772173290383,2,6748648
Chr02_6759683_7031301,0.816238083414434,0.638315780684941,0.889360706625055,2,6759683
Chr02_7031302_7048371,0.816238083414434,0.638315780684941,0.889360706625055,2,7031302
Chr02_7048372_7535720,0.938243939439038,0.711968565363239,0.9240313098512193,2,7048372
Chr02_7535721_7537775,0.417507858664146,0.292390967852488,0.6782876766933351,2,7535721
Chr02_7537776_7944758,0.417507858664146,0.292390967852488,0.6782876766933351,2,7537776
Chr02_7944759_7947379,0.847199758328079,0.979163383577766,0.9889009199890365,2,7944759
Chr02_7947380_8614429,0.908710364806082,0.723823880983307,0.9240313098512193,2,7947380
Chr02_8614430_8625186,0.908710364806082,0.723823880983307,0.9240313098512193,2,8614430
Chr02_8625187_9195211,0.908710364806082,0.723823880983307,0.9240313098512193,2,8625187
Chr02_9195212_9195222,0.908710364806082,0.723823880983307,0.9240313098512193,2,9195212
Chr02_9195223_9912687,0.908710364806082,0.723823880983307,0.9240313098512193,2,9195223
Chr02_9912688_9912975,0.908710364806082,0.723823880983307,0.9240313098512193,2,9912688
Chr02_9912976_10267833,0.388392173847621,0.244567129669449,0.6326509975989253,2,9912976
Chr02_10267834_10267871,0.388392173847621,0.244567129669449,0.6326509975989253,2,10267834
Chr02_10267872_10413420,0.388392173847621,0.244567129669449,0.6326509975989253,2,10267872
Chr02_10413421_10413478,0.388392173847621,0.244567129669449,0.6326509975989253,2,10413421
Chr02_10413479_11173441,0.388392173847621,0.244567129669449,0.6326509975989253,2,10413479
Chr02_11173442_11173501,0.722513074770287,0.600323114891663,0.8767447461096913,2,11173442
Chr02_11173502_11801906,0.230549186875061,0.148776018688913,0.5205783982079321,2,11173502
Chr02_11801907_12265594,0.230549186875061,0.148776018688913,0.5205783982079321,2,11801907
Chr02_12265595_12817972,0.230549186875061,0.148776018688913,0.5205783982079321,2,12265595
Chr02_12817973_12824108,0.230549186875061,0.148776018688913,0.5205783982079321,2,12817973
Chr02_12824109_13491547,0.230549186875061,0.148776018688913,0.5205783982079321,2,12824109
Chr02_13491548_13517019,0.230549186875061,0.148776018688913,0.5205783982079321,2,13491548
Chr02_13517020_14119781,0.230549186875061,0.148776018688913,0.5205783982079321,2,13517020
Chr02_14119782_14120038,0.17518750224367,0.127207945055675,0.5205783982079321,2,14119782
Chr02_14120039_14602012,0.17518750224367,0.127207945055675,0.5205783982079321,2,14120039
Chr02_14602013_14602277,0.17518750224367,0.127207945055675,0.5205783982079321,2,14602013
Chr02_14602278_15318678,0.188435075719746,0.12000880277354,0.5205783982079321,2,14602278
Chr02_15318679_15347678,0.188435075719746,0.12000880277354,0.5205783982079321,2,15318679
Chr02_15347679_15710186,0.188435075719746,0.12000880277354,0.5205783982079321,2,15347679
Chr02_15710187_15710672,0.188435075719746,0.12000880277354,0.5205783982079321,2,15710187
Chr02_15710673_16424164,0.188435075719746,0.12000880277354,0.5205783982079321,2,15710673
Chr02_16424165_16424173,0.17518750224367,0.127207945055675,0.5205783982079321,2,16424165
Chr02_16424174_19450199,0.17518750224367,0.127207945055675,0.5205783982079321,2,16424174
Chr02_19450200_19450542,0.17518750224367,0.127207945055675,0.5205783982079321,2,19450200
Chr02_19450543_21586712,0.17518750224367,0.127207945055675,0.5205783982079321,2,19450543
Chr02_21586713_21615015,0.17518750224367,0.127207945055675,0.5205783982079321,2,21586713
Chr02_21615016_22274911,0.17518750224367,0.127207945055675,0.5205783982079321,2,21615016
Chr02_22274912_22275977,0.17518750224367,0.127207945055675,0.5205783982079321,2,22274912
Chr02_22275978_23006865,0.17518750224367,0.127207945055675,0.5205783982079321,2,22275978
Chr02_23006866_23006973,0.17518750224367,0.127207945055675,0.5205783982079321,2,23006866
Chr02_23006974_23411993,0.17518750224367,0.127207945055675,0.5205783982079321,2,23006974
Chr02_23411994_23412006,0.17518750224367,0.127207945055675,0.5205783982079321,2,23411994
Chr02_23412007_23945659,0.0269443962499232,0.0140061232659764,0.4695936750421375,2,23412007
Chr02_23945660_23950242,0.0269443962499232,0.0140061232659764,0.4695936750421375,2,23945660
Chr02_23950243_24283667,0.0269443962499232,0.0140061232659764,0.4695936750421375,2,23950243
Chr02_24283668_24284547,0.0269443962499232,0.0140061232659764,0.4695936750421375,2,24283668
Chr02_24284548_24771958,0.0269443962499232,0.0140061232659764,0.4695936750421375,2,24284548
Chr02_24771959_24772778,0.0269443962499232,0.0140061232659764,0.4695936750421375,2,24771959
Chr02_24772779_25141874,0.0269443962499232,0.0140061232659764,0.4695936750421375,2,24772779
Chr02_25141875_25263035,0.0269443962499232,0.0140061232659764,0.4695936750421375,2,25141875
Chr03_1_106416,0.809651512932071,0.531718199131876,0.8767447461096913,3,1
Chr03_106417_526428,0.809651512932071,0.531718199131876,0.8767447461096913,3,106417
Chr03_526429_537201,0.809651512932071,0.531718199131876,0.8767447461096913,3,526429
Chr03_537202_1923686,0.809651512932071,0.531718199131876,0.8767447461096913,3,537202
Chr03_1923687_1923687,0.923449226830205,0.810394839650847,0.9520576907980387,3,1923687
Chr03_1923688_2743575,0.923449226830205,0.810394839650847,0.9520576907980387,3,1923688
Chr03_2743576_2744190,0.923449226830205,0.810394839650847,0.9520576907980387,3,2743576
Chr03_2744191_3884923,0.923449226830205,0.810394839650847,0.9520576907980387,3,2744191
Chr03_3884924_3893054,0.796879107026595,0.581395646954885,0.8767447461096913,3,3884924
Chr03_3893055_4059970,0.796879107026595,0.581395646954885,0.8767447461096913,3,3893055
Chr03_4059971_4075833,0.796879107026595,0.581395646954885,0.8767447461096913,3,4059971
Chr03_4075834_5903046,0.796879107026595,0.581395646954885,0.8767447461096913,3,4075834
Chr03_5903047_5903373,0.391867953270002,0.271895116430377,0.6609365330249058,3,5903047
Chr03_5903374_7969157,0.660858390602699,0.462409948226236,0.8369162231262964,3,5903374
Chr03_7969158_8274732,0.0663570591885896,"NA",NA,3,7969158
Chr03_8274733_9254843,0.0663570591885896,"NA",NA,3,8274733
Chr03_9254844_9254878,0.0663570591885896,"NA",NA,3,9254844
Chr03_9254879_10127794,0.0663570591885896,"NA",NA,3,9254879
Chr03_10127795_10139932,0.0663570591885896,"NA",NA,3,10127795
Chr03_10139933_10720024,0.690500456330917,0.57247964530875,0.8767447461096913,3,10139933
Chr03_10720025_10726457,0.690500456330917,0.57247964530875,0.8767447461096913,3,10720025
Chr03_10726458_10961187,0.690500456330917,0.57247964530875,0.8767447461096913,3,10726458
Chr03_10961188_10961225,0.690500456330917,0.57247964530875,0.8767447461096913,3,10961188
Chr03_10961226_11253789,0.690500456330917,0.57247964530875,0.8767447461096913,3,10961226
Chr03_11253790_11253893,0.690500456330917,0.57247964530875,0.8767447461096913,3,11253790
Chr03_11253894_11536633,0.690500456330917,0.57247964530875,0.8767447461096913,3,11253894
Chr03_11536634_11536648,0.690500456330917,0.57247964530875,0.8767447461096913,3,11536634
Chr03_11536649_12459385,0.690500456330917,0.57247964530875,0.8767447461096913,3,11536649
Chr03_12459386_12462540,0.690500456330917,0.57247964530875,0.8767447461096913,3,12459386
Chr03_12462541_13066986,0.305081554682222,0.206518906957618,0.6188796097025011,3,12462541
Chr03_13066987_13068914,0.305081554682222,0.206518906957618,0.6188796097025011,3,13066987
Chr03_13068915_13625984,0.305081554682222,0.206518906957618,0.6188796097025011,3,13068915
Chr03_13625985_13626006,0.305081554682222,0.206518906957618,0.6188796097025011,3,13625985
Chr03_13626007_14147424,0.187180749453348,0.107097238952946,0.5205783982079321,3,13626007
Chr03_14147425_14147618,0.187180749453348,0.107097238952946,0.5205783982079321,3,14147425
Chr03_14147619_14500824,0.187180749453348,0.107097238952946,0.5205783982079321,3,14147619
Chr03_14500825_14501741,0.187180749453348,0.107097238952946,0.5205783982079321,3,14500825
Chr03_14501742_14890630,0.187180749453348,0.107097238952946,0.5205783982079321,3,14501742
Chr03_14890631_14891342,0.187180749453348,0.107097238952946,0.5205783982079321,3,14890631
Chr03_14891343_15371439,0.168441969604012,0.0865416344849272,0.5205783982079321,3,14891343
Chr03_15371440_15406238,0.168441969604012,0.0865416344849272,0.5205783982079321,3,15371440
