Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.0747177885554528,0.804316709739907,0.598693419635885,0.141945722209183,0.522806088217844,0.9428182865840201,0.9213560585411412,0.5292514713653702,0.8027338326406838,1,1
Chr01_126238_809425,0.135599737743091,0.850267033486267,0.640582013935584,0.240562788533292,0.562190302045833,0.9575913645279941,0.9213560585411412,0.6255328163356265,0.8027338326406838,1,126238
Chr01_809426_814269,0.0976255216496634,0.804749320142404,0.408259130613322,0.15343897990434,0.345415134249359,0.9428182865840201,0.9070506781427463,0.5479806993019364,0.7726211117791338,1,809426
Chr01_814270_1367747,0.0834276377798555,0.976802471945039,0.502368420470201,0.140732003037853,0.412878072437704,0.9906617666048528,0.9213560585411412,0.5292514713653702,0.7914557554267083,1,814270
Chr01_1367748_1367899,0.0286239337628016,0.529852100330576,0.349722688944438,0.0692668532477841,0.307301590599996,0.9408633830547178,0.8870854240758925,0.4702257112571303,0.7726211117791338,1,1367748
Chr01_1367900_2042574,0.0284200680844947,0.528632589096663,0.347094894431728,0.0673204256646918,0.303468237354278,0.9408633830547178,0.8870854240758925,0.4702257112571303,0.7726211117791338,1,1367900
Chr01_2042575_2043251,0.0261354237870162,0.386855105062836,0.322060617058661,0.0647319957873261,0.293003432039552,0.9408633830547178,0.8567524149930678,0.4702257112571303,0.7726211117791338,1,2042575
Chr01_2043252_2231677,0.0380544247887714,0.953269074908214,0.231454372235918,0.0824115881774216,0.249997561670041,0.9860397354526564,0.8356799944950497,0.4702257112571303,0.7726211117791338,1,2043252
Chr01_2231678_2231705,0.0384089887575502,0.697916283965664,0.363468619697759,0.103307933424439,0.338056313919641,0.9408633830547178,0.8997055881544408,0.5025791355783519,0.7726211117791338,1,2231678
Chr01_2231706_3033846,0.0385540248772586,0.647381076329785,0.378134459130304,0.106552930647831,0.348389535436613,0.9408633830547178,0.9024274272822613,0.5028533467862812,0.7726211117791338,1,2231706
Chr01_3033847_3052413,0.00938301386389478,0.52112277539633,0.319918370549148,0.0414914251686732,0.26654170133351,0.9408633830547178,0.8534110549552065,0.45995537610681586,0.7726211117791338,1,3033847
Chr01_3052414_4229970,0.012497387447495,0.778834232913676,0.426066657860374,0.0272936527107982,0.271551742389569,0.9428182865840201,0.909637246394576,0.449998804416528,0.7726211117791338,1,3052414
Chr01_4229971_4235626,0.0128697647374766,0.703553054444856,0.110679162085685,0.027728807444378,0.0723852679000481,0.9408633830547178,0.7806045372573435,0.449998804416528,0.7726211117791338,1,4229971
Chr01_4235627_5264100,0.0127053934702173,0.875692973122789,0.0961704763776945,0.019521452573806,0.0619330050753254,0.9599014001676042,0.7806045372573435,0.41683891406287,0.7726211117791338,1,4235627
Chr01_5264101_5264149,0.0318263405901871,0.743293377416822,0.114117615561797,0.0454584226989644,0.0740243441569437,0.9408633830547178,0.7806045372573435,0.46898716157871134,0.7726211117791338,1,5264101
Chr01_5264150_5885231,0.0338781949918051,0.630091079918855,0.123566170154267,0.0557853043661455,0.0817744632119104,0.9408633830547178,0.7806045372573435,0.4702257112571303,0.7726211117791338,1,5264150
Chr01_5885232_5886075,0.0478808077837979,0.805077576831691,0.0559116104491078,0.0761076416412505,"NA",0.9428182865840201,0.7806045372573435,0.4702257112571303,NA,1,5885232
Chr01_5886076_6253003,0.0437888050055749,0.813508359351338,0.183702274880372,0.0782914761000131,"NA",0.9466225115280295,0.8107781079513863,0.4702257112571303,NA,1,5886076
Chr01_6253004_6253851,0.0488998903435987,0.639394984780027,0.288691402618979,0.0860446470080221,"NA",0.9408633830547178,0.8356799944950497,0.4702257112571303,NA,1,6253004
Chr01_6253852_6811196,0.049198001856967,0.685019754714134,0.299386913915672,0.0765575903820402,"NA",0.9408633830547178,0.8356799944950497,0.4702257112571303,NA,1,6253852
Chr01_6811197_6811650,0.0569582044329132,0.466101266661848,0.121968717146051,0.0790429697781904,"NA",0.9408633830547178,0.7806045372573435,0.4702257112571303,NA,1,6811197
Chr01_6811651_7107385,0.0475865772283059,0.692065461267943,0.153733352142464,0.0700211551249056,"NA",0.9408633830547178,0.8107781079513863,0.4702257112571303,NA,1,6811651
Chr01_7107386_7117068,0.0413571492597891,0.845983255732484,0.0191824933244473,0.0546992224943412,"NA",0.9539600413002133,0.7806045372573435,0.4702257112571303,NA,1,7107386
Chr01_7117069_8021093,0.0214852460506388,0.751777342664101,0.0105791161895819,0.0283036222628621,"NA",0.9408633830547178,0.7806045372573435,0.449998804416528,NA,1,7117069
Chr01_8021094_8021338,0.0744184292269811,0.685513030583915,0.0714509253615146,0.0823271863278151,"NA",0.9408633830547178,0.7806045372573435,0.4702257112571303,NA,1,8021094
Chr01_8021339_8546533,0.00917914296503785,0.525864607938278,0.0965544611114045,0.0131655630578024,"NA",0.9408633830547178,0.7806045372573435,0.39138898350378376,NA,1,8021339
Chr01_8546534_8548055,0.0272802825060913,0.764201801810124,0.146370553394972,0.0425902533130054,"NA",0.9408633830547178,0.8060962323066485,0.46182202387596216,NA,1,8546534
Chr01_8548056_9439189,0.0202603501967629,0.500856027023469,0.385530224727681,0.0438808415655396,"NA",0.9408633830547178,0.9062297764783275,0.46462067539983104,NA,1,8548056
Chr01_9439190_9439923,0.0220055462308895,0.742481208172577,0.156879151039205,0.0349999070101744,"NA",0.9408633830547178,0.8107781079513863,0.449998804416528,NA,1,9439190
Chr01_9439924_10127710,0.0104496780686876,0.942243074167806,0.22636264300848,0.0198363997200669,"NA",0.9797431102677157,0.8356799944950497,0.41683891406287,NA,1,9439924
Chr01_10127711_10127775,0.00834997415722596,0.815664546619463,0.189157153430363,0.0164054703579891,"NA",0.9466225115280295,0.8107781079513863,0.3990519816808159,NA,1,10127711
Chr01_10127776_10700451,0.00490774862064721,0.629214482290091,0.134494254488759,0.00923353242792591,"NA",0.9408633830547178,0.7897437016626521,0.38035626355885827,NA,1,10127776
Chr01_10700452_10700489,0.044577984840463,0.432745585966032,0.28805582551574,0.0837793202108521,"NA",0.9408633830547178,0.8356799944950497,0.4702257112571303,NA,1,10700452
Chr01_10700490_11189458,0.0570150234448879,0.642788583495052,0.499529582386112,0.10727538064774,"NA",0.9408633830547178,0.9213560585411412,0.5028533467862812,NA,1,10700490
Chr01_11189459_11289027,0.0231323393589115,0.895056684728425,0.9060032734187,0.0384810248657575,"NA",0.9616794629822006,0.9949941188710683,0.45995537610681586,NA,1,11189459
Chr01_11289028_11965532,0.0104340117139893,0.826697333535901,0.693075528414709,0.0231693794246501,"NA",0.9466225115280295,0.9216703195371675,0.4436689677060658,NA,1,11289028
Chr01_11965533_11966198,0.0106218010693682,0.887652920830548,0.947740751022463,0.0231354907947815,"NA",0.9599014001676042,0.9988888042476363,0.4436689677060658,NA,1,11965533
Chr01_11966199_12330339,0.0172836302330054,0.434978543117767,0.88096933998345,0.0280466690094863,"NA",0.9408633830547178,0.9949941188710683,0.449998804416528,NA,1,11966199
Chr01_12330340_12330527,0.0238375390342872,0.257492169729931,0.995828974545351,0.029976223448677,"NA",0.9408633830547178,0.9988888042476363,0.449998804416528,NA,1,12330340
Chr01_12330528_13051606,0.0246817165209361,0.246474943576437,0.801327360510948,0.0312276951290827,"NA",0.9408633830547178,0.9687918317958022,0.449998804416528,NA,1,12330528
Chr01_13051607_13052006,0.0435533815787087,0.295898044735634,0.928359078009909,0.0571761878191778,"NA",0.9408633830547178,0.9950315278102455,0.4702257112571303,NA,1,13051607
Chr01_13052007_13382483,0.040226692683104,0.321403467988011,0.829422525370276,0.0531991028798301,"NA",0.9408633830547178,0.9776424625845481,0.4702257112571303,NA,1,13052007
Chr01_13382484_13382509,0.041692510343982,0.229307319647944,0.916053001585843,0.0555478704627167,"NA",0.9408633830547178,0.9950315278102455,0.4702257112571303,NA,1,13382484
Chr01_13382510_13576339,0.0415861397076082,0.15860994373787,0.901389609902623,0.0594534164218688,"NA",0.9408633830547178,0.9949941188710683,0.4702257112571303,NA,1,13382510
Chr01_13576340_13576350,0.0414238520011671,0.187255643441397,0.991986643841024,0.058089203220303,"NA",0.9408633830547178,0.9988888042476363,0.4702257112571303,NA,1,13576340
Chr01_13576351_14061355,0.0402251765789077,0.204319923288927,0.804279221327171,0.0553309910696062,"NA",0.9408633830547178,0.9687918317958022,0.4702257112571303,NA,1,13576351
Chr01_14061356_14061634,0.041809426018049,0.246555521453233,0.837713739256561,0.0589609022035961,"NA",0.9408633830547178,0.9787531617292297,0.4702257112571303,NA,1,14061356
Chr01_14061635_14604721,0.0381148534081274,0.4365876827527,0.652096605887313,0.0521923245503128,"NA",0.9408633830547178,0.9213560585411412,0.4702257112571303,NA,1,14061635
Chr01_14604722_14607157,0.0295748041144344,0.963988457000839,0.385729144241222,0.0414850987972288,"NA",0.9860397354526564,0.9062297764783275,0.45995537610681586,NA,1,14604722
Chr01_14607158_15449572,0.02484455829662,0.962986918444627,0.182127493113171,0.0338118299525336,"NA",0.9860397354526564,0.8107781079513863,0.449998804416528,NA,1,14607158
Chr01_15449573_15456448,0.0209645630161755,0.774871520540638,0.0930708143099053,0.0342486566658714,"NA",0.9426357047946169,0.7806045372573435,0.449998804416528,NA,1,15449573
Chr01_15456449_16406535,0.113978057520611,0.939549628044322,0.0993069335151785,0.183126844913778,"NA",0.9797431102677157,0.7806045372573435,0.5702912125342569,NA,1,15456449
Chr01_16406536_16454790,0.0914932012298008,0.498884950601946,0.120263735362652,0.157258086831355,"NA",0.9408633830547178,0.7806045372573435,0.5479806993019364,NA,1,16406536
Chr01_16454791_19216253,0.289110844483132,0.538559497104611,0.0880863795702217,0.506500139413896,"NA",0.9408633830547178,0.7806045372573435,0.7824636449037792,NA,1,16454791
Chr01_19216254_19216663,0.0300804075774882,0.336814925401493,0.102420130526123,"NA","NA",0.9408633830547178,0.7806045372573435,NA,NA,1,19216254
Chr01_19216664_20661429,0.0473784840510662,0.920354156338491,0.257174140135802,"NA","NA",0.9712111739835382,0.8356799944950497,NA,NA,1,19216664
Chr01_20661430_20662913,0.843279753204915,0.87926669768382,0.215362710215131,0.702896141603458,"NA",0.9599014001676042,0.8230007690561855,0.8595197383737938,NA,1,20661430
Chr01_20662914_21251875,0.867781083460143,0.646524090073284,0.364366749096814,0.745942937923254,"NA",0.9408633830547178,0.8997055881544408,0.8695745566038524,NA,1,20662914
Chr01_21251876_21488109,0.853690935725224,0.795078557318238,0.144148053679307,0.756060621435163,"NA",0.9428182865840201,0.8042827924772084,0.8696361891891369,NA,1,21251876
Chr01_21488110_22523058,0.814307318680123,0.818563118940386,0.099009402988092,0.742473456840737,"NA",0.9466225115280295,0.7806045372573435,0.8695745566038524,NA,1,21488110
Chr01_22523059_22523376,0.77981114932946,0.537646845922537,0.0509534624551663,0.678649323264085,"NA",0.9408633830547178,0.7806045372573435,0.8459617603014911,NA,1,22523059
Chr01_22523377_25610270,0.780256680628784,0.48788111764982,0.142253022559435,0.665292246147809,"NA",0.9408633830547178,0.8011091270452393,0.8397798338471643,NA,1,22523377
Chr01_25610271_25623774,0.12430838875851,0.582646463917278,0.0825859280590759,"NA","NA",0.9408633830547178,0.7806045372573435,NA,NA,1,25610271
Chr01_25623775_25991881,0.115417692690848,0.66957194416313,0.0901181158769832,"NA","NA",0.9408633830547178,0.7806045372573435,NA,NA,1,25623775
Chr01_25991882_26001088,0.170645383469636,0.470792369297773,0.0629944338626317,"NA","NA",0.9408633830547178,0.7806045372573435,NA,NA,1,25991882
Chr01_26001089_26286066,0.151124991656186,0.431831292059953,0.042163978683835,"NA","NA",0.9408633830547178,0.7806045372573435,NA,NA,1,26001089
Chr01_26286067_26293474,0.209106688806247,0.367933627211724,0.0306866249992521,"NA","NA",0.9408633830547178,0.7806045372573435,NA,NA,1,26286067
Chr01_26293475_26583692,0.130394071379644,0.705733401694652,0.123298442133491,"NA","NA",0.9408633830547178,0.7806045372573435,NA,NA,1,26293475
Chr01_26583693_26647317,0.205932605892254,0.761120060596162,0.0960449971125105,"NA","NA",0.9408633830547178,0.7806045372573435,NA,NA,1,26583693
