Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.0804339724281815,0.950061833710608,0.820913552942583,0.187100708981163,0.723844026085456,0.9955511758733117,0.983077850579517,0.6112094592357621,0.8725825235421272,1,1
Chr01_126238_809425,0.112479742495948,0.918711092899508,0.851152254224329,0.253820076200829,0.752756601449162,0.9955511758733117,0.983077850579517,0.6112094592357621,0.8883373163289359,1,126238
Chr01_809426_814269,0.102431269174047,0.968064366434176,0.634141853744842,0.202157641665075,0.547846195966521,0.9968698482310326,0.9616275007807842,0.6112094592357621,0.8366590205533531,1,809426
Chr01_814270_1367747,0.0873997076504443,0.753342104730916,0.706895672241112,0.184623306303391,0.595025570093011,0.9881134496956406,0.9688142137256566,0.6086482625386516,0.8423952690758971,1,814270
Chr01_1367748_1367899,0.0420556761657256,0.320500584124474,0.564702285597031,0.118345192744733,0.50147518374914,0.9297421820203425,0.9381751654246073,0.60465570043638,0.8366590205533531,1,1367748
Chr01_1367900_2042574,0.0417665655951236,0.32760328109036,0.580459387031951,0.121629585457656,0.514521509248821,0.9297421820203425,0.9386671862424409,0.60465570043638,0.8366590205533531,1,1367900
Chr01_2042575_2043251,0.0394742432328546,0.232508680698246,0.545403528375171,0.119089855201435,0.500571205479328,0.9297421820203425,0.9381751654246073,0.60465570043638,0.8366590205533531,1,2042575
Chr01_2043252_2231677,0.0584575820546001,0.834935490707057,0.410844303774939,0.15212176469401,0.437168768481874,0.9920707216484282,0.8927555739149462,0.60465570043638,0.8049456689507521,1,2043252
Chr01_2231678_2231705,0.0606202449058525,0.83066690462717,0.563013075512089,0.176122285320383,0.530924244243718,0.9920707216484282,0.9381751654246073,0.60465570043638,0.8366590205533531,1,2231678
Chr01_2231706_3033846,0.0600734636707277,0.798931707265953,0.573179477206656,0.17787005776148,0.537948550270081,0.9889280937683858,0.9381751654246073,0.60465570043638,0.8366590205533531,1,2231706
Chr01_3033847_3052413,0.0232303789342783,0.668747450075133,0.528673598320637,0.0984409689053443,0.465287012705784,0.9655474775626451,0.9358688882036276,0.60465570043638,0.8271769114769493,1,3033847
Chr01_3052414_4229970,0.0228119105222546,0.957533719199135,0.635962838297189,0.0621324792521301,0.460363151564437,0.9955511758733117,0.9616275007807842,0.60465570043638,0.8247432522235474,1,3052414
Chr01_4229971_4235626,0.0237756337961525,0.999546188619773,0.200310332813184,0.0653114782785037,0.146878431986059,0.999904496109096,0.8337712285694604,0.60465570043638,0.7501975071899096,1,4229971
Chr01_4235627_5264100,0.0237654534726952,0.844323966009241,0.188134732872657,0.0521581873824352,0.135695081221737,0.9952068289680527,0.8337712285694604,0.60465570043638,0.7501975071899096,1,4235627
Chr01_5264101_5264149,0.0427630760930313,0.974322550420776,0.203285845262632,0.084824142576298,0.146115207471881,0.9968698482310326,0.8337712285694604,0.60465570043638,0.7501975071899096,1,5264101
Chr01_5264150_5885231,0.0466769317744583,0.814871236426241,0.211870261005405,0.100222508665527,0.154982995454489,0.9889280937683858,0.8337712285694604,0.60465570043638,0.7501975071899096,1,5264150
Chr01_5885232_5886075,0.0702166825998584,0.958887989828754,0.0927314874741551,0.136616926630124,"NA",0.9955511758733117,0.7931406089883107,0.60465570043638,NA,1,5885232
Chr01_5886076_6253003,0.0646277588659657,0.96775673862361,0.319114597355389,0.14443417172721,"NA",0.9968698482310326,0.8337712285694604,0.60465570043638,NA,1,5886076
Chr01_6253004_6253851,0.0715302145733746,0.865674109286057,0.450507614127507,0.15669369377284,"NA",0.9955511758733117,0.914233173238647,0.60465570043638,NA,1,6253004
Chr01_6253852_6811196,0.0753382583206745,0.885018314006685,0.445269418449125,0.145826704504025,"NA",0.9955511758733117,0.914233173238647,0.60465570043638,NA,1,6253852
Chr01_6811197_6811650,0.0882645652814575,0.548953944560665,0.174965843122182,0.148611441773043,"NA",0.937631840219919,0.8337712285694604,0.60465570043638,NA,1,6811197
Chr01_6811651_7107385,0.0732609795642578,0.720200327651914,0.151641844712666,0.131399888351723,"NA",0.9834278490896398,0.8337712285694604,0.60465570043638,NA,1,6811651
Chr01_7107386_7117068,0.0670806295996741,0.827339826959963,0.0256894602326875,0.104608523726471,"NA",0.9920707216484282,0.7931406089883107,0.60465570043638,NA,1,7107386
Chr01_7117069_8021093,0.0338425751084755,0.890780905719239,0.017070988469077,0.0531509562764384,"NA",0.9955511758733117,0.7931406089883107,0.60465570043638,NA,1,7117069
Chr01_8021094_8021338,0.101533728248392,0.912923286023372,0.0791843083018318,0.128224253108338,"NA",0.9955511758733117,0.7931406089883107,0.60465570043638,NA,1,8021094
Chr01_8021339_8546533,0.0171922951249582,0.795079512712061,0.130874040204437,0.0308480819561686,"NA",0.9889280937683858,0.7931406089883107,0.533909110779841,NA,1,8021339
Chr01_8546534_8548055,0.0369187382211282,0.580414081572161,0.176359126385297,0.072361612316987,"NA",0.9389864667928227,0.8337712285694604,0.60465570043638,NA,1,8546534
Chr01_8548056_9439189,0.0320649596122503,0.565846029129626,0.327765366625891,0.0809216812151642,"NA",0.937631840219919,0.8337712285694604,0.60465570043638,NA,1,8548056
Chr01_9439190_9439923,0.0350449728192037,0.787000369546391,0.123415871370522,0.0661037327072307,"NA",0.9889280937683858,0.7931406089883107,0.60465570043638,NA,1,9439190
Chr01_9439924_10127710,0.025528154587839,0.961338592390552,0.209335348042622,0.0543681926832056,"NA",0.9955511758733117,0.8337712285694604,0.60465570043638,NA,1,9439924
Chr01_10127711_10127775,0.0212931802767139,0.735481860351604,0.21196219518262,0.0483754400375073,"NA",0.9834278490896398,0.8337712285694604,0.60465570043638,NA,1,10127711
Chr01_10127776_10700451,0.0134319154208344,0.454622547492991,0.123091059804443,0.0315265368689365,"NA",0.9299964028742973,0.7931406089883107,0.5353562864536388,NA,1,10127776
