Marker,Intercept,Dosage,Dos_P_adj,CHR,BP
Chr01_1_126237,0.221029831656273,0.16732835861805,0.44074386102852364,1,1
Chr01_126238_809425,0.205329833784013,0.150732938245845,0.4236457322151966,1,126238
Chr01_809426_814269,0.205329833784013,0.150732938245845,0.4236457322151966,1,809426
Chr01_814270_1367747,0.205329833784013,0.150732938245845,0.4236457322151966,1,814270
Chr01_1367748_1367899,0.221029831656273,0.16732835861805,0.44074386102852364,1,1367748
Chr01_1367900_2042574,0.221029831656273,0.16732835861805,0.44074386102852364,1,1367900
Chr01_2042575_2043251,0.221029831656273,0.16732835861805,0.44074386102852364,1,2042575
Chr01_2043252_2231677,0.221029831656273,0.16732835861805,0.44074386102852364,1,2043252
Chr01_2231678_2231705,0.221029831656273,0.16732835861805,0.44074386102852364,1,2231678
Chr01_2231706_3033846,0.221029831656273,0.16732835861805,0.44074386102852364,1,2231706
Chr01_3033847_3052413,0.2208338391458,0.170756626629476,0.4471964376485417,1,3033847
Chr01_3052414_4229970,0.422841949081799,0.346649818718852,0.656869262588903,1,3052414
Chr01_4229971_4235626,0.342342500453442,0.281462212563189,0.583347987035725,1,4229971
Chr01_4235627_5264100,0.342342500453442,0.281462212563189,0.583347987035725,1,4235627
Chr01_5264101_5264149,0.292138122603274,0.245420619375505,0.5431342520804154,1,5264101
Chr01_5264150_5885231,0.292138122603274,0.245420619375505,0.5431342520804154,1,5264150
Chr01_5885232_5886075,0.562334231934474,0.512231453460284,0.736973905228014,1,5885232
Chr01_5886076_6253003,0.562334231934474,0.512231453460284,0.736973905228014,1,5886076
Chr01_6253004_6253851,0.562334231934474,0.512231453460284,0.736973905228014,1,6253004
Chr01_6253852_6811196,0.562334231934474,0.512231453460284,0.736973905228014,1,6253852
Chr01_6811197_6811650,0.562334231934474,0.512231453460284,0.736973905228014,1,6811197
Chr01_6811651_7107385,0.562334231934474,0.512231453460284,0.736973905228014,1,6811651
Chr01_7107386_7117068,0.562334231934474,0.512231453460284,0.736973905228014,1,7107386
Chr01_7117069_8021093,0.787997569099261,0.841355246343007,0.9165657868385082,1,7117069
Chr01_8021094_8021338,0.181773301723054,0.19651400394539,0.4810991715480483,1,8021094
Chr01_8021339_8546533,0.0188769359981509,0.0201847217212573,0.1779962332119034,1,8021339
Chr01_8546534_8548055,0.0842083693830215,0.0911118336078,0.3633113189657676,1,8546534
Chr01_8548056_9439189,0.0842083693830215,0.0911118336078,0.3633113189657676,1,8548056
Chr01_9439190_9439923,0.0842083693830215,0.0911118336078,0.3633113189657676,1,9439190
Chr01_9439924_10127710,0.0842083693830215,0.0911118336078,0.3633113189657676,1,9439924
Chr01_10127711_10127775,0.0842083693830215,0.0911118336078,0.3633113189657676,1,10127711
Chr01_10127776_10700451,0.0842083693830215,0.0911118336078,0.3633113189657676,1,10127776
Chr01_10700452_10700489,0.0705128683155474,0.076034551394117,0.3534526056087896,1,10700452
Chr01_10700490_11189458,0.0705128683155474,0.076034551394117,0.3534526056087896,1,10700490
Chr01_11189459_11289027,0.0103338767509731,0.011007714907798,0.12898783879137657,1,11189459
Chr01_11289028_11965532,0.00198543633172576,0.00212984942849294,0.06897203822336273,1,11289028
Chr01_11965533_11966198,0.00198543633172576,0.00212984942849294,0.06897203822336273,1,11965533
Chr01_11966199_12330339,0.00198543633172576,0.00212984942849294,0.06897203822336273,1,11966199
Chr01_12330340_12330527,0.00198543633172576,0.00212984942849294,0.06897203822336273,1,12330340
Chr01_12330528_13051606,0.00198543633172576,0.00212984942849294,0.06897203822336273,1,12330528
Chr01_13051607_13052006,0.0103338767509731,0.011007714907798,0.12898783879137657,1,13051607
Chr01_13052007_13382483,0.0103338767509731,0.011007714907798,0.12898783879137657,1,13052007
Chr01_13382484_13382509,0.0103338767509731,0.011007714907798,0.12898783879137657,1,13382484
Chr01_13382510_13576339,0.0103338767509731,0.011007714907798,0.12898783879137657,1,13382510
Chr01_13576340_13576350,0.0103338767509731,0.011007714907798,0.12898783879137657,1,13576340
Chr01_13576351_14061355,0.0103338767509731,0.011007714907798,0.12898783879137657,1,13576351
Chr01_14061356_14061634,0.0103338767509731,0.011007714907798,0.12898783879137657,1,14061356
Chr01_14061635_14604721,0.0103338767509731,0.011007714907798,0.12898783879137657,1,14061635
Chr01_14604722_14607157,0.0103338767509731,0.011007714907798,0.12898783879137657,1,14604722
Chr01_14607158_15449572,0.0103338767509731,0.011007714907798,0.12898783879137657,1,14607158
Chr01_15449573_15456448,0.0103338767509731,0.011007714907798,0.12898783879137657,1,15449573
Chr01_15456449_16406535,0.00735833056695612,0.0079079687245606,0.12898783879137657,1,15456449
Chr01_16406536_16454790,0.00735833056695612,0.0079079687245606,0.12898783879137657,1,16406536
Chr01_16454791_19216253,0.00183130981784011,0.00192444381216521,0.06897203822336273,1,16454791
Chr01_19216254_19216663,0.717691989372659,"NA",NA,1,19216254
Chr01_19216664_20661429,0.664487819489503,0.687105275666925,0.8313813936629365,1,19216664
Chr01_20661430_20662913,0.664487819489503,0.687105275666925,0.8313813936629365,1,20661430
Chr01_20662914_21251875,0.664487819489503,0.687105275666925,0.8313813936629365,1,20662914
Chr01_21251876_21488109,0.664487819489503,0.687105275666925,0.8313813936629365,1,21251876
Chr01_21488110_22523058,0.664487819489503,0.687105275666925,0.8313813936629365,1,21488110
Chr01_22523059_22523376,0.664487819489503,0.687105275666925,0.8313813936629365,1,22523059
Chr01_22523377_25610270,0.664487819489503,0.687105275666925,0.8313813936629365,1,22523377
Chr01_25610271_25623774,0.717691989372659,"NA",NA,1,25610271
Chr01_25623775_25991881,0.717691989372659,"NA",NA,1,25623775
Chr01_25991882_26001088,0.717691989372659,"NA",NA,1,25991882
Chr01_26001089_26286066,0.717691989372659,"NA",NA,1,26001089
Chr01_26286067_26293474,0.717691989372659,"NA",NA,1,26286067
Chr01_26293475_26583692,0.717691989372659,"NA",NA,1,26293475
Chr01_26583693_26647317,0.717691989372659,"NA",NA,1,26583693
Chr01_26647318_27308826,0.216653977493985,0.227084075021618,0.5117944339681523,1,26647318
Chr01_27308827_27314420,0.216653977493985,0.227084075021618,0.5117944339681523,1,27308827
Chr01_27314421_27701084,0.216653977493985,0.227084075021618,0.5117944339681523,1,27314421
