Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.0214206361546875,0.91165407030866,0.588794844768479,0.9914364656109204,0.991580702220373,1,1
Chr01_126238_809425,0.02152581099448,0.893410727448676,0.582999877047571,0.9914364656109204,0.991580702220373,1,126238
Chr01_809426_814269,0.0552552198836801,0.920386438671928,0.43041665957872,0.9914364656109204,0.991580702220373,1,809426
Chr01_814270_1367747,0.0368075190673072,0.71234708525234,0.35327874131055,0.9914364656109204,0.9720212225201703,1,814270
Chr01_1367748_1367899,0.0135658768701126,0.353327365399935,0.591873905570741,0.907344674347033,0.991580702220373,1,1367748
Chr01_1367900_2042574,0.0102086518723524,0.338657687110396,0.578090929282279,0.8994838919254304,0.991580702220373,1,1367900
Chr01_2042575_2043251,0.00780938028545959,0.244446910385453,0.805784793115739,0.8771380920325551,0.991580702220373,1,2042575
Chr01_2043252_2231677,0.0141194211054373,0.700836498465094,0.756732683465828,0.9914364656109204,0.991580702220373,1,2043252
Chr01_2231678_2231705,0.0136530122175267,0.885701344439434,0.863251486605747,0.9914364656109204,0.991580702220373,1,2231678
Chr01_2231706_3033846,0.0120223066611335,0.929069071129979,0.829620453690326,0.9914364656109204,0.991580702220373,1,2231706
Chr01_3033847_3052413,0.00385981116662558,0.820781990729618,0.808934982101851,0.9914364656109204,0.991580702220373,1,3033847
Chr01_3052414_4229970,0.0120621005679376,0.704551846797405,0.215177135390813,0.9914364656109204,0.8331864897236453,1,3052414
Chr01_4229971_4235626,0.0092847638421577,0.685159998773574,0.17392018241701,0.9914364656109204,0.8188542271437338,1,4229971
Chr01_4235627_5264100,0.0395812137265401,0.833508865513985,0.114167989425962,0.9914364656109204,0.7785638094694636,1,4235627
Chr01_5264101_5264149,0.0396456082688466,0.92336731970844,0.0894653674929372,0.9914364656109204,0.7785638094694636,1,5264101
Chr01_5264150_5885231,0.0194070940349138,0.939212198573509,0.0774181052001454,0.992822554584291,0.7785638094694636,1,5264150
Chr01_5885232_5886075,0.0169646393350034,0.926146491376318,0.111326764198993,0.9914364656109204,0.7785638094694636,1,5885232
Chr01_5886076_6253003,0.00613924409310736,0.85215427028679,0.197077855229861,0.9914364656109204,0.8215843055686413,1,5886076
Chr01_6253004_6253851,0.0175343447644028,0.845745179163338,0.199130635516007,0.9914364656109204,0.8232266964650026,1,6253004
Chr01_6253852_6811196,0.0322710426228619,0.80646272899103,0.181969971860335,0.9914364656109204,0.8188542271437338,1,6253852
Chr01_6811197_6811650,0.0777770824569121,0.554378919874128,0.077910504998791,0.9695015100670946,0.7785638094694636,1,6811197
Chr01_6811651_7107385,0.0298782363983097,0.660377976440107,0.0563540694418253,0.9914364656109204,0.7785638094694636,1,6811651
Chr01_7107386_7117068,0.125461359786047,0.664935078914486,0.00391301738465983,0.9914364656109204,0.5981860936369676,1,7107386
Chr01_7117069_8021093,0.198965822039087,0.239272787134138,0.00270806396943034,0.8771380920325551,0.5348145515506403,1,7117069
Chr01_8021094_8021338,0.359471855751975,0.23686762413272,0.0271912980627565,0.8771380920325551,0.7785638094694636,1,8021094
Chr01_8021339_8546533,0.131938086386039,0.301147209009603,0.0518626033317935,0.8923005221143963,0.7785638094694636,1,8021339
