Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,CHR,BP
Chr01_1_126237,0.694916166463154,0.735511565098243,0.789806183980247,0.416427775803967,Chr01_1_126237,0.9973094636455453,0.9685866912066112,0.8203970394745024,1,1
Chr01_126238_809425,0.694916166463154,0.735511565098243,0.789806183980247,0.416427775803967,Chr01_126238_809425,0.9973094636455453,0.9685866912066112,0.8203970394745024,1,126238
Chr01_809426_814269,0.345852784120794,0.836417972742377,0.812860971775657,0.196849104595117,Chr01_809426_814269,0.9973094636455453,0.9685866912066112,0.6906591441222962,1,809426
Chr01_814270_1367747,0.698133525278635,0.684424668790982,0.836429904422814,0.419671579283488,Chr01_814270_1367747,0.9973094636455453,0.9714361875396031,0.8203970394745024,1,814270
Chr01_1367748_1367899,0.612636207444975,0.952474373735126,0.736368804399386,0.428499756177265,Chr01_1367748_1367899,0.9973094636455453,0.9610852542649888,0.8203970394745024,1,1367748
Chr01_1367900_2042574,0.538288754506748,0.973966513689076,0.800453055584958,0.402353719717381,Chr01_1367900_2042574,0.998836205111848,0.9685866912066112,0.8203970394745024,1,1367900
Chr01_2042575_2043251,0.455061726960044,0.985420052484182,0.846872399188137,0.368403357306754,Chr01_2042575_2043251,0.998836205111848,0.9767087218515551,0.8203970394745024,1,2042575
Chr01_2043252_2231677,0.528786401665488,0.675217519459188,0.44183852151535,0.341131448668347,Chr01_2043252_2231677,0.9973094636455453,0.9353506930832497,0.8203970394745024,1,2043252
Chr01_2231678_2231705,0.815454052705578,0.360448727118844,0.572694597289877,0.385968261688434,Chr01_2231678_2231705,0.9973094636455453,0.9364901201771358,0.8203970394745024,1,2231678
Chr01_2231706_3033846,0.869727911488174,0.316937809282314,0.613037312229485,0.394490616857217,Chr01_2231706_3033846,0.9973094636455453,0.9386827324857874,0.8203970394745024,1,2231706
Chr01_3033847_3052413,0.832001585566325,0.127643525844208,0.993125385541459,0.418716813557517,Chr01_3033847_3052413,0.8089725445887884,0.999661732923299,0.8203970394745024,1,3033847
Chr01_3052414_4229970,0.945967782275736,0.336411831769915,0.426559454635598,0.427674376453251,Chr01_3052414_4229970,0.9973094636455453,0.9337687282435156,0.8203970394745024,1,3052414
Chr01_4229971_4235626,0.189029694922492,0.401965370321973,0.588493061782239,0.0853378642291867,Chr01_4229971_4235626,0.9973094636455453,0.9364901201771358,0.5634134262012972,1,4229971
Chr01_4235627_5264100,0.171457027104742,0.728623600649722,0.548411896213589,0.0977617334501209,Chr01_4235627_5264100,0.9973094636455453,0.9364901201771358,0.6188216942100436,1,4235627
Chr01_5264101_5264149,0.159098364894074,0.71623476235697,0.64358565984817,0.094458650280629,Chr01_5264101_5264149,0.9973094636455453,0.9495466802756819,0.6105011712874338,1,5264101
Chr01_5264150_5885231,0.222245233643498,0.244199315711981,0.334316773916984,0.0817687988323728,Chr01_5264150_5885231,0.9973094636455453,0.9337687282435156,0.5517147525612845,1,5264150
Chr01_5885232_5886075,0.0734251888551108,0.141051981132901,0.322697312826353,"NA",Chr01_5885232_5886075,0.848973244931989,0.9337687282435156,NA,1,5885232
Chr01_5886076_6253003,0.179842144098207,0.273504867398115,0.416889276624126,"NA",Chr01_5886076_6253003,0.9973094636455453,0.9337687282435156,NA,1,5886076
Chr01_6253004_6253851,0.128645222943623,0.153965850839972,0.755298114400777,"NA",Chr01_6253004_6253851,0.8718657944014983,0.9685866912066112,NA,1,6253004
Chr01_6253852_6811196,0.209197296261523,0.210228233941049,0.887062032962179,"NA",Chr01_6253852_6811196,0.9790775832507206,0.9768539393235612,NA,1,6253852
Chr01_6811197_6811650,0.280505014060502,0.27069427236471,0.866300145674032,"NA",Chr01_6811197_6811650,0.9973094636455453,0.9768539393235612,NA,1,6811197
Chr01_6811651_7107385,0.470236851117603,0.491954419386174,0.931130109062876,"NA",Chr01_6811651_7107385,0.9973094636455453,0.9868123082759382,NA,1,6811651
Chr01_7107386_7117068,0.770920051178158,0.89054747458861,0.337237127055681,"NA",Chr01_7107386_7117068,0.9973094636455453,0.9337687282435156,NA,1,7107386
Chr01_7117069_8021093,0.0778685681986503,0.8880234959215,0.450681089488813,0.056454276661522,Chr01_7117069_8021093,0.9973094636455453,0.9353506930832497,0.44252395638971953,1,7117069
