Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.17018045029583,0.842416132383835,0.472585976303648,0.326149708941697,0.53690389426242,0.9692314641405414,0.9966369519184564,0.7186037763865665,0.997971691909099,1,1
Chr01_126238_809425,0.131573796947256,0.833670920618403,0.476204949743334,0.275180677898841,0.541175763122489,0.9692314641405414,0.9966369519184564,0.664123200292175,0.997971691909099,1,126238
Chr01_809426_814269,0.0597015079244593,0.983660984544858,0.815184075480689,0.103446157941709,0.696769489699303,0.9970837385845903,0.9966369519184564,0.4754121301150882,0.997971691909099,1,809426
Chr01_814270_1367747,0.0531659670062433,0.687883513906025,0.471670655086258,0.0924549848257848,0.365242810450808,0.9366066099955126,0.9966369519184564,0.4513056886411191,0.997971691909099,1,814270
Chr01_1367748_1367899,0.0575246806894946,0.391871930219339,0.484201847692964,0.109931904028386,0.387151366264767,0.7912937239046861,0.9966369519184564,0.4883088468183686,0.997971691909099,1,1367748
Chr01_1367900_2042574,0.0548834484419242,0.447114333888582,0.529772561192588,0.118720105277692,0.420178302791201,0.8300442614561654,0.9966369519184564,0.4883088468183686,0.997971691909099,1,1367900
Chr01_2042575_2043251,0.0565688953399169,0.444147976601048,0.540668070919543,0.134418373219007,0.443960528693509,0.8277760752861968,0.9966369519184564,0.4883088468183686,0.997971691909099,1,2042575
Chr01_2043252_2231677,0.074756328113318,0.840924683796938,0.433155045915964,0.135103541577424,0.373117274555096,0.9692314641405414,0.9966369519184564,0.4883088468183686,0.997971691909099,1,2043252
Chr01_2231678_2231705,0.0810328200582713,0.874804209752079,0.447474727326738,0.123317644375009,0.360411114328372,0.9813094040386366,0.9966369519184564,0.4883088468183686,0.997971691909099,1,2231678
Chr01_2231706_3033846,0.0793955577428715,0.873054533288254,0.444423051777861,0.121125708139671,0.357462424001347,0.9813094040386366,0.9966369519184564,0.4883088468183686,0.997971691909099,1,2231706
Chr01_3033847_3052413,0.0324225543168748,0.459672970112666,0.449944549367956,0.083957894023687,0.360934993948461,0.8312966662995775,0.9966369519184564,0.44113972093012677,0.997971691909099,1,3033847
Chr01_3052414_4229970,0.0183219751155665,0.601614229933871,0.435101696969758,0.0494078470830624,0.323794957098998,0.9052414116036216,0.9966369519184564,0.44113972093012677,0.997971691909099,1,3052414
Chr01_4229971_4235626,0.0177950113598287,0.497502365737635,0.71635439356613,0.0587369762308684,0.630352174505995,0.8566241288039649,0.9966369519184564,0.44113972093012677,0.997971691909099,1,4229971
Chr01_4235627_5264100,0.0192172660983483,0.844750664276123,0.66847339562043,0.0477305196191408,0.563780675715919,0.9696005836685417,0.9966369519184564,0.44113972093012677,0.997971691909099,1,4235627
Chr01_5264101_5264149,0.0153773053932778,0.803447547584737,0.597757061484836,0.042609227319671,0.504315698161085,0.9601363794645392,0.9966369519184564,0.44113972093012677,0.997971691909099,1,5264101
Chr01_5264150_5885231,0.0167268310306978,0.69583170378102,0.554675654337885,0.0457621911314996,0.493293973266317,0.9366066099955126,0.9966369519184564,0.44113972093012677,0.997971691909099,1,5264150
Chr01_5885232_5886075,0.0195428696699417,0.805889404353994,0.262212853042637,0.0478947342781798,"NA",0.9601363794645392,0.9804322356188364,0.44113972093012677,NA,1,5885232
Chr01_5886076_6253003,0.0198603539184274,0.709800727074132,0.523119862663379,0.0516863806098249,"NA",0.9366066099955126,0.9966369519184564,0.44113972093012677,NA,1,5886076
