Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,CHR,BP
Chr01_1_126237,0.480295652897604,0.306997401507183,0.513343831657761,0.855846209826111,Chr01_1_126237,0.720221878398155,0.9267148066048195,0.978499663167604,1,1
Chr01_126238_809425,0.480295652897604,0.306997401507183,0.513343831657761,0.855846209826111,Chr01_126238_809425,0.720221878398155,0.9267148066048195,0.978499663167604,1,126238
Chr01_809426_814269,0.602099534318721,0.400200635149191,0.624580591630013,0.887133894571364,Chr01_809426_814269,0.76716545790855994,0.9505856664550144,0.978499663167604,1,809426
Chr01_814270_1367747,0.448743263570909,0.270379560236456,0.648089658796916,0.819256152638146,Chr01_814270_1367747,0.7085588334794239,0.9505856664550144,0.978499663167604,1,814270
Chr01_1367748_1367899,0.384172677458552,0.234198552530067,0.961046958926631,0.795172124862612,Chr01_1367748_1367899,0.6937375652944133,0.9878910272513431,0.978499663167604,1,1367748
Chr01_1367900_2042574,0.412963426982019,0.267493430764279,0.838218023568457,0.796311176235961,Chr01_1367900_2042574,0.7085588334794239,0.9699581403047419,0.978499663167604,1,1367900
Chr01_2042575_2043251,0.443345461557656,0.278338131049673,0.926460072709481,0.818720537843627,Chr01_2042575_2043251,0.713322579460293,0.983610134850904,0.978499663167604,1,2042575
Chr01_2043252_2231677,0.569382009300073,0.301839065777842,0.870318403664747,0.884764244262478,Chr01_2043252_2231677,0.718557178978594,0.9706990031435518,0.978499663167604,1,2043252
Chr01_2231678_2231705,0.699241970457744,0.285524294697191,0.789568707108973,0.987117014302465,Chr01_2231678_2231705,0.7157118095750249,0.9632492047882516,0.9908679647961373,1,2231678
Chr01_2231706_3033846,0.640479334006979,0.244604482751483,0.841834440585124,0.971687342715187,Chr01_2231706_3033846,0.7033963973052687,0.9699581403047419,0.9894129824662103,1,2231706
Chr01_3033847_3052413,0.466009052923964,0.0907277323253829,0.746716302169983,0.996893534284477,Chr01_3033847_3052413,0.6644289591438491,0.9542203411865998,0.996893534284477,1,3033847
Chr01_3052414_4229970,0.468532725405353,0.113803688786262,0.811388201268147,0.942860149090099,Chr01_3052414_4229970,0.6647123547414205,0.9667104289600406,0.978499663167604,1,3052414
