Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.227267316467381,0.801857601950763,0.690734899702773,0.959755841349982,0.9504057221402632,1,1
Chr01_126238_809425,0.203299576764294,0.84396468701926,0.700649570065648,0.9792024019271655,0.9525261581939077,1,126238
Chr01_809426_814269,0.383720275656509,0.789082229161741,0.412779541116238,0.9546224959683491,0.8475622560659642,1,809426
Chr01_814270_1367747,0.337259294273799,0.488756352851753,0.337455721719112,0.8191354142695106,0.8123634357045509,1,814270
Chr01_1367748_1367899,0.328612485814749,0.224696273622064,0.375484694755173,0.639751610318641,0.8143958582189901,1,1367748
Chr01_1367900_2042574,0.238561041030926,0.281047035239252,0.294089579626111,0.7048132680609367,0.8021682997167859,1,1367900
Chr01_2042575_2043251,0.185812707871935,0.297776672909373,0.350767388517714,0.7151095661140304,0.8123634357045509,1,2042575
Chr01_2043252_2231677,0.32755675751191,0.569176376340657,0.430703712623373,0.8657372083613112,0.8605138490794776,1,2043252
Chr01_2231678_2231705,0.451743023795756,0.739991711489056,0.263068015477324,0.9388827643793951,0.789651948916668,1,2231678
Chr01_2231706_3033846,0.447895247969379,0.739076472234207,0.258771783584985,0.9388827643793951,0.7880080451887664,1,2231706
Chr01_3033847_3052413,0.137618335946807,0.337259254535744,0.309622277482492,0.7518070882359293,0.8123634357045509,1,3033847
Chr01_3052414_4229970,0.182585069495695,0.45829727085842,0.123104746818351,0.8049794210209172,0.7227647397806732,1,3052414
Chr01_4229971_4235626,0.0916955825625764,0.348953105945644,0.159527728184992,0.7615870752479896,0.7227647397806732,1,4229971
Chr01_4235627_5264100,0.143813078060881,0.661253986814559,0.100568311383579,0.9118101337227373,0.7227647397806732,1,4235627
Chr01_5264101_5264149,0.0697789488971945,0.723891474244319,0.117298541122625,0.9332447965937344,0.7227647397806732,1,5264101
Chr01_5264150_5885231,0.05719642451687,0.687343731327885,0.270340956012336,0.9180471751300322,0.7961417144950445,1,5264150
Chr01_5885232_5886075,0.0697186351374445,0.771439100866989,0.239849260290436,0.9478807834732224,0.7824837216051354,1,5885232
Chr01_5886076_6253003,0.0444330417179763,0.721256180093244,0.487029245436212,0.9332447965937344,0.8860143185069058,1,5886076
Chr01_6253004_6253851,0.119350938914757,0.622291025503011,0.311517308795225,0.8878018630509623,0.8123634357045509,1,6253004
Chr01_6253852_6811196,0.142468512615632,0.902874778096702,0.178391362535494,0.9818073747993612,0.7386977522315497,1,6253852
Chr01_6811197_6811650,0.282459615036923,0.949057327458211,0.126341126293298,0.9883055672130583,0.7227647397806732,1,6811197
Chr01_6811651_7107385,0.203129847047697,0.798858833712929,0.0582136639872795,0.959755841349982,0.6969316532154349,1,6811651
Chr01_7107386_7117068,0.387339577596717,0.667845738226814,0.0581638211411146,0.9118101337227373,0.6969316532154349,1,7107386
Chr01_7117069_8021093,0.676511571157241,0.10286969420989,0.148074588761062,0.5336224655337609,0.7227647397806732,1,7117069
Chr01_8021094_8021338,0.809411031707422,0.124935337634263,0.177826798341642,0.5542097151438717,0.7386977522315497,1,8021094
Chr01_8021339_8546533,0.777943636784274,0.122653205531991,0.290717029730463,0.5542097151438717,0.8021682997167859,1,8021339
Chr01_8546534_8548055,0.144207229042192,0.206003746787332,0.113619587518337,0.639751610318641,0.7227647397806732,1,8546534
Chr01_8548056_9439189,0.122394206336489,0.169473927306102,0.157555780512895,0.6231778306286493,0.7227647397806732,1,8548056
Chr01_9439190_9439923,0.123011517449123,0.075585191876322,0.16683232523953,0.5239627596340249,0.7227647397806732,1,9439190
Chr01_9439924_10127710,0.076431536007852,0.0387044719542279,0.266048148585205,0.46590508114901835,0.7911206947766771,1,9439924
Chr01_10127711_10127775,0.0558278384535117,0.0891854706522453,0.151338770090978,0.5336224655337609,0.7227647397806732,1,10127711
Chr01_10127776_10700451,0.072482409166041,0.0620843608855533,0.113695509141562,0.5076613917960381,0.7227647397806732,1,10127776
Chr01_10700452_10700489,0.120188567643428,0.121486751182618,0.223420381712353,0.5542097151438717,0.7688430804865042,1,10700452
Chr01_10700490_11189458,0.0916492998097354,0.0230267377132044,0.144906009357479,0.3515232908495452,0.7227647397806732,1,10700490
Chr01_11189459_11289027,0.0541837854732655,0.0317313029662152,0.371654910910968,0.4303837289642991,0.8143958582189901,1,11189459
Chr01_11289028_11965532,0.023350125070752,0.0288674411152133,0.71665601418087,0.40288906947754216,0.9575248439747265,1,11289028
Chr01_11965533_11966198,0.0143314409027325,0.0327473428296763,0.284144606598616,0.43199576910929144,0.8021682997167859,1,11965533
Chr01_11966199_12330339,0.0412610180640019,0.0590586254977939,0.266992965526916,0.5076613917960381,0.7911206947766771,1,11966199
Chr01_12330340_12330527,0.282814673692001,0.221919217608232,0.199626429829799,0.639751610318641,0.7598428929885235,1,12330340
Chr01_12330528_13051606,0.255842137200226,0.254676222608923,0.108788119361881,0.6763090538969609,0.7227647397806732,1,12330528
Chr01_13051607_13052006,0.145008143213994,0.366787191794121,0.0647217836329431,0.7794974886560683,0.7164031912474047,1,13051607
Chr01_13052007_13382483,0.209682697685524,0.254058595111631,0.0457427861062745,0.6763090538969609,0.6969316532154349,1,13052007
Chr01_13382484_13382509,0.191633502280005,0.402287121170608,0.070718326835857,0.7884921101348806,0.7227647397806732,1,13382484
Chr01_13382510_13576339,0.187007984538563,0.398940924853939,0.0532918189018339,0.7884921101348806,0.6969316532154349,1,13382510
Chr01_13576340_13576350,0.0925397579386597,0.407494562032235,0.109857898424422,0.7884921101348806,0.7227647397806732,1,13576340
Chr01_13576351_14061355,0.140115095746064,0.243728572759247,0.149714678479362,0.6686534919897418,0.7227647397806732,1,13576351
Chr01_14061356_14061634,0.0221879675369544,0.18567023576674,0.0898991035227364,0.6246514511821062,0.7227647397806732,1,14061356
Chr01_14061635_14604721,0.0644988532490219,0.15904129169818,0.057925709043461,0.6132371909518244,0.6969316532154349,1,14061635
Chr01_14604722_14607157,0.0385413591154051,0.0828578866733414,0.0334780676519021,0.5289236996392918,0.6969316532154349,1,14604722
Chr01_14607158_15449572,0.0878999179337296,0.0840346064847473,0.016837168337767,0.5289236996392918,0.6969316532154349,1,14607158
Chr01_15449573_15456448,0.102933943940891,0.133167521422541,0.0217644105281135,0.5600014110476288,0.6969316532154349,1,15449573
Chr01_15456449_16406535,0.0972101878448865,0.0749554457426857,0.0710820801238031,0.5239627596340249,0.7227647397806732,1,15456449
Chr01_16406536_16454790,0.038648033444549,0.0178573085146013,0.0895533530494426,0.30708193034930453,0.7227647397806732,1,16406536
Chr01_16454791_19216253,0.0210558341701644,0.00982712939666485,0.037869041441746,0.20934460043722591,0.6969316532154349,1,16454791
Chr01_19216254_19216663,0.0114900797108676,0.0066417354326717,0.054054401519153,0.18370440302558613,0.6969316532154349,1,19216254
Chr01_19216664_20661429,0.0133340872797497,0.0956859729144676,0.0943100494850552,0.5336224655337609,0.7227647397806732,1,19216664
Chr01_20661430_20662913,0.0376625111654677,0.107397975771077,0.165443681511035,0.5414882233902992,0.7227647397806732,1,20661430
Chr01_20662914_21251875,0.0592950252736435,0.0634472714829696,0.29178903041915,0.5076613917960381,0.8021682997167859,1,20662914
Chr01_21251876_21488109,0.197918078204244,0.035048124450052,0.140194581266076,0.44409662954473783,0.7227647397806732,1,21251876
Chr01_21488110_22523058,0.306775269704738,0.100139198580779,0.0945381230104191,0.5336224655337609,0.7227647397806732,1,21488110
Chr01_22523059_22523376,0.297667025362938,0.776010458192497,0.793196766667762,0.9478807834732224,0.9767883456535227,1,22523059
Chr01_22523377_25610270,0.052383022024005,0.987799078291059,0.935992730746132,0.9949457633726376,0.9969217812893701,1,22523377
Chr01_25610271_25623774,0.246891216079661,0.866645612996332,0.903097608935961,0.9818073747993612,0.9962000119594527,1,25610271
Chr01_25623775_25991881,0.124052754763138,0.972309467246027,0.32373817162326,0.991879255252038,0.8123634357045509,1,25623775
Chr01_25991882_26001088,0.149727964161037,0.624010146210746,0.383010209248257,0.8889375307706336,0.8218426920950989,1,25991882
Chr01_26001089_26286066,0.112260363047201,0.527902771940496,0.470143707590331,0.8444690521240824,0.8776093930388571,1,26001089
Chr01_26286067_26293474,0.0678557067829365,0.677940913864599,0.339060102242699,0.9143656863467912,0.8123634357045509,1,26286067
Chr01_26293475_26583692,0.133350467194962,0.818686154359386,0.236512831107828,0.9652677883231263,0.7773442196479124,1,26293475
Chr01_26583693_26647317,0.223296074084786,0.717979897327675,0.134236555832824,0.9318256618956212,0.7227647397806732,1,26583693
Chr01_26647318_27308826,0.283099917237795,0.611388074757949,0.0894363290727834,0.8831941798059131,0.7227647397806732,1,26647318
Chr01_27308827_27314420,0.0605578156944415,0.469654157179029,0.198320010717566,0.8085840268941167,0.7598428929885235,1,27308827
Chr01_27314421_27701084,0.0562129396428323,0.554258186569455,0.108603224380749,0.851276927697584,0.7227647397806732,1,27314421
Chr01_27701085_27712150,0.0221234484976187,0.747731644363077,0.228724595252181,0.9392530796815338,0.7728483692205274,1,27701085
Chr01_27712151_27987745,0.119807289820201,0.407608202701759,0.798136240198354,0.7884921101348806,0.9816158356462514,1,27712151
Chr01_27987746_27996902,0.0893735164693274,0.54991854677001,0.988028308702552,0.8490868647100115,0.9969217812893701,1,27987746
Chr01_27996903_28327995,0.182674348646927,0.412370664234116,0.910405164688014,0.7884921101348806,0.9962000119594527,1,27996903
Chr01_28327996_28328780,0.490287758257764,0.254932696328761,0.679414897192217,0.6763090538969609,0.9504057221402632,1,28327996
Chr01_28328781_28712697,0.369173821487118,0.190816657388192,0.490722951530874,0.6246514511821062,0.8866443968260628,1,28328781
Chr01_28712698_28712702,0.196849494757553,0.0759566476221358,0.567662685884354,0.5239627596340249,0.9218535691511516,1,28712698
Chr01_28712703_29260469,0.0657277119777605,0.115357319294685,0.432486414544617,0.5474601984977036,0.8622865780672178,1,28712703
Chr01_29260470_29264772,0.073819083223931,0.187923871134937,0.396801235493779,0.6246514511821062,0.8370064047331351,1,29260470
Chr01_29264773_29827856,0.109854794104499,0.216317705543363,0.384638153004561,0.639751610318641,0.8218426920950989,1,29264773
Chr01_29827857_29864780,0.0350841586715899,0.233973225354789,0.0591836014501789,0.6493262709413885,0.6969316532154349,1,29827857
Chr01_29864781_30461232,0.112823378872444,0.248585300194814,0.0154087258267566,0.672437202493275,0.6969316532154349,1,29864781
Chr01_30461233_30463952,0.0453451488859553,0.371891476259509,0.0345600763240805,0.7827592755190727,0.6969316532154349,1,30461233
Chr01_30463953_31287140,0.256686852270088,0.300564180092714,0.00851621581703725,0.7200082224609045,0.6969316532154349,1,30463953
Chr01_31287141_31299042,0.147238098994162,0.28261989761111,0.0133559135070856,0.7050853922266812,0.6969316532154349,1,31287141
Chr01_31299043_32249075,0.144396971080356,0.356900373640559,0.0555783129205757,0.7694242076741412,0.6969316532154349,1,31299043
Chr01_32249076_32254238,0.160885223498393,0.434905781384452,0.0145851573628183,0.8023261828989029,0.6969316532154349,1,32249076
Chr01_32254239_32925441,0.308507013396541,0.360291978120127,0.02024746371054,0.7710248331770718,0.6969316532154349,1,32254239
Chr01_32925442_32925676,0.273690240801909,0.545325242062682,0.0492446296307942,0.8490868647100115,0.6969316532154349,1,32925442
Chr01_32925677_33648211,0.225758490076019,0.806984965102601,0.04859929313222,0.9613393000423422,0.6969316532154349,1,32925677
Chr01_33648212_33648861,0.258918932454165,0.966704120727269,0.0935767806218852,0.991879255252038,0.7227647397806732,1,33648212
Chr01_33648862_33944256,0.243316143855913,0.851592245862005,0.170168805359488,0.9809609243601805,0.7227647397806732,1,33648862
