Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.130761051298311,0.630431012592125,0.308908463306293,0.9710372553189077,0.8544280167734479,1,1
Chr01_126238_809425,0.136159706281494,0.651461981043359,0.302761005999115,0.9710372553189077,0.8500129690705314,1,126238
Chr01_809426_814269,0.185387624823047,0.649036454912967,0.282504434112371,0.9710372553189077,0.8345669234749065,1,809426
Chr01_814270_1367747,0.16930914227838,0.784498069428072,0.303639108369951,0.9710372553189077,0.8500129690705314,1,814270
Chr01_1367748_1367899,0.0686394755045736,0.619383250699751,0.645999695896509,0.9710372553189077,0.9580277311037397,1,1367748
Chr01_1367900_2042574,0.0534391749594754,0.642640142295014,0.613625134542789,0.9710372553189077,0.9443664898481637,1,1367900
Chr01_2042575_2043251,0.0529081728371511,0.491621259306719,0.764269463547738,0.9710372553189077,0.9723418522672234,1,2042575
Chr01_2043252_2231677,0.0726669698396381,0.740627192659561,0.67213160715303,0.9710372553189077,0.9614718680768964,1,2043252
Chr01_2231678_2231705,0.0674184226079367,0.449401674802542,0.837478450206806,0.9710372553189077,0.980775374251602,1,2231678
Chr01_2231706_3033846,0.0624406342876152,0.423585291611255,0.814963027649487,0.9684851829574557,0.9773466944289614,1,2231706
Chr01_3033847_3052413,0.040081978748608,0.274660311578194,0.584672943038646,0.9584843572542859,0.9440443717000658,1,3033847
Chr01_3052414_4229970,0.114055856379241,0.496027779510398,0.100203747494873,0.9710372553189077,0.703470622793038,1,3052414
Chr01_4229971_4235626,0.0915393774931092,0.538901441559728,0.072378648198963,0.9710372553189077,0.703470622793038,1,4229971
Chr01_4235627_5264100,0.165076683780539,0.740329016364131,0.072959687314439,0.9710372553189077,0.703470622793038,1,4235627
Chr01_5264101_5264149,0.128214746317736,0.591829229260227,0.0460871530468509,0.9710372553189077,0.6935842006974744,1,5264101
Chr01_5264150_5885231,0.0866169485853848,0.462610900846532,0.0408928206712524,0.9710372553189077,0.6935842006974744,1,5264150
Chr01_5885232_5886075,0.0831831265524277,0.617536410673875,0.0544824692301434,0.9710372553189077,0.6935842006974744,1,5885232
Chr01_5886076_6253003,0.0314569344081233,0.656630479332887,0.21507599723206,0.9710372553189077,0.7879324241695637,1,5886076
Chr01_6253004_6253851,0.0357609363666341,0.582324693044271,0.374356572026697,0.9710372553189077,0.8811405852609119,1,6253004
Chr01_6253852_6811196,0.0874618020344288,0.577660993328012,0.351350864611203,0.9710372553189077,0.8742916863581098,1,6253852
Chr01_6811197_6811650,0.17626554163677,0.28444235559147,0.122342619122724,0.9584843572542859,0.7136150225742707,1,6811197
