Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.598116509503344,0.656151454707139,0.299903546837319,0.9720383671738844,0.8181721025414727,1,1
Chr01_126238_809425,0.767119644394695,0.662988667118993,0.29961470424825,0.9720383671738844,0.8181721025414727,1,126238
Chr01_809426_814269,0.665625224352812,0.675283662329186,0.277703297224717,0.9720383671738844,0.8003312407382934,1,809426
Chr01_814270_1367747,0.740281042237601,0.801778276015538,0.298008836152365,0.9720383671738844,0.8181721025414727,1,814270
Chr01_1367748_1367899,0.527070306520657,0.586841493031929,0.615605861089128,0.9720383671738844,0.9566757917838791,1,1367748
Chr01_1367900_2042574,0.537118000976188,0.611889546951141,0.58492531045159,0.9720383671738844,0.948015029187474,1,1367900
Chr01_2042575_2043251,0.515085345308123,0.463517006464459,0.729945142516551,0.9720383671738844,0.9641271200202763,1,2042575
Chr01_2043252_2231677,0.557404524394141,0.761242488894572,0.682263643677758,0.9720383671738844,0.9641271200202763,1,2043252
Chr01_2231678_2231705,0.652404867492696,0.462403358686288,0.829936191509198,0.9720383671738844,0.9749525849353652,1,2231678
Chr01_2231706_3033846,0.662381609884894,0.43499616000385,0.807229217559898,0.9720383671738844,0.9718433128328289,1,2231706
Chr01_3033847_3052413,0.551909681182737,0.283869144035919,0.567931688193163,0.9577411658703292,0.948015029187474,1,3033847
Chr01_3052414_4229970,0.549095229060802,0.532831323565312,0.0926136816543412,0.9720383671738844,0.6826817815107663,1,3052414
Chr01_4229971_4235626,0.380695628634397,0.571149274438466,0.0695536759027063,0.9720383671738844,0.6826817815107663,1,4229971
Chr01_4235627_5264100,0.391527119211301,0.811295252276325,0.0763502291024825,0.9720383671738844,0.6826817815107663,1,4235627
Chr01_5264101_5264149,0.424025280517786,0.661437803440625,0.0471735499340044,0.9720383671738844,0.669810651952113,1,5264101
Chr01_5264150_5885231,0.432055882072547,0.519840589075654,0.0434998559216277,0.9720383671738844,0.669810651952113,1,5264150
Chr01_5885232_5886075,0.608332832978796,0.663255753864186,0.0522485237356026,0.9720383671738844,0.669810651952113,1,5885232
Chr01_5886076_6253003,0.594066760685183,0.702626217118569,0.209228799360223,0.9720383671738844,0.7807065818995949,1,5886076
Chr01_6253004_6253851,0.608466924238701,0.624747971305683,0.363142762184272,0.9720383671738844,0.8605670418431716,1,6253004
Chr01_6253852_6811196,0.613816827940053,0.625023875777355,0.340249500232794,0.9720383671738844,0.8561217525051836,1,6253852
Chr01_6811197_6811650,0.643329943275898,0.315971006503404,0.11681443816962,0.9577411658703292,0.6826817815107663,1,6811197
Chr01_6811651_7107385,0.617120155806005,0.477501676943765,0.100284487281655,0.9720383671738844,0.6826817815107663,1,6811651
