Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.161958312011032,0.963623651750331,0.567667771548134,0.9872016772718817,0.9386796366020652,1,1
Chr01_126238_809425,0.172683341803958,0.927154171687848,0.55810705215519,0.9830032766011343,0.9379704907948481,1,126238
Chr01_809426_814269,0.237450364549967,0.995720264156088,0.516728525885392,0.9969882455571294,0.9370356404816715,1,809426
Chr01_814270_1367747,0.202837187240837,0.75148251785173,0.512109539854336,0.9604298078984125,0.9370356404816715,1,814270
Chr01_1367748_1367899,0.12224561787338,0.372723667789232,0.812065677591791,0.8902413707424531,0.9758244296890061,1,1367748
Chr01_1367900_2042574,0.0937151345564645,0.368316201437482,0.812526352806507,0.8902413707424531,0.9758244296890061,1,1367900
Chr01_2042575_2043251,0.0727311278182992,0.245371075453435,0.980837492175266,0.8902413707424531,0.9927680361918941,1,2042575
Chr01_2043252_2231677,0.0944807037910254,0.776324815082624,0.556471497621837,0.9604298078984125,0.9379704907948481,1,2043252
Chr01_2231678_2231705,0.0675260690272302,0.891924387837664,0.991099736510135,0.9799490273807698,0.9954929611887537,1,2231678
Chr01_2231706_3033846,0.0636488911253137,0.871768880113746,0.97649192339582,0.9761784087785318,0.9927680361918941,1,2231706
Chr01_3033847_3052413,0.022172699859907,0.856891313159953,0.926340094454851,0.9712832820586192,0.9900838079467497,1,3033847
Chr01_3052414_4229970,0.132250746252252,0.853095931161802,0.18196952209843,0.9699307930446461,0.8141684595354763,1,3052414
Chr01_4229971_4235626,0.106822379983422,0.848501550062817,0.130507814506338,0.9675463268734809,0.758301613338643,1,4229971
Chr01_4235627_5264100,0.198629438249617,0.778012772084191,0.119339955666452,0.9604298078984125,0.7361808223791262,1,4235627
Chr01_5264101_5264149,0.205789663630354,0.986025571067599,0.094964043107732,0.9953742864169657,0.7361808223791262,1,5264101
Chr01_5264150_5885231,0.11574334329081,0.933456952195821,0.13864340432838,0.9830032766011343,0.776241850978081,1,5264150
Chr01_5885232_5886075,0.118233134639932,0.849993969402871,0.178463332334761,0.9675463268734809,0.8080252559313769,1,5885232
Chr01_5886076_6253003,0.0397191509176147,0.81792307264153,0.433314423719602,0.960786147629396,0.9370356404816715,1,5886076
Chr01_6253004_6253851,0.0535214591196438,0.90230907376253,0.517597218447982,0.9830032766011343,0.9370356404816715,1,6253004
Chr01_6253852_6811196,0.10747759391054,0.885245686831571,0.517695386067603,0.9799490273807698,0.9370356404816715,1,6253852
Chr01_6811197_6811650,0.206285545551323,0.798905032703411,0.254231086094305,0.9604298078984125,0.8850655393035617,1,6811197
Chr01_6811651_7107385,0.14863343242492,0.942374273298591,0.227239669015661,0.9831638659206806,0.8718244500533768,1,6811651
Chr01_7107386_7117068,0.26797436541598,0.93090065007754,0.0540372002625942,0.9830032766011343,0.7157089031582012,1,7107386
Chr01_7117069_8021093,0.361134870098632,0.887016976419697,0.0379343169711658,0.9799490273807698,0.7157089031582012,1,7117069
Chr01_8021094_8021338,0.582043557998095,0.952329789306628,0.118373085511536,0.9831638659206806,0.7361808223791262,1,8021094
Chr01_8021339_8546533,0.311299356081083,0.995952951428825,0.188855324657388,0.9969882455571294,0.8141684595354763,1,8021339
Chr01_8546534_8548055,0.118774548142393,0.50889800313035,0.174019451577638,0.9041751882703762,0.8080252559313769,1,8546534
Chr01_8548056_9439189,0.0378388814060212,0.473572414150233,0.242915417555975,0.895400592404606,0.8728639817403132,1,8548056
Chr01_9439190_9439923,0.184581293230172,0.924122178775707,0.0944037005398233,0.9830032766011343,0.7361808223791262,1,9439190
Chr01_9439924_10127710,0.0602561629883177,0.831787693692039,0.167597190459048,0.9627542656555692,0.8080252559313769,1,9439924
Chr01_10127711_10127775,0.0528422238520718,0.915260958585435,0.129981046597875,0.9830032766011343,0.758301613338643,1,10127711
Chr01_10127776_10700451,0.050862877035017,0.629110651566883,0.0745068908686036,0.9286625078757811,0.7257217740038079,1,10127776
Chr01_10700452_10700489,0.0354232504950342,0.273753114569582,0.177486425707068,0.8902413707424531,0.8080252559313769,1,10700452
Chr01_10700490_11189458,0.0416714695690701,0.595012642565059,0.331014899391455,0.9237220302639211,0.9289701462953992,1,10700490
Chr01_11189459_11289027,0.0202259190296536,0.952485648709815,0.666549888288591,0.9831638659206806,0.9477708889819891,1,11189459
Chr01_11289028_11965532,0.0114977082091741,0.909356702102709,0.900762025371647,0.9830032766011343,0.9823712688934271,1,11289028
Chr01_11965533_11966198,0.00722370371006135,0.68624150917862,0.654157910709417,0.9433198281815967,0.9477708889819891,1,11965533
Chr01_11966199_12330339,0.0553059167459968,0.306390458004977,0.82856300810377,0.8902413707424531,0.9779253313478666,1,11966199
Chr01_12330340_12330527,0.335532600116336,0.131374457183546,0.681268917385208,0.8566737100214158,0.9520302067860854,1,12330340
Chr01_12330528_13051606,0.282240485141292,0.105157610621369,0.503992489155968,0.850087576813969,0.9370356404816715,1,12330528
Chr01_13051607_13052006,0.160212975510024,0.131989064215668,0.441820680738687,0.8566737100214158,0.9370356404816715,1,13051607
Chr01_13052007_13382483,0.124914247074771,0.193434915631553,0.400600497864283,0.8902413707424531,0.9370356404816715,1,13052007
Chr01_13382484_13382509,0.119918135951452,0.124136603360315,0.437869970448108,0.850087576813969,0.9370356404816715,1,13382484
Chr01_13382510_13576339,0.0534401482930768,0.0924431418383926,0.436674381810258,0.850087576813969,0.9370356404816715,1,13382510
Chr01_13576340_13576350,0.0724047115996975,0.118264659586647,0.523952760911676,0.850087576813969,0.9370356404816715,1,13576340
Chr01_13576351_14061355,0.0853618430451865,0.147168810233107,0.665444946861444,0.878248623526711,0.9477708889819891,1,13576351
Chr01_14061356_14061634,0.0745411080246739,0.200337384903537,0.348434212538438,0.8902413707424531,0.9370356404816715,1,14061356
