Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.23315363480931,0.832279039027862,0.220588904788085,0.9938610275011197,0.7694961794933197,1,1
Chr01_126238_809425,0.227602454791621,0.828020481541293,0.218616280650818,0.9938610275011197,0.7694961794933197,1,126238
Chr01_809426_814269,0.337283289503282,0.914290115035679,0.120940577266748,0.9938610275011197,0.7694961794933197,1,809426
Chr01_814270_1367747,0.363041093188483,0.82048158949706,0.139447441049573,0.9938610275011197,0.7694961794933197,1,814270
Chr01_1367748_1367899,0.307100118198681,0.363140788889178,0.227789283150849,0.8877390075175345,0.779545665075997,1,1367748
Chr01_1367900_2042574,0.261044073086815,0.456202077790852,0.167594812761493,0.9362738988001573,0.7694961794933197,1,1367900
Chr01_2042575_2043251,0.230046817281646,0.356942252558007,0.234243613037658,0.8849807914661331,0.7822409612587479,1,2042575
Chr01_2043252_2231677,0.269345257443726,0.993291306415163,0.510705312340445,0.9976765026795624,0.8699813754819221,1,2043252
Chr01_2231678_2231705,0.320541213274027,0.610565182161211,0.206977092360079,0.9606794824214858,0.7694961794933197,1,2231678
Chr01_2231706_3033846,0.324143980239432,0.622792456808021,0.209500614951308,0.9624224645884523,0.7694961794933197,1,2231706
Chr01_3033847_3052413,0.176125539299463,0.560524534627216,0.17906215031728,0.9522985193981068,0.7694961794933197,1,3033847
Chr01_3052414_4229970,0.248560630860862,0.754530194237349,0.032729531691508,0.9938610275011197,0.754490450454761,1,3052414
Chr01_4229971_4235626,0.200212634115191,0.895561992523331,0.0392338961033489,0.9938610275011197,0.754490450454761,1,4229971
Chr01_4235627_5264100,0.87810677270811,0.819268975514686,0.0483827131395551,0.9938610275011197,0.7579301681804776,1,4235627
Chr01_5264101_5264149,0.82348648373981,0.894225796869873,0.0410778134136481,0.9938610275011197,0.754490450454761,1,5264101
Chr01_5264150_5885231,0.922029910143038,0.886938844541495,0.0938912157452233,0.9938610275011197,0.7682008560972815,1,5264150
Chr01_5885232_5886075,0.0690331442001351,0.715426262595878,0.107469339024803,0.9938610275011197,0.7694961794933197,1,5885232
Chr01_5886076_6253003,0.974941631193678,0.616571338947472,0.422946278205406,0.961723059016854,0.8577483350383721,1,5886076
Chr01_6253004_6253851,0.0865712522678517,0.670634658409051,0.51091981907786,0.976355585929531,0.8699813754819221,1,6253004
Chr01_6253852_6811196,0.969760929125451,0.752618487351902,0.439558599621228,0.9938610275011197,0.8578613075350537,1,6253852
Chr01_6811197_6811650,0.257068164206572,0.930956299406358,0.21085850622988,0.9938610275011197,0.7694961794933197,1,6811197
Chr01_6811651_7107385,0.934355103806081,0.96687547343231,0.112716112551909,0.9945004869589473,0.7694961794933197,1,6811651
Chr01_7107386_7117068,0.851676926308313,0.953756703734323,0.0404475087897916,0.9945004869589473,0.754490450454761,1,7107386
Chr01_7117069_8021093,0.677506465714775,0.958512770731425,0.067782982305756,0.9945004869589473,0.7640004042240289,1,7117069
Chr01_8021094_8021338,0.926649565647114,0.951349678357504,0.143891285313344,0.9945004869589473,0.7694961794933197,1,8021094
Chr01_8021339_8546533,0.571399544416298,0.989500717019363,0.20971103835859,0.9976765026795624,0.7694961794933197,1,8021339
Chr01_8546534_8548055,0.597498105448452,0.491337788827298,0.208918548118577,0.9448803631294193,0.7694961794933197,1,8546534
Chr01_8548056_9439189,0.604747734303673,0.725618887140896,0.29273685835528,0.9938610275011197,0.7991483344098544,1,8548056
Chr01_9439190_9439923,0.606335353331294,0.983728215791898,0.085466934809792,0.9975157009857536,0.7655221728815593,1,9439190
Chr01_9439924_10127710,0.557185490879006,0.805056903290543,0.145482450810258,0.9938610275011197,0.7694961794933197,1,9439924
