Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.0971069961121814,0.914782046674296,0.497002349665067,0.9837415271057595,0.9614998411643024,1,1
Chr01_126238_809425,0.102572151524337,0.945844502176215,0.488767474883345,0.9837415271057595,0.9614998411643024,1,126238
Chr01_809426_814269,0.153160442116023,0.906953347662542,0.435827114677424,0.9837415271057595,0.9614998411643024,1,809426
Chr01_814270_1367747,0.125216954134241,0.892686561805691,0.428088354381472,0.9837415271057595,0.9614998411643024,1,814270
Chr01_1367748_1367899,0.0582001395278267,0.405036816151438,0.765559915667339,0.9362879941681588,0.9776008777809997,1,1367748
Chr01_1367900_2042574,0.0460958449885578,0.41564868914747,0.737205740389136,0.9362879941681588,0.9758229152573936,1,1367900
Chr01_2042575_2043251,0.0447023656276165,0.301576957488108,0.911677338827332,0.9362879941681588,0.9953909632774988,1,2042575
Chr01_2043252_2231677,0.0531428360653197,0.927084290233916,0.574671738650655,0.9837415271057595,0.9636913461155407,1,2043252
Chr01_2231678_2231705,0.0393264742933689,0.721677114899239,0.955948423642104,0.9747520869357981,0.9957222364806899,1,2231678
Chr01_2231706_3033846,0.0361236422866797,0.692666374928834,0.934567364423609,0.9625523140560895,0.9953909632774988,1,2231706
Chr01_3033847_3052413,0.0139917235494283,0.579765664622847,0.772751500542454,0.9489007586568481,0.9776008777809997,1,3033847
Chr01_3052414_4229970,0.0787769786535482,0.909658009768158,0.125069977028546,0.9837415271057595,0.6959792846307081,1,3052414
Chr01_4229971_4235626,0.0627943459812968,0.946655468477658,0.0950617201298714,0.9837415271057595,0.6959792846307081,1,4229971
Chr01_4235627_5264100,0.1266449733984,0.94543281515901,0.0800880750751052,0.9837415271057595,0.6938428544834604,1,4235627
Chr01_5264101_5264149,0.110428702917648,0.844639925730345,0.0609396433971808,0.9799858415401472,0.6785816991706178,1,5264101
Chr01_5264150_5885231,0.0718140866510866,0.69350899925693,0.0662630758570964,0.9625523140560895,0.6785816991706178,1,5264150
Chr01_5885232_5886075,0.0691061586087713,0.855063943121935,0.0981116665816025,0.9810448464804833,0.6959792846307081,1,5885232
Chr01_5886076_6253003,0.0265918814281882,0.865023171308512,0.331972630239462,0.9814132970224156,0.8946247311581433,1,5886076
Chr01_6253004_6253851,0.0328804997290172,0.762820811734488,0.475120532628887,0.9799858415401472,0.9614998411643024,1,6253004
Chr01_6253852_6811196,0.069200968572732,0.776529207797411,0.468503388578148,0.9799858415401472,0.9614998411643024,1,6253852
Chr01_6811197_6811650,0.142567490802864,0.456459026293988,0.188121585133678,0.9362879941681588,0.7743507750280939,1,6811197
Chr01_6811651_7107385,0.101903291823677,0.616462761527549,0.16540288903712,0.9552700670229416,0.7408510797337049,1,6811651
Chr01_7107386_7117068,0.233087139858891,0.697706573885934,0.0311868256725874,0.9639762276214555,0.6785816991706178,1,7107386
Chr01_7117069_8021093,0.274237844136421,0.707534076232174,0.0206579942720492,0.9706502555226292,0.6785816991706178,1,7117069
Chr01_8021094_8021338,0.44794220538334,0.821577053595717,0.0860994429979535,0.9799858415401472,0.6959792846307081,1,8021094
Chr01_8021339_8546533,0.183158616940215,0.796189919301428,0.148517053781706,0.9799858415401472,0.7334457579065788,1,8021339
Chr01_8546534_8548055,0.081154683416646,0.671322052437986,0.183354840328573,0.9554472369272753,0.7676987445061556,1,8546534
