Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,CHR,BP
Chr01_1_126237,0.667172626331457,0.737758222762414,0.308008807685668,0.988198119778292,Chr01_1_126237,0.9764337879853103,0.997220051234229,0.994229079657872,1,1
Chr01_126238_809425,0.667172626331457,0.737758222762414,0.308008807685668,0.988198119778292,Chr01_126238_809425,0.9764337879853103,0.997220051234229,0.994229079657872,1,126238
Chr01_809426_814269,0.752087865272816,0.653813201475787,0.187044677638419,0.942503619806473,Chr01_809426_814269,0.9754840632945729,0.942026775362773,0.9741219167908207,1,809426
Chr01_814270_1367747,0.617031836676202,0.857172635445568,0.141196318483715,0.874663639251493,Chr01_814270_1367747,0.9789633514527254,0.9188261398589649,0.9454990748246773,1,814270
Chr01_1367748_1367899,0.604797622270504,0.924617369669115,0.162744949198624,0.80501507822245,Chr01_1367748_1367899,0.9845687301797862,0.9266538174941085,0.9134498799975946,1,1367748
Chr01_1367900_2042574,0.610788093403218,0.872107320999399,0.162649630237762,0.79910313707466,Chr01_1367900_2042574,0.9789633514527254,0.9266538174941085,0.9132400165816893,1,1367900
Chr01_2042575_2043251,0.732192490744684,0.850582645420765,0.215636321578359,0.866237849568373,Chr01_2042575_2043251,0.978491859221835,0.9600168332206178,0.941362902008816,1,2042575
Chr01_2043252_2231677,0.724371770661823,0.830201479237497,0.484933027857113,0.948737632314187,Chr01_2043252_2231677,0.9784497366624343,0.997220051234229,0.9741219167908207,1,2043252
Chr01_2231678_2231705,0.531487526654781,0.561955062260215,0.393906657647737,0.904171962408994,Chr01_2231678_2231705,0.9754840632945729,0.997220051234229,0.9549275441834605,1,2231678
Chr01_2231706_3033846,0.503537858053428,0.529361751118765,0.3726704098546,0.896325040155685,Chr01_2231706_3033846,0.9754840632945729,0.997220051234229,0.9549275441834605,1,2231706
Chr01_3033847_3052413,0.272027833776848,0.213930777279509,0.215940022973703,0.850435048070723,Chr01_3033847_3052413,0.9700314630772292,0.9600168332206178,0.9387881192568306,1,3033847
Chr01_3052414_4229970,0.422094408546274,0.460918596328882,0.0955685894017686,0.859281633586871,Chr01_3052414_4229970,0.9754840632945729,0.8209719939442929,0.9387881192568306,1,3052414
