Marker,Intercept,Deltoides,Del_P_adj,CHR,BP
Chr01_1_126237,0.0432382268696396,0.920627942838882,0.9701192837213437,1,1
Chr01_126238_809425,0.0432382268696396,0.920627942838882,0.9701192837213437,1,126238
Chr01_809426_814269,0.0432382268696396,0.920627942838882,0.9701192837213437,1,809426
Chr01_814270_1367747,0.0432382268696396,0.920627942838882,0.9701192837213437,1,814270
Chr01_1367748_1367899,0.0432382268696396,0.920627942838882,0.9701192837213437,1,1367748
Chr01_1367900_2042574,0.0432382268696396,0.920627942838882,0.9701192837213437,1,1367900
Chr01_2042575_2043251,0.0432382268696396,0.920627942838882,0.9701192837213437,1,2042575
Chr01_2043252_2231677,0.0432382268696396,0.920627942838882,0.9701192837213437,1,2043252
Chr01_2231678_2231705,0.0432382268696396,0.920627942838882,0.9701192837213437,1,2231678
Chr01_2231706_3033846,0.0432382268696396,0.920627942838882,0.9701192837213437,1,2231706
Chr01_3033847_3052413,0.0432382268696396,0.920627942838882,0.9701192837213437,1,3033847
Chr01_3052414_4229970,0.0432382268696396,0.920627942838882,0.9701192837213437,1,3052414
Chr01_4229971_4235626,0.0432382268696396,0.920627942838882,0.9701192837213437,1,4229971
Chr01_4235627_5264100,0.0605426613859647,0.947183258051414,0.9810112315532503,1,4235627
Chr01_5264101_5264149,0.0154497248618825,0.891669736686797,0.9701192837213437,1,5264101
Chr01_5264150_5885231,0.0187162300114772,0.969290908537254,0.9942244367311383,1,5264150
Chr01_5885232_5886075,0.0197706219293833,0.870576795126768,0.9701192837213437,1,5885232
Chr01_5886076_6253003,0.0184983687119982,0.733207826239511,0.9701192837213437,1,5886076
Chr01_6253004_6253851,0.0187966504766628,0.711416825434679,0.9701192837213437,1,6253004
Chr01_6253852_6811196,0.0250351523333821,0.889023223717354,0.9701192837213437,1,6253852
Chr01_6811197_6811650,0.0263947543041065,0.757082403624834,0.9701192837213437,1,6811197
Chr01_6811651_7107385,0.0285228491854232,0.738236783631979,0.9701192837213437,1,6811651
Chr01_7107386_7117068,0.0213008604515996,0.92146225893573,0.9701192837213437,1,7107386
Chr01_7117069_8021093,0.0916952507719064,0.907451257189822,0.9701192837213437,1,7117069
Chr01_8021094_8021338,0.0636208187776,0.997506564945921,0.9992426711391074,1,8021094
Chr01_8021339_8546533,0.0636208187776,0.997506564945921,0.9992426711391074,1,8021339
Chr01_8546534_8548055,0.0185160505440362,0.827090020793074,0.9701192837213437,1,8546534
Chr01_8548056_9439189,0.00542528101921881,0.700962171885564,0.9701192837213437,1,8548056
Chr01_9439190_9439923,0.020539746117026,0.876456445625094,0.9701192837213437,1,9439190
Chr01_9439924_10127710,0.0224931767974594,0.741753038899126,0.9701192837213437,1,9439924
Chr01_10127711_10127775,0.0224931767974594,0.741753038899126,0.9701192837213437,1,10127711
Chr01_10127776_10700451,0.0316455436003268,0.654474405808274,0.9701192837213437,1,10127776
Chr01_10700452_10700489,0.0288337883370553,0.56567222369853,0.9454742574482522,1,10700452
Chr01_10700490_11189458,0.0282349930056337,0.519777944887328,0.9454742574482522,1,10700490
Chr01_11189459_11289027,0.0268332832514851,0.50507265861507,0.9443872447785837,1,11189459
