Marker,Intercept,Deltoides,Del_P_adj,CHR,BP
Chr01_1_126237,0.0754961168229212,0.64953093901962,0.96672023116917,1,1
Chr01_126238_809425,0.0754961168229212,0.64953093901962,0.96672023116917,1,126238
Chr01_809426_814269,0.0754961168229212,0.64953093901962,0.96672023116917,1,809426
Chr01_814270_1367747,0.0754961168229212,0.64953093901962,0.96672023116917,1,814270
Chr01_1367748_1367899,0.0754961168229212,0.64953093901962,0.96672023116917,1,1367748
Chr01_1367900_2042574,0.0754961168229212,0.64953093901962,0.96672023116917,1,1367900
Chr01_2042575_2043251,0.0754961168229212,0.64953093901962,0.96672023116917,1,2042575
Chr01_2043252_2231677,0.0754961168229212,0.64953093901962,0.96672023116917,1,2043252
Chr01_2231678_2231705,0.0754961168229212,0.64953093901962,0.96672023116917,1,2231678
Chr01_2231706_3033846,0.0754961168229212,0.64953093901962,0.96672023116917,1,2231706
Chr01_3033847_3052413,0.0754961168229212,0.64953093901962,0.96672023116917,1,3033847
Chr01_3052414_4229970,0.0754961168229212,0.64953093901962,0.96672023116917,1,3052414
Chr01_4229971_4235626,0.0754961168229212,0.64953093901962,0.96672023116917,1,4229971
Chr01_4235627_5264100,0.115671273042765,0.702036872888985,0.982325602898857,1,4235627
Chr01_5264101_5264149,0.035718971667119,0.862577624899523,0.982325602898857,1,5264101
Chr01_5264150_5885231,0.0478696157890786,0.780287976402719,0.982325602898857,1,5264150
Chr01_5885232_5886075,0.0474064379273116,0.639883840134389,0.96672023116917,1,5885232
Chr01_5886076_6253003,0.0479604025997567,0.537765949584288,0.9473978807099096,1,5886076
Chr01_6253004_6253851,0.0460202838382306,0.534567266886863,0.9473978807099096,1,6253004
Chr01_6253852_6811196,0.0627313479839769,0.719566992153154,0.982325602898857,1,6253852
Chr01_6811197_6811650,0.0606688958101195,0.627290573938336,0.96672023116917,1,6811197
Chr01_6811651_7107385,0.0667060120766189,0.600458369654128,0.9609499897582987,1,6811651
Chr01_7107386_7117068,0.0484977743432229,0.803530405194035,0.982325602898857,1,7107386
Chr01_7117069_8021093,0.161165898145882,0.859177449938058,0.982325602898857,1,7117069
Chr01_8021094_8021338,0.117943297195173,0.926174809499787,0.982325602898857,1,8021094
Chr01_8021339_8546533,0.117943297195173,0.926174809499787,0.982325602898857,1,8021339
Chr01_8546534_8548055,0.0408392537556909,0.830308606233375,0.982325602898857,1,8546534
Chr01_8548056_9439189,0.0152449956438869,0.685879144413627,0.9815653056794091,1,8548056
Chr01_9439190_9439923,0.0464305548867981,0.815005395121439,0.982325602898857,1,9439190
Chr01_9439924_10127710,0.0504840923486059,0.701263489106748,0.982325602898857,1,9439924
Chr01_10127711_10127775,0.0504840923486059,0.701263489106748,0.982325602898857,1,10127711
Chr01_10127776_10700451,0.0662666541696506,0.626033515829664,0.96672023116917,1,10127776
Chr01_10700452_10700489,0.0611180274522858,0.560906632695048,0.9512272212858842,1,10700452
Chr01_10700490_11189458,0.0633483356250015,0.52453877363997,0.9473398711133217,1,10700490
Chr01_11189459_11289027,0.0635391252310907,0.517706760231178,0.9473398711133217,1,11189459
Chr01_11289028_11965532,0.0295590080471752,0.365762126689203,0.9282329981688336,1,11289028
Chr01_11965533_11966198,0.0257926209059232,0.287294600441122,0.9076041565172965,1,11965533
Chr01_11966199_12330339,0.0935861985216927,0.222040897393224,0.9076041565172965,1,11966199
Chr01_12330340_12330527,0.191070157925382,0.131086883031648,0.9076041565172965,1,12330340
Chr01_12330528_13051606,0.192319109387137,0.0856539710059389,0.9076041565172965,1,12330528
Chr01_13051607_13052006,0.0532100757091296,0.0894728118892973,0.9076041565172965,1,13051607
Chr01_13052007_13382483,0.0545312466212799,0.107779197588157,0.9076041565172965,1,13052007
Chr01_13382484_13382509,0.0492520214527023,0.0653363375241448,0.9076041565172965,1,13382484
Chr01_13382510_13576339,0.0314489305102375,0.0499937832789643,0.9076041565172965,1,13382510
Chr01_13576340_13576350,0.0454997328775411,0.0711045399723746,0.9076041565172965,1,13576340
Chr01_13576351_14061355,0.0724649188846223,0.107853754074025,0.9076041565172965,1,13576351
Chr01_14061356_14061634,0.0960612682929202,0.124740567242236,0.9076041565172965,1,14061356
Chr01_14061635_14604721,0.123093003597755,0.188521353674603,0.9076041565172965,1,14061635
Chr01_14604722_14607157,0.0702003681542553,0.360363398682263,0.9282329981688336,1,14604722
Chr01_14607158_15449572,0.0642768292966445,0.433245123444151,0.9327259174775536,1,14607158
Chr01_15449573_15456448,0.0446650898551819,0.509092348134586,0.9473398711133217,1,15449573
Chr01_15456449_16406535,0.0380989240137123,0.560131569162238,0.9512272212858842,1,15456449
Chr01_16406536_16454790,0.0489017651814023,0.710735936836451,0.982325602898857,1,16406536
Chr01_16454791_19216253,0.0369435907747801,0.822819552944506,0.982325602898857,1,16454791
Chr01_19216254_19216663,0.0369435907747801,0.822819552944506,0.982325602898857,1,19216254
Chr01_19216664_20661429,0.0348691686504263,0.639014781420097,0.96672023116917,1,19216664
Chr01_20661430_20662913,0.0362305776013971,0.790025964887209,0.982325602898857,1,20661430
Chr01_20662914_21251875,0.0667571547101592,0.952629967129923,0.982325602898857,1,20662914
Chr01_21251876_21488109,0.0861980099209442,0.718648714006845,0.982325602898857,1,21251876
Chr01_21488110_22523058,0.0555743434462799,0.615590639983799,0.96672023116917,1,21488110
Chr01_22523059_22523376,0.0455700434408331,0.695333869310218,0.982325602898857,1,22523059
Chr01_22523377_25610270,0.185935466701656,0.690275288111016,0.9815653056794091,1,22523377
Chr01_25610271_25623774,0.0443132152290872,0.72092596213958,0.982325602898857,1,25610271
Chr01_25623775_25991881,0.0511372577166558,0.689158563616432,0.9815653056794091,1,25623775
Chr01_25991882_26001088,0.0628969504584147,0.563980179515213,0.9512272212858842,1,25991882
Chr01_26001089_26286066,0.0564715168467848,0.539531708450262,0.9473978807099096,1,26001089
