Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.216229020513075,0.485416284856088,0.181097159457658,0.8770279217943955,0.7767943604580142,1,1
Chr01_126238_809425,0.209773890692003,0.477558030219944,0.179452418303395,0.8703346688520388,0.7767943604580142,1,126238
Chr01_809426_814269,0.415283984152225,0.539846213517052,0.0739205977442469,0.890971820273603,0.7629539600263722,1,809426
Chr01_814270_1367747,0.410679978659677,0.674065528428796,0.0854415634629761,0.9449619637331957,0.7629539600263722,1,814270
Chr01_1367748_1367899,0.433885187392137,0.796772936416847,0.082485469445483,0.9773733124256395,0.7629539600263722,1,1367748
Chr01_1367900_2042574,0.398263629666535,0.972740483048523,0.0468633808771661,0.988080416017208,0.7629539600263722,1,1367900
Chr01_2042575_2043251,0.486213119548193,0.955851969435035,0.0623313084386638,0.9786534646632491,0.7629539600263722,1,2042575
Chr01_2043252_2231677,0.362511968603633,0.524705873347427,0.184195419212297,0.8873099661343264,0.7779832837782545,1,2043252
Chr01_2231678_2231705,0.379275886731699,0.391422290084159,0.0974720638856174,0.8437085757425777,0.7629539600263722,1,2231678
Chr01_2231706_3033846,0.37565712604008,0.386367807231698,0.0948378421200264,0.8437085757425777,0.7629539600263722,1,2231706
Chr01_3033847_3052413,0.25638609332768,0.228239312360224,0.063066557909727,0.763175200704499,0.7629539600263722,1,3033847
Chr01_3052414_4229970,0.264028280815541,0.307080566509642,0.0134314933682149,0.8305644428602451,0.6947503524928433,1,3052414
Chr01_4229971_4235626,0.26393489117638,0.39036480124009,0.0136710149797857,0.8437085757425777,0.6947503524928433,1,4229971
Chr01_4235627_5264100,0.42715850814347,0.579926346441899,0.0215361620148924,0.9107163404075183,0.6949618832302508,1,4235627
Chr01_5264101_5264149,0.21944679426835,0.819293484510059,0.0109653206529767,0.9773733124256395,0.6947503524928433,1,5264101
Chr01_5264150_5885231,0.115043043130033,0.632898935732966,0.013427992841528,0.9319291668361562,0.6947503524928433,1,5264150
Chr01_5885232_5886075,0.189811257535632,0.548829387532034,0.0356080758776866,0.8995460872265779,0.7629539600263722,1,5885232
Chr01_5886076_6253003,0.141581606567489,0.686855968512049,0.127722712755302,0.9544621900102498,0.7629539600263722,1,5886076
Chr01_6253004_6253851,0.114901680660041,0.611369818942611,0.298750261320083,0.9247921779289436,0.8491253013109781,1,6253004
Chr01_6253852_6811196,0.141072869429645,0.68419645202364,0.339511444247109,0.9527156911861006,0.8491253013109781,1,6253852
Chr01_6811197_6811650,0.250713484518152,0.392504093388032,0.13088664188073,0.8437085757425777,0.7629539600263722,1,6811197
Chr01_6811651_7107385,0.344616632547241,0.532256134619428,0.0735481760498392,0.8879319675862869,0.7629539600263722,1,6811651
Chr01_7107386_7117068,0.590733204225799,0.809877822900564,0.0222087429304185,0.9773733124256395,0.6949618832302508,1,7107386
Chr01_7117069_8021093,0.636087495181957,0.727724751046749,0.0158717629852986,0.9692931331369562,0.6947503524928433,1,7117069
Chr01_8021094_8021338,0.684017567460184,0.724785010575761,0.0887549236129702,0.9692931331369562,0.7629539600263722,1,8021094
Chr01_8021339_8546533,0.223578279774635,0.720532580414214,0.217564042125659,0.9692931331369562,0.8148749349435545,1,8021339
Chr01_8546534_8548055,0.0758290145546936,0.368574870536577,0.421361206308189,0.8368225766858646,0.8569858584742512,1,8546534
Chr01_8548056_9439189,0.0494386703068677,0.297978525889702,0.414988665079102,0.8288544652420582,0.8569858584742512,1,8548056
Chr01_9439190_9439923,0.212358045343297,0.181426284366095,0.166896728326877,0.763162993032109,0.7767943604580142,1,9439190
Chr01_9439924_10127710,0.178184892173172,0.146716995411118,0.34136410439578,0.763162993032109,0.8491253013109781,1,9439924
Chr01_10127711_10127775,0.172368357371639,0.139737477895681,0.48803388181715,0.763162993032109,0.8719417962707151,1,10127711
Chr01_10127776_10700451,0.272688359170645,0.0515787197480916,0.344347225706727,0.7364055975111515,0.8491253013109781,1,10127776
Chr01_10700452_10700489,0.157732363872345,0.0825602905144866,0.349865814250756,0.763162993032109,0.8491253013109781,1,10700452
Chr01_10700490_11189458,0.161900191149136,0.0690099971922916,0.635817697644992,0.763162993032109,0.9268205738707442,1,10700490
Chr01_11189459_11289027,0.136856815281328,0.0657260781280568,0.992894484091966,0.763162993032109,0.9965290399653625,1,11189459
Chr01_11289028_11965532,0.123719693891956,0.0590369280025501,0.765684660108571,0.763162993032109,0.951017937701075,1,11289028
Chr01_11965533_11966198,0.187906128923474,0.056478453550732,0.944095427461129,0.763162993032109,0.9931908077322035,1,11965533
Chr01_11966199_12330339,0.115399118583298,0.0175367862935265,0.935349021809488,0.6719751492174755,0.9931908077322035,1,11966199
Chr01_12330340_12330527,0.257712080070497,0.00945834952356039,0.985901229747744,0.6588513197753143,0.9965290399653625,1,12330340
Chr01_12330528_13051606,0.207062725790569,0.00696988794019768,0.963911054460586,0.6101820078554878,0.9944879214275536,1,12330528
Chr01_13051607_13052006,0.157906899098285,0.0108276584625732,0.842898140758014,0.6588513197753143,0.961485588843264,1,13051607
Chr01_13052007_13382483,0.132908950546183,0.0155167139217924,0.897178523793571,0.6719751492174755,0.9812997948164901,1,13052007
Chr01_13382484_13382509,0.148591421632293,0.00977956314647065,0.989669940878666,0.6588513197753143,0.9965290399653625,1,13382484
Chr01_13382510_13576339,0.0802826959486807,0.00608074130081363,0.945460206647758,0.5855753872683526,0.9931908077322035,1,13382510
Chr01_13576340_13576350,0.134505026966842,0.0199875649148798,0.883949965737971,0.6874294647510446,0.9750158529037783,1,13576340
Chr01_13576351_14061355,0.143580716872543,0.0213431837444637,0.814310463792642,0.6881970845378675,0.9586433640321991,1,13576351
Chr01_14061356_14061634,0.0984358107012712,0.0179371209271324,0.958827782863711,0.6719751492174755,0.9944879214275536,1,14061356
Chr01_14061635_14604721,0.139011771071328,0.0188404247444152,0.890828907571394,0.6719751492174755,0.9781849920082695,1,14061635
Chr01_14604722_14607157,0.179965781420282,0.143875922322964,0.639598521195036,0.763162993032109,0.9295193142128068,1,14604722
Chr01_14607158_15449572,0.217378934586941,0.133959634606838,0.305185784247004,0.763162993032109,0.8491253013109781,1,14607158
Chr01_15449573_15456448,0.0290979752357647,0.16352549528108,0.357238379432137,0.763162993032109,0.8491253013109781,1,15449573
Chr01_15456449_16406535,0.0391644832337225,0.091333941048061,0.603226810937377,0.763162993032109,0.9091466948035787,1,15456449
Chr01_16406536_16454790,0.0368318606683957,0.180805385851418,0.490758569460036,0.763162993032109,0.8724726254902412,1,16406536
Chr01_16454791_19216253,0.104491013864741,0.149378953679872,0.506320151680787,0.763162993032109,0.8839378298559635,1,16454791
Chr01_19216254_19216663,0.143386118178329,0.239075953365033,0.543919656231782,0.778517943679571,0.8941512078858023,1,19216254
Chr01_19216664_20661429,0.0973022400432954,0.0933081173074949,0.822982880534326,0.763162993032109,0.9586433640321991,1,19216664
Chr01_20661430_20662913,0.0689260077542869,0.145175595693453,0.770842188408788,0.763162993032109,0.9512185976727062,1,20661430
Chr01_20662914_21251875,0.116832628056845,0.191164801989838,0.954428598903068,0.763162993032109,0.9931908077322035,1,20662914
Chr01_21251876_21488109,0.424259312917518,0.0879554798938142,0.83057336285258,0.763162993032109,0.9586433640321991,1,21251876
Chr01_21488110_22523058,0.344904050679002,0.0483142081772948,0.72598493740023,0.7364055975111515,0.9500483230508415,1,21488110
Chr01_22523059_22523376,0.104236018858541,0.100997664639153,0.109852897935769,0.763162993032109,0.7629539600263722,1,22523059
Chr01_22523377_25610270,0.160832245417949,0.289629370448084,0.579719424469565,0.8226865476663513,0.8982310669852414,1,22523377
Chr01_25610271_25623774,0.0352959841477934,0.463397891969623,0.478109584489315,0.8648297867572615,0.8719182505954468,1,25610271
Chr01_25623775_25991881,0.112299374776701,0.550807863452675,0.32720111377916,0.8995460872265779,0.8491253013109781,1,25623775
Chr01_25991882_26001088,0.0783958933570508,0.372327700367861,0.181868939099319,0.8368225766858646,0.7767943604580142,1,25991882
Chr01_26001089_26286066,0.0737172789875408,0.361560621268691,0.143457175811838,0.8341106600028707,0.7629539600263722,1,26001089
Chr01_26286067_26293474,0.084456528942067,0.290386326714349,0.144469499562377,0.8226865476663513,0.7629539600263722,1,26286067
Chr01_26293475_26583692,0.0857621753387557,0.412918236484946,0.290755248414437,0.8470212925345234,0.8491253013109781,1,26293475
Chr01_26583693_26647317,0.334992217804571,0.665681784485658,0.281889214226558,0.9449619637331957,0.8491253013109781,1,26583693
Chr01_26647318_27308826,0.22812238732444,0.577975197933983,0.292460586055638,0.9107105736026815,0.8491253013109781,1,26647318
