Marker,Intercept,Deltoides,Del_P_adj,CHR,BP
Chr01_1_126237,0.124324313643514,0.445745839517326,0.9415505007511504,1,1
Chr01_126238_809425,0.124324313643514,0.445745839517326,0.9415505007511504,1,126238
Chr01_809426_814269,0.124324313643514,0.445745839517326,0.9415505007511504,1,809426
Chr01_814270_1367747,0.124324313643514,0.445745839517326,0.9415505007511504,1,814270
Chr01_1367748_1367899,0.124324313643514,0.445745839517326,0.9415505007511504,1,1367748
Chr01_1367900_2042574,0.124324313643514,0.445745839517326,0.9415505007511504,1,1367900
Chr01_2042575_2043251,0.124324313643514,0.445745839517326,0.9415505007511504,1,2042575
Chr01_2043252_2231677,0.124324313643514,0.445745839517326,0.9415505007511504,1,2043252
Chr01_2231678_2231705,0.124324313643514,0.445745839517326,0.9415505007511504,1,2231678
Chr01_2231706_3033846,0.124324313643514,0.445745839517326,0.9415505007511504,1,2231706
Chr01_3033847_3052413,0.124324313643514,0.445745839517326,0.9415505007511504,1,3033847
Chr01_3052414_4229970,0.124324313643514,0.445745839517326,0.9415505007511504,1,3052414
Chr01_4229971_4235626,0.124324313643514,0.445745839517326,0.9415505007511504,1,4229971
Chr01_4235627_5264100,0.0796469049049118,0.548592714275203,0.9415505007511504,1,4235627
Chr01_5264101_5264149,0.207480642419013,0.678605048203702,0.9415505007511504,1,5264101
Chr01_5264150_5885231,0.327961946421836,0.803939964129688,0.9415505007511504,1,5264150
Chr01_5885232_5886075,0.313179859807351,0.799937692334849,0.9415505007511504,1,5885232
Chr01_5886076_6253003,0.20051517518323,0.660576317148881,0.9415505007511504,1,5886076
Chr01_6253004_6253851,0.186949076948013,0.679315102458337,0.9415505007511504,1,6253004
Chr01_6253852_6811196,0.189006683480619,0.674835583970365,0.9415505007511504,1,6253852
Chr01_6811197_6811650,0.295800392842734,0.549656371245005,0.9415505007511504,1,6811197
Chr01_6811651_7107385,0.308485509036451,0.540986685138616,0.9415505007511504,1,6811651
Chr01_7107386_7117068,0.300734111744108,0.542304547694763,0.9415505007511504,1,7107386
Chr01_7117069_8021093,0.586742322088275,0.471061546570309,0.9415505007511504,1,7117069
Chr01_8021094_8021338,0.528661004655573,0.508997207720383,0.9415505007511504,1,8021094
Chr01_8021339_8546533,0.528661004655573,0.508997207720383,0.9415505007511504,1,8021339
Chr01_8546534_8548055,0.337461506827274,0.792438656042224,0.9415505007511504,1,8546534
Chr01_8548056_9439189,0.291651616803288,0.948863495923741,0.9790940267771452,1,8548056
Chr01_9439190_9439923,0.285673995202233,0.708516258597087,0.9415505007511504,1,9439190
Chr01_9439924_10127710,0.515260806462268,0.849528983277329,0.9415505007511504,1,9439924
Chr01_10127711_10127775,0.515260806462268,0.849528983277329,0.9415505007511504,1,10127711
Chr01_10127776_10700451,0.808779472874881,0.778263244377531,0.9415505007511504,1,10127776
Chr01_10700452_10700489,0.451391071099686,0.510625332156854,0.9415505007511504,1,10700452
Chr01_10700490_11189458,0.677233844682928,0.376738558838108,0.9415505007511504,1,10700490
Chr01_11189459_11289027,0.501344729117951,0.300972791840624,0.9415505007511504,1,11189459
Chr01_11289028_11965532,0.578373534954681,0.199768702103995,0.9415505007511504,1,11289028
Chr01_11965533_11966198,0.416969027595761,0.174125169214822,0.9415505007511504,1,11965533
Chr01_11966199_12330339,0.428103162548339,0.130650610908632,0.9415505007511504,1,11966199
Chr01_12330340_12330527,0.388380347443604,0.0864921090408437,0.9415505007511504,1,12330340
Chr01_12330528_13051606,0.408590483019901,0.118899467924038,0.9415505007511504,1,12330528
Chr01_13051607_13052006,0.363899503573751,0.110733154810469,0.9415505007511504,1,13051607
Chr01_13052007_13382483,0.217605492586763,0.0928564602508174,0.9415505007511504,1,13052007
Chr01_13382484_13382509,0.26887900822955,0.0817171088095704,0.9415505007511504,1,13382484
Chr01_13382510_13576339,0.186164902229783,0.0523168527451917,0.9415505007511504,1,13382510
Chr01_13576340_13576350,0.283457514785399,0.0900867300171318,0.9415505007511504,1,13576340
Chr01_13576351_14061355,0.275670740197744,0.168018524613054,0.9415505007511504,1,13576351
Chr01_14061356_14061634,0.368644078236248,0.0714907384775433,0.9415505007511504,1,14061356
Chr01_14061635_14604721,0.602975268553459,0.15034567228156,0.9415505007511504,1,14061635
Chr01_14604722_14607157,0.460869771841662,0.385006632332916,0.9415505007511504,1,14604722
Chr01_14607158_15449572,0.441714247438317,0.388721015909187,0.9415505007511504,1,14607158
Chr01_15449573_15456448,0.291849489417385,0.578378655423366,0.9415505007511504,1,15449573
Chr01_15456449_16406535,0.294909763153286,0.591052428566825,0.9415505007511504,1,15456449
Chr01_16406536_16454790,0.314689397094468,0.603821402599436,0.9415505007511504,1,16406536
Chr01_16454791_19216253,0.435240031146002,0.439073966101731,0.9415505007511504,1,16454791
Chr01_19216254_19216663,0.435240031146002,0.439073966101731,0.9415505007511504,1,19216254
Chr01_19216664_20661429,0.370128477440529,0.567770665888356,0.9415505007511504,1,19216664
Chr01_20661430_20662913,0.213286981930554,0.531812400267708,0.9415505007511504,1,20661430
Chr01_20662914_21251875,0.260252364837504,0.678549421897528,0.9415505007511504,1,20662914
Chr01_21251876_21488109,0.373485509921595,0.724705284761797,0.9415505007511504,1,21251876
Chr01_21488110_22523058,0.376786995234296,0.640864784374953,0.9415505007511504,1,21488110
Chr01_22523059_22523376,0.296067262801698,0.735247472492762,0.9415505007511504,1,22523059
Chr01_22523377_25610270,0.531646575247298,0.789021301649996,0.9415505007511504,1,22523377
Chr01_25610271_25623774,0.292679162013736,0.889266932181736,0.969635313982109,1,25610271
Chr01_25623775_25991881,0.435568818137366,0.676062531979145,0.9415505007511504,1,25623775
Chr01_25991882_26001088,0.404740771656647,0.481003311849853,0.9415505007511504,1,25991882
Chr01_26001089_26286066,0.272815950986402,0.332717001123775,0.9415505007511504,1,26001089
Chr01_26286067_26293474,0.272815950986402,0.332717001123775,0.9415505007511504,1,26286067
Chr01_26293475_26583692,0.338669404384293,0.373766908414767,0.9415505007511504,1,26293475
Chr01_26583693_26647317,0.36018720734975,0.252914791480913,0.9415505007511504,1,26583693
Chr01_26647318_27308826,0.507189919911515,0.372539290973011,0.9415505007511504,1,26647318
Chr01_27308827_27314420,0.449597731881688,0.400015522304546,0.9415505007511504,1,27308827
Chr01_27314421_27701084,0.355162380321306,0.396604226046765,0.9415505007511504,1,27314421
Chr01_27701085_27712150,0.220604168680709,0.597556511896799,0.9415505007511504,1,27701085
Chr01_27712151_27987745,0.147217189196524,0.449562560201582,0.9415505007511504,1,27712151
Chr01_27987746_27996902,0.200538975629541,0.454858590170747,0.9415505007511504,1,27987746
Chr01_27996903_28327995,0.180026396008642,0.489768886942318,0.9415505007511504,1,27996903
Chr01_28327996_28328780,0.322076932084447,0.467866044010466,0.9415505007511504,1,28327996
Chr01_28328781_28712697,0.282480667454303,0.41794398015503,0.9415505007511504,1,28328781
Chr01_28712698_28712702,0.366718703959597,0.289665500429323,0.9415505007511504,1,28712698
Chr01_28712703_29260469,0.411796697056619,0.286403670705755,0.9415505007511504,1,28712703
Chr01_29260470_29264772,0.305793903627322,0.356811426069491,0.9415505007511504,1,29260470
Chr01_29264773_29827856,0.264018528706265,0.417999928001229,0.9415505007511504,1,29264773
Chr01_29827857_29864780,0.246231590413978,0.434181465408733,0.9415505007511504,1,29827857
Chr01_29864781_30461232,0.327468959596925,0.359199536213476,0.9415505007511504,1,29864781
Chr01_30461233_30463952,0.328700188008575,0.510850320166363,0.9415505007511504,1,30461233
Chr01_30463953_31287140,0.346109061980717,0.772689441706288,0.9415505007511504,1,30463953
Chr01_31287141_31299042,0.390578198229929,0.782024296251725,0.9415505007511504,1,31287141
Chr01_31299043_32249075,0.48529091456573,0.833718579820779,0.9415505007511504,1,31299043
Chr01_32249076_32254238,0.34726462319182,0.930118512181659,0.974943500720534,1,32249076
Chr01_32254239_32925441,0.542002192738678,0.817957872683454,0.9415505007511504,1,32254239
Chr01_32925442_32925676,0.472011839877094,0.904072456697152,0.9710472181801112,1,32925442
Chr01_32925677_33648211,0.479936450049728,0.752763381624252,0.9415505007511504,1,32925677
Chr01_33648212_33648861,0.384676742795689,0.705619264839271,0.9415505007511504,1,33648212
Chr01_33648862_33944256,0.384676742795689,0.705619264839271,0.9415505007511504,1,33648862
Chr01_33944257_33944395,0.384676742795689,0.705619264839271,0.9415505007511504,1,33944257
Chr01_33944396_34707623,0.369765967302473,0.747104084485381,0.9415505007511504,1,33944396
Chr01_34707624_34711948,0.351452432426968,0.647000384890831,0.9415505007511504,1,34707624
Chr01_34711949_35098398,0.480123378563861,0.5792436502775,0.9415505007511504,1,34711949
Chr01_35098399_35197978,0.384295281986888,0.672960687963982,0.9415505007511504,1,35098399
Chr01_35197979_35842906,0.439756509490007,0.61804559998933,0.9415505007511504,1,35197979
Chr01_35842907_35842941,0.323974786248134,0.44165178512865,0.9415505007511504,1,35842907
Chr01_35842942_36467175,0.315595925195835,0.38835492014105,0.9415505007511504,1,35842942
Chr01_36467176_36477457,0.330287634342596,0.407039827828123,0.9415505007511504,1,36467176
Chr01_36477458_36677915,0.330287634342596,0.407039827828123,0.9415505007511504,1,36477458
Chr01_36677916_36678639,0.330287634342596,0.407039827828123,0.9415505007511504,1,36677916
Chr01_36678640_37008510,0.314923023650705,0.52985622541691,0.9415505007511504,1,36678640
Chr01_37008511_37008685,0.361538826412046,0.463430244085181,0.9415505007511504,1,37008511
Chr01_37008686_37399402,0.361538826412046,0.463430244085181,0.9415505007511504,1,37008686
Chr01_37399403_37399747,0.361538826412046,0.463430244085181,0.9415505007511504,1,37399403
Chr01_37399748_38492440,0.255980761943324,0.403999440228198,0.9415505007511504,1,37399748
Chr01_38492441_38553272,0.354986123521858,0.405054154798137,0.9415505007511504,1,38492441
Chr01_38553273_41248221,0.418484707633691,0.721317404093224,0.9415505007511504,1,38553273
Chr01_41248222_41249634,0.241551478626394,0.798205303037427,0.9415505007511504,1,41248222
Chr01_41249635_41946984,0.241551478626394,0.798205303037427,0.9415505007511504,1,41249635
Chr01_41946985_41946999,0.241551478626394,0.798205303037427,0.9415505007511504,1,41946985
Chr01_41947000_42826924,0.211412979854159,0.407521840902872,0.9415505007511504,1,41947000
Chr01_42826925_42828044,0.196539699022885,0.22521386162522,0.9415505007511504,1,42826925
Chr01_42828045_44953517,0.522961389518087,0.42840109196979,0.9415505007511504,1,42828045
Chr01_44953518_50495391,0.947494343689153,0.12912226012725,0.9415505007511504,1,44953518
Chr02_1_4524,0.323826493978462,0.244915112405942,0.9415505007511504,2,1
Chr02_4525_349303,0.323826493978462,0.244915112405942,0.9415505007511504,2,4525
Chr02_349304_361275,0.323826493978462,0.244915112405942,0.9415505007511504,2,349304
Chr02_361276_876244,0.323826493978462,0.244915112405942,0.9415505007511504,2,361276
Chr02_876245_880558,0.323826493978462,0.244915112405942,0.9415505007511504,2,876245
Chr02_880559_1380844,0.323826493978462,0.244915112405942,0.9415505007511504,2,880559
Chr02_1380845_1380870,0.323826493978462,0.244915112405942,0.9415505007511504,2,1380845
Chr02_1380871_1588241,0.323826493978462,0.244915112405942,0.9415505007511504,2,1380871
Chr02_1588242_1591077,0.323826493978462,0.244915112405942,0.9415505007511504,2,1588242
Chr02_1591078_2117143,0.323826493978462,0.244915112405942,0.9415505007511504,2,1591078
Chr02_2117144_2118662,0.323826493978462,0.244915112405942,0.9415505007511504,2,2117144
