Marker,Intercept,Deltoides,Del_P_adj,CHR,BP
Chr01_1_126237,0.455837417185767,0.00459602449692014,0.15166880839836464,1,1
Chr01_126238_809425,0.455837417185767,0.00459602449692014,0.15166880839836464,1,126238
Chr01_809426_814269,0.455837417185767,0.00459602449692014,0.15166880839836464,1,809426
Chr01_814270_1367747,0.455837417185767,0.00459602449692014,0.15166880839836464,1,814270
Chr01_1367748_1367899,0.455837417185767,0.00459602449692014,0.15166880839836464,1,1367748
Chr01_1367900_2042574,0.455837417185767,0.00459602449692014,0.15166880839836464,1,1367900
Chr01_2042575_2043251,0.455837417185767,0.00459602449692014,0.15166880839836464,1,2042575
Chr01_2043252_2231677,0.455837417185767,0.00459602449692014,0.15166880839836464,1,2043252
Chr01_2231678_2231705,0.455837417185767,0.00459602449692014,0.15166880839836464,1,2231678
Chr01_2231706_3033846,0.455837417185767,0.00459602449692014,0.15166880839836464,1,2231706
Chr01_3033847_3052413,0.455837417185767,0.00459602449692014,0.15166880839836464,1,3033847
Chr01_3052414_4229970,0.455837417185767,0.00459602449692014,0.15166880839836464,1,3052414
Chr01_4229971_4235626,0.455837417185767,0.00459602449692014,0.15166880839836464,1,4229971
Chr01_4235627_5264100,0.412656913581314,0.000399591261101564,0.03476443971583607,1,4235627
Chr01_5264101_5264149,0.236473701409554,0.000212788016300178,0.020363813159927035,1,5264101
Chr01_5264150_5885231,0.314490997518303,0.00010515178919849,0.014375751751850706,1,5264150
Chr01_5885232_5886075,0.31457274711303,5.91028514024484e-05,0.011806793681254275,1,5885232
Chr01_5886076_6253003,0.36924210681549,3.63745127641961e-05,0.011806793681254275,1,5886076
Chr01_6253004_6253851,0.338625279980389,3.9337731255136e-05,0.011806793681254275,1,6253004
Chr01_6253852_6811196,0.291304019972036,6.1686487362875e-05,0.011806793681254275,1,6253852
Chr01_6811197_6811650,0.216955262677283,4.89634958311434e-05,0.011806793681254275,1,6811197
Chr01_6811651_7107385,0.175924420824917,8.86428088080236e-05,0.014138528004879764,1,6811651
Chr01_7107386_7117068,0.189793147490961,0.000175180198796836,0.01862749447206356,1,7107386
Chr01_7117069_8021093,0.188453834263332,0.000173291247491671,0.01862749447206356,1,7117069
Chr01_8021094_8021338,0.249815615795775,0.000905001913787532,0.06186334510676201,1,8021094
Chr01_8021339_8546533,0.249815615795775,0.000905001913787532,0.06186334510676201,1,8021339
Chr01_8546534_8548055,0.240696875673237,0.000655130739922861,0.052246676508848164,1,8546534
Chr01_8548056_9439189,0.307215255132398,0.00196523824795977,0.12538220021983332,1,8548056
Chr01_9439190_9439923,0.239109832197397,0.0383459127862197,0.6438076936212677,1,9439190
Chr01_9439924_10127710,0.319819557057795,0.101616031838322,0.7739963257112803,1,9439924
Chr01_10127711_10127775,0.319819557057795,0.101616031838322,0.7739963257112803,1,10127711
Chr01_10127776_10700451,0.178872068786622,0.129546667595165,0.8491517869080336,1,10127776
Chr01_10700452_10700489,0.24601300814715,0.502889509625152,0.9384567396439399,1,10700452
Chr01_10700490_11189458,0.206603976564794,0.36581557594874,0.9352103397479475,1,10700490
Chr01_11189459_11289027,0.227070094894625,0.355435336749395,0.9352103397479475,1,11189459
Chr01_11289028_11965532,0.258805133194058,0.369117734978547,0.9352103397479475,1,11289028
Chr01_11965533_11966198,0.271161782234866,0.295920997151885,0.9352103397479475,1,11965533
Chr01_11966199_12330339,0.79934048210698,0.347618943851704,0.9352103397479475,1,11966199
Chr01_12330340_12330527,0.736463163133677,0.362507742946061,0.9352103397479475,1,12330340
Chr01_12330528_13051606,0.806610246376462,0.392843499853176,0.9352103397479475,1,12330528
Chr01_13051607_13052006,0.30288598381936,0.411981272051936,0.9352103397479475,1,13051607
Chr01_13052007_13382483,0.330630159057435,0.505448549163239,0.9384567396439399,1,13052007
Chr01_13382484_13382509,0.268710683786174,0.669561800212909,0.9646331837903093,1,13382484
Chr01_13382510_13576339,0.334940982505536,0.69057756234145,0.9670190166151095,1,13382510
Chr01_13576340_13576350,0.336054453672467,0.670762324192004,0.9646331837903093,1,13576340
Chr01_13576351_14061355,0.578513547998853,0.666299114760071,0.9646331837903093,1,13576351
Chr01_14061356_14061634,0.403503415398024,0.621243201322071,0.9422024463791155,1,14061356
Chr01_14061635_14604721,0.452777690841543,0.62830572410841,0.9484046971163224,1,14061635
Chr01_14604722_14607157,0.245974967831332,0.65567329281474,0.959448533981202,1,14604722
Chr01_14607158_15449572,0.319328853571665,0.657906781659253,0.9612470077067253,1,14607158
Chr01_15449573_15456448,0.361631290535645,0.719425316781724,0.9797581499457496,1,15449573
Chr01_15456449_16406535,0.314897559290939,0.646149120422296,0.9527961606227077,1,15456449
Chr01_16406536_16454790,0.271077935365922,0.578143481522159,0.9422024463791155,1,16406536
Chr01_16454791_19216253,0.331021655853253,0.552179466247889,0.9422024463791155,1,16454791
Chr01_19216254_19216663,0.331021655853253,0.552179466247889,0.9422024463791155,1,19216254
Chr01_19216664_20661429,0.392680447810592,0.591729932759721,0.9422024463791155,1,19216664
Chr01_20661430_20662913,0.274617230999354,0.492265269566189,0.9384567396439399,1,20661430
