Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,CHR,BP
Chr01_1_126237,0.304087644523444,0.636412588093878,0.153599464571413,0.662498869376847,Chr01_1_126237,0.9478490227572861,0.6993469173586507,0.9211876324832626,1,1
Chr01_126238_809425,0.304087644523444,0.636412588093878,0.153599464571413,0.662498869376847,Chr01_126238_809425,0.9478490227572861,0.6993469173586507,0.9211876324832626,1,126238
Chr01_809426_814269,0.439415311336473,0.730998352188598,0.0525359630237086,0.774564072719855,Chr01_809426_814269,0.9534452663421747,0.6621475407148982,0.9815085470905055,1,809426
Chr01_814270_1367747,0.289768975963697,0.961262103014195,0.0474171264897472,0.511075490967031,Chr01_814270_1367747,0.9918131073396436,0.6621475407148982,0.9211876324832626,1,814270
Chr01_1367748_1367899,0.396545509329229,0.56255604457327,0.0435816710916144,0.469729885186594,Chr01_1367748_1367899,0.944501990625648,0.6621475407148982,0.9185163996960787,1,1367748
Chr01_1367900_2042574,0.305993755691585,0.702033265703747,0.0225965437853962,0.448593370511743,Chr01_1367900_2042574,0.9487136403038106,0.6621475407148982,0.9160936228614354,1,1367900
Chr01_2042575_2043251,0.342998859008069,0.695570260784862,0.0300983255247488,0.47132837978113,Chr01_2042575_2043251,0.9487136403038106,0.6621475407148982,0.9187162704305201,1,2042575
Chr01_2043252_2231677,0.282470717649339,0.738613476629012,0.109503976452557,0.558313529353783,Chr01_2043252_2231677,0.9534452663421747,0.6755164206166389,0.9211876324832626,1,2043252
Chr01_2231678_2231705,0.216813676844172,0.636929333178606,0.0723571610674216,0.519000076355602,Chr01_2231678_2231705,0.9478490227572861,0.6621475407148982,0.9211876324832626,1,2231678
Chr01_2231706_3033846,0.212240184860367,0.632590522177589,0.0699006697824097,0.516418033175251,Chr01_2231706_3033846,0.9478490227572861,0.6621475407148982,0.9211876324832626,1,2231706
Chr01_3033847_3052413,0.118440288817809,0.485062060076834,0.046786689924305,0.441772489965615,Chr01_3033847_3052413,0.9130606259205583,0.6621475407148982,0.9160936228614354,1,3033847
Chr01_3052414_4229970,0.113671973025723,0.527130428019179,0.00968596421933479,0.419675009061121,Chr01_3052414_4229970,0.920999065869168,0.5904624131951542,0.9160936228614354,1,3052414
Chr01_4229971_4235626,0.971189793735038,0.648186617388729,0.0310792067049503,0.641083725483973,Chr01_4229971_4235626,0.9478490227572861,0.6621475407148982,0.9211876324832626,1,4229971
Chr01_4235627_5264100,0.959265621391322,0.870547010091178,0.0323653738025536,0.651067464586089,Chr01_4235627_5264100,0.9714026086667169,0.6621475407148982,0.9211876324832626,1,4235627
Chr01_5264101_5264149,0.912368682626705,0.736442159844062,0.0352945766136702,0.702048232429172,Chr01_5264101_5264149,0.9534452663421747,0.6621475407148982,0.9391233435980645,1,5264101
Chr01_5264150_5885231,0.93829907842957,0.840881827956532,0.0221577669617147,0.705592233431005,Chr01_5264150_5885231,0.9670862687944907,0.6621475407148982,0.9404854705159055,1,5264150
Chr01_5885232_5886075,0.117365151140634,0.534945320919759,0.0667232067471167,"NA",Chr01_5885232_5886075,0.920999065869168,0.6621475407148982,NA,1,5885232
Chr01_5886076_6253003,0.179311775419947,0.623042365244925,0.151600517815662,"NA",Chr01_5886076_6253003,0.9478490227572861,0.6993469173586507,NA,1,5886076
Chr01_6253004_6253851,0.179970999880216,0.55539264644844,0.332487794275345,"NA",Chr01_6253004_6253851,0.9341138183675871,0.8243285469469046,NA,1,6253004
Chr01_6253852_6811196,0.28526710464683,0.700387496470458,0.431927685726152,"NA",Chr01_6253852_6811196,0.9487136403038106,0.8717232293932404,NA,1,6253852
Chr01_6811197_6811650,0.16398482760352,0.488492205299191,0.241164916823254,"NA",Chr01_6811197_6811650,0.9130606259205583,0.7365745131633216,NA,1,6811197
Chr01_6811651_7107385,0.214554726092708,0.657330849671107,0.139711262193934,"NA",Chr01_6811651_7107385,0.9478490227572861,0.6993469173586507,NA,1,6811651
Chr01_7107386_7117068,0.440633880311187,0.942673033753883,0.0488363972632963,"NA",Chr01_7107386_7117068,0.9918131073396436,0.6621475407148982,NA,1,7107386
Chr01_7117069_8021093,0.86674072310912,0.759252522924737,0.0856810305897017,0.972451907700224,Chr01_7117069_8021093,0.956665171736983,0.6621475407148982,0.9906056164127235,1,7117069
Chr01_8021094_8021338,0.751439553807506,0.387771806611389,0.323203248253686,"NA",Chr01_8021094_8021338,0.8697536551361315,0.8243285469469046,NA,1,8021094
Chr01_8021339_8546533,0.883772469213373,0.590349253440851,0.430047262144186,"NA",Chr01_8021339_8546533,0.9478490227572861,0.8717232293932404,NA,1,8021339
Chr01_8546534_8548055,0.715559373868404,0.721159652788319,0.557597610227274,"NA",Chr01_8546534_8548055,0.9534452663421747,0.9131924019915613,NA,1,8546534
Chr01_8548056_9439189,0.885260652116018,0.531674753401945,0.693312522396849,"NA",Chr01_8548056_9439189,0.920999065869168,0.9478225525070769,NA,1,8548056
Chr01_9439190_9439923,0.973625393093468,0.403587287648827,0.253242820041943,"NA",Chr01_9439190_9439923,0.8773049699485156,0.7526502446588181,NA,1,9439190
Chr01_9439924_10127710,0.82904085521734,0.365176455196505,0.419082619207006,"NA",Chr01_9439924_10127710,0.8605245634987538,0.8662247658339195,NA,1,9439924
