Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.444917657371513,0.659305225089948,0.524385144463058,0.960368422481408,0.9679374133791678,1,1
Chr01_126238_809425,0.544269079247676,0.686129884061717,0.521430428160087,0.960368422481408,0.9679374133791678,1,126238
Chr01_809426_814269,0.531580712528666,0.656918871101863,0.411646583186377,0.960368422481408,0.9577879615079978,1,809426
Chr01_814270_1367747,0.551110202268736,0.887648098236865,0.378839571402599,0.9799343028880225,0.931572716563768,1,814270
Chr01_1367748_1367899,0.407983644805095,0.566985458811013,0.730710527060408,0.947739909919369,0.9738332591145457,1,1367748
Chr01_1367900_2042574,0.409614993005537,0.586370186838896,0.69311889567719,0.947739909919369,0.9679374133791678,1,1367900
Chr01_2042575_2043251,0.399095927528762,0.439948770015846,0.809792355060837,0.9060598931511746,0.9945495787163644,1,2042575
Chr01_2043252_2231677,0.396588046117702,0.845494792903573,0.647564839061134,0.9703084223336663,0.9679374133791678,1,2043252
Chr01_2231678_2231705,0.413837666125117,0.543003684713074,0.893415912506632,0.9365623023369786,0.9945495787163644,1,2231678
Chr01_2231706_3033846,0.41705555394125,0.501967115854602,0.859685620401876,0.9282911362820762,0.9945495787163644,1,2231706
Chr01_3033847_3052413,0.331605985568416,0.392028424078076,0.671110967509658,0.8854121138233936,0.9679374133791678,1,3033847
Chr01_3052414_4229970,0.464070345754521,0.677082747903853,0.0750392329960483,0.960368422481408,0.5754386857250448,1,3052414
Chr01_4229971_4235626,0.345564810226188,0.725715843996515,0.0585647123106137,0.963599131394486,0.5732681197563158,1,4229971
Chr01_4235627_5264100,0.365192502194114,0.864930327850596,0.0539962242376721,0.9779363003335884,0.5732681197563158,1,4235627
Chr01_5264101_5264149,0.377014137718212,0.719144558356118,0.0388068616959954,0.963599131394486,0.5194638939905022,1,5264101
Chr01_5264150_5885231,0.377219720383087,0.51935844039601,0.0360074137454032,0.9319956865103353,0.5194638939905022,1,5264150
Chr01_5885232_5886075,0.551073989631042,0.645519958074085,0.0551229004970292,0.960368422481408,0.5732681197563158,1,5885232
Chr01_5886076_6253003,0.537740024238376,0.685382615886138,0.172277760724337,0.960368422481408,0.7294880481560223,1,5886076
Chr01_6253004_6253851,0.544686345667661,0.602170757828157,0.24135055195814,0.947739909919369,0.802483551753818,1,6253004
Chr01_6253852_6811196,0.555991024812622,0.667849756509654,0.261627248559106,0.960368422481408,0.8175851517472064,1,6253852
Chr01_6811197_6811650,0.574395363558081,0.462780019672445,0.112482618744878,0.9060598931511746,0.6640264431526617,1,6811197
Chr01_6811651_7107385,0.559668801921784,0.591645419302275,0.10524392361831,0.947739909919369,0.6577745226144375,1,6811651
Chr01_7107386_7117068,0.575749603079374,0.716907334771068,0.014491357756817,0.963599131394486,0.46726858428826645,1,7107386
Chr01_7117069_8021093,0.555479310283775,0.636140965434027,0.0100942235127302,0.960368422481408,0.46726858428826645,1,7117069
Chr01_8021094_8021338,0.612116821162381,0.533922051016058,0.0670150275420973,0.9365623023369786,0.5754386857250448,1,8021094
Chr01_8021339_8546533,0.52606889820441,0.446092494796617,0.110748978978423,0.9060598931511746,0.6640264431526617,1,8021339
Chr01_8546534_8548055,0.531559839548199,0.910642730089303,0.154561185729455,0.9799343028880225,0.7294880481560223,1,8546534
Chr01_8548056_9439189,0.495560942745408,0.603909105583504,0.41298053926519,0.947739909919369,0.9577879615079978,1,8548056
Chr01_9439190_9439923,0.527040825093816,0.85714531321064,0.1580234364814,0.9758306545605205,0.7294880481560223,1,9439190
Chr01_9439924_10127710,0.504531313089608,0.955567585222733,0.22215348362716,0.9861607541122709,0.7864912290907335,1,9439924
Chr01_10127711_10127775,0.502493175885012,0.93689107043951,0.211439269974456,0.9847790880811248,0.7679086461410328,1,10127711
Chr01_10127776_10700451,0.503990644238851,0.675358966419002,0.160228665939029,0.960368422481408,0.7294880481560223,1,10127776
Chr01_10700452_10700489,0.537449697059166,0.437190131582237,0.314685920123885,0.9060598931511746,0.8770902256538861,1,10700452
Chr01_10700490_11189458,0.5492399274587,0.590419063154985,0.603524519941954,0.947739909919369,0.9679374133791678,1,10700490
Chr01_11189459_11289027,0.527405596817449,0.968993570807437,0.973363627613069,0.9884850326558704,0.9946562602390837,1,11189459
Chr01_11289028_11965532,0.492183019584429,0.918890300206684,0.648808515342692,0.9845253216500186,0.9679374133791678,1,11289028
Chr01_11965533_11966198,0.491362999074941,0.834016292125755,0.955501830639361,0.963599131394486,0.9946562602390837,1,11965533
Chr01_11966199_12330339,0.520369107309023,0.33689223588729,0.871422139503725,0.8854121138233936,0.9945495787163644,1,11966199
Chr01_12330340_12330527,0.547437699560428,0.196637281181305,0.931221260452951,0.8854121138233936,0.9946562602390837,1,12330340
Chr01_12330528_13051606,0.547076980667636,0.186369472719306,0.876992440871978,0.8854121138233936,0.9945495787163644,1,12330528
Chr01_13051607_13052006,0.564637628733579,0.214759559801883,0.944323989813154,0.8854121138233936,0.9946562602390837,1,13051607
Chr01_13052007_13382483,0.561335183191255,0.226213017155788,0.888036137848763,0.8854121138233936,0.9945495787163644,1,13052007
Chr01_13382484_13382509,0.561506111979359,0.162429572541443,0.961764451896251,0.8854121138233936,0.9946562602390837,1,13382484
Chr01_13382510_13576339,0.552761483620173,0.0960805890108814,0.958335791852043,0.8854121138233936,0.9946562602390837,1,13382510
Chr01_13576340_13576350,0.554870245343388,0.122567421346902,0.926169308621915,0.8854121138233936,0.9946562602390837,1,13576340
Chr01_13576351_14061355,0.554797065437088,0.137020758673929,0.741347240005361,0.8854121138233936,0.9796347379290343,1,13576351
Chr01_14061356_14061634,0.554744775347058,0.155279673017323,0.819561616520988,0.8854121138233936,0.9945495787163644,1,14061356
Chr01_14061635_14604721,0.554241074273776,0.268323902789584,0.626563740618608,0.8854121138233936,0.9679374133791678,1,14061635
Chr01_14604722_14607157,0.545435193927459,0.708311434295054,0.384968085448529,0.963599131394486,0.935919679024795,1,14604722
Chr01_14607158_15449572,0.545700299502479,0.764053693020836,0.173328978508295,0.963599131394486,0.7294880481560223,1,14607158
Chr01_15449573_15456448,0.523460546564252,0.976098126010515,0.0781832542708994,0.9915217984305458,0.5863744070317455,1,15449573
Chr01_15456449_16406535,0.630820034635328,0.678300615776815,0.0705443659754133,0.960368422481408,0.5754386857250448,1,15456449
Chr01_16406536_16454790,0.594133659785214,0.759871693191086,0.0895889183902141,0.963599131394486,0.6252508266909396,1,16406536
Chr01_16454791_19216253,0.0317745783977695,0.845862396897302,0.0650961062719911,0.9703084223336663,0.5732681197563158,1,16454791
Chr01_20661430_20662913,0.0484191156189034,0.831389509794648,0.169428143072008,0.963599131394486,0.7294880481560223,1,20661430
Chr01_20662914_21251875,0.0975305172869226,0.861325721959451,0.332553368262685,0.9767276460470015,0.8864112229689611,1,20662914
Chr01_21251876_21488109,0.216211676758308,0.963150336516318,0.108567616340248,0.9861607541122709,0.6602084777447513,1,21251876
Chr01_21488110_22523058,0.335535540914253,0.588981507364147,0.0697455531009615,0.947739909919369,0.5754386857250448,1,21488110
Chr01_22523059_22523376,0.204237062116435,0.459657400886135,0.0397045716686263,0.9060598931511746,0.5194638939905022,1,22523059
Chr01_22523377_25610270,0.153270007110203,0.355078136393471,0.0895542184851736,0.8854121138233936,0.6252508266909396,1,22523377
Chr01_26647318_27308826,0.623570034887668,0.437040060699725,0.0545908581908082,0.9060598931511746,0.5732681197563158,1,26647318
