Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,CHR,BP
Chr01_1_126237,0.786384390732062,0.851858761357226,0.534424892455323,0.90701638879184,Chr01_1_126237,0.9854495252347848,0.9100438115297937,0.9805062391030648,1,1
Chr01_126238_809425,0.786384390732062,0.851858761357226,0.534424892455323,0.90701638879184,Chr01_126238_809425,0.9854495252347848,0.9100438115297937,0.9805062391030648,1,126238
Chr01_809426_814269,0.512294957541911,0.976702254221548,0.29894448871382,0.668336258722296,Chr01_809426_814269,0.9957367795962896,0.7806535101114919,0.8223616490089973,1,809426
Chr01_814270_1367747,0.885249262225591,0.69318675539728,0.300140119634631,0.988911846444215,Chr01_814270_1367747,0.9332476624535719,0.7806535101114919,0.99963639767808,1,814270
Chr01_1367748_1367899,0.989513979355634,0.395349510950552,0.390401089611056,0.955237441793071,Chr01_1367748_1367899,0.8085303843561104,0.8316023069450138,0.9926224560024743,1,1367748
Chr01_1367900_2042574,0.896662520735208,0.454977061289057,0.327469144534941,0.921913294829905,Chr01_1367900_2042574,0.8441788171462132,0.7957531134117696,0.9805062391030648,1,1367900
Chr01_2042575_2043251,0.89504305923054,0.453927676740583,0.424861804546744,0.915703822276806,Chr01_2042575_2043251,0.8441788171462132,0.8465410914152389,0.9805062391030648,1,2042575
Chr01_2043252_2231677,0.892384895579305,0.84697211393179,0.592001836032228,0.960704511688855,Chr01_2043252_2231677,0.9854495252347848,0.9364392679055242,0.9926224560024743,1,2043252
Chr01_2231678_2231705,0.878622159054023,0.880389792323784,0.428043136568811,0.966247898307076,Chr01_2231678_2231705,0.9854495252347848,0.8473260685340573,0.9926224560024743,1,2231678
Chr01_2231706_3033846,0.879491900466412,0.876896033871524,0.425481990565026,0.965563935159128,Chr01_2231706_3033846,0.9854495252347848,0.8465410914152389,0.9926224560024743,1,2231706
Chr01_3033847_3052413,0.890038829052899,0.424297715850656,0.43246060171181,0.882377713869399,Chr01_3033847_3052413,0.828417709611661,0.8522274645148827,0.9805062391030648,1,3033847
Chr01_3052414_4229970,0.780206987006745,0.547380763051141,0.222262644291499,0.879956343375571,Chr01_3052414_4229970,0.8903954762146344,0.7602024182154355,0.9805062391030648,1,3052414
Chr01_4229971_4235626,0.762750401852018,0.448376848099163,0.28268262957318,0.803211987715755,Chr01_4229971_4235626,0.843018946229664,0.7806535101114919,0.9218171223504179,1,4229971
