Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,CHR,BP
Chr01_1_126237,0.764302463444888,0.0959486650879876,0.815141227613335,0.166147115753071,Chr01_1_126237,0.9989484855815189,0.9594141737723192,0.998555623273943,1,1
Chr01_126238_809425,0.764302463444888,0.0959486650879876,0.815141227613335,0.166147115753071,Chr01_126238_809425,0.9989484855815189,0.9594141737723192,0.998555623273943,1,126238
Chr01_809426_814269,0.925391266102853,0.204724244548762,0.934606820713095,0.506652932746152,Chr01_809426_814269,0.9989484855815189,0.976949911693492,0.998555623273943,1,809426
Chr01_814270_1367747,0.822578005496778,0.104980327235999,0.977699277486084,0.198760978349279,Chr01_814270_1367747,0.9989484855815189,0.9939504971643401,0.998555623273943,1,814270
Chr01_1367748_1367899,0.675376811372265,0.157897480814081,0.718710295544776,0.17206698987231,Chr01_1367748_1367899,0.9989484855815189,0.9591509125236122,0.998555623273943,1,1367748
Chr01_1367900_2042574,0.713354880634185,0.117664346721156,0.815566370342354,0.170539817879427,Chr01_1367900_2042574,0.9989484855815189,0.9594141737723192,0.998555623273943,1,1367900
Chr01_2042575_2043251,0.648906072535002,0.132148689881621,0.851788721452516,0.15973788414673,Chr01_2042575_2043251,0.9989484855815189,0.9594141737723192,0.998555623273943,1,2042575
Chr01_2043252_2231677,0.657658443308821,0.0840295087947194,0.416067067311363,0.151548939432879,Chr01_2043252_2231677,0.9989484855815189,0.9156119565653544,0.998555623273943,1,2043252
Chr01_2231678_2231705,0.709482504883726,0.134334886998183,0.640816106531558,0.183470266049397,Chr01_2231678_2231705,0.9989484855815189,0.9520225112609209,0.998555623273943,1,2231678
Chr01_2231706_3033846,0.747327935872483,0.116643403277908,0.671795676864341,0.186093908815846,Chr01_2231706_3033846,0.9989484855815189,0.9520225112609209,0.998555623273943,1,2231706
Chr01_3033847_3052413,0.622027411800235,0.253810098171945,0.531748873730148,0.188704179285539,Chr01_3033847_3052413,0.9989484855815189,0.916969379192675,0.998555623273943,1,3033847
Chr01_3052414_4229970,0.767594121925486,0.149737645712102,0.88486718669315,0.198633415617774,Chr01_3052414_4229970,0.9989484855815189,0.9650700998015519,0.998555623273943,1,3052414
Chr01_4229971_4235626,0.160863729249053,0.0715446436718661,0.821089025682232,0.0283644282540544,Chr01_4229971_4235626,0.9989484855815189,0.9594141737723192,0.998555623273943,1,4229971
Chr01_4235627_5264100,0.178344442015005,0.0128336683250448,0.930118631342978,0.0201867651919245,Chr01_4235627_5264100,0.8404195137320774,0.976949911693492,0.998555623273943,1,4235627
Chr01_5264101_5264149,0.269296187726372,0.00392155485558876,0.751317233874839,0.0236623351327022,Chr01_5264101_5264149,0.6254879994664073,0.9594141737723192,0.998555623273943,1,5264101
