Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.0477213081277745,0.785996129064084,0.788003772504324,0.102784099571569,0.689166627699169,0.9574194204704943,0.9693054116794834,0.5919204085622343,0.884430505547267,1,1
Chr01_126238_809425,0.078144741312293,0.747832677819954,0.826441461275596,0.160842760895303,0.725942982099926,0.9574194204704943,0.9727157222033155,0.6295625011652949,0.8919904020187722,1,126238
Chr01_809426_814269,0.071382682090135,0.812284553675265,0.594609513414154,0.128428803292701,0.509023726927285,0.9574194204704943,0.9222711577590688,0.5963689957866687,0.845141099180008,1,809426
Chr01_814270_1367747,0.0582096256623995,0.551858885682847,0.652755709434707,0.110136230808493,0.545404591888998,0.9092493554865043,0.9441287761073459,0.5919204085622343,0.845141099180008,1,814270
Chr01_1367748_1367899,0.0231763664904753,0.216967186762805,0.496298948011627,0.0577780385161224,0.430718048293984,0.9088841002131113,0.9115177664505683,0.52119062251919,0.845141099180008,1,1367748
Chr01_1367900_2042574,0.0233503610270929,0.227541166858529,0.515169478370471,0.0601565128169574,0.445185472928542,0.9088841002131113,0.9115177664505683,0.52119062251919,0.845141099180008,1,1367900
Chr01_2042575_2043251,0.0209824547659544,0.138362142096515,0.492404006865376,0.0617850293694833,0.448046396308681,0.9088841002131113,0.9115177664505683,0.52119062251919,0.845141099180008,1,2042575
Chr01_2043252_2231677,0.0327995533514344,0.64168459671447,0.363823579982135,0.0800320954275279,0.382684801618072,0.9285951983341233,0.9115177664505683,0.5678467723191265,0.845141099180008,1,2043252
Chr01_2231678_2231705,0.0331108780838312,0.909939112872327,0.498790914238049,0.0924599357217823,0.465659233647557,0.9827902661894139,0.9115177664505683,0.5919204085622343,0.845141099180008,1,2231678
Chr01_2231706_3033846,0.0324043117243719,0.924633746885313,0.501987595350778,0.0918417501626329,0.46739765255931,0.9854817295039187,0.9115177664505683,0.5919204085622343,0.845141099180008,1,2231706
Chr01_3033847_3052413,0.00999532776491919,0.986474790540524,0.431578687990473,0.0464474904156364,0.391207936539478,0.9942026899570049,0.9115177664505683,0.52119062251919,0.845141099180008,1,3033847
Chr01_3052414_4229970,0.00960193498860464,0.649940839309232,0.521148322386939,0.026014002932702,0.381019570900233,0.9314294194563763,0.9115177664505683,0.46513037243671174,0.845141099180008,1,3052414
Chr01_4229971_4235626,0.0103132470092812,0.736757789417586,0.163465644172451,0.0267706486978455,0.121920755354675,0.9574194204704943,0.8356718529059534,0.4692737242328212,0.845141099180008,1,4229971
Chr01_4235627_5264100,0.0106270462845096,0.588955616053973,0.144513325836768,0.0206045214058041,0.108632637673284,0.9181559046517476,0.8356718529059534,0.4431021528801747,0.845141099180008,1,4235627
Chr01_5264101_5264149,0.0274125209266965,0.728218196249211,0.171454712450185,0.0482102507285571,0.127719562703376,0.9574194204704943,0.8378708991389668,0.52119062251919,0.845141099180008,1,5264101
Chr01_5264150_5885231,0.0264134544013131,0.804793761845982,0.173126960011952,0.0528770094012692,0.130702340919991,0.9574194204704943,0.8378708991389668,0.52119062251919,0.845141099180008,1,5264150
Chr01_5885232_5886075,0.0349677846627148,0.631620385809964,0.187378244825923,0.0662807857253383,"NA",0.9285775305466192,0.8378708991389668,0.5243807295438269,NA,1,5885232
Chr01_5886076_6253003,0.0328387749193717,0.719039826002339,0.420955385063735,0.0696719766044108,"NA",0.9574194204704943,0.9115177664505683,0.5369547162443383,NA,1,5886076
Chr01_6253004_6253851,0.037115740343922,0.805233785596076,0.488301438196217,0.0755763572977189,"NA",0.9574194204704943,0.9115177664505683,0.5604271613037856,NA,1,6253004
Chr01_6253852_6811196,0.0388968754205953,0.756490090553829,0.509765714766017,0.0688945097483489,"NA",0.9574194204704943,0.9115177664505683,0.5361042306064987,NA,1,6253852
Chr01_6811197_6811650,0.045881994534233,0.894860425194245,0.229689585103798,0.0740719980060875,"NA",0.9783370616908992,0.8730262568962801,0.5564736656927919,NA,1,6811197
Chr01_6811651_7107385,0.0365656863785178,0.928660704854599,0.210420938715824,0.0648036470113913,"NA",0.9854817295039187,0.8378708991389668,0.52119062251919,NA,1,6811651
Chr01_7107386_7117068,0.0308065407927242,0.89889366842575,0.0357550200111058,0.048236420611239,"NA",0.9786589768867381,0.8047121686528887,0.52119062251919,NA,1,7107386
Chr01_7117069_8021093,0.0199623645167575,0.94899825490722,0.0230273141495563,0.0290681300250179,"NA",0.9875233884419751,0.8047121686528887,0.48123904152529634,NA,1,7117069
Chr01_8021094_8021338,0.0945800007402565,0.933447805000102,0.0981407139551504,0.110839626420785,"NA",0.9859928801160018,0.8356718529059534,0.5919204085622343,NA,1,8021094
Chr01_8021339_8546533,0.0161674000159331,0.968355879782594,0.145639268377751,0.0246017619522809,"NA",0.9878277270266863,0.8356718529059534,0.44885663643549234,NA,1,8021339
Chr01_8546534_8548055,0.0319123990219861,0.467205136785021,0.161678286540066,0.0546023771043349,"NA",0.9088841002131113,0.8356718529059534,0.52119062251919,NA,1,8546534
Chr01_8548056_9439189,0.0254930370575726,0.393432327590731,0.293204745462488,0.0583521187789544,"NA",0.9088841002131113,0.8874742036493706,0.52119062251919,NA,1,8548056
Chr01_9439190_9439923,0.0260484659393908,0.71767994164151,0.125274744928504,0.0453938913554497,"NA",0.9574194204704943,0.8356718529059534,0.52119062251919,NA,1,9439190
