Marker,Intercept,Deltoides,Del_P_adj,CHR,BP
Chr01_1_126237,0.00588354868681011,0.656472278251986,0.967322943180484,1,1
Chr01_126238_809425,0.00588354868681011,0.656472278251986,0.967322943180484,1,126238
Chr01_809426_814269,0.00588354868681011,0.656472278251986,0.967322943180484,1,809426
Chr01_814270_1367747,0.00588354868681011,0.656472278251986,0.967322943180484,1,814270
Chr01_1367748_1367899,0.00588354868681011,0.656472278251986,0.967322943180484,1,1367748
Chr01_1367900_2042574,0.00588354868681011,0.656472278251986,0.967322943180484,1,1367900
Chr01_2042575_2043251,0.00588354868681011,0.656472278251986,0.967322943180484,1,2042575
Chr01_2043252_2231677,0.00588354868681011,0.656472278251986,0.967322943180484,1,2043252
Chr01_2231678_2231705,0.00588354868681011,0.656472278251986,0.967322943180484,1,2231678
Chr01_2231706_3033846,0.00588354868681011,0.656472278251986,0.967322943180484,1,2231706
Chr01_3033847_3052413,0.00588354868681011,0.656472278251986,0.967322943180484,1,3033847
Chr01_3052414_4229970,0.00588354868681011,0.656472278251986,0.967322943180484,1,3052414
Chr01_4229971_4235626,0.00588354868681011,0.656472278251986,0.967322943180484,1,4229971
Chr01_4235627_5264100,0.0119861759009518,0.719865504146106,0.9716661318304983,1,4235627
Chr01_5264101_5264149,0.00514518046958907,0.612604249817308,0.967322943180484,1,5264101
Chr01_5264150_5885231,0.00535261217843583,0.673042917564323,0.967322943180484,1,5264150
Chr01_5885232_5886075,0.00516326007941359,0.926475618470006,0.9867914566855854,1,5885232
Chr01_5886076_6253003,0.00454545109543343,0.923204319683946,0.9867914566855854,1,5886076
Chr01_6253004_6253851,0.00454707462500135,0.90295242445749,0.9867914566855854,1,6253004
Chr01_6253852_6811196,0.00428623750236456,0.967434888495637,0.9896524807523863,1,6253852
Chr01_6811197_6811650,0.00491834968859468,0.880065347351572,0.9867914566855854,1,6811197
Chr01_6811651_7107385,0.00469429173608887,0.90088140685987,0.9867914566855854,1,6811651
Chr01_7107386_7117068,0.00494417868980193,0.968719855799742,0.9896524807523863,1,7107386
Chr01_7117069_8021093,0.0510955994599146,0.595171523107247,0.967322943180484,1,7117069
Chr01_8021094_8021338,0.0419608153792154,0.680391732625536,0.967322943180484,1,8021094
Chr01_8021339_8546533,0.0419608153792154,0.680391732625536,0.967322943180484,1,8021339
Chr01_8546534_8548055,0.00646691008967497,0.757548362757453,0.9867914566855854,1,8546534
Chr01_8548056_9439189,0.00272093486178128,0.872819174653842,0.9867914566855854,1,8548056
Chr01_9439190_9439923,0.00470045599744458,0.508283897747934,0.967322943180484,1,9439190
Chr01_9439924_10127710,0.00510383708858993,0.569722162335854,0.967322943180484,1,9439924
Chr01_10127711_10127775,0.00510383708858993,0.569722162335854,0.967322943180484,1,10127711
Chr01_10127776_10700451,0.00718764614628184,0.616847667407194,0.967322943180484,1,10127776
Chr01_10700452_10700489,0.00596158670947528,0.685090605167094,0.967322943180484,1,10700452
Chr01_10700490_11189458,0.00522428392968314,0.698996960058494,0.967322943180484,1,10700490
Chr01_11189459_11289027,0.00615914013696176,0.693362861656433,0.967322943180484,1,11189459
Chr01_11289028_11965532,0.00325041300339284,0.86110853967764,0.9867914566855854,1,11289028
Chr01_11965533_11966198,0.00268196003985011,0.97782555159812,0.9904009884141493,1,11965533
Chr01_11966199_12330339,0.014181028690537,0.90240967334919,0.9867914566855854,1,11966199
Chr01_12330340_12330527,0.0280655288025959,0.679569867095566,0.967322943180484,1,12330340
Chr01_12330528_13051606,0.0284103528921918,0.523740127047705,0.967322943180484,1,12330528
Chr01_13051607_13052006,0.00554209467700456,0.536031280200346,0.967322943180484,1,13051607
Chr01_13052007_13382483,0.0110798554153242,0.494735066356765,0.967322943180484,1,13052007
Chr01_13382484_13382509,0.00857299150518866,0.363034645590768,0.920404857649309,1,13382484
Chr01_13382510_13576339,0.00892197375471249,0.296855291369155,0.8461954128391438,1,13382510
Chr01_13576340_13576350,0.00763251862332912,0.288162954482583,0.8461954128391438,1,13576340
Chr01_13576351_14061355,0.0124025759167992,0.43008781525554,0.952763979628592,1,13576351
Chr01_14061356_14061634,0.0105673493239666,0.404812144426662,0.952763979628592,1,14061356
Chr01_14061635_14604721,0.0150629497937404,0.640729793498193,0.967322943180484,1,14061635
Chr01_14604722_14607157,0.00842073436588018,0.929089425546571,0.9867914566855854,1,14604722
Chr01_14607158_15449572,0.00671678827389343,0.801868280230731,0.9867914566855854,1,14607158
Chr01_15449573_15456448,0.00401565172295466,0.69309511991829,0.967322943180484,1,15449573
Chr01_15456449_16406535,0.00339934317257793,0.63433781367484,0.967322943180484,1,15456449
Chr01_16406536_16454790,0.00446213124858989,0.495930738895223,0.967322943180484,1,16406536
Chr01_16454791_19216253,0.00209030810581851,0.422720616357347,0.952763979628592,1,16454791
Chr01_19216254_19216663,0.00209030810581851,0.422720616357347,0.952763979628592,1,19216254
Chr01_19216664_20661429,0.0016023301795158,0.577378637775462,0.967322943180484,1,19216664
Chr01_20661430_20662913,0.00276171944964251,0.510288391568231,0.967322943180484,1,20661430
Chr01_20662914_21251875,0.00561630951451729,0.47384763261107,0.967322943180484,1,20662914
Chr01_21251876_21488109,0.00941303922445281,0.701515596673859,0.967322943180484,1,21251876
Chr01_21488110_22523058,0.0124661724338307,0.879016333217579,0.9867914566855854,1,21488110
Chr01_22523059_22523376,0.0052141929770079,0.981876409297965,0.9925818639780737,1,22523059
Chr01_22523377_25610270,0.036867251449783,0.766777259367737,0.9867914566855854,1,22523377
Chr01_25610271_25623774,0.00502473122830281,0.592526369454579,0.967322943180484,1,25610271
Chr01_25623775_25991881,0.00558240529288045,0.58682452977012,0.967322943180484,1,25623775
Chr01_25991882_26001088,0.00569929557883852,0.41707952006176,0.952763979628592,1,25991882
Chr01_26001089_26286066,0.00547616407077242,0.419358897161641,0.952763979628592,1,26001089
Chr01_26286067_26293474,0.00547616407077242,0.419358897161641,0.952763979628592,1,26286067
Chr01_26293475_26583692,0.00910723082782425,0.462159756925787,0.967322943180484,1,26293475
Chr01_26583693_26647317,0.00839005107678095,0.330540455114843,0.8600611432345394,1,26583693
Chr01_26647318_27308826,0.00539945565180201,0.252415386198725,0.8461954128391438,1,26647318
Chr01_27308827_27314420,0.00538309497785581,0.243598460324825,0.8461954128391438,1,27308827
Chr01_27314421_27701084,0.0100437574763173,0.314081816991779,0.8489917695327381,1,27314421
Chr01_27701085_27712150,0.00884550930834595,0.311244289779915,0.8461954128391438,1,27701085
Chr01_27712151_27987745,0.00389702170528168,0.198058052523806,0.8461954128391438,1,27712151
Chr01_27987746_27996902,0.00209172223352543,0.271193890066566,0.8461954128391438,1,27987746
Chr01_27996903_28327995,0.00422797203665412,0.227200351862138,0.8461954128391438,1,27996903
Chr01_28327996_28328780,0.010359163981122,0.188673917561588,0.8385254543953592,1,28327996
Chr01_28328781_28712697,0.00739732715439064,0.149652885379889,0.8334438350850365,1,28328781
Chr01_28712698_28712702,0.00628473777204757,0.0660406217517558,0.7181690296713241,1,28712698
Chr01_28712703_29260469,0.00568571816986974,0.0858537434390584,0.7181690296713241,1,28712703
Chr01_29260470_29264772,0.00539470794370063,0.138401432964947,0.8330199455814735,1,29260470
Chr01_29264773_29827856,0.003032109594489,0.143302276010547,0.8334438350850365,1,29264773
Chr01_29827857_29864780,0.00250679329429884,0.150664350543063,0.8334438350850365,1,29827857
Chr01_29864781_30461232,0.00861377981778562,0.118915736440785,0.8330199455814735,1,29864781
Chr01_30461233_30463952,0.00801875755741146,0.187138069834695,0.8385254543953592,1,30461233
Chr01_30463953_31287140,0.00986815558841882,0.177415135322589,0.8385254543953592,1,30463953
Chr01_31287141_31299042,0.0058905345416431,0.0913734656413669,0.7237425392682654,1,31287141
Chr01_31299043_32249075,0.00650271002465021,0.0727479917205197,0.7181690296713241,1,31299043
Chr01_32249076_32254238,0.00229520415705938,0.103729115661723,0.787847330859277,1,32249076
Chr01_32254239_32925441,0.00501493878833812,0.104686536583303,0.7888583898442596,1,32254239
Chr01_32925442_32925676,0.00591450245339195,0.0893021050479494,0.7181690296713241,1,32925442
Chr01_32925677_33648211,0.00226118832998822,0.20018241501306,0.8461954128391438,1,32925677
Chr01_33648212_33648861,0.0063294086559938,0.480278469154849,0.967322943180484,1,33648212
Chr01_33648862_33944256,0.0063294086559938,0.480278469154849,0.967322943180484,1,33648862
Chr01_33944257_33944395,0.0063294086559938,0.480278469154849,0.967322943180484,1,33944257
Chr01_33944396_34707623,0.0105091136764604,0.616946559383173,0.967322943180484,1,33944396
Chr01_34707624_34711948,0.00648712194030676,0.877710856830654,0.9867914566855854,1,34707624
Chr01_34711949_35098398,0.00585231457796109,0.677351906625498,0.967322943180484,1,34711949
Chr01_35098399_35197978,0.00321715615319899,0.572998235003109,0.967322943180484,1,35098399
Chr01_35197979_35842906,0.00478615265669938,0.621345388103981,0.967322943180484,1,35197979
Chr01_35842907_35842941,0.00461108817080922,0.580006775313115,0.967322943180484,1,35842907
Chr01_35842942_36467175,0.00157409304122714,0.6270122833682,0.967322943180484,1,35842942
Chr01_36467176_36477457,0.00192543084157714,0.57013266662007,0.967322943180484,1,36467176
Chr01_36477458_36677915,0.00192543084157714,0.57013266662007,0.967322943180484,1,36477458
Chr01_36677916_36678639,0.00192543084157714,0.57013266662007,0.967322943180484,1,36677916
Chr01_36678640_37008510,0.005556174900033,0.601444243211131,0.967322943180484,1,36678640
Chr01_37008511_37008685,0.0135798843021662,0.811401488555574,0.9867914566855854,1,37008511
Chr01_37008686_37399402,0.0135798843021662,0.811401488555574,0.9867914566855854,1,37008686
Chr01_37399403_37399747,0.0135798843021662,0.811401488555574,0.9867914566855854,1,37399403
Chr01_37399748_38492440,0.00498347836624206,0.767943310397171,0.9867914566855854,1,37399748
Chr01_38492441_38553272,0.00335262853689427,0.917027732430896,0.9867914566855854,1,38492441
Chr01_38553273_41248221,0.00189588746838012,0.831991572143415,0.9867914566855854,1,38553273
Chr01_41248222_41249634,0.00978783779301813,0.589479325055703,0.967322943180484,1,41248222
Chr01_41249635_41946984,0.00978783779301813,0.589479325055703,0.967322943180484,1,41249635
Chr01_41946985_41946999,0.00978783779301813,0.589479325055703,0.967322943180484,1,41946985
Chr01_41947000_42826924,0.00372187272450499,0.990364476203834,0.9938537514215797,1,41947000
Chr01_42826925_42828044,0.00494195615461795,0.829469149293609,0.9867914566855854,1,42826925
Chr01_42828045_44953517,0.0300864340282012,0.745487625002014,0.9867914566855854,1,42828045
Chr01_44953518_50495391,0.0460035531047811,0.329480674380987,0.8600611432345394,1,44953518
Chr02_1_4524,0.00787243108880566,0.00018334402346403,0.009747790580837594,2,1
Chr02_4525_349303,0.00787243108880566,0.00018334402346403,0.009747790580837594,2,4525
Chr02_349304_361275,0.00787243108880566,0.00018334402346403,0.009747790580837594,2,349304
Chr02_361276_876244,0.00787243108880566,0.00018334402346403,0.009747790580837594,2,361276
Chr02_876245_880558,0.00787243108880566,0.00018334402346403,0.009747790580837594,2,876245
Chr02_880559_1380844,0.00787243108880566,0.00018334402346403,0.009747790580837594,2,880559
Chr02_1380845_1380870,0.00787243108880566,0.00018334402346403,0.009747790580837594,2,1380845
Chr02_1380871_1588241,0.00787243108880566,0.00018334402346403,0.009747790580837594,2,1380871
Chr02_1588242_1591077,0.00787243108880566,0.00018334402346403,0.009747790580837594,2,1588242
Chr02_1591078_2117143,0.00787243108880566,0.00018334402346403,0.009747790580837594,2,1591078
Chr02_2117144_2118662,0.00787243108880566,0.00018334402346403,0.009747790580837594,2,2117144
Chr02_2118663_2439301,0.00787243108880566,0.00018334402346403,0.009747790580837594,2,2118663
Chr02_2439302_2439318,0.00787243108880566,0.00018334402346403,0.009747790580837594,2,2439302
Chr02_2439319_3802076,0.00969552486507724,4.72884482046243e-05,0.009747790580837594,2,2439319
Chr02_3802077_3811171,0.00890537955642909,2.75161916534801e-05,0.009747790580837594,2,3802077
Chr02_3811172_4203782,0.0091189707575744,3.81526067122051e-05,0.009747790580837594,2,3811172
Chr02_4203783_4204963,0.00831640735283465,0.000124327259759293,0.009747790580837594,2,4203783
Chr02_4204964_5059530,0.0444287055429543,0.000113846322770879,0.009747790580837594,2,4204964
Chr02_5059531_5059566,0.00153472807541772,0.00120609342233919,0.05496340024660023,2,5059531
Chr02_5059567_5396611,0.00153472807541772,0.00120609342233919,0.05496340024660023,2,5059567
Chr02_5396612_5398283,0.00153472807541772,0.00120609342233919,0.05496340024660023,2,5396612
Chr02_5398284_5923170,0.00419148848144349,0.00435626350937376,0.18949746265775858,2,5398284
Chr02_5923171_5954021,0.00313671643051078,0.0271814867932852,0.6231459226535112,2,5923171
Chr02_5954022_6493859,0.00464116881738994,0.0343633380542212,0.6231459226535112,2,5954022
Chr02_6493860_6498865,0.00291187143102961,0.0345106937310722,0.6231459226535112,2,6493860
Chr02_6498866_6748647,0.00359775203428343,0.0310864769413928,0.6231459226535112,2,6498866
Chr02_6748648_6759682,0.00311825917534246,0.0256719120287311,0.6231459226535112,2,6748648
Chr02_6759683_7031301,0.00340128494250068,0.0388438333627857,0.6614113573107975,2,6759683
Chr02_7031302_7048371,0.00214459065975559,0.0458576460096688,0.7106020863884309,2,7031302
Chr02_7048372_7535720,0.00219905764236686,0.0633130279748248,0.7181690296713241,2,7048372
Chr02_7535721_7537775,0.0024871112792858,0.102945841649171,0.787847330859277,2,7535721
Chr02_7537776_7944758,0.00324423159167268,0.137795167408382,0.8330199455814735,2,7537776
Chr02_7944759_7947379,0.00493800294313277,0.226827025357787,0.8461954128391438,2,7944759
Chr02_7947380_8614429,0.00681020082870169,0.21617262333476,0.8461954128391438,2,7947380
Chr02_8614430_8625186,0.00478529445513056,0.248813577342898,0.8461954128391438,2,8614430
Chr02_8625187_9195211,0.00572283826688054,0.382131070541048,0.9275848051286437,2,8625187
Chr02_9195212_9195222,0.00519982295634876,0.593452246536781,0.967322943180484,2,9195212
Chr02_9195223_9912687,0.0120448455430486,0.685876448522416,0.967322943180484,2,9195223
Chr02_9912688_9912975,0.00492427919838007,0.683727601521785,0.967322943180484,2,9912688
Chr02_9912976_10267833,0.00890074997835002,0.520681705987122,0.967322943180484,2,9912976
Chr02_10267834_10267871,0.00874949749530637,0.567317322716185,0.967322943180484,2,10267834
Chr02_10267872_10413420,0.00874949749530637,0.567317322716185,0.967322943180484,2,10267872
Chr02_10413421_10413478,0.00874949749530637,0.567317322716185,0.967322943180484,2,10413421
Chr02_10413479_11173441,0.00432882653115439,0.437001459382024,0.9565836373433929,2,10413479
Chr02_11173442_11173501,0.00322015798334338,0.246331080874064,0.8461954128391438,2,11173442
Chr02_11173502_11801906,0.0025301295315493,0.181761830360357,0.8385254543953592,2,11173502
Chr02_11801907_12265594,0.00656053983856514,0.210672177806627,0.8461954128391438,2,11801907
Chr02_12265595_12817972,0.0330023950650789,0.242943094636079,0.8461954128391438,2,12265595
Chr02_12817973_12824108,0.00442724494045121,0.202430883608128,0.8461954128391438,2,12817973
Chr02_12824109_13491547,0.0157751319507492,0.297397356509627,0.8461954128391438,2,12824109
Chr02_13491548_13517019,0.0138632888426087,0.281625977623629,0.8461954128391438,2,13491548
Chr02_13517020_14119781,0.0195784123707651,0.121943347973705,0.8330199455814735,2,13517020
Chr02_14119782_14120038,0.00513858649161587,0.186523648376128,0.8385254543953592,2,14119782
Chr02_14120039_14602012,0.00513858649161587,0.186523648376128,0.8385254543953592,2,14120039
Chr02_14602013_14602277,0.00513858649161587,0.186523648376128,0.8385254543953592,2,14602013
Chr02_14602278_15318678,0.00513858649161587,0.186523648376128,0.8385254543953592,2,14602278
Chr02_15318679_15347678,0.00513858649161587,0.186523648376128,0.8385254543953592,2,15318679
Chr02_15347679_15710186,0.00513858649161587,0.186523648376128,0.8385254543953592,2,15347679
Chr02_15710187_15710672,0.00513858649161587,0.186523648376128,0.8385254543953592,2,15710187
Chr02_15710673_16424164,0.00513858649161587,0.186523648376128,0.8385254543953592,2,15710673
Chr02_16424165_16424173,0.00513858649161587,0.186523648376128,0.8385254543953592,2,16424165
Chr02_16424174_19450199,0.00513858649161587,0.186523648376128,0.8385254543953592,2,16424174
Chr02_19450200_19450542,0.00513858649161587,0.186523648376128,0.8385254543953592,2,19450200
Chr02_19450543_21586712,0.00746192676297084,0.295368486039982,0.8461954128391438,2,19450543
Chr02_21586713_21615015,0.00269446983345901,0.0573806702139215,0.7181690296713241,2,21586713
Chr02_21615016_22274911,0.00518285658503552,0.132361511829415,0.8330199455814735,2,21615016
Chr02_22274912_22275977,0.00488579272633915,0.241058887295737,0.8461954128391438,2,22274912
Chr02_22275978_23006865,0.00445265930472869,0.300851142596797,0.8461954128391438,2,22275978
Chr02_23006866_23006973,0.00463378326536712,0.701296661451073,0.967322943180484,2,23006866
Chr02_23006974_23411993,0.00559932494775887,0.719385049936297,0.9716661318304983,2,23006974
Chr02_23411994_23412006,0.00571622567862697,0.689466848447394,0.967322943180484,2,23411994
Chr02_23412007_23945659,0.00535776155143927,0.69247549432629,0.967322943180484,2,23412007
Chr02_23945660_23950242,0.00440819814142751,0.677948725027624,0.967322943180484,2,23945660
Chr02_23950243_24283667,0.0217818703201738,0.810027072347464,0.9867914566855854,2,23950243
Chr02_24283668_24284547,0.0138954221418138,0.908822516426544,0.9867914566855854,2,24283668
Chr02_24284548_24771958,0.0388890942891622,0.782969995616369,0.9867914566855854,2,24284548
Chr02_24771959_24772778,0.0100839576927359,0.659022808420577,0.967322943180484,2,24771959
Chr02_24772779_25141874,0.0100839576927359,0.659022808420577,0.967322943180484,2,24772779
Chr02_25141875_25263035,0.0100839576927359,0.659022808420577,0.967322943180484,2,25141875
Chr03_1_106416,0.00650083526563471,0.0730114648512892,0.7181690296713241,3,1
Chr03_106417_526428,0.00650083526563471,0.0730114648512892,0.7181690296713241,3,106417
Chr03_526429_537201,0.00650083526563471,0.0730114648512892,0.7181690296713241,3,526429
Chr03_537202_1923686,0.00650083526563471,0.0730114648512892,0.7181690296713241,3,537202
Chr03_1923687_1923687,0.00650083526563471,0.0730114648512892,0.7181690296713241,3,1923687
Chr03_1923688_2743575,0.00650083526563471,0.0730114648512892,0.7181690296713241,3,1923688
Chr03_2743576_2744190,0.00650083526563471,0.0730114648512892,0.7181690296713241,3,2743576
Chr03_2744191_3884923,0.00650083526563471,0.0730114648512892,0.7181690296713241,3,2744191
Chr03_3884924_3893054,0.00650083526563471,0.0730114648512892,0.7181690296713241,3,3884924
Chr03_3893055_4059970,0.00697499479748534,0.0823327087922421,0.7181690296713241,3,3893055
Chr03_4059971_4075833,0.00426434873391739,0.124892631851226,0.8330199455814735,3,4059971
Chr03_4075834_5903046,0.0150636765354758,0.119582779388859,0.8330199455814735,3,4075834
Chr03_5903047_5903373,0.0117546025880637,0.0915076773787462,0.7237425392682654,3,5903047
Chr03_5903374_7969157,0.0447942418810028,0.158832990066864,0.8385254543953592,3,5903374
Chr03_7969158_8274732,0.00500931087240885,0.316708528446382,0.8489917695327381,3,7969158
Chr03_8274733_9254843,0.00422206457732448,0.589779992219718,0.967322943180484,3,8274733
Chr03_9254844_9254878,0.00375001032027179,0.640241901507731,0.967322943180484,3,9254844
Chr03_9254879_10127794,0.00710033741246887,0.8025824927832,0.9867914566855854,3,9254879
Chr03_10127795_10139932,0.0140014544228663,0.627557235570319,0.967322943180484,3,10127795
Chr03_10139933_10720024,0.0112283642111469,0.555322724846907,0.967322943180484,3,10139933
Chr03_10720025_10726457,0.00613781674071181,0.506303718315594,0.967322943180484,3,10720025
Chr03_10726458_10961187,0.0106427069976,0.456066741453432,0.9642053734512818,3,10726458
Chr03_10961188_10961225,0.00988825781258914,0.453526647251175,0.9642053734512818,3,10961188
Chr03_10961226_11253789,0.01344929858762,0.542913260550467,0.967322943180484,3,10961226
Chr03_11253790_11253893,0.00522186327280058,0.582215875856311,0.967322943180484,3,11253790
Chr03_11253894_11536633,0.0084659460133161,0.685239135380051,0.967322943180484,3,11253894
Chr03_11536634_11536648,0.00930794090861253,0.721676331605924,0.9727383793617878,3,11536634
Chr03_11536649_12459385,0.0253718276508126,0.548498357981973,0.967322943180484,3,11536649
Chr03_12459386_12462540,0.00547986347801726,0.522081972263247,0.967322943180484,3,12459386
Chr03_12462541_13066986,0.00488082185062621,0.429752715940817,0.952763979628592,3,12462541
Chr03_13066987_13068914,0.00449967183787752,0.379808884267583,0.9275848051286437,3,13066987
Chr03_13068915_13625984,0.00260437994670501,0.529805455949566,0.967322943180484,3,13068915
Chr03_13625985_13626006,0.00803552831886185,0.715366469984898,0.9716661318304983,3,13625985
Chr03_13626007_14147424,0.0398957813375318,0.760347645747406,0.9867914566855854,3,13626007
Chr03_14147425_14147618,0.0258038116903877,0.791939461123648,0.9867914566855854,3,14147425
Chr03_14147619_14500824,0.0206289324093188,0.888640385225122,0.9867914566855854,3,14147619
Chr03_14500825_14501741,0.00385203667205293,0.91051823910857,0.9867914566855854,3,14500825
Chr03_14501742_14890630,0.00201780841789722,0.947856854408708,0.9868801804252123,3,14501742
Chr03_14890631_14891342,0.00280625468225672,0.840434390002136,0.9867914566855854,3,14890631
Chr03_14891343_15371439,0.00198676806060358,0.815668740287584,0.9867914566855854,3,14891343
Chr03_15371440_15406238,0.00504593888284107,0.698386526706154,0.967322943180484,3,15371440
Chr03_15406239_15899985,0.00214340707661569,0.835457293531298,0.9867914566855854,3,15406239
Chr03_15899986_15902720,0.00344021406164922,0.931483477831245,0.9867914566855854,3,15899986
Chr03_15902721_16188167,0.00315765826669681,0.878041308222992,0.9867914566855854,3,15902721
Chr03_16188168_16189364,0.00527898897309898,0.890450484569627,0.9867914566855854,3,16188168
Chr03_16189365_16494570,0.026670884962163,0.804351222990743,0.9867914566855854,3,16189365
Chr03_16494571_16498778,0.0369711905100593,0.933757992856444,0.9867914566855854,3,16494571
Chr03_16498779_16962746,0.0369711905100593,0.933757992856444,0.9867914566855854,3,16498779
Chr03_16962747_16963027,0.0369711905100593,0.933757992856444,0.9867914566855854,3,16962747
Chr03_16963028_17401125,0.0893532201545808,0.990191173289852,0.9938537514215797,3,16963028
Chr03_17401126_17402555,0.0173492289263287,0.822068001242611,0.9867914566855854,3,17401126
Chr03_17402556_18052868,0.0692439922730924,0.789054785875154,0.9867914566855854,3,17402556
Chr03_18052869_18156486,0.0176647962960108,0.977982167242812,0.9904009884141493,3,18052869
Chr03_18156487_19255904,0.076631429856255,0.896494982187055,0.9867914566855854,3,18156487
Chr03_19255905_19255931,0.00559485722458011,0.702530767547009,0.967322943180484,3,19255905
Chr03_19255932_20053666,0.0203127677678714,0.508079026518064,0.967322943180484,3,19255932
Chr03_20053667_21816808,0.0208485819719313,0.498854782460527,0.967322943180484,3,20053667
Chr04_1_60379,0.00290575973993655,0.477741468328072,0.967322943180484,4,1
Chr04_60380_871979,0.00290575973993655,0.477741468328072,0.967322943180484,4,60380
Chr04_871980_872101,0.00290575973993655,0.477741468328072,0.967322943180484,4,871980
Chr04_872102_1430273,0.00475098806800737,0.718520238695285,0.9716661318304983,4,872102
Chr04_1430274_1430677,0.00773224260016557,0.585168787363321,0.967322943180484,4,1430274
Chr04_1430678_2488919,0.0136391758056796,0.774833422121104,0.9867914566855854,4,1430678
Chr04_2488920_2489076,0.00644675593738684,0.843954790317877,0.9867914566855854,4,2488920
Chr04_2489077_3015345,0.00696333165626475,0.843233431053177,0.9867914566855854,4,2489077
Chr04_3015346_3039820,0.00561940075544504,0.738975383823181,0.9835875414725789,4,3015346
Chr04_3039821_3679193,0.00559854686590815,0.622970731735057,0.967322943180484,4,3039821
Chr04_3679194_3679320,0.0038062354298966,0.522458950443822,0.967322943180484,4,3679194
Chr04_3679321_4621560,0.010630818773388,0.782729955952768,0.9867914566855854,4,3679321
Chr04_4621561_4621766,0.0106628911992039,0.890224023548649,0.9867914566855854,4,4621561
Chr04_4621767_5680104,0.0142248253229907,0.819543613453323,0.9867914566855854,4,4621767
Chr04_5680105_5693816,0.00733671393040445,0.820737809954931,0.9867914566855854,4,5680105
Chr04_5693817_6604155,0.0238057798800892,0.678884896659447,0.967322943180484,4,5693817
Chr04_6604156_6604164,0.0118505014239676,0.66245168973069,0.967322943180484,4,6604156
Chr04_6604165_7681461,0.0102657932756253,0.870315794783125,0.9867914566855854,4,6604165
Chr04_7681462_7681481,0.00611959203912449,0.94191099709829,0.9867914566855854,4,7681462
Chr04_7681482_8792851,0.0146115061713094,0.910540356801389,0.9867914566855854,4,7681482
Chr04_8792852_8792885,0.011826951251401,0.938347274781866,0.9867914566855854,4,8792852
Chr04_8792886_9239982,0.0104208675948571,0.986569358300394,0.9927937706556016,4,8792886
Chr04_9239983_9243613,0.00439825257993637,0.993969688097324,0.995274622349119,4,9239983
Chr04_9243614_11301819,0.00809153560628468,0.603891867405966,0.967322943180484,4,9243614
Chr04_11301820_11302602,0.00770759676793219,0.47759074398377,0.967322943180484,4,11301820
Chr04_11302603_15406848,0.00491490245083764,0.372867449503006,0.9275848051286437,4,11302603
Chr04_15406849_15406991,0.00472427170825481,0.190999299008611,0.8385254543953592,4,15406849
