Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.337185034424763,0.645824505608935,0.464256626340148,0.514478587670281,0.365241105114128,0.9884737457331013,0.9240219338606007,0.8589704357608051,0.8407179535514189,1,1
Chr01_126238_809425,0.388865106824915,0.660838775231576,0.47623769745206,0.588133861872819,0.375158609301471,0.9884737457331013,0.9240219338606007,0.8846368882785391,0.8407179535514189,1,126238
Chr01_809426_814269,0.371069238686281,0.706484736780025,0.486025196300896,0.54043915924503,0.407643026696381,0.9884737457331013,0.9240219338606007,0.8625253972906842,0.8407179535514189,1,809426
Chr01_814270_1367747,0.352325093196662,0.724870142857247,0.717563325031347,0.501319936256506,0.620602928606445,0.9884737457331013,0.9279839216959447,0.8589704357608051,0.8422359147003532,1,814270
Chr01_1367748_1367899,0.254366122199395,0.798550185650909,0.636245291312206,0.4552863206103,0.598643318995276,0.9884737457331013,0.9240219338606007,0.8548575630722879,0.8415943171825568,1,1367748
Chr01_1367900_2042574,0.252347276647507,0.819465047018808,0.630613357694263,0.442239266043486,0.587302625539767,0.9884737457331013,0.9240219338606007,0.8548575630722879,0.8407179535514189,1,1367900
Chr01_2042575_2043251,0.237842669191542,0.592231341418082,0.5938696553717,0.410488199397617,0.559572989150363,0.9884737457331013,0.9240219338606007,0.8304257095783006,0.8407179535514189,1,2042575
Chr01_2043252_2231677,0.296716528028616,0.667168245941449,0.461906609855511,0.473355642624882,0.496555468126557,0.9884737457331013,0.9240219338606007,0.8548575630722879,0.8407179535514189,1,2043252
Chr01_2231678_2231705,0.31782666603384,0.397469720313329,0.575967229347823,0.492987169172411,0.550623488572108,0.9884737457331013,0.9240219338606007,0.8589704357608051,0.8407179535514189,1,2231678
Chr01_2231706_3033846,0.319123667037975,0.363973148328809,0.591860621079317,0.502114039695156,0.562099593940011,0.9675619526407505,0.9240219338606007,0.8589704357608051,0.8407179535514189,1,2231706
Chr01_3033847_3052413,0.22776569620194,0.144083739976886,0.590936672934805,0.375606236318803,0.508468333351415,0.9505434704932332,0.9240219338606007,0.7984978183024436,0.8407179535514189,1,3033847
Chr01_3052414_4229970,0.139246958478451,0.339307516089877,0.625914554991495,0.207931691010173,0.452689180446762,0.9614119141561368,0.9240219338606007,0.688538571761628,0.8407179535514189,1,3052414
Chr01_4229971_4235626,0.141897340811045,0.273756320761784,0.0770720024455823,0.21897347999411,0.0519471604381101,0.9505434704932332,0.9072962313885998,0.688538571761628,0.8212049583822084,1,4229971
Chr01_4235627_5264100,0.129554915089769,0.705446983182536,0.0840161524776952,0.188845974634264,0.0578001370884658,0.9884737457331013,0.9072962313885998,0.688538571761628,0.8212049583822084,1,4235627
Chr01_5264101_5264149,0.122004333658193,0.650649355384296,0.0862390634638979,0.180983617407432,0.0578522506407157,0.9884737457331013,0.9072962313885998,0.688538571761628,0.8212049583822084,1,5264101
Chr01_5264150_5885231,0.136826422886309,0.48998038040867,0.0965928702911979,0.199485459791416,0.0633252212969803,0.9884737457331013,0.9072962313885998,0.688538571761628,0.8212049583822084,1,5264150
Chr01_5885232_5886075,0.15079653770473,0.630801621088867,0.0319826662476071,0.217836219977062,"NA",0.9884737457331013,0.9072962313885998,0.688538571761628,NA,1,5885232
Chr01_5886076_6253003,0.136681817169419,0.785588968486121,0.102966324580583,0.212123765191854,"NA",0.9884737457331013,0.9072962313885998,0.688538571761628,NA,1,5886076
Chr01_6253004_6253851,0.142050427392859,0.692338203238655,0.223518281871226,0.218938825119999,"NA",0.9884737457331013,0.9240219338606007,0.688538571761628,NA,1,6253004
Chr01_6253852_6811196,0.142513834324228,0.702165997551079,0.210888037543126,0.195273977695321,"NA",0.9884737457331013,0.9240219338606007,0.688538571761628,NA,1,6253852
Chr01_6811197_6811650,0.160931321564796,0.418547488415149,0.083839257553089,0.199449593599617,"NA",0.9884737457331013,0.9072962313885998,0.688538571761628,NA,1,6811197
Chr01_6811651_7107385,0.147923692007953,0.660470379259296,0.0795075657453951,0.191590291648311,"NA",0.9884737457331013,0.9072962313885998,0.688538571761628,NA,1,6811651
Chr01_7107386_7117068,0.130372621419593,0.917634365129371,0.00512529265494525,0.134729174333298,"NA",0.9884737457331013,0.9072962313885998,0.688538571761628,NA,1,7107386
Chr01_7117069_8021093,0.0202297140911972,0.71885811802224,0.00824164591990755,0.0233873337562477,"NA",0.9884737457331013,0.9072962313885998,0.27076205201038656,NA,1,7117069
Chr01_8021094_8021338,0.0190392642793759,0.683784895643726,0.0482659842016594,0.0206805341335786,"NA",0.9884737457331013,0.9072962313885998,0.25354901437743627,NA,1,8021094
Chr01_8021339_8546533,0.00090755388031091,0.950696215154825,0.0783215687289547,0.00174204951238164,"NA",0.9884737457331013,0.9072962313885998,0.1113667366843977,NA,1,8021339
Chr01_8546534_8548055,0.00431602276329978,0.427052742525336,0.120183515979208,0.00860514586050719,"NA",0.9884737457331013,0.9147667190295863,0.1646281520576428,NA,1,8546534
Chr01_8548056_9439189,0.00452353417469638,0.385804108945637,0.280991424254585,0.010273206043425,"NA",0.983661744562223,0.9240219338606007,0.1646281520576428,NA,1,8548056
Chr01_9439190_9439923,0.00840390602211115,0.443846073838819,0.054845200041512,0.0130943515902645,"NA",0.9884737457331013,0.9072962313885998,0.17604866670379016,NA,1,9439190
Chr01_9439924_10127710,0.0113269298678686,0.538172469610641,0.0997702604781948,0.0186996263404022,"NA",0.9884737457331013,0.9072962313885998,0.2385385846145025,NA,1,9439924
Chr01_10127711_10127775,0.00936997335293672,0.460887760198028,0.160737409424348,0.0161704817340947,"NA",0.9884737457331013,0.9240219338606007,0.20974755292775007,NA,1,10127711
Chr01_10127776_10700451,0.00628472738833225,0.21268801082396,0.0772932611944323,0.0100392144620737,"NA",0.9505434704932332,0.9072962313885998,0.1646281520576428,NA,1,10127776
Chr01_10700452_10700489,0.0222664181284769,0.154040150292214,0.125583825211605,0.0386693777163192,"NA",0.9505434704932332,0.9147667190295863,0.39780566731155964,NA,1,10700452
Chr01_10700490_11189458,0.0309771074869513,0.180368821787388,0.484068176653847,0.0489257626417415,"NA",0.9505434704932332,0.9240219338606007,0.44682201596284327,NA,1,10700490
Chr01_11189459_11289027,0.00498714890178869,0.451792424334019,0.809227246158672,0.0072494488052742,"NA",0.9884737457331013,0.9596412324335181,0.15568901374246458,NA,1,11189459
Chr01_11289028_11965532,0.00123912725746293,0.407793253986747,0.977171724133833,0.00226569817530081,"NA",0.9884737457331013,0.9937867587631012,0.12673749168088905,NA,1,11289028
Chr01_11965533_11966198,0.00108354706427541,0.198025086166444,0.798934359760796,0.00202571408898008,"NA",0.9505434704932332,0.958187508514725,0.12086760730914477,NA,1,11965533
Chr01_11966199_12330339,0.0018128614293458,0.0626146884424357,0.955259117464943,0.00298685071434918,"NA",0.8684385049189995,0.9916401049644491,0.1496305172965883,NA,1,11966199
Chr01_12330340_12330527,0.00255466295533555,0.0248296066824065,0.981593038494979,0.00331300788405979,"NA",0.7160880698122719,0.995110739236965,0.1496305172965883,NA,1,12330340
Chr01_12330528_13051606,0.00333518260815228,0.0322465833137164,0.880138002362286,0.00417506027817659,"NA",0.7242536010000138,0.9749795962107262,0.1496305172965883,NA,1,12330528
Chr01_13051607_13052006,0.00694372133806874,0.044510063557674,0.931600612052262,0.00892453374195221,"NA",0.77284685863594,0.9905279107170846,0.1646281520576428,NA,1,13051607
Chr01_13052007_13382483,0.00653325680550194,0.0333115958233546,0.999168146814231,0.00828326699815423,"NA",0.7242536010000138,0.999168146814231,0.1646281520576428,NA,1,13052007
Chr01_13382484_13382509,0.00638113712456509,0.0187546760014154,0.975546126827983,0.00812426477779452,"NA",0.7160880698122719,0.9937867587631012,0.1646281520576428,NA,1,13382484
Chr01_13382510_13576339,0.00683604177349279,0.010120362116711,0.938745999112178,0.0100933631795329,"NA",0.7160880698122719,0.9905279107170846,0.1646281520576428,NA,1,13382510
Chr01_13576340_13576350,0.00703040550718857,0.0256940489683332,0.996209997081698,0.0100541639661201,"NA",0.7160880698122719,0.9980419367453716,0.1646281520576428,NA,1,13576340
Chr01_13576351_14061355,0.00749409824336137,0.021880325095948,0.883966528331106,0.0105930391954747,"NA",0.7160880698122719,0.9749795962107262,0.1646281520576428,NA,1,13576351
Chr01_14061356_14061634,0.00781682885877082,0.029390190715135,0.893000933027897,0.0110712315687993,"NA",0.7160880698122719,0.9768813255490689,0.1646281520576428,NA,1,14061356
Chr01_14061635_14604721,0.0071727094498452,0.0390442298017951,0.599750058272802,0.00985617648289442,"NA",0.7582464223411229,0.9240219338606007,0.1646281520576428,NA,1,14061635
Chr01_14604722_14607157,0.00470486112243542,0.174132465668973,0.465996096207254,0.00654148678390206,"NA",0.9505434704932332,0.9240219338606007,0.1540692281997985,NA,1,14604722
Chr01_14607158_15449572,0.00410225334002366,0.157654983846153,0.229907857217293,0.00582340011719697,"NA",0.9505434704932332,0.9240219338606007,0.1496305172965883,NA,1,14607158
Chr01_15449573_15456448,0.00258568072216718,0.359722811007039,0.20537092804384,0.00535069656971056,"NA",0.9635727263400927,0.9240219338606007,0.1496305172965883,NA,1,15449573
Chr01_15456449_16406535,0.00968322710922993,0.167851111857054,0.377224009195277,0.0191896961924516,"NA",0.9505434704932332,0.9240219338606007,0.2385385846145025,NA,1,15456449
Chr01_16406536_16454790,0.00779453543156066,0.510310594566006,0.518502682069027,0.0155277853971111,"NA",0.9884737457331013,0.9240219338606007,0.20437305780021228,NA,1,16406536
Chr01_16454791_19216253,0.0335674841212791,0.322488072812301,0.525054988101195,0.0627135375916165,"NA",0.9606118754055388,0.9240219338606007,0.529515246646196,NA,1,16454791
Chr01_19216254_19216663,0.151025689906328,0.442056697290187,0.556831649442291,"NA","NA",0.9884737457331013,0.9240219338606007,NA,NA,1,19216254
Chr01_19216664_20661429,0.136015079835787,0.0912597811954687,0.99477767688773,"NA","NA",0.8954467798291571,0.9980419367453716,NA,NA,1,19216664
Chr01_20661430_20662913,0.776917858631132,0.176427236643571,0.815914972473329,0.657054263576254,"NA",0.9505434704932332,0.9616140747007093,0.886748914135081,NA,1,20661430
Chr01_20662914_21251875,0.794066672948286,0.260912816091576,0.984646877419427,0.688989129511887,"NA",0.9505434704932332,0.9971503298311022,0.886748914135081,NA,1,20662914
Chr01_21251876_21488109,0.746336017123348,0.120383737544758,0.721674926442673,0.676224064577879,"NA",0.9366442018726292,0.9307855857218842,0.886748914135081,NA,1,21251876
Chr01_21488110_22523058,0.73248489242744,0.0802800250726128,0.542385730502992,0.67495493995714,"NA",0.8954467798291571,0.9240219338606007,0.886748914135081,NA,1,21488110
Chr01_22523059_22523376,0.728079351364514,0.0996533820246605,0.154554642915826,0.620416317726617,"NA",0.8954467798291571,0.9240219338606007,0.886748914135081,NA,1,22523059
Chr01_22523377_25610270,0.76163295811438,0.182105313635998,0.355956149822029,0.686358128200792,"NA",0.9505434704932332,0.9240219338606007,0.886748914135081,NA,1,22523377
Chr01_25610271_25623774,0.116527444397859,0.328533009522432,0.229974403379538,"NA","NA",0.9606118754055388,0.9240219338606007,NA,NA,1,25610271
Chr01_25623775_25991881,0.161823195245933,0.529493058404796,0.147733118773859,"NA","NA",0.9884737457331013,0.9240219338606007,NA,NA,1,25623775
Chr01_25991882_26001088,0.215430939684421,0.386366304686224,0.0961095201287401,"NA","NA",0.983661744562223,0.9072962313885998,NA,NA,1,25991882
Chr01_26001089_26286066,0.19906326172378,0.360458762831508,0.0690249061499246,"NA","NA",0.9635727263400927,0.9072962313885998,NA,NA,1,26001089
Chr01_26286067_26293474,0.278653283901011,0.280751275362521,0.048895954416336,"NA","NA",0.9505434704932332,0.9072962313885998,NA,NA,1,26286067
Chr01_26293475_26583692,0.214309775243986,0.606232609764971,0.102744014847219,"NA","NA",0.9884737457331013,0.9072962313885998,NA,NA,1,26293475
Chr01_26583693_26647317,0.424274278145574,0.764321543153188,0.0910844695687245,"NA","NA",0.9884737457331013,0.9072962313885998,NA,NA,1,26583693
Chr01_26647318_27308826,0.222287582504513,0.660168029978264,0.0743589545953353,0.260447301785412,"NA",0.9884737457331013,0.9072962313885998,0.7194276430877093,NA,1,26647318
Chr01_27308827_27314420,0.20605037955707,0.50425258313203,0.0782653192519118,0.249055915182842,"NA",0.9884737457331013,0.9072962313885998,0.71857409349827,NA,1,27308827
Chr01_27314421_27701084,0.218924326327554,0.353590230291738,0.134176462815624,0.285913792320488,"NA",0.9623304261923937,0.9237904670111667,0.7269568758286261,NA,1,27314421
Chr01_27701085_27712150,0.221800209398329,0.455603254987984,0.211467100702298,0.281679745693479,"NA",0.9884737457331013,0.9240219338606007,0.7269568758286261,NA,1,27701085
Chr01_27712151_27987745,0.23689263900583,0.732016229457426,0.24103629711197,0.291594992650812,"NA",0.9884737457331013,0.9240219338606007,0.7269568758286261,NA,1,27712151
Chr01_27987746_27996902,0.236034502038773,0.841150486244823,0.166961362284867,0.290840633989675,"NA",0.9884737457331013,0.9240219338606007,0.7269568758286261,NA,1,27987746
Chr01_27996903_28327995,0.229247982356634,0.504509041959467,0.200782356795871,0.290865464954848,"NA",0.9884737457331013,0.9240219338606007,0.7269568758286261,NA,1,27996903
Chr01_28327996_28328780,0.208046072454646,0.211993570465357,0.276193425766815,0.246014528115131,"NA",0.9505434704932332,0.9240219338606007,0.71857409349827,NA,1,28327996
Chr01_28328781_28712697,0.200227063367592,0.159686737459075,0.222592700347175,0.250536410836773,"NA",0.9505434704932332,0.9240219338606007,0.71857409349827,NA,1,28328781
Chr01_28712698_28712702,0.204659566181134,0.147607908898046,0.410848929565923,0.252756503427887,"NA",0.9505434704932332,0.9240219338606007,0.71857409349827,NA,1,28712698
Chr01_28712703_29260469,0.219804971823922,0.276845196676428,0.464338932388832,0.272376067588937,"NA",0.9505434704932332,0.9240219338606007,0.7269568758286261,NA,1,28712703
Chr01_29260470_29264772,0.22010709809578,0.33582571269026,0.38536965286955,0.276126543994731,"NA",0.9614119141561368,0.9240219338606007,0.7269568758286261,NA,1,29260470
Chr01_29264773_29827856,0.213316821115056,0.350842472313754,0.069144907201787,0.272372902657462,0.0769245996120854,0.9623304261923937,0.9072962313885998,0.7269568758286261,0.8212049583822084,1,29264773
Chr01_29827857_29864780,0.200480475371558,0.296673126109228,0.0598964736795134,0.257540396617393,0.0693968207997985,0.9505434704932332,0.9072962313885998,0.71857409349827,0.8212049583822084,1,29827857
Chr01_29864781_30461232,0.182594932900103,0.0850690911988578,0.0580534713853873,0.229913417915245,"NA",0.8954467798291571,0.9072962313885998,0.6999064933134159,NA,1,29864781
Chr01_30461233_30463952,0.213962882134049,0.35654830656903,0.380365485750659,0.244318340565794,"NA",0.9635727263400927,0.9240219338606007,0.71857409349827,NA,1,30461233
Chr01_30463953_31287140,0.210279040390716,0.365157187589493,0.154746868662424,0.229608732531865,0.145583032150432,0.9680205776264398,0.9240219338606007,0.6999064933134159,0.8407179535514189,1,30463953
Chr01_31287141_31299042,0.177071379765597,0.0834371108469659,0.165558009848374,0.21070482539931,0.141379603762851,0.8954467798291571,0.9240219338606007,0.688538571761628,0.8407179535514189,1,31287141
Chr01_31299043_32249075,0.031782255473061,0.0591690882084289,0.0741143210257192,0.0454790108542279,0.0638577661725879,0.8451465285890516,0.9072962313885998,0.42399702827639546,0.8212049583822084,1,31299043
Chr01_32249076_32254238,0.0236533455967075,0.0283054257648152,0.0898047628486223,0.0444958156375355,0.0706084787570327,0.7160880698122719,0.9072962313885998,0.41919742100625546,0.8212049583822084,1,32249076
Chr01_32254239_32925441,0.0214090178528628,0.0204056423253716,0.0881862199555913,0.0379805969774795,0.0645053664634459,0.7160880698122719,0.9072962313885998,0.39528188402196257,0.8212049583822084,1,32254239
