Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.0581356807710604,0.793348999951438,0.849965668874807,0.140350613544487,0.728809178722477,0.9764478000336252,0.9748963450984218,0.4772129324932643,0.9037354760687835,1,1
Chr01_126238_809425,0.0801814455486245,0.822164648412733,0.879517455810235,0.189624833055745,0.756825091886991,0.9822866024107184,0.9748963450984218,0.5510763771554318,0.9081901102643891,1,126238
Chr01_809426_814269,0.0651255244362963,0.792848607123788,0.593605926771367,0.128378126675637,0.48489187579123,0.9764478000336252,0.9634367288068976,0.46107471311812975,0.8015252476581252,1,809426
Chr01_814270_1367747,0.0536774347660011,0.940718526322997,0.651404350108426,0.113039853644676,0.513603010377731,0.9945554721227259,0.9634367288068976,0.45880248440375365,0.8182227268776268,1,814270
Chr01_1367748_1367899,0.0247754123914187,0.422395245838444,0.521869978493851,0.0685920877278599,0.427258162909118,0.9446567632332091,0.9561688687854203,0.4199761014301359,0.8015252476581252,1,1367748
Chr01_1367900_2042574,0.0243737308026076,0.460441936922685,0.543462854175156,0.0698266803294989,0.440170536630051,0.9446567632332091,0.9561688687854203,0.4199761014301359,0.8015252476581252,1,1367900
Chr01_2042575_2043251,0.0231669737243156,0.352761540217923,0.51081088224066,0.0686989709485744,0.427904595407705,0.9271808494470594,0.9492155617559448,0.4199761014301359,0.8015252476581252,1,2042575
Chr01_2043252_2231677,0.0371160334580351,0.938241508421104,0.384137957540749,0.0960023821273762,0.377966446727559,0.9945554721227259,0.9260977975850874,0.4443206034038688,0.7911970812821087,1,2043252
Chr01_2231678_2231705,0.0393860727181865,0.700342932654949,0.525584017070413,0.114220279863586,0.46436241753812,0.9752424137674093,0.9561688687854203,0.45880248440375365,0.8015252476581252,1,2231678
Chr01_2231706_3033846,0.0389290817567041,0.669096619382712,0.535265588941109,0.115224801403794,0.470621376304727,0.9752424137674093,0.9561688687854203,0.45880248440375365,0.8015252476581252,1,2231706
Chr01_3033847_3052413,0.0132151301639429,0.529395335793945,0.486223957370232,0.0610502001713113,0.404112534609464,0.9446567632332091,0.936250155338656,0.4199761014301359,0.7911970812821087,1,3033847
Chr01_3052414_4229970,0.0116184683833151,0.82033271704607,0.570341443084087,0.0353413752627553,0.392199395799334,0.9822866024107184,0.9634367288068976,0.4165631807116959,0.7911970812821087,1,3052414
Chr01_4229971_4235626,0.012267312731957,0.79587873887812,0.15428602556294,0.0363038302743154,0.108209189166347,0.9764478000336252,0.8653998087756573,0.4165631807116959,0.7911970812821087,1,4229971
Chr01_4235627_5264100,0.0121440898520128,0.915865842806222,0.130608791157166,0.0263772386549915,0.0913420817666361,0.9932054955574667,0.8653998087756573,0.41416892274065603,0.7911970812821087,1,4235627
Chr01_5264101_5264149,0.0262814050958427,0.873192541140647,0.163895812467207,0.0559872408488524,0.113588701443201,0.9901010211748806,0.8653998087756573,0.4199761014301359,0.7911970812821087,1,5264101
Chr01_5264150_5885231,0.0285634699704009,0.639322027500649,0.173610435661619,0.0643932707280933,0.118051405622169,0.9752424137674093,0.8653998087756573,0.4199761014301359,0.7911970812821087,1,5264150
Chr01_5885232_5886075,0.054870114586448,0.706653377692927,0.0722244884095791,0.109275660263224,"NA",0.9752424137674093,0.8653998087756573,0.45880248440375365,NA,1,5885232
Chr01_5886076_6253003,0.0515435188841151,0.676290379909316,0.222940573922607,0.111558459174537,"NA",0.9752424137674093,0.8730915215024613,0.45880248440375365,NA,1,5886076
Chr01_6253004_6253851,0.0568475978976731,0.595920141712337,0.347107520235559,0.121165228857816,"NA",0.9752424137674093,0.9260977975850874,0.45880248440375365,NA,1,6253004
Chr01_6253852_6811196,0.0572717748558075,0.65605312948414,0.37359731212105,0.110288585622611,"NA",0.9752424137674093,0.9260977975850874,0.45880248440375365,NA,1,6253852
Chr01_6811197_6811650,0.0663493968459585,0.404824597787629,0.154425791929499,0.115000527696744,"NA",0.9446567632332091,0.8653998087756573,0.45880248440375365,NA,1,6811197
Chr01_6811651_7107385,0.0536190291424732,0.56638059236296,0.12632534934099,0.0996370263837508,"NA",0.9559545447819272,0.8653998087756573,0.44811627443948227,NA,1,6811651
Chr01_7107386_7117068,0.0475692390888243,0.729668424629725,0.0184349140676257,0.0774111085190308,"NA",0.9752424137674093,0.8653998087756573,0.427672482250201,NA,1,7107386
Chr01_7117069_8021093,0.0222847060160927,0.709770059456336,0.0118393029050316,0.035707701256883,"NA",0.9752424137674093,0.8653998087756573,0.4165631807116959,NA,1,7117069
Chr01_8021094_8021338,0.0765846695250397,0.700649114262727,0.0815776879616735,0.0987617468613891,"NA",0.9752424137674093,0.8653998087756573,0.4464230476815315,NA,1,8021094
Chr01_8021339_8546533,0.00964426005643107,0.592670785514608,0.140724141799457,0.0176916510271883,"NA",0.9752424137674093,0.8653998087756573,0.34299562645757325,NA,1,8021339
Chr01_8546534_8548055,0.0253351998911887,0.769624927285366,0.208600604204285,0.0505133853082235,"NA",0.9764478000336252,0.8730915215024613,0.4199761014301359,NA,1,8546534
Chr01_8548056_9439189,0.019421700361575,0.602614576265593,0.403123286977818,0.0518156729165684,"NA",0.9752424137674093,0.9260977975850874,0.4199761014301359,NA,1,8548056
Chr01_9439190_9439923,0.0227967136578594,0.730775339138094,0.15119152849849,0.0449329426249794,"NA",0.9752424137674093,0.8653998087756573,0.4199761014301359,NA,1,9439190
Chr01_9439924_10127710,0.017497310544888,0.885194243239996,0.252317165381734,0.0379287527864556,"NA",0.9901427186547811,0.8943241750752571,0.4199761014301359,NA,1,9439924
Chr01_10127711_10127775,0.015257057756637,0.734975612123518,0.247883461774997,0.0346579352264527,"NA",0.9752424137674093,0.8943241750752571,0.4165631807116959,NA,1,10127711
Chr01_10127776_10700451,0.00923009085778916,0.496291820829823,0.147695629467259,0.0213372528712249,"NA",0.9446567632332091,0.8653998087756573,0.38193682639492565,NA,1,10127776
Chr01_10700452_10700489,0.0458360166194223,0.377400031202272,0.293335477597407,0.100538092307935,"NA",0.9430073886699069,0.9260977975850874,0.44963566903745494,NA,1,10700452
Chr01_10700490_11189458,0.0550892358914896,0.539801530736976,0.501475024258419,0.115411702104633,"NA",0.9446567632332091,0.944121271103301,0.45880248440375365,NA,1,10700490
Chr01_11189459_11289027,0.0308131329221732,0.923895144377577,0.871296295220647,0.0520291332700136,"NA",0.9945554721227259,0.9748963450984218,0.4199761014301359,NA,1,11189459
Chr01_11289028_11965532,0.0175400316129235,0.900616470469701,0.775993807421472,0.040729407923434,"NA",0.9932054955574667,0.9748963450984218,0.4199761014301359,NA,1,11289028
Chr01_11965533_11966198,0.017570307967445,0.623877213296085,0.907354263902421,0.0411192285480789,"NA",0.9752424137674093,0.9748963450984218,0.4199761014301359,NA,1,11965533
Chr01_11966199_12330339,0.0254262947855602,0.286402242896829,0.934922330058052,0.0477967305616468,"NA",0.9271808494470594,0.9821302632991831,0.4199761014301359,NA,1,11966199
Chr01_12330340_12330527,0.0337318967313407,0.136657527739252,0.998181923908044,0.0492069818118802,"NA",0.9271808494470594,0.9992260472594123,0.4199761014301359,NA,1,12330340
Chr01_12330528_13051606,0.0352910550949805,0.117735371368388,0.816048673099599,0.0524716213346247,"NA",0.9271808494470594,0.9748963450984218,0.4199761014301359,NA,1,12330528
Chr01_13051607_13052006,0.0492098449211876,0.148169054513304,0.882734731226409,0.0711389473966625,"NA",0.9271808494470594,0.9748963450984218,0.4199761014301359,NA,1,13051607
Chr01_13052007_13382483,0.0456897647837553,0.199714348947381,0.824074772965304,0.0671102439307342,"NA",0.9271808494470594,0.9748963450984218,0.4199761014301359,NA,1,13052007
Chr01_13382484_13382509,0.0477384352321691,0.128950613099249,0.895573314387022,0.069762176921412,"NA",0.9271808494470594,0.9748963450984218,0.4199761014301359,NA,1,13382484
Chr01_13382510_13576339,0.0469728953049549,0.080879613439251,0.887980142332069,0.0748093352856989,"NA",0.9271808494470594,0.9748963450984218,0.4199761014301359,NA,1,13382510
Chr01_13576340_13576350,0.047023193777133,0.126266961261771,0.997066607627191,0.0723074310115348,"NA",0.9271808494470594,0.9991547052347871,0.4199761014301359,NA,1,13576340
Chr01_13576351_14061355,0.0469537501147522,0.145470610209099,0.857272755002275,0.0709813848969433,"NA",0.9271808494470594,0.9748963450984218,0.4199761014301359,NA,1,13576351
Chr01_14061356_14061634,0.0472638880053186,0.200182788764495,0.764667530815418,0.073346959146263,"NA",0.9271808494470594,0.9748963450984218,0.4199761014301359,NA,1,14061356
Chr01_14061635_14604721,0.0431424324572469,0.322214791571578,0.610640895639853,0.064974467915081,"NA",0.9271808494470594,0.9634367288068976,0.4199761014301359,NA,1,14061635
Chr01_14604722_14607157,0.0302208090053246,0.8386519778018,0.362912978884901,0.0470571842792669,"NA",0.9884112595521215,0.9260977975850874,0.4199761014301359,NA,1,14604722
Chr01_14607158_15449572,0.0278475230668358,0.817499875597751,0.154031190750088,0.0423028267430619,"NA",0.9822866024107184,0.8653998087756573,0.4199761014301359,NA,1,14607158
Chr01_15449573_15456448,0.0235260706827272,0.963150782724878,0.0975373374866775,0.043724011479638,"NA",0.9969546322246696,0.8653998087756573,0.4199761014301359,NA,1,15449573
Chr01_15456449_16406535,0.11937665566749,0.816117260644913,0.139210556580802,0.215914544082714,"NA",0.9822866024107184,0.8653998087756573,0.5664983330909279,NA,1,15456449
Chr01_16406536_16454790,0.0971771405475325,0.627939424536941,0.13824683445485,0.189643750952656,"NA",0.9752424137674093,0.8653998087756573,0.5510763771554318,NA,1,16406536
