Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,CHR,BP
Chr01_1_126237,0.730738221937538,0.53569529298367,0.376925184162941,0.815653023151671,Chr01_1_126237,0.9205482975673515,0.9330843892018579,0.9104109751528001,1,1
Chr01_126238_809425,0.730738221937538,0.53569529298367,0.376925184162941,0.815653023151671,Chr01_126238_809425,0.9205482975673515,0.9330843892018579,0.9104109751528001,1,126238
Chr01_809426_814269,0.731660444195866,0.522115735088936,0.251115096654015,0.879101905615423,Chr01_809426_814269,0.9205482975673515,0.8463481241128528,0.9425344004911153,1,809426
Chr01_814270_1367747,0.701290067861927,0.768168174772959,0.193156100124722,0.94487232570388,Chr01_814270_1367747,0.9571178015448569,0.7859804344287593,0.9678655516398538,1,814270
Chr01_1367748_1367899,0.937579000240539,0.657608394785155,0.363709216748798,0.972364313637886,Chr01_1367748_1367899,0.9387561416625438,0.9257173415654247,0.9824966242607049,1,1367748
Chr01_1367900_2042574,0.89042640166963,0.688244005240269,0.330914183180874,0.985357942378248,Chr01_1367900_2042574,0.9469026797313449,0.9074065137653193,0.990196033748354,1,1367900
Chr01_2042575_2043251,0.988500561476802,0.555507454015243,0.452816974008328,0.975050286709669,Chr01_2042575_2043251,0.9205482975673515,0.9439442523875068,0.9824966242607049,1,2042575
Chr01_2043252_2231677,0.898835572328488,0.692062462695358,0.981405395280465,0.810942762393693,Chr01_2043252_2231677,0.947501826608666,0.9909963380128177,0.9104109751528001,1,2043252
Chr01_2231678_2231705,0.577549395587102,0.459383836630459,0.573570034195172,0.922016916727439,Chr01_2231678_2231705,0.9205482975673515,0.9439442523875068,0.9678655516398538,1,2231678
Chr01_2231706_3033846,0.549468213412028,0.430073161178105,0.549274265052794,0.928860151285588,Chr01_2231706_3033846,0.9205482975673515,0.9439442523875068,0.9678655516398538,1,2231706
Chr01_3033847_3052413,0.395873938460989,0.470298321170354,0.443501661759735,0.945796955999857,Chr01_3033847_3052413,0.9205482975673515,0.9439442523875068,0.9678655516398538,1,3033847
Chr01_3052414_4229970,0.449600964072403,0.645293244981051,0.0521373377863917,0.922525653150096,Chr01_3052414_4229970,0.9380043216062887,0.6920872523019777,0.9678655516398538,1,3052414
Chr01_4229971_4235626,0.626019421101973,0.641098070181095,0.0688720665146991,0.336609904167972,Chr01_4229971_4235626,0.9380043216062887,0.7011762516443302,0.8534548367311856,1,4229971
Chr01_4235627_5264100,0.597271504874955,0.674394666710391,0.0473718328158028,0.336008433111288,Chr01_4235627_5264100,0.9408100525391315,0.6920872523019777,0.8534548367311856,1,4235627
Chr01_5264101_5264149,0.621780023369618,0.73721278885252,0.0528781133359399,0.362057279759962,Chr01_5264101_5264149,0.9516238235817388,0.6920872523019777,0.8666942376955297,1,5264101
Chr01_5264150_5885231,0.689063268591491,0.604875351338147,0.0515439544338985,0.366493774345126,Chr01_5264150_5885231,0.9321509037529897,0.6920872523019777,0.8666942376955297,1,5264150
Chr01_5885232_5886075,0.218943080633194,0.717413461268546,0.0753259574557116,"NA",Chr01_5885232_5886075,0.9497741109142519,0.7064690842826885,NA,1,5885232
Chr01_5886076_6253003,0.261347539309274,0.734765560901069,0.246876300185299,"NA",Chr01_5886076_6253003,0.9516238235817388,0.8437879259904683,NA,1,5886076
Chr01_6253004_6253851,0.261886630683828,0.654916565989273,0.321487410176437,"NA",Chr01_6253004_6253851,0.9387561416625438,0.8943704986594483,NA,1,6253004
Chr01_6253852_6811196,0.31795215000709,0.678150239647637,0.321064970764783,"NA",Chr01_6253852_6811196,0.9446721678934332,0.8943704986594483,NA,1,6253852
Chr01_6811197_6811650,0.177698563225744,0.458978779172224,0.1385384731543,"NA",Chr01_6811197_6811650,0.9205482975673515,0.7282424375251789,NA,1,6811197
Chr01_6811651_7107385,0.184321453151755,0.561198162072136,0.117024933503185,"NA",Chr01_6811651_7107385,0.9205482975673515,0.7141052517421859,NA,1,6811651
Chr01_7107386_7117068,0.172990973125784,0.645048778242223,0.0187001878909582,"NA",Chr01_7107386_7117068,0.9380043216062887,0.6391457075588214,NA,1,7107386
Chr01_7117069_8021093,0.0340417210334605,0.574606224126934,0.0147416924833851,0.0857705949684483,Chr01_7117069_8021093,0.9205482975673515,0.6391457075588214,0.6489731821885859,1,7117069
Chr01_8021094_8021338,0.271151809586266,0.626421857900524,0.0736967761759117,"NA",Chr01_8021094_8021338,0.9380043216062887,0.7064690842826885,NA,1,8021094
Chr01_8021339_8546533,0.147441857732036,0.439547119854735,0.127052151051968,"NA",Chr01_8021339_8546533,0.9205482975673515,0.720740553767098,NA,1,8021339
Chr01_8546534_8548055,0.21780635489003,0.64114290201703,0.112794293747653,"NA",Chr01_8546534_8548055,0.9380043216062887,0.7084001137324626,NA,1,8546534
Chr01_8548056_9439189,0.272924178995147,0.83522727030584,0.253740681834499,"NA",Chr01_8548056_9439189,0.9673948357068833,0.8463481241128528,NA,1,8548056
Chr01_9439190_9439923,0.477246404709098,0.956033510779493,0.170502794822624,"NA",Chr01_9439190_9439923,0.9789306319969029,0.7664356321413905,NA,1,9439190
Chr01_9439924_10127710,0.373220763826295,0.865026262009081,0.190262336224547,"NA",Chr01_9439924_10127710,0.9710916843074009,0.7848321369262563,NA,1,9439924
Chr01_10127711_10127775,0.387280158220997,0.938895338747135,0.199264836426497,"NA",Chr01_10127711_10127775,0.9769792497855276,0.7984095484684974,NA,1,10127711
Chr01_10127776_10700451,0.448972580153673,0.910400402489994,0.134883926843857,"NA",Chr01_10127776_10700451,0.9769792497855276,0.7282424375251789,NA,1,10127776
Chr01_10700452_10700489,0.648489934203628,0.655079186590001,0.27385656128102,"NA",Chr01_10700452_10700489,0.9387561416625438,0.866669379180422,NA,1,10700452
Chr01_10700490_11189458,0.369107072390658,0.983813027173219,0.532707580841224,0.511912330052332,Chr01_10700490_11189458,0.9922042690279229,0.9439442523875068,0.8666942376955297,1,10700490
Chr01_11189459_11289027,0.318889846097897,0.734531886687071,0.886711653481435,"NA",Chr01_11189459_11289027,0.9516238235817388,0.9752354158185904,NA,1,11189459
Chr01_11289028_11965532,0.23375712830029,0.717839527890565,0.677552933622678,0.318288461308993,Chr01_11289028_11965532,0.9497741109142519,0.9439442523875068,0.8316132563562626,1,11289028
Chr01_11965533_11966198,0.449341040600655,0.945792574982685,0.903044007777801,"NA",Chr01_11965533_11966198,0.9769792497855276,0.9769170429117973,NA,1,11965533
Chr01_11966199_12330339,0.980407365700423,0.578257259564721,0.968903159178587,"NA",Chr01_11966199_12330339,0.9205482975673515,0.9909963380128177,NA,1,11966199
Chr01_12330340_12330527,0.569910944694233,0.337876888602226,0.917710948093249,"NA",Chr01_12330340_12330527,0.9205482975673515,0.9791228271485386,NA,1,12330340
Chr01_12330528_13051606,0.599163409212921,0.296835304469525,0.67528419922838,"NA",Chr01_12330528_13051606,0.9205482975673515,0.9439442523875068,NA,1,12330528
Chr01_13051607_13052006,0.766976367128138,0.337517213862267,0.734611461136543,"NA",Chr01_13051607_13052006,0.9205482975673515,0.9536209703827361,NA,1,13051607
Chr01_13052007_13382483,0.877862286619205,0.384402182559928,0.66972646778272,"NA",Chr01_13052007_13382483,0.9205482975673515,0.9439442523875068,NA,1,13052007
