Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,CHR,BP
Chr01_1_126237,0.773972518787029,0.0921271560180475,0.217449361782754,0.107809555548163,Chr01_1_126237,0.9710526436037529,0.9514993208905922,0.9655796293081079,1,1
Chr01_126238_809425,0.773972518787029,0.0921271560180475,0.217449361782754,0.107809555548163,Chr01_126238_809425,0.9710526436037529,0.9514993208905922,0.9655796293081079,1,126238
Chr01_809426_814269,0.998730358258989,0.1860013210568,0.252794537127067,0.337239680332419,Chr01_809426_814269,0.9710526436037529,0.9514993208905922,0.9655796293081079,1,809426
Chr01_814270_1367747,0.835624017015931,0.106473813374049,0.311279201138555,0.147651314298832,Chr01_814270_1367747,0.9710526436037529,0.9514993208905922,0.9655796293081079,1,814270
Chr01_1367748_1367899,0.632612187376488,0.211244727734823,0.565063362905042,0.125279370346643,Chr01_1367748_1367899,0.9710526436037529,0.9514993208905922,0.9655796293081079,1,1367748
Chr01_1367900_2042574,0.648644525890262,0.188984886322336,0.554533971980353,0.124515479194396,Chr01_1367900_2042574,0.9710526436037529,0.9514993208905922,0.9655796293081079,1,1367900
Chr01_2042575_2043251,0.555883959582594,0.210421742517371,0.644046534237275,0.109569935115724,Chr01_2042575_2043251,0.9710526436037529,0.9555643918662141,0.9655796293081079,1,2042575
Chr01_2043252_2231677,0.604229194316882,0.0734106933466389,0.626730840468779,0.0955032123577895,Chr01_2043252_2231677,0.9710526436037529,0.9514993208905922,0.9655796293081079,1,2043252
Chr01_2231678_2231705,0.714260291656443,0.0961991938150097,0.895233848992276,0.124528059882626,Chr01_2231678_2231705,0.9710526436037529,0.9734299000843002,0.9655796293081079,1,2231678
Chr01_2231706_3033846,0.728065822547175,0.0883173930971367,0.909241517229725,0.12375968910177,Chr01_2231706_3033846,0.9710526436037529,0.974336356852291,0.9655796293081079,1,2231706
Chr01_3033847_3052413,0.796281550589596,0.087887935906037,0.802319538369667,0.126627325288907,Chr01_3033847_3052413,0.9710526436037529,0.9611875410613345,0.9655796293081079,1,3033847
Chr01_3052414_4229970,0.77936678166124,0.0913656412053707,0.694295992701552,0.122562495302038,Chr01_3052414_4229970,0.9710526436037529,0.9555643918662141,0.9655796293081079,1,3052414
Chr01_4229971_4235626,0.0536990647776258,0.0385116699491234,0.530559521605322,0.00413779563359259,Chr01_4229971_4235626,0.9710526436037529,0.9514993208905922,0.645028709752911,1,4229971
Chr01_4235627_5264100,0.0712666666585419,0.0160318250214033,0.460922619248708,0.00431979473569592,Chr01_4235627_5264100,0.9710526436037529,0.9514993208905922,0.645028709752911,1,4235627
Chr01_5264101_5264149,0.107022798326476,0.00836713407856362,0.37728209291361,0.00525267678951882,Chr01_5264101_5264149,0.9023574431879712,0.9514993208905922,0.645028709752911,1,5264101
Chr01_5264150_5885231,0.144464998921891,0.00260541882663801,0.080173970517106,0.00476214480420702,Chr01_5264150_5885231,0.49867716341851515,0.7933040085678008,0.645028709752911,1,5264150
Chr01_5885232_5886075,0.000375445368487389,0.00591325969823708,0.0952820512967749,"NA",Chr01_5885232_5886075,0.9023574431879712,0.7998677464123999,NA,1,5885232
Chr01_5886076_6253003,0.000713630241513718,0.00690585138962401,0.104654615184459,"NA",Chr01_5886076_6253003,0.9023574431879712,0.8184016516574608,NA,1,5886076
Chr01_6253004_6253851,0.00017548322431513,0.000774178085278369,0.385555685754965,"NA",Chr01_6253004_6253851,0.3129071462407082,0.9514993208905922,NA,1,6253004
Chr01_6253852_6811196,0.000542863695762053,0.00152547923852439,0.537666488204619,"NA",Chr01_6253852_6811196,0.36497090781696034,0.9514993208905922,NA,1,6253852
Chr01_6811197_6811650,0.000254297432629767,0.000980900144955198,0.374332869812471,"NA",Chr01_6811197_6811650,0.3129071462407082,0.9514993208905922,NA,1,6811197
Chr01_6811651_7107385,0.0145217946307778,0.0597027466267196,0.665030461177054,"NA",Chr01_6811651_7107385,0.9710526436037529,0.9555643918662141,NA,1,6811651
Chr01_7107386_7117068,0.026355122483603,0.116859834019319,0.134009868112929,"NA",Chr01_7107386_7117068,0.9710526436037529,0.8770952171402824,NA,1,7107386
Chr01_7117069_8021093,0.116304151331421,0.0970180035402173,0.121653582789351,0.414382545827263,Chr01_7117069_8021093,0.9710526436037529,0.8654014736454095,0.9655796293081079,1,7117069
Chr01_8021094_8021338,0.0651708106321971,0.186668226531384,0.17560268430287,"NA",Chr01_8021094_8021338,0.9710526436037529,0.9514993208905922,NA,1,8021094
Chr01_8021339_8546533,0.0668186234607294,0.247902213244491,0.337272108749718,"NA",Chr01_8021339_8546533,0.9710526436037529,0.9514993208905922,NA,1,8021339
Chr01_8546534_8548055,0.256564141332718,0.57940048044065,0.785109236687626,"NA",Chr01_8546534_8548055,0.9710526436037529,0.959762414394159,NA,1,8546534
Chr01_8548056_9439189,0.431849813554612,0.842161010271833,0.912744915656379,"NA",Chr01_8548056_9439189,0.9901082147790469,0.974336356852291,NA,1,8548056
Chr01_9439190_9439923,0.898544060926758,0.469361872864373,0.452495491868656,"NA",Chr01_9439190_9439923,0.9710526436037529,0.9514993208905922,NA,1,9439190
Chr01_9439924_10127710,0.833992356471852,0.763267946060788,0.620634355196792,"NA",Chr01_9439924_10127710,0.9779335560611401,0.9514993208905922,NA,1,9439924
Chr01_10127711_10127775,0.826277720398838,0.898953084095701,0.90138699607453,"NA",Chr01_10127711_10127775,0.995993181805234,0.9734299000843002,NA,1,10127711
Chr01_10127776_10700451,0.912805495179766,0.506438185822614,0.757955207579658,"NA",Chr01_10127776_10700451,0.9710526436037529,0.9593394454329832,NA,1,10127776
Chr01_10700452_10700489,0.733934016001584,0.278019066702683,0.894301208182965,"NA",Chr01_10700452_10700489,0.9710526436037529,0.9734299000843002,NA,1,10700452
Chr01_10700490_11189458,0.74852255627657,0.16820682806671,0.431386066476557,0.98466731548511,Chr01_10700490_11189458,0.9710526436037529,0.9514993208905922,0.99112415034075,1,10700490
Chr01_11189459_11289027,0.578346875137933,0.285243830527313,0.409826384719354,"NA",Chr01_11189459_11289027,0.9710526436037529,0.9514993208905922,NA,1,11189459
Chr01_11289028_11965532,0.0261482578115061,0.453835272381677,0.30222208745942,0.0113472062729674,Chr01_11289028_11965532,0.9710526436037529,0.9514993208905922,0.9655796293081079,1,11289028
Chr01_11965533_11966198,0.24843401572237,0.157097858009787,0.201778400481237,"NA",Chr01_11965533_11966198,0.9710526436037529,0.9514993208905922,NA,1,11965533
Chr01_11966199_12330339,0.211107054497198,0.153442523503293,0.134726224576407,"NA",Chr01_11966199_12330339,0.9710526436037529,0.8770952171402824,NA,1,11966199
Chr01_12330340_12330527,0.195836753267557,0.128554991505992,0.155071087010159,"NA",Chr01_12330340_12330527,0.9710526436037529,0.9333523916271835,NA,1,12330340
Chr01_12330528_13051606,0.242565591339538,0.143759776837701,0.265194807839425,"NA",Chr01_12330528_13051606,0.9710526436037529,0.9514993208905922,NA,1,12330528
Chr01_13051607_13052006,0.336845825270166,0.196489972581644,0.175995114187988,"NA",Chr01_13051607_13052006,0.9710526436037529,0.9514993208905922,NA,1,13051607
Chr01_13052007_13382483,0.316656976036233,0.19575275281821,0.165136527675818,"NA",Chr01_13052007_13382483,0.9710526436037529,0.9468950548203421,NA,1,13052007
Chr01_13382484_13382509,0.26887228272408,0.170953893704027,0.204668248095961,"NA",Chr01_13382484_13382509,0.9710526436037529,0.9514993208905922,NA,1,13382484
Chr01_13382510_13576339,0.244252845896257,0.092153229706928,0.306641113233943,"NA",Chr01_13382510_13576339,0.9710526436037529,0.9514993208905922,NA,1,13382510
Chr01_13576340_13576350,0.366895084746392,0.21108758579287,0.201547234383377,"NA",Chr01_13576340_13576350,0.9710526436037529,0.9514993208905922,NA,1,13576340
Chr01_13576351_14061355,0.325640544320652,0.155987112772826,0.25787107218188,"NA",Chr01_13576351_14061355,0.9710526436037529,0.9514993208905922,NA,1,13576351
Chr01_14061356_14061634,0.642506920144321,0.246901406440151,0.675028006676871,"NA",Chr01_14061356_14061634,0.9710526436037529,0.9555643918662141,NA,1,14061356
Chr01_14061635_14604721,0.574799615283464,0.205607768601676,0.745372494599873,"NA",Chr01_14061635_14604721,0.9710526436037529,0.9577669201867673,NA,1,14061635
Chr01_14604722_14607157,0.590771216436245,0.223450667522453,0.51323926315469,"NA",Chr01_14604722_14607157,0.9710526436037529,0.9514993208905922,NA,1,14604722
Chr01_14607158_15449572,0.621423194876487,0.233643249582966,0.891127136846574,"NA",Chr01_14607158_15449572,0.9710526436037529,0.9734299000843002,NA,1,14607158
Chr01_15449573_15456448,0.814201125361991,0.272790447295828,0.862755851223306,"NA",Chr01_15449573_15456448,0.9710526436037529,0.9734299000843002,NA,1,15449573
Chr01_15456449_16406535,0.335349673618345,0.418534263066254,0.655574544996564,0.281326060036082,Chr01_15456449_16406535,0.9710526436037529,0.9555643918662141,0.9655796293081079,1,15456449
Chr01_16406536_16454790,0.234538772992849,0.822569281507387,0.620445450458159,0.252102886134913,Chr01_16406536_16454790,0.9843927969805333,0.9514993208905922,0.9655796293081079,1,16406536
Chr01_16454791_19216253,0.209879571718563,0.948698761626491,0.685632049263761,0.242607165804992,Chr01_16454791_19216253,0.997954092591509,0.9555643918662141,0.9655796293081079,1,16454791
Chr01_19216254_19216663,0.9842345705823,0.569072434112625,0.470368622816645,"NA",Chr01_19216254_19216663,0.9710526436037529,0.9514993208905922,NA,1,19216254
Chr01_19216664_20661429,0.762651502943646,0.317982482705249,0.49531135953073,"NA",Chr01_19216664_20661429,0.9710526436037529,0.9514993208905922,NA,1,19216664
Chr01_20661430_20662913,0.962665424766099,0.497318060858918,0.493686096029133,"NA",Chr01_20661430_20662913,0.9710526436037529,0.9514993208905922,NA,1,20661430
Chr01_20662914_21251875,0.976687416370527,0.63057680931162,0.368800107809818,"NA",Chr01_20662914_21251875,0.9710526436037529,0.9514993208905922,NA,1,20662914
Chr01_21251876_21488109,0.869329412386421,0.685309846573858,0.35955576448115,"NA",Chr01_21251876_21488109,0.9710526436037529,0.9514993208905922,NA,1,21251876
Chr01_21488110_22523058,0.620620356947015,0.441021004152462,0.337922988233176,"NA",Chr01_21488110_22523058,0.9710526436037529,0.9514993208905922,NA,1,21488110
