Pheno,Marker,Del_P_adj,Linkage_Class
Blup_Transfo_Area_2_cavities_filled_field_y1_y2,Chr02_3811172_4203782,0.075931097,suggestive
Blup_Transfo_Area_2_cavities_filled_field_y1_y2,Chr02_4203783_4204963,0.075931097,suggestive
Blup_Transfo_Area_2_cavities_filled_field_y1_y2,Chr02_4204964_5059530,0.025903137,significant
Blup_Transfo_Area_2_cavities_filled_field_y1_y2,Chr02_5059531_5059566,0.084950879,suggestive
Blup_Transfo_Area_2_cavities_filled_field_year2,Chr02_3811172_4203782,0.041962342,significant
Blup_Transfo_Area_2_cavities_filled_field_year2,Chr02_4203783_4204963,0.041962342,significant
Blup_Transfo_Area_2_cavities_filled_field_year2,Chr02_4204964_5059530,0.012952814,significant
Blup_Transfo_Area_2_cavities_filled_field_year2,Chr02_5059531_5059566,0.069950693,suggestive
Blup_Transfo_Horiz_size_50perc_field_y1_y2,Chr02_4204964_5059530,0.052210038,suggestive
Blup_Transfo_Horiz_size_50perc_field_year2,Chr02_4204964_5059530,0.036898092,significant
Blup_Transfo_Horiz_size_75perc_field_y1_y2,Chr02_3811172_4203782,0.071909383,suggestive
Blup_Transfo_Horiz_size_75perc_field_y1_y2,Chr02_4203783_4204963,0.071909383,suggestive
Blup_Transfo_Horiz_size_75perc_field_y1_y2,Chr02_4204964_5059530,0.018843456,significant
Blup_Transfo_Horiz_size_75perc_field_y1_y2,Chr02_5059531_5059566,0.071909383,suggestive
Blup_Transfo_Horiz_size_75perc_field_year2,Chr02_3811172_4203782,0.043796864,significant
Blup_Transfo_Horiz_size_75perc_field_year2,Chr02_4203783_4204963,0.043796864,significant
Blup_Transfo_Horiz_size_75perc_field_year2,Chr02_4204964_5059530,0.010213512,significant
Blup_Transfo_Horiz_size_75perc_field_year2,Chr02_5059531_5059566,0.043796864,significant
Blup_Transfo_Horiz_size_center_field_y1_y2,Chr02_3811172_4203782,0.076722142,suggestive
Blup_Transfo_Horiz_size_center_field_y1_y2,Chr02_4203783_4204963,0.076722142,suggestive
Blup_Transfo_Horiz_size_center_field_y1_y2,Chr02_4204964_5059530,0.024832943,significant
Blup_Transfo_Horiz_size_center_field_y1_y2,Chr02_5059531_5059566,0.076722142,suggestive
Blup_Transfo_Horiz_size_center_field_year2,Chr02_3811172_4203782,0.052952767,suggestive
Blup_Transfo_Horiz_size_center_field_year2,Chr02_4203783_4204963,0.052952767,suggestive
Blup_Transfo_Horiz_size_center_field_year2,Chr02_4204964_5059530,0.013057812,significant
Blup_Transfo_Horiz_size_center_field_year2,Chr02_5059531_5059566,0.054816118,suggestive
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_1_4524,0.025276116,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_4525_349303,0.025276116,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_349304_361275,0.025276116,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_361276_876244,0.023397037,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_876245_880558,0.064410058,suggestive
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_880559_1380844,0.071310604,suggestive
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_1380845_1380870,0.064410058,suggestive
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_1380871_1588241,0.025276116,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_1588242_1591077,0.030008887,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_1591078_2117143,0.033096852,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_2117144_2118662,0.025276116,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_2118663_2439301,0.021600005,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_2439319_3802076,0.073545562,suggestive
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_3811172_4203782,0.021600005,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_4203783_4204963,0.021600005,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_4204964_5059530,0.01101564,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_5059531_5059566,0.032356322,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_5059567_5396611,0.064410058,suggestive
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_5396612_5398283,0.064437862,suggestive
Blup_Transfo_Num_Indents_field_year2,Chr02_1_4524,0.009840666,confirmed
Blup_Transfo_Num_Indents_field_year2,Chr02_4525_349303,0.009840666,confirmed
Blup_Transfo_Num_Indents_field_year2,Chr02_349304_361275,0.011693188,significant
Blup_Transfo_Num_Indents_field_year2,Chr02_361276_876244,0.009840666,confirmed
Blup_Transfo_Num_Indents_field_year2,Chr02_876245_880558,0.031058959,significant
Blup_Transfo_Num_Indents_field_year2,Chr02_880559_1380844,0.031058959,significant
Blup_Transfo_Num_Indents_field_year2,Chr02_1380845_1380870,0.029645769,significant
