Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.505603281687937,0.806155205676518,0.53636597196726,0.9751877488022396,0.9488013302194608,1,1
Chr01_126238_809425,0.648691497368768,0.788088189149484,0.537144807821179,0.9665395081427991,0.9488013302194608,1,126238
Chr01_809426_814269,0.604989748413001,0.833089512957311,0.503605849750358,0.9754791643700339,0.9488013302194608,1,809426
Chr01_814270_1367747,0.628639968825795,0.614747774774372,0.503685919386523,0.9270918289799434,0.9488013302194608,1,814270
Chr01_1367748_1367899,0.472390743996639,0.270797920910035,0.773726747499629,0.9151552933384064,0.9818987565924845,1,1367748
Chr01_1367900_2042574,0.475617399591552,0.271711941498571,0.770634433471228,0.9151552933384064,0.9818987565924845,1,1367900
Chr01_2042575_2043251,0.453111881624152,0.173899445531726,0.972130986190823,0.883142632897552,0.9886077825669387,1,2042575
Chr01_2043252_2231677,0.458806656278922,0.642563494364009,0.567941292749067,0.9292151936735205,0.9488013302194608,1,2043252
Chr01_2231678_2231705,0.512896480991396,0.964862012187654,0.987066572782029,0.9983901829101876,0.9930058806543299,1,2231678
Chr01_2231706_3033846,0.513820169903206,0.985935423532442,0.971432324235221,0.9983901829101876,0.9886077825669387,1,2231706
Chr01_3033847_3052413,0.382631474682643,0.993400212599,0.884703037235329,0.998841185170431,0.9818987565924845,1,3033847
Chr01_3052414_4229970,0.492632604718613,0.663934611366551,0.165151161565353,0.9370581764096824,0.8047663522770832,1,3052414
Chr01_4229971_4235626,0.356440461805807,0.669568049010764,0.126571089138537,0.9370581764096824,0.7349297447463271,1,4229971
Chr01_4235627_5264100,0.3792930831399,0.576092202871558,0.124836634823713,0.9270918289799434,0.7349297447463271,1,4235627
Chr01_5264101_5264149,0.409463188988761,0.798743796538116,0.100085386616343,0.9720526544348039,0.6947938070429954,1,5264101
Chr01_5264150_5885231,0.396769299599702,0.860311828284746,0.149811573858249,0.9754791643700339,0.7895187096947374,1,5264150
Chr01_5885232_5886075,0.542498571985302,0.669429347746654,0.172054192804209,0.9370581764096824,0.8107518012338861,1,5885232
Chr01_5886076_6253003,0.528522649956675,0.70205345157131,0.4506554457552,0.9477176898783404,0.9488013302194608,1,5886076
Chr01_6253004_6253851,0.539192593031389,0.786144216598754,0.531280138110341,0.9665395081427991,0.9488013302194608,1,6253004
Chr01_6253852_6811196,0.552039105205492,0.76218241472112,0.533614946783641,0.9599182376274301,0.9488013302194608,1,6253852
Chr01_6811197_6811650,0.572278404211979,0.870276996658045,0.237161376765673,0.9754791643700339,0.8641507655429381,1,6811197
Chr01_6811651_7107385,0.552228328660925,0.981565951477487,0.208105714054842,0.9983901829101876,0.822520899569472,1,6811651
Chr01_7107386_7117068,0.553051083392641,0.960333225334559,0.0461681450174123,0.9983901829101876,0.6612457957036141,1,7107386
Chr01_7117069_8021093,0.546762113291813,0.965697528014789,0.0319683242080793,0.9983901829101876,0.6612457957036141,1,7117069
Chr01_8021094_8021338,0.707549570678566,0.982386780467897,0.110914772502991,0.9983901829101876,0.7058122269083367,1,8021094
Chr01_8021339_8546533,0.540679751564191,0.996893614660234,0.165280719429783,0.998841185170431,0.8047663522770832,1,8021339
Chr01_8546534_8548055,0.549470608369323,0.454246640879858,0.168106749142324,0.9151552933384064,0.8047663522770832,1,8546534
Chr01_8548056_9439189,0.521726395548164,0.480461167593376,0.278787302268796,0.9151552933384064,0.8961020430068444,1,8548056
Chr01_9439190_9439923,0.539955709213777,0.878923799220081,0.10957926060689,0.9797799829101373,0.70565537570571,1,9439190
Chr01_9439924_10127710,0.505836071106496,0.862635869732292,0.173438145197298,0.9754791643700339,0.8107518012338861,1,9439924
Chr01_10127711_10127775,0.496295330746153,0.883102262631468,0.136242824477668,0.9798683954076832,0.7581169307038389,1,10127711
Chr01_10127776_10700451,0.489032935491475,0.596619583427816,0.0774445519634528,0.9270918289799434,0.6804982758151569,1,10127776
Chr01_10700452_10700489,0.591954327159047,0.323065135915009,0.196007557647071,0.9151552933384064,0.8139683396919508,1,10700452
Chr01_10700490_11189458,0.622588421608797,0.657897857292753,0.351694722368964,0.9370581764096824,0.9488013302194608,1,10700490
Chr01_11189459_11289027,0.563679594228488,0.924982658656728,0.684256939213413,0.9891218655024056,0.9592386998318874,1,11189459
Chr01_11289028_11965532,0.518942910537425,0.937783316084478,0.888801963547777,0.9891218655024056,0.9818987565924845,1,11289028
Chr01_11965533_11966198,0.51300554481596,0.839649434563213,0.662295654549945,0.9754791643700339,0.9488013302194608,1,11965533
Chr01_11966199_12330339,0.553342125324048,0.427159128530097,0.877640593531401,0.9151552933384064,0.9818987565924845,1,11966199
Chr01_12330340_12330527,0.594708388569478,0.207480301767441,0.738255923345534,0.9151552933384064,0.9770901922726031,1,12330340
Chr01_12330528_13051606,0.596864184589231,0.168232065278739,0.559736098610172,0.883142632897552,0.9488013302194608,1,12330528
Chr01_13051607_13052006,0.614934285930363,0.203551287001128,0.467975746509031,0.9151552933384064,0.9488013302194608,1,13051607
Chr01_13052007_13382483,0.60671579809945,0.267445694180698,0.457754067780091,0.9151552933384064,0.9488013302194608,1,13052007
Chr01_13382484_13382509,0.616236947622578,0.175647256987402,0.499977317916662,0.883142632897552,0.9488013302194608,1,13382484
Chr01_13382510_13576339,0.608762258410437,0.132423310631024,0.49985599833525,0.883142632897552,0.9488013302194608,1,13382510
Chr01_13576340_13576350,0.609320034629769,0.15587914795078,0.572980096805189,0.883142632897552,0.9488013302194608,1,13576340
Chr01_13576351_14061355,0.608932851528456,0.19055446702815,0.71692138413917,0.9035637465704257,0.9643598044714035,1,13576351
Chr01_14061356_14061634,0.607744692184727,0.273220166748697,0.396725853886216,0.9151552933384064,0.9488013302194608,1,14061356
Chr01_14061635_14604721,0.598556191044342,0.477028716162453,0.266580037670498,0.9151552933384064,0.8812168266750644,1,14061635
Chr01_14604722_14607157,0.577453569678527,0.97948232857219,0.146939121067627,0.9983901829101876,0.7825828455902609,1,14604722
Chr01_14607158_15449572,0.571896500304702,0.998464086134607,0.0501518621872582,0.998841185170431,0.6612457957036141,1,14607158
Chr01_15449573_15456448,0.549678257801887,0.66126568484024,0.0251542547557252,0.9370581764096824,0.6612457957036141,1,15449573
Chr01_15456449_16406535,0.973358853231249,0.943689587310731,0.0349785487080472,0.9891218655024056,0.6612457957036141,1,15456449
Chr01_16406536_16454790,0.859669266575521,0.454837342104139,0.0558385338594163,0.9151552933384064,0.6612457957036141,1,16406536
Chr01_16454791_19216253,0.00568105508937303,0.404119043575794,0.0296634840417944,0.9151552933384064,0.6612457957036141,1,16454791
Chr01_20661430_20662913,0.0152115137713434,0.732189877612475,0.150757760802261,0.9514091808940205,0.7895187096947374,1,20661430
Chr01_20662914_21251875,0.0299381599397481,0.455576173589646,0.33278024962173,0.9151552933384064,0.9464194068763486,1,20662914
Chr01_21251876_21488109,0.107973025769445,0.773093370200353,0.167227156613811,0.961404348822397,0.8047663522770832,1,21251876
Chr01_21488110_22523058,0.219357509930786,0.835828534455689,0.10039565448551,0.9754791643700339,0.6947938070429954,1,21488110
Chr01_22523059_22523376,0.163279706936899,0.390547777537208,0.0928497303569914,0.9151552933384064,0.6947938070429954,1,22523059
Chr01_22523377_25610270,0.0808467261913588,0.41556222243751,0.212180224140056,0.9151552933384064,0.822520899569472,1,22523377
Chr01_26647318_27308826,0.814521477059161,0.620442720022496,0.183917133223588,0.9270918289799434,0.8139683396919508,1,26647318
Chr01_27308827_27314420,0.834298757784234,0.611672993447706,0.042287849263645,0.9270918289799434,0.6612457957036141,1,27308827
Chr01_27314421_27701084,0.851140195055438,0.400763545969884,0.0627894744231372,0.9151552933384064,0.6802391037499734,1,27314421
Chr01_27701085_27712150,0.862562401331948,0.448689431395132,0.0850061600164694,0.9151552933384064,0.6804982758151569,1,27701085
Chr01_27712151_27987745,0.828295084777048,0.439285550953337,0.0456824758164911,0.9151552933384064,0.6612457957036141,1,27712151
Chr01_27987746_27996902,0.822746066626097,0.467608416164911,0.0264718379534155,0.9151552933384064,0.6612457957036141,1,27987746
Chr01_27996903_28327995,0.804658134249996,0.320929361474092,0.0371381288866507,0.9151552933384064,0.6612457957036141,1,27996903
Chr01_28327996_28328780,0.742960408079062,0.146755682191948,0.0385256949303941,0.883142632897552,0.6612457957036141,1,28327996
