Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.460379101108833,0.701194904437789,0.523413171035099,0.9503269840795512,0.9754253154876662,1,1
Chr01_126238_809425,0.622286974172954,0.734197454217884,0.521371033069495,0.9503269840795512,0.9754253154876662,1,126238
Chr01_809426_814269,0.576798210534882,0.724078325348301,0.453503012634518,0.9503269840795512,0.9754253154876662,1,809426
Chr01_814270_1367747,0.612794767869236,0.915277101404668,0.436306909835993,0.9679781330954187,0.9600885546513295,1,814270
Chr01_1367748_1367899,0.42207075001824,0.596158369790981,0.780115062312624,0.9482945604001992,0.9943540144015297,1,1367748
Chr01_1367900_2042574,0.425427035884032,0.597416591658502,0.752259160110372,0.9482945604001992,0.9848982566405922,1,1367900
Chr01_2042575_2043251,0.407348491207496,0.442260654258429,0.909530758616411,0.9482945604001992,0.9967402749667323,1,2042575
Chr01_2043252_2231677,0.405273742887237,0.896467250133524,0.577221040218288,0.9598119437495536,0.9768793736003468,1,2043252
Chr01_2231678_2231705,0.436155989495666,0.623387266938863,0.943000117555707,0.9482945604001992,0.9967402749667323,1,2231678
Chr01_2231706_3033846,0.441532695547531,0.574740538691674,0.905051332319232,0.9482945604001992,0.9967402749667323,1,2231706
Chr01_3033847_3052413,0.340362862900792,0.469905301906825,0.673247004456039,0.9482945604001992,0.9772641576269653,1,3033847
Chr01_3052414_4229970,0.47861768789162,0.715113564623361,0.0665163396830395,0.9503269840795512,0.5806114003287925,1,3052414
Chr01_4229971_4235626,0.346686664905873,0.703918825191317,0.0441583961183584,0.9503269840795512,0.5806114003287925,1,4229971
Chr01_4235627_5264100,0.371355719000277,0.864880404105142,0.0456096326465341,0.9594522056190213,0.5806114003287925,1,4235627
Chr01_5264101_5264149,0.398858139395042,0.712880249198813,0.0329916643768478,0.9503269840795512,0.5806114003287925,1,5264101
Chr01_5264150_5885231,0.389815774762613,0.599213845909576,0.0367341769895781,0.9482945604001992,0.5806114003287925,1,5264150
Chr01_5885232_5886075,0.562445530121428,0.767198136895251,0.0567490147827313,0.9585039945907627,0.5806114003287925,1,5885232
Chr01_5886076_6253003,0.547612141654639,0.774938568843107,0.186373658707857,0.9593119903379193,0.7096858441431,1,5886076
Chr01_6253004_6253851,0.55484201630126,0.601015722431102,0.295492652436899,0.9482945604001992,0.826068079651223,1,6253004
Chr01_6253852_6811196,0.566341155960428,0.645924168619859,0.305519372809358,0.9498216234349262,0.8386110819935158,1,6253852
Chr01_6811197_6811650,0.586293612690149,0.431599470811595,0.12507526912859,0.9482945604001992,0.7096858441431,1,6811197
Chr01_6811651_7107385,0.570253607923622,0.65399733452086,0.157760165404828,0.9503269840795512,0.7096858441431,1,6811651
Chr01_7107386_7117068,0.575097191206168,0.803794264798343,0.0201334943736303,0.9594522056190213,0.5806114003287925,1,7107386
Chr01_7117069_8021093,0.55681737456685,0.709940935952522,0.0108114666534105,0.9503269840795512,0.5806114003287925,1,7117069
Chr01_8021094_8021338,0.629250781055615,0.653638409188715,0.0729070344602653,0.9503269840795512,0.602791906662675,1,8021094
Chr01_8021339_8546533,0.534469996394731,0.525420334084951,0.0978969877136563,0.9482945604001992,0.6746638363175212,1,8021339
Chr01_8546534_8548055,0.542596066059223,0.789413642667164,0.146644047534928,0.9594522056190213,0.7096858441431,1,8546534
Chr01_8548056_9439189,0.505748951395162,0.524549624411232,0.385521605233103,0.9482945604001992,0.9428517519287846,1,8548056
Chr01_9439190_9439923,0.538617639158857,0.786427970764897,0.156843298919514,0.9594522056190213,0.7096858441431,1,9439190
Chr01_9439924_10127710,0.510287777581379,0.96793099499373,0.226204659696219,0.9842431952524399,0.7512331871830151,1,9439924
Chr01_10127711_10127775,0.505870808443501,0.839450692249586,0.188882158814271,0.9594522056190213,0.7096858441431,1,10127711
Chr01_10127776_10700451,0.506559750230239,0.646934061295122,0.135141829985745,0.9498216234349262,0.7096858441431,1,10127776
Chr01_10700452_10700489,0.544133947382118,0.413345098048603,0.293781563288464,0.9482945604001992,0.826068079651223,1,10700452
Chr01_10700490_11189458,0.5620574680144,0.620962785259897,0.509731827670441,0.9482945604001992,0.9754253154876662,1,10700490
Chr01_11189459_11289027,0.529880319733855,0.929202806460595,0.911745993197562,0.970141044212124,0.9967402749667323,1,11189459
Chr01_11289028_11965532,0.493752274732588,0.867803326999444,0.684434434767532,0.9594522056190213,0.9772641576269653,1,11289028
Chr01_11965533_11966198,0.495328198422507,0.845585897777351,0.95652329186329,0.9594522056190213,0.9967402749667323,1,11965533
Chr01_11966199_12330339,0.526903302442127,0.401521785973299,0.874047083358543,0.9482945604001992,0.9967402749667323,1,11966199
Chr01_12330340_12330527,0.557987623386542,0.232535611591478,0.995588017042117,0.9482945604001992,0.9992686124605535,1,12330340
Chr01_12330528_13051606,0.558192852057248,0.222589151586413,0.806760283382748,0.9482945604001992,0.9943540144015297,1,12330528
Chr01_13051607_13052006,0.574975829725952,0.274810521894051,0.930462077834278,0.9482945604001992,0.9967402749667323,1,13051607
Chr01_13052007_13382483,0.57038764509692,0.300347120428972,0.831964148153267,0.9482945604001992,0.9967402749667323,1,13052007
Chr01_13382484_13382509,0.571501054965453,0.212524888942207,0.919233324829442,0.9482945604001992,0.9967402749667323,1,13382484
Chr01_13382510_13576339,0.564788406831063,0.145318033932157,0.905309319178377,0.9482945604001992,0.9967402749667323,1,13382510
Chr01_13576340_13576350,0.566295018004408,0.172388328967808,0.995937717085685,0.9482945604001992,0.9992686124605535,1,13576340
Chr01_13576351_14061355,0.566712692498707,0.188493800456539,0.799747851510566,0.9482945604001992,0.9943540144015297,1,13576351
Chr01_14061356_14061634,0.565876497274826,0.227684773765496,0.840565532572025,0.9482945604001992,0.9967402749667323,1,14061356
Chr01_14061635_14604721,0.564605996262753,0.409364906216299,0.654044032520313,0.9482945604001992,0.9768793736003468,1,14061635
Chr01_14604722_14607157,0.552709884529917,0.928237362354901,0.388606460287093,0.970141044212124,0.9478206348465683,1,14604722
Chr01_14607158_15449572,0.550553782849658,0.995736814445152,0.182846928988852,0.9990670379048349,0.7096858441431,1,14607158
Chr01_15449573_15456448,0.52900020586371,0.808512951115885,0.0934114295133456,0.9594522056190213,0.6746638363175212,1,15449573
Chr01_15456449_16406535,0.686086830958477,0.865735613785861,0.0996432812774726,0.9594522056190213,0.6793860087100405,1,15456449
