Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.424751019959051,0.805014758978471,0.696947280544918,0.999675246193386,0.982001800697507,1,1
Chr01_126238_809425,0.444350205956184,0.833980745397679,0.688124011134431,0.999675246193386,0.982001800697507,1,126238
Chr01_809426_814269,0.533829278592098,0.882027584770261,0.657351630631145,0.999675246193386,0.982001800697507,1,809426
Chr01_814270_1367747,0.556934640854853,0.737074103224352,0.730382022541359,0.999675246193386,0.982001800697507,1,814270
Chr01_1367748_1367899,0.204485835578062,0.89193178041786,0.818226176333706,0.999675246193386,0.9841986669173585,1,1367748
Chr01_1367900_2042574,0.346727036232759,0.883556933676704,0.891538082573827,0.999675246193386,0.9971558345163709,1,1367900
Chr01_2042575_2043251,0.583353115585244,0.829804585860417,0.926461959085973,0.999675246193386,0.9990687742750658,1,2042575
Chr01_2043252_2231677,0.35805210322952,0.768717049074559,0.475009233548034,0.999675246193386,0.982001800697507,1,2043252
Chr01_2231678_2231705,0.382891687721555,0.497708242883254,0.698426503789758,0.999675246193386,0.982001800697507,1,2231678
Chr01_2231706_3033846,0.355659848844845,0.446707765617171,0.741617498025442,0.999675246193386,0.982001800697507,1,2231706
Chr01_3033847_3052413,0.492346165783117,0.204385217028201,0.830881470691383,0.999675246193386,0.9841986669173585,1,3033847
Chr01_3052414_4229970,0.666378523717323,0.387797918288715,0.356719640669677,0.999675246193386,0.982001800697507,1,3052414
Chr01_4229971_4235626,0.682207526923492,0.510948130379419,0.454903128323403,0.999675246193386,0.982001800697507,1,4229971
Chr01_4235627_5264100,0.670987127957177,0.841455687827696,0.414602182677964,0.999675246193386,0.982001800697507,1,4235627
Chr01_5264101_5264149,0.677226144127547,0.760768076980902,0.466610717948865,0.999675246193386,0.982001800697507,1,5264101
Chr01_5264150_5885231,0.818655890200781,0.367909275415944,0.257256952586369,0.999675246193386,0.982001800697507,1,5264150
Chr01_5885232_5886075,0.575362346068281,0.260897819500719,0.406600876283747,0.999675246193386,0.982001800697507,1,5885232
Chr01_5886076_6253003,0.686502301348457,0.439090627791106,0.608169487569626,0.999675246193386,0.982001800697507,1,5886076
Chr01_6253004_6253851,0.640126253358294,0.274876577586161,0.989586383270697,0.999675246193386,0.9990687742750658,1,6253004
Chr01_6253852_6811196,0.751989980520228,0.290842863017028,0.987446599083612,0.999675246193386,0.9990687742750658,1,6253852
Chr01_6811197_6811650,0.980972045049382,0.285314487297918,0.836380731655004,0.999675246193386,0.9841986669173585,1,6811197
Chr01_6811651_7107385,0.959384623392595,0.501625286573899,0.918141782462342,0.999675246193386,0.9982985770559035,1,6811651
Chr01_7107386_7117068,0.518789928918292,0.845815693119784,0.283497322608744,0.999675246193386,0.982001800697507,1,7107386
Chr01_7117069_8021093,0.833367106440229,0.854952149197772,0.252411739509464,0.999675246193386,0.982001800697507,1,7117069
Chr01_8021094_8021338,0.852668900465382,0.895246773225202,0.65874365417859,0.999675246193386,0.982001800697507,1,8021094
Chr01_8021339_8546533,0.429059852767052,0.934176705559595,0.584106075555751,0.999675246193386,0.982001800697507,1,8021339
Chr01_8546534_8548055,0.276083850681067,0.993553575806546,0.986542339434292,0.999675246193386,0.9990687742750658,1,8546534
Chr01_8548056_9439189,0.301100211130109,0.676702880214398,0.461834961410357,0.999675246193386,0.982001800697507,1,8548056
Chr01_9439190_9439923,0.508310592960731,0.744245198410567,0.913899209581009,0.999675246193386,0.9982985770559035,1,9439190
Chr01_9439924_10127710,0.921038545623794,0.251089337004058,0.813449565761658,0.999675246193386,0.9841986669173585,1,9439924
Chr01_10127711_10127775,0.985920167404287,0.284226525098576,0.435028625283661,0.999675246193386,0.982001800697507,1,10127711
Chr01_10127776_10700451,0.767098140608223,0.131375361718052,0.405958342973576,0.9371442469221043,0.982001800697507,1,10127776
Chr01_10700452_10700489,0.611449916285339,0.0844898269006152,0.566646007260164,0.6801385844918535,0.982001800697507,1,10700452
Chr01_10700490_11189458,0.5766264685591,0.0295325048856515,0.372774015067622,0.4454869996005087,0.982001800697507,1,10700490
Chr01_11189459_11289027,0.818109506511229,0.0986723022939462,0.406080695971915,0.7601714168725615,0.982001800697507,1,11189459
Chr01_11289028_11965532,0.972291322873508,0.0705920490760879,0.587279320374042,0.6413221062289873,0.982001800697507,1,11289028
Chr01_11965533_11966198,0.974143159119992,0.030069215964728,0.481602755900713,0.4454869996005087,0.982001800697507,1,11965533
Chr01_11966199_12330339,0.612298114100323,0.00560203531708595,0.468806909156151,0.18602620725357827,0.982001800697507,1,11966199
Chr01_12330340_12330527,0.515468524667412,0.00519790767268624,0.32826261525386,0.1841309373354434,0.982001800697507,1,12330340
Chr01_12330528_13051606,0.659175737210183,0.00910695121896271,0.359204094445217,0.26581077882557774,0.982001800697507,1,12330528
Chr01_13051607_13052006,0.927041761768728,0.011399139394894,0.22657916742366,0.29369913995493124,0.982001800697507,1,13051607
Chr01_13052007_13382483,0.931284431558931,0.002988806445793,0.377873809118746,0.1251400264042895,0.982001800697507,1,13052007
Chr01_13382484_13382509,0.936828042515028,0.00384617166388893,0.361110555687049,0.15432763801354332,0.982001800697507,1,13382484
Chr01_13382510_13576339,0.569588258280988,0.00146078325626951,0.384675358686386,0.11978673118395133,0.982001800697507,1,13382510
Chr01_13576340_13576350,0.585877220590085,0.00259269917566849,0.330934283629927,0.12308193649106328,0.982001800697507,1,13576340
Chr01_13576351_14061355,0.522847104388553,0.00124811085966034,0.268729950232238,0.11978673118395133,0.982001800697507,1,13576351
Chr01_14061356_14061634,0.752139474814783,0.000722000696578386,0.302217210418154,0.11671491643015171,0.982001800697507,1,14061356
Chr01_14061635_14604721,0.933126649857282,0.00165139677627233,0.541857895356539,0.11978673118395133,0.982001800697507,1,14061635
Chr01_14604722_14607157,0.919174252587828,0.0136419011103501,0.724475336310197,0.3148629288658124,0.982001800697507,1,14604722
Chr01_14607158_15449572,0.915893427339408,0.0158009326389501,0.701633367072277,0.3328415548867036,0.982001800697507,1,14607158
Chr01_15449573_15456448,0.566682014058094,0.0168136810764862,0.545976017841631,0.3328415548867036,0.982001800697507,1,15449573
Chr01_15456449_16406535,0.419560722973858,0.0114193931361248,0.729973033582135,0.29369913995493124,0.982001800697507,1,15456449
Chr01_16406536_16454790,0.607711612600632,0.040980674438889,0.680490912488394,0.49520366264590365,0.982001800697507,1,16406536
Chr01_16454791_19216253,0.830603160672705,0.0153770664439973,0.47104427338937,0.3328415548867036,0.982001800697507,1,16454791
