Marker,Intercept,Deltoides,Del_P_adj,CHR,BP
Chr01_1_126237,0.11566735411074,0.0648276936104587,0.47355729332145036,1,1
Chr01_126238_809425,0.11566735411074,0.0648276936104587,0.47355729332145036,1,126238
Chr01_809426_814269,0.11566735411074,0.0648276936104587,0.47355729332145036,1,809426
Chr01_814270_1367747,0.11566735411074,0.0648276936104587,0.47355729332145036,1,814270
Chr01_1367748_1367899,0.11566735411074,0.0648276936104587,0.47355729332145036,1,1367748
Chr01_1367900_2042574,0.11566735411074,0.0648276936104587,0.47355729332145036,1,1367900
Chr01_2042575_2043251,0.11566735411074,0.0648276936104587,0.47355729332145036,1,2042575
Chr01_2043252_2231677,0.11566735411074,0.0648276936104587,0.47355729332145036,1,2043252
Chr01_2231678_2231705,0.11566735411074,0.0648276936104587,0.47355729332145036,1,2231678
Chr01_2231706_3033846,0.11566735411074,0.0648276936104587,0.47355729332145036,1,2231706
Chr01_3033847_3052413,0.11566735411074,0.0648276936104587,0.47355729332145036,1,3033847
Chr01_3052414_4229970,0.11566735411074,0.0648276936104587,0.47355729332145036,1,3052414
Chr01_4229971_4235626,0.11566735411074,0.0648276936104587,0.47355729332145036,1,4229971
Chr01_4235627_5264100,0.145028448146165,0.0622985386620693,0.47355729332145036,1,4235627
Chr01_5264101_5264149,0.0611676011423183,0.0265180691119077,0.4157138973608097,1,5264101
Chr01_5264150_5885231,0.0936167056328971,0.0358226425921666,0.4282611228693435,1,5264150
Chr01_5885232_5886075,0.0634833904825512,0.11830960219677,0.6114023591415542,1,5885232
Chr01_5886076_6253003,0.0509246709718731,0.152016852579278,0.6249263731769891,1,5886076
Chr01_6253004_6253851,0.0507117793794543,0.152802175680334,0.6249263731769891,1,6253004
Chr01_6253852_6811196,0.0323759309708325,0.209641226407421,0.751410687909745,1,6253852
Chr01_6811197_6811650,0.0444104182279424,0.276908480395125,0.8053017337749403,1,6811197
Chr01_6811651_7107385,0.0461186704530909,0.282716967942002,0.8053017337749403,1,6811651
Chr01_7107386_7117068,0.0746016304293894,0.385892266292352,0.8981034550070047,1,7107386
Chr01_7117069_8021093,0.467914249705948,0.470804026236732,0.934093922350181,1,7117069
Chr01_8021094_8021338,0.386550433454242,0.473223307660896,0.934093922350181,1,8021094
Chr01_8021339_8546533,0.386550433454242,0.473223307660896,0.934093922350181,1,8021339
Chr01_8546534_8548055,0.11531421092708,0.343086231771185,0.8640355889605897,1,8546534
Chr01_8548056_9439189,0.102097806463498,0.404668312640941,0.9048307831714498,1,8548056
Chr01_9439190_9439923,0.0704414743036253,0.963362460818198,0.9983333054225495,1,9439190
Chr01_9439924_10127710,0.0914198547962819,0.927864903878309,0.9983333054225495,1,9439924
Chr01_10127711_10127775,0.0914198547962819,0.927864903878309,0.9983333054225495,1,10127711
Chr01_10127776_10700451,0.159154009492094,0.923030205075154,0.9983333054225495,1,10127776
Chr01_10700452_10700489,0.0920215019929113,0.978639197986904,0.9983333054225495,1,10700452
Chr01_10700490_11189458,0.0709802418459785,0.982121247169393,0.9983333054225495,1,10700490
Chr01_11189459_11289027,0.0637280174384457,0.989529241840288,0.9983333054225495,1,11189459
Chr01_11289028_11965532,0.0368558297413341,0.97781121541776,0.9983333054225495,1,11289028
Chr01_11965533_11966198,0.0442494724142751,0.922859047188373,0.9983333054225495,1,11965533
